layer,neuron
4,13106
7,1326
7,4784
7,5458
7,27871
16,100
16,20820
16,21397
17,9903
21,12526
22,18868
24,2345
24,3611
24,7176
24,7543
24,9182
24,16783
24,18087
24,19625
24,20457
24,25027
24,25137
24,26743
24,29310
25,86
25,1781
25,3059
25,4417
25,4909
25,13480
25,14077
25,14982
25,17524
25,19096
25,22521
25,23966
25,26188
25,26701
25,27316
25,28071
26,316
26,1006
26,1092
26,1155
26,1264
26,1530
26,1798
26,2168
26,2215
26,2931
26,3421
26,3447
26,3547
26,3662
26,3869
26,3892
26,4598
26,4733
26,5075
26,5147
26,5247
26,5357
26,5410
26,5849
26,6860
26,7056
26,7223
26,7236
26,7249
26,7707
26,8045
26,8272
26,8676
26,9824
26,10462
26,11091
26,11189
26,12000
26,12014
26,12064
26,13031
26,13069
26,13754
26,13860
26,13861
26,14185
26,14194
26,14851
26,15026
26,15270
26,15847
26,16272
26,16478
26,16645
26,16740
26,17239
26,17243
26,17572
26,17815
26,17947
26,18200
26,18229
26,18532
26,18711
26,18819
26,19238
26,19595
26,19864
26,19909
26,20711
26,21729
26,22656
26,22734
26,22798
26,22852
26,22873
26,22884
26,22913
26,23222
26,23228
26,23238
26,23337
26,23375
26,23646
26,23862
26,23895
26,24787
26,25440
26,26046
26,26231
26,26297
26,26529
26,26675
26,26971
26,27019
26,27246
26,27327
26,27500
26,27932
26,28037
26,28064
26,28308
26,28338
26,28425
26,28490
26,28570
26,28754
26,28778
26,28820
26,28971
26,29323
26,29368
26,29383
27,87
27,176
27,180
27,186
27,189
27,227
27,304
27,312
27,399
27,655
27,660
27,686
27,809
27,882
27,1027
27,1594
27,1820
27,1842
27,1869
27,2218
27,2460
27,2505
27,3046
27,3246
27,3281
27,3300
27,3420
27,3549
27,3780
27,3786
27,3890
27,4209
27,4295
27,4426
27,4523
27,4603
27,4723
27,4845
27,5119
27,5224
27,5341
27,5514
27,5771
27,5781
27,5786
27,5796
27,5892
27,5950
27,5998
27,6013
27,6117
27,6275
27,6384
27,6390
27,6429
27,6490
27,6597
27,6734
27,6746
27,6847
27,7333
27,7502
27,7509
27,7572
27,8679
27,8892
27,8983
27,9040
