layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
16,100
16,2236
16,5325
16,6023
16,13177
16,20820
16,21397
17,9903
17,14660
17,15360
17,20875
17,27812
20,8130
22,8054
22,10932
23,4248
24,3155
24,7176
24,11959
24,16783
24,20457
25,1781
25,4417
25,12698
25,17440
25,24802
25,28476
25,29308
26,1155
26,2168
26,2931
26,3421
26,3662
26,3794
26,4169
26,5075
26,5147
26,6860
26,7225
26,8272
26,9555
26,13031
26,13613
26,14851
26,16272
26,17243
26,18229
26,21906
26,22798
26,22873
26,22913
26,23322
26,23646
26,25555
26,26140
26,26971
26,27327
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28971
26,29323
27,176
27,312
27,568
27,2047
27,2218
27,3151
27,3549
27,3780
27,4603
27,5624
27,5651
27,6117
27,6275
27,6490
27,6847
27,6952
27,7502
27,7572
27,7930
27,8679
27,8783
27,9201
27,9248
27,9308
27,9857
27,9969
27,10183
27,10459
27,10805
27,10857
27,11009
27,11255
27,11289
27,11663
27,11909
27,11912
27,12018
27,12133
27,13604
27,13634
27,13862
27,14466
27,14532
27,14812
27,14829
27,15181
27,15340
27,15510
27,15555
27,15859
27,17923
27,18340
27,18557
27,18607
27,18786
27,18909
27,19190
27,19289
27,19327
27,19378
27,19686
27,19967
27,20035
27,20225
27,21718
27,22036
27,22824
27,23231
27,23244
27,23620
27,23633
27,24082
27,24299
27,24664
27,24993
27,25641
27,25683
27,25778
27,26299
27,26572
27,26607
27,26752
27,27814
27,28003
27,28119
27,28192
27,28324
27,28653
28,888
28,1362
28,1465
28,1475
28,1905
28,3068
28,3743
28,4284
28,4752
28,4828
28,5100
28,5230
28,5345
28,6020
28,6102
28,6105
28,6139
28,6386
28,6407
28,6519
28,7336
28,7467
28,7902
28,8208
28,8528
28,8808
28,8812
28,8839
28,8861
28,8893
28,9002
28,9154
28,9206
28,9324
28,9346
28,9682
28,9697
28,9766
28,9798
28,9904
28,10232
28,10936
28,10967
28,10996
28,11045
28,11053
28,11804
28,11821
28,11861
28,12049
28,12311
28,12544
28,12723
28,13315
28,13328
28,13713
28,14502
28,14576
28,14660
28,14668
28,15474
28,15715
28,16515
28,16516
28,16573
28,17091
28,17956
28,18121
28,18253
28,18260
28,18400
28,18713
28,19093
28,19105
28,19117
28,19208
28,19704
28,20030
28,20197
28,20416
28,20475
28,20899
28,20913
28,22025
28,22381
28,22423
28,22462
28,22777
28,23388
28,23572
28,23649
28,23802
28,23817
28,23918
28,24259
28,24548
28,24941
28,26108
28,26366
28,26542
28,26720
28,27049
28,27090
28,27312
28,28443
28,28740
28,29003
29,317
29,536
29,642
29,664
29,813
29,1063
29,1265
29,1271
29,1731
29,1736
29,2086
29,2145
29,2347
29,2404
29,2573
29,2743
29,3255
29,3291
29,3343
29,3407
29,3578
29,3606
29,3707
29,3822
29,3860
29,4053
29,4157
29,4173
29,4241
29,4438
29,4518
29,4542
29,4771
29,4831
29,5016
29,5083
29,5087
29,5106
29,5153
29,5363
29,5379
29,5422
29,5554
29,5674
29,5676
29,5831
29,6094
29,6142
29,6249
29,6258
29,6355
29,6454
29,6550
29,6677
29,6806
29,7293
29,7494
29,7658
29,7769
29,8188
29,8253
29,8470
29,8640
29,8738
29,8825
29,8941
29,8977
29,9048
29,9161
29,9222
29,9509
29,9581
29,9696
29,9831
29,9862
29,9873
29,10068
29,10175
29,10228
29,10447
29,10593
29,10892
29,11027
29,11143
29,11199
29,11426
29,11476
29,11491
29,11765
29,11809
29,11889
29,12040
29,12287
29,12569
29,12573
29,12660
29,13031
29,13063
29,13140
29,13324
29,13726
29,13786
29,14220
29,14257
29,14623
29,14761
29,14818
29,15047
29,15123
29,15208
29,15279
29,15453
29,15512
29,15527
29,15695
29,15697
29,15791
29,15798
29,15915
29,15945
29,16476
29,16577
29,16934
29,17082
29,17319
29,17342
29,17443
29,17563
29,17572
29,17800
29,17899
29,17951
29,17974
29,18048
29,18188
29,18217
29,18470
29,18519
29,18522
29,18557
29,18631
29,18729
29,18803
29,18890
29,18905
29,19099
29,19202
29,19215
29,19226
29,19227
29,19326
29,19328
29,19353
29,19644
29,19733
29,19769
29,19884
29,20115
29,20203
29,20367
29,20578
29,20647
29,20870
29,20931
29,21117
29,21212
29,21585
29,21659
29,21781
29,21927
29,22095
29,22355
29,22517
29,22571
29,22896
29,22924
29,23024
29,23091
29,23117
29,23285
29,23600
29,23609
29,23619
29,24164
29,24252
29,24447
29,24465
29,24520
29,24543
29,24625
29,24649
29,25094
29,25253
29,25340
29,25596
29,25743
29,25763
29,25771
29,25778
29,26154
29,26224
29,26431
29,26506
29,26535
29,26553
29,26559
29,26640
29,26709
29,26771
29,26958
29,27616
29,27717
29,27737
29,27846
29,27920
29,27937
29,28050
29,28190
29,28653
29,28935
29,28974
29,29058
29,29080
29,29274
29,29426
29,29482
29,29549
29,29560
30,192
30,416
30,587
30,827
30,1051
30,1347
30,1422
30,1467
30,1705
30,1734
30,1888
30,2070
30,2103
30,2261
30,2264
30,2312
30,2382
30,2471
30,2570
30,2573
30,2685
30,2793
30,2969
30,3003
30,3058
30,3144
30,3175
30,3265
30,3374
30,3379
30,3502
30,3545
30,3747
30,3762
30,3827
30,3878
30,3895
30,3898
30,3997
30,4027
30,4057
30,4210
30,4265
30,4297
30,4478
30,4550
30,4581
30,4631
30,4644
30,4668
30,4767
30,4914
30,4942
30,4955
30,5057
30,5201
30,5236
30,5291
30,5316
30,5641
30,5662
30,5708
30,5850
30,5855
30,5968
30,6133
30,6175
30,6258
30,6401
30,6590
30,6822
30,6915
30,6978
30,7036
30,7053
30,7077
30,7133
30,7302
30,7373
30,7483
30,7513
30,7562
30,7575
30,7797
30,7886
30,8128
30,8164
30,8184
30,8234
30,8271
30,8520
30,8872
30,8876
30,8908
30,9102
30,9216
30,9544
30,9562
30,9584
30,9595
30,9596
30,9625
30,9660
30,9661
30,9690
30,9734
30,9761
30,9869
30,9935
30,9979
30,10064
30,10146
30,10184
30,10275
30,10294
30,10322
30,10500
30,10511
30,10597
30,10640
30,10819
30,10930
30,11009
30,11015
30,11089
30,11093
30,11103
30,11189
30,11226
30,11357
30,11382
30,11389
30,11412
30,11457
30,11482
30,11516
30,11531
30,11682
30,11738
30,11767
30,11779
30,11792
30,11840
30,11856
30,11933
30,12096
30,12100
30,12109
30,12116
30,12169
30,12409
30,12530
30,12535
30,12785
30,12841
30,12900
30,12984
30,13096
30,13368
30,13411
30,13448
30,13598
30,13674
30,13842
30,13943
30,14049
30,14136
30,14295
30,14306
30,14409
30,14433
30,14531
30,14820
30,14864
30,14871
30,15154
30,15201
30,15222
30,15263
30,15280
30,15399
30,15436
30,15607
30,15686
30,15759
30,15786
30,15890
30,15916
30,15925
30,16008
30,16032
30,16060
30,16373
30,16546
30,16585
30,16673
30,16696
30,16829
30,16851
30,16901
30,17187
30,17200
30,17248
30,17249
30,17277
30,17345
30,17416
30,17449
30,17954
30,18070
30,18080
30,18113
30,18136
30,18202
30,18383
30,18515
30,18615
30,18697
30,18728
30,18820
30,18953
30,18962
30,19042
30,19162
30,19233
30,19280
30,19559
30,19664
30,19823
30,20049
30,20332
30,20383
30,20394
30,20428
30,20553
30,20618
30,20704
30,20820
30,20838
30,20898
30,20983
30,21093
30,21165
30,21166
30,21324
30,21410
30,21469
30,21500
30,21506
30,21515
30,21664
30,21854
30,21882
30,21922
30,22009
30,22103
30,22210
30,22287
30,22378
30,22446
30,22473
30,22742
30,22761
30,22779
30,22798
30,22844
30,22959
30,22985
30,23156
30,23387
30,23389
30,23411
30,23507
30,23555
30,23590
30,23734
30,23763
30,23815
30,23840
30,23976
30,23978
30,24065
30,24147
30,24214
30,24245
30,24396
30,24409
30,24570
30,24682
30,24758
30,24781
30,24883
30,24922
30,25183
30,25196
30,25224
30,25300
30,25305
30,25370
30,25461
30,25556
30,25631
30,25663
30,25706
30,25717
30,25740
30,25767
30,25800
30,25806
30,25826
30,25969
30,26060
30,26164
30,26167
30,26262
30,26277
30,26296
30,26369
30,26494
30,26592
30,26670
30,26746
30,27022
30,27038
30,27398
30,27478
30,27574
30,27586
30,27644
30,27645
30,27662
30,27858
30,27975
30,28027
30,28112
30,28132
30,28229
30,28324
30,28337
30,28484
30,28796
30,28885
30,28925
30,28994
30,29031
30,29096
30,29130
30,29144
30,29332
30,29383
30,29499
31,12
31,29
31,40
31,54
31,69
31,177
31,197
31,302
31,310
31,321
31,410
31,426
31,520
31,534
31,591
31,651
31,719
31,745
31,903
31,1024
31,1037
31,1066
31,1115
31,1220
31,1259
31,1340
31,1344
31,1381
31,1404
31,1438
31,1461
31,1478
31,1482
31,1490
31,1511
31,1525
31,1553
31,1566
31,1614
31,1634
31,1644
31,1693
31,1719
31,1753
31,1796
31,1840
31,1947
31,2091
31,2139
31,2159
31,2226
31,2249
31,2328
31,2346
31,2352
31,2356
31,2377
31,2396
31,2413
31,2664
31,2703
31,2708
31,2725
31,2772
31,2790
31,2808
31,2821
31,2865
31,2873
31,2892
31,2907
31,2919
31,2921
31,2939
31,2960
31,2991
31,3020
31,3088
31,3177
31,3273
31,3325
31,3364
31,3372
31,3544
31,3577
31,3619
31,3663
31,3738
31,3749
31,3756
31,3804
31,3840
31,3916
31,3937
31,3960
31,4007
31,4085
31,4114
31,4284
31,4317
31,4358
31,4379
31,4433
31,4464
31,4532
31,4574
31,4664
31,4710
31,4719
31,4722
31,4755
31,4795
31,4836
31,4922
31,5030
31,5230
31,5249
31,5283
31,5354
31,5370
31,5377
31,5411
31,5732
31,5758
31,5963
31,5981
31,6109
31,6145
31,6164
31,6183
31,6196
31,6216
31,6250
31,6307
31,6366
31,6479
31,6503
31,6510
31,6529
31,6540
31,6603
31,6669
31,6686
31,6745
31,6755
31,6769
31,6878
31,7001
31,7009
31,7279
31,7436
31,7478
31,7480
31,7558
31,7575
31,7576
31,7588
31,7665
31,7784
31,7849
31,7859
31,7860
31,7868
31,7883
31,7912
31,7982
31,7984
31,7994
31,8049
31,8051
31,8060
31,8112
31,8113
31,8160
31,8232
31,8435
31,8508
31,8516
31,8526
31,8577
31,8579
31,8636
31,8680
31,8729
31,8797
31,8833
31,8885
31,8931
31,8948
31,8952
31,9072
31,9073
31,9079
31,9104
31,9139
31,9161
31,9204
31,9222
31,9268
31,9306
31,9331
31,9371
31,9431
31,9474
31,9522
31,9545
31,9567
31,9595
31,9596
