layer,neuron
4,13106
5,24328
7,1326
16,100
16,21397
17,9903
24,7176
24,9182
24,16783
24,20457
24,25137
25,1781
25,4417
25,24802
25,26188
26,316
26,1155
26,1264
26,2168
26,2931
26,3421
26,3662
26,3892
26,4384
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7056
26,8676
26,9681
26,9824
26,11091
26,12014
26,12064
26,13031
26,14352
26,14580
26,15270
26,17239
26,17243
26,19595
26,22798
26,22913
26,23228
26,23238
26,23646
26,26529
26,26675
26,26971
26,27500
26,27932
26,28037
26,28266
26,28338
26,28425
26,28570
26,28626
26,28754
26,28778
26,28971
26,29323
27,176
27,180
27,189
27,312
27,2218
27,3045
27,3300
27,3780
27,3786
27,4426
27,4603
27,5771
27,5781
27,5796
27,5998
27,6013
27,6117
27,6275
27,6390
27,6490
27,6847
27,6952
27,7502
27,7572
27,8679
27,8892
27,9227
27,9308
27,9386
27,9728
27,9857
27,9969
27,10183
27,10857
27,11009
27,11289
27,11329
27,11569
27,11663
27,11909
27,11912
27,12018
27,12994
27,13327
27,13419
27,13495
27,13573
27,13604
27,13707
27,13862
27,14219
27,14466
27,14532
27,15181
27,15218
27,15328
27,15340
27,15510
27,15525
27,15555
27,15859
27,17017
27,17329
27,18238
27,18397
27,18574
27,18607
27,18909
27,19190
27,19289
27,19299
27,19327
27,19692
27,20035
27,20225
27,21633
27,21718
27,22036
27,22194
27,22655
27,23160
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23843
27,24311
27,24581
27,24993
27,25702
27,26296
27,26607
27,26752
27,26930
27,26936
27,27535
27,27814
27,28003
27,28079
27,28110
27,28653
27,29059
27,29137
28,146
28,503
28,796
28,1362
28,1905
28,2176
28,2305
28,2383
28,3241
28,3673
28,3743
28,4284
28,4329
28,4475
28,4738
28,4752
28,4828
28,5230
28,5899
28,6020
28,6099
28,6102
28,6105
28,6139
28,6386
28,6519
28,6591
28,6777
28,7336
28,7467
28,8170
28,8220
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9332
28,9354
28,9449
28,9639
28,9682
28,9697
28,9798
28,9822
28,9904
28,9906
28,10130
28,10232
28,10823
28,10936
28,11045
28,11053
28,11418
28,11821
28,11861
28,12079
28,12544
28,12558
28,12723
28,13029
28,13315
28,13328
28,13457
28,13713
28,13798
28,13977
28,14257
28,14660
28,14668
28,15474
28,15715
28,16106
28,16237
28,16515
28,16516
28,16693
28,17091
28,17128
28,17159
28,17533
28,17956
28,18121
28,18253
28,18260
28,18268
28,18713
28,18813
28,19093
28,19105
28,19194
28,19704
28,20030
28,20154
28,20274
28,20416
28,20475
28,20891
28,20899
28,20913
28,21054
28,21259
28,21308
28,21379
28,22423
28,22624
28,22807
28,23388
28,23649
28,23817
28,23918
28,24548
28,24941
28,25470
28,26108
28,26214
28,26494
28,26720
28,27049
28,27074
28,27090
28,27312
28,27361
28,28233
28,28443
28,28740
28,28774
28,29164
29,221
29,317
29,536
29,609
29,642
29,813
29,1063
29,1292
29,1541
29,1731
29,1945
29,1960
29,2070
29,2086
29,2110
29,2145
29,2245
29,2347
29,2376
29,2404
29,2573
29,2743
29,2964
29,3255
29,3291
29,3343
29,3350
29,3407
29,3707
29,3822
29,4053
29,4104
29,4518
29,4542
29,4831
29,5016
29,5054
29,5087
29,5307
29,5348
29,5363
29,5406
29,5554
29,5563
29,5616
29,5674
29,5676
29,5683
29,6094
29,6142
29,6249
29,6355
29,6454
29,6550
29,6772
29,6859
29,6900
29,7050
29,7293
29,7658
29,7782
29,7852
29,7940
29,8088
29,8253
29,8470
29,8738
29,8825
29,8941
29,8998
29,9048
29,9161
29,9386
29,9483
29,9509
29,9524
29,9581
29,9679
29,9873
29,9967
29,10020
29,10068
29,10175
29,10228
29,10447
29,10483
29,10498
29,10642
29,11027
29,11426
29,11460
29,11491
29,11506
29,11528
29,11736
29,11809
29,11889
29,12002
29,12040
29,12634
29,12643
29,12660
29,12713
29,12723
29,13031
29,13140
29,13436
29,13445
29,13712
29,13786
29,13804
29,13960
29,14192
29,14220
29,14623
29,14761
29,14818
29,14923
29,15047
29,15123
29,15266
29,15453
29,15527
29,15697
29,15915
29,15945
29,16066
29,16131
29,16476
29,16577
29,16934
29,17082
29,17319
29,17443
29,17563
29,17572
29,17637
29,17800
29,17899
29,17951
29,18048
29,18188
29,18217
29,18341
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18729
29,18803
29,18890
29,19005
29,19151
29,19226
29,19227
29,19296
29,19326
29,19328
29,19353
29,19472
29,19644
29,20115
29,20578
29,20647
29,20858
29,20870
29,20931
29,21352
29,21391
29,21478
29,21541
29,21607
29,21659
29,21682
29,21927
29,22166
29,22310
29,22482
29,22517
29,22550
29,22571
29,22896
29,23004
29,23024
29,23087
29,23117
29,23285
29,23600
29,23609
29,23619
29,23768
29,24119
29,24164
29,24293
29,24447
29,24465
29,24520
29,24543
29,24649
29,24925
29,25094
29,25129
29,25253
29,25473
29,25596
29,25623
29,25772
29,26535
29,26559
29,26640
29,26709
29,27566
29,27616
29,27737
29,27800
29,27920
29,27937
29,28050
29,28070
29,28235
29,28653
29,28803
29,28935
29,28974
29,29270
29,29426
29,29549
30,108
30,416
30,430
30,726
30,830
30,911
30,937
30,1051
30,1176
30,1422
30,1467
30,1473
30,1734
30,1920
30,2012
30,2070
30,2103
30,2261
30,2264
30,2319
30,2382
30,2471
30,2570
30,2595
30,2673
30,2685
30,2793
30,2969
30,3058
30,3172
30,3265
30,3374
30,3502
30,3747
30,3762
30,3895
30,3898
30,3997
30,4027
30,4076
30,4219
30,4265
30,4297
30,4478
30,4550
30,4581
30,4631
30,4644
30,4668
30,4741
30,4767
30,4888
30,4914
30,4948
30,5057
30,5191
30,5236
30,5316
30,5645
30,5708
30,5778
30,5855
30,5968
30,6039
30,6175
30,6177
30,6214
30,6401
30,6590
30,6634
30,6646
30,6710
30,6736
30,6822
30,6886
30,7014
30,7045
30,7077
30,7218
30,7483
30,7485
30,7536
30,7545
30,7575
30,7637
30,7641
30,7782
30,7797
30,7826
30,7886
30,8234
30,8271
30,8767
30,8872
30,8908
30,9009
30,9262
30,9544
30,9562
30,9564
30,9584
30,9596
30,9625
30,9660
30,9661
30,9690
30,9734
30,9869
30,9898
30,9914
30,9935
30,9957
30,9979
30,10064
30,10294
30,10313
30,10511
30,10583
30,10597
30,10609
30,10631
30,10819
30,10823
30,11009
30,11093
30,11103
30,11149
30,11189
30,11226
30,11249
30,11357
30,11378
30,11382
30,11412
30,11440
30,11482
30,11516
30,11531
30,11682
30,11728
30,11738
30,11755
30,11759
30,11767
30,11779
30,11792
30,11840
30,11871
30,11893
30,11922
30,12096
30,12100
30,12109
30,12128
30,12160
30,12169
30,12253
30,12284
30,12345
30,12356
30,12374
30,12530
30,12696
30,12785
30,12841
30,12886
30,12900
30,12909
30,13069
30,13096
30,13146
30,13257
30,13405
30,13411
30,13417
30,13598
30,13943
30,14049
30,14104
30,14136
30,14295
30,14306
30,14433
30,14509
30,14531
30,14551
30,14699
30,14925
30,14943
30,15154
30,15263
30,15436
30,15443
30,15916
30,15925
30,15936
30,16008
30,16032
30,16060
30,16165
30,16654
30,16673
30,16696
30,16743
30,16829
30,16859
30,16970
30,17094
30,17190
30,17200
30,17249
30,17335
30,17345
30,17416
30,17461
30,17533
30,17954
30,18080
30,18112
30,18136
30,18202
30,18358
30,18370
30,18383
30,18385
30,18515
30,18615
30,18728
30,18957
30,18962
30,19233
30,19235
30,19280
30,19289
30,19559
30,19664
30,19928
30,20049
30,20189
30,20332
30,20383
30,20428
30,20497
30,20511
30,20553
30,20566
30,20628
30,20731
30,20820
30,20871
30,20872
30,20898
30,20946
30,21052
30,21093
30,21165
30,21324
30,21410
30,21500
30,21506
30,21634
30,21697
30,21854
30,21882
30,21970
30,22087
30,22103
30,22210
30,22244
30,22287
30,22309
30,22318
30,22446
30,22728
30,22742
30,22761
30,22779
30,22798
30,22959
30,22985
30,23061
30,23198
30,23234
30,23329
30,23346
30,23495
30,23507
30,23546
30,23579
30,23709
30,23723
30,23763
30,23815
30,23824
30,23840
30,23976
30,24127
30,24214
30,24253
30,24409
30,24527
30,24570
30,24676
30,24758
30,24854
30,24858
30,24922
30,25005
30,25132
30,25196
30,25224
30,25300
30,25305
30,25411
30,25461
30,25491
30,25556
30,25601
30,25663
30,25706
30,25767
30,25800
30,26060
30,26164
30,26167
30,26262
30,26284
30,26285
30,26296
30,26321
30,26369
30,26494
30,26592
30,26670
30,26746
30,26875
30,26934
30,27038
30,27139
30,27182
30,27398
30,27586
30,27601
30,27621
30,27644
30,27645
30,27662
30,27891
30,27900
30,27981
30,28077
30,28132
30,28193
30,28294
30,28384
30,28501
30,28796
30,28899
30,28925
30,28933
30,28994
30,29031
30,29096
30,29262
30,29307
30,29319
30,29332
30,29401
30,29416
31,41
31,69
31,133
31,177
31,197
31,278
31,302
31,310
31,321
31,354
31,410
31,490
31,591
31,642
31,651
31,691
31,695
31,719
31,745
31,1037
31,1066
31,1115
31,1126
31,1220
31,1222
31,1259
31,1340
31,1381
31,1404
31,1438
31,1455
31,1461
31,1478
31,1553
31,1581
31,1585
31,1693
31,1719
31,1753
31,1840
31,1880
31,1947
31,1964
31,2043
31,2073
31,2091
31,2108
31,2139
31,2159
31,2226
31,2249
31,2346
31,2375
31,2413
31,2444
31,2459
31,2471
31,2536
31,2703
31,2708
31,2725
31,2772
31,2790
31,2821
31,2832
31,2837
31,2841
31,2846
31,2865
31,2873
31,2921
31,2930
31,3020
31,3088
31,3273
31,3325
31,3544
31,3577
31,3619
31,3738
31,3749
31,3756
31,3937
31,3960
31,3967
31,4007
31,4085
31,4114
31,4250
31,4309
31,4378
31,4403
31,4464
31,4606
31,4647
31,4719
31,4795
31,4836
31,4865
31,4922
31,4986
31,5030
31,5181
31,5227
31,5249
31,5283
31,5354
31,5370
31,5377
31,5411
31,5419
31,5621
31,5623
31,5652
31,5758
31,5850
31,5856
31,5963
31,6109
31,6139
31,6145
31,6155
31,6183
31,6216
31,6347
31,6366
31,6503
31,6519
31,6529
31,6540
31,6603
31,6669
31,6732
31,6745
31,6785
31,6925
31,7009
31,7279
31,7287
31,7381
31,7436
31,7561
31,7576
31,7636
31,7665
31,7745
31,7859
31,7868
31,7883
31,7967
31,7982
31,7994
31,8051
31,8191
31,8280
31,8526
31,8570
31,8577
31,8600
31,8636
