layer,neuron
46,21
46,46
46,129
46,136
46,177
46,281
46,464
46,593
46,632
46,638
46,713
46,1080
46,1088
46,1095
46,1155
46,1288
46,1373
46,1467
46,1480
46,1554
46,1707
46,1782
46,1918
46,1921
46,1954
46,2020
46,2027
46,2089
46,2104
46,2147
46,2333
46,2400
46,2666
46,2687
46,2745
46,2788
46,2789
46,2871
46,3090
46,3121
46,3387
46,3576
46,3646
46,3647
46,3692
46,3764
46,3782
46,3799
46,3875
46,3930
46,3953
46,3991
46,4024
46,4033
46,4040
46,4082
46,4338
46,4411
46,4691
46,4745
46,4849
46,4919
46,5167
46,5493
46,5602
46,5731
46,5899
46,5995
46,6045
46,6053
46,6081
46,6172
46,6204
46,6419
46,6434
46,6620
46,6756
46,6803
46,6806
46,6846
46,6896
46,6908
46,6935
46,6948
46,6964
46,7027
46,7047
46,7085
46,7111
46,7200
46,7242
46,7300
46,7479
46,7516
46,7566
46,7585
46,7588
46,7687
46,7777
46,7932
46,8070
46,8175
46,8195
46,8330
46,8381
46,8619
46,8695
46,8739
46,8764
46,8814
46,8817
46,8868
46,8871
46,8978
46,8987
46,9096
46,9134
46,9136
46,9175
46,9311
46,9437
46,9468
46,9517
46,9565
46,9589
46,9634
46,9710
46,9799
46,9902
46,10410
46,10573
46,10585
46,10641
46,10650
46,10673
46,10724
46,10864
46,11083
46,11116
46,11338
46,11478
46,11570
46,11632
46,11722
46,11747
46,11838
46,11857
46,11990
46,12134
46,12228
46,12323
46,12458
46,12488
46,12489
46,12516
46,12695
46,12780
46,12839
46,12998
46,13014
46,13018
46,13188
46,13217
46,13266
46,13282
46,13312
46,13693
46,13853
46,13881
46,13935
46,14053
46,14139
46,14357
46,14525
46,14597
46,14681
46,14767
46,14842
46,15098
46,15119
46,15206
46,15225
46,15291
46,15572
46,15590
46,15656
46,15686
46,15719
46,15843
46,16040
46,16165
46,16206
46,16279
46,16290
46,16344
46,16416
46,16615
46,16757
46,16809
46,16999
46,17070
46,17128
46,17241
46,17274
46,17319
46,17331
46,17340
46,17405
46,17644
46,17658
46,17663
46,17674
46,17731
46,17776
46,17818
46,17957
46,17962
46,18032
46,18090
46,18096
46,18119
46,18243
46,18300
46,18416
46,18532
46,18598
46,18794
46,18797
46,18866
46,18920
46,18949
46,19190
46,19246
46,19328
46,19376
46,19436
46,19517
46,19561
46,19578
46,19592
46,19611
46,19661
46,19761
46,19871
46,19902
46,19905
46,19973
46,20014
46,20019
46,20065
46,20074
46,20124
46,20175
46,20181
46,20198
46,20211
46,20244
46,20273
46,20286
46,20353
46,20371
46,20394
46,20411
46,20461
46,20680
46,20821
46,21017
46,21111
46,21165
46,21172
46,21185
46,21207
46,21287
46,21290
46,21322
46,21425
46,21819
46,21871
46,21891
46,21904
46,22075
46,22080
46,22101
46,22237
46,22254
46,22268
46,22396
46,22535
46,22641
46,22772
46,22810
46,22888
46,22910
46,22947
46,22951
46,22992
46,23110
46,23190
46,23191
46,23279
46,23306
46,23334
46,23453
46,23492
46,23582
46,23585
46,23641
46,23762
46,23805
46,23820
46,23834
46,23914
46,23968
46,23985
46,24171
46,24322
46,24327
46,24357
46,24464
46,24568
46,24642
46,24647
46,24870
46,25011
46,25050
46,25104
46,25204
46,25245
46,25275
46,25315
46,25394
46,25532
46,25574
46,25586
46,25600
46,25608
46,25701
46,25788
46,25931
46,25939
46,25974
46,26153
46,26242
46,26253
46,26365
46,26471
46,26473
46,26582
46,26634
46,26718
46,26910
46,26993
46,27093
46,27154
46,27396
46,27582
46,27777
46,27877
46,27954
46,28041
46,28054
46,28087
46,28174
46,28203
46,28212
46,28260
46,28313
46,28404
46,28423
46,28457
46,28663
46,28789
46,28888
46,29071
46,29139
46,29194
46,29227
46,29248
46,29259
46,29326
46,29393
46,29455
46,29461
46,29465
47,124
47,136
47,139
47,147
47,171
47,180
47,203
47,208
47,225
47,358
47,452
47,553
47,562
47,678
47,772
47,1088
47,1122
47,1210
47,1275
47,1290
47,1339
47,1342
47,1387
47,1458
47,1526
47,1566
47,1619
47,1723
47,1814
47,1817
47,1981
47,1989
47,2166
47,2196
47,2257
47,2377
47,2408
47,2425
47,2506
47,2535
47,2623
47,2642
47,2667
47,2756
47,2784
47,2793
47,2854
47,2872
47,2913
47,2926
47,2968
47,2993
47,3123
47,3136
47,3149
47,3183
47,3296
47,3301
47,3328
47,3442
47,3559
47,3816
47,3825
47,3887
47,3971
47,4021
47,4086
47,4128
47,4129
47,4141
47,4179
47,4185
47,4231
47,4242
47,4274
47,4285
47,4307
47,4366
47,4419
47,4425
47,4507
47,4705
47,4836
47,5086
47,5098
47,5143
47,5247
47,5285
47,5304
47,5318
47,5382
47,5397
47,5427
47,5471
47,5614
47,5681
47,5698
47,5758
47,5767
47,5809
47,5820
47,5845
47,5873
47,5893
47,5906
47,5967
47,5969
47,6062
47,6108
47,6155
47,6166
47,6216
47,6346
47,6429
47,6430
47,6596
47,6631
47,6632
47,6769
47,6810
47,6882
47,6893
47,6921
47,6927
47,6968
47,7023
47,7054
47,7364
47,7379
47,7440
47,7479
47,7487
47,7559
47,7573
47,7723
47,7922
47,7985
47,7999
47,8026
47,8172
47,8247
47,8345
47,8497
47,8744
47,8764
47,8930
47,8931
47,8978
47,9039
47,9045
47,9096
47,9108
47,9187
47,9190
47,9232
47,9318
47,9324
47,9449
47,9545
47,9571
47,9573
47,9645
47,9735
47,9755
47,9817
47,9854
47,9926
47,9956
47,9968
47,10017
47,10051
47,10163
47,10204
47,10219
47,10245
47,10288
47,10342
47,10428
47,10457
47,10468
47,10502
47,10568
47,10598
47,10860
47,10886
47,10964
47,11069
47,11080
47,11175
47,11213
47,11254
47,11300
47,11309
47,11351
