layer,neuron
46,91
46,111
46,128
46,253
46,358
46,420
46,550
46,820
46,833
46,841
46,949
46,960
46,1005
46,1084
46,1092
46,1213
46,1230
46,1263
46,1273
46,1367
46,1476
46,1501
46,1644
46,1648
46,1711
46,1712
46,1809
46,1853
46,1951
46,1964
46,1969
46,2093
46,2099
46,2287
46,2368
46,2437
46,2441
46,2462
46,2486
46,2493
46,2530
46,2562
46,2571
46,2643
46,2661
46,2678
46,2734
46,2858
46,2912
46,2958
46,2962
46,3010
46,3163
46,3172
46,3366
46,3371
46,3452
46,3489
46,3537
46,3561
46,3563
46,3574
46,3978
46,4090
46,4230
46,4404
46,4434
46,4463
46,4494
46,4524
46,4530
46,4589
46,4732
46,4802
46,4989
46,5064
46,5083
46,5195
46,5290
46,5310
46,5367
46,5416
46,5440
46,5458
46,5600
46,5641
46,5739
46,5773
46,5822
46,5841
46,6003
46,6076
46,6155
46,6167
46,6237
46,6346
46,6480
46,6529
46,6565
46,6616
46,6700
46,6738
46,6840
46,6909
46,7096
46,7139
46,7158
46,7166
46,7197
46,7241
46,7551
46,7684
46,7805
46,7823
46,7893
46,7897
46,7945
46,7961
46,7977
46,8334
46,8451
46,8586
46,8636
46,8881
46,8924
46,9037
46,9049
46,9101
46,9141
46,9178
46,9283
46,9425
46,9431
46,9491
46,9533
46,9569
46,9763
46,9880
46,9914
46,9918
46,9951
46,9965
46,10071
46,10132
46,10211
46,10308
46,10344
46,10441
46,10452
46,10461
46,10488
46,10499
46,10538
46,10615
46,10692
46,10762
46,10837
46,10894
46,10984
46,11041
46,11052
46,11160
46,11209
46,11220
46,11384
46,11514
46,11554
46,11658
46,11841
46,11899
46,12065
46,12120
46,12238
46,12380
46,12556
46,12559
46,12568
46,12599
46,12661
46,12732
46,12793
46,12978
46,13036
46,13038
46,13073
46,13163
46,13184
46,13193
46,13240
46,13368
46,13419
46,13583
46,13588
46,13598
46,13608
46,13635
46,13656
46,13697
46,13744
46,13787
46,13947
46,13968
46,14011
46,14025
46,14147
46,14149
46,14156
46,14243
46,14282
46,14363
46,14659
46,14709
46,14770
46,14875
46,14881
46,14896
46,14927
46,15049
46,15069
46,15330
46,15442
46,15519
46,15548
46,15681
46,15726
46,15737
46,15749
46,15824
46,15837
46,15891
46,16080
46,16141
46,16147
46,16213
46,16231
46,16304
46,16341
46,16424
46,16465
46,16514
46,16573
46,16649
46,16690
46,16916
46,16970
46,16987
46,17001
46,17168
46,17173
46,17210
46,17245
46,17379
46,17392
46,17393
46,17428
46,17483
46,17517
46,17569
46,17595
46,17610
46,17671
46,17685
46,17708
46,17749
46,17765
46,17853
46,17891
46,17935
46,17977
46,17986
46,18038
46,18064
46,18108
46,18140
46,18146
46,18151
46,18225
46,18401
46,18478
46,18957
46,19171
46,19210
46,19221
46,19261
46,19425
46,19518
46,19546
46,19760
46,19810
46,19964
46,19985
46,20045
46,20257
46,20281
46,20288
46,20338
46,20443
46,20446
46,20474
46,20520
46,20562
46,20633
46,20752
46,20963
46,21137
46,21300
46,21335
46,21360
46,21419
46,21463
46,21629
46,21687
46,21774
46,21812
46,21858
46,21978
46,22036
46,22185
46,22309
46,22341
46,22404
46,22619
46,22696
46,22739
46,22806
46,22838
46,22867
46,22869
46,22906
46,22928
46,22933
46,22969
46,22976
46,23017
46,23032
46,23065
46,23101
46,23301
46,23479
46,23493
46,23536
46,23548
46,23721
46,23792
46,23799
46,23838
46,23870
46,23927
46,24011
46,24153
46,24248
46,24290
46,24339
46,24451
46,24465
46,24564
46,24608
46,24629
46,24665
46,24692
46,24897
46,24918
46,24947
46,25122
46,25248
46,25318
46,25325
46,25489
46,25500
46,25554
46,25578
46,25618
46,25677
46,25686
46,25768
46,26029
46,26064
46,26142
46,26270
46,26317
46,26339
46,26363
46,26437
46,26782
46,26805
46,26912
46,26933
46,26981
46,27168
46,27414
46,27468
46,27486
46,27515
46,27607
46,27637
46,27742
46,27907
46,27959
46,28011
46,28062
46,28103
46,28121
46,28171
46,28200
46,28233
46,28307
46,28343
46,28347
46,28438
46,28460
46,28615
46,28771
46,28779
46,28859
46,28908
46,28934
46,28993
46,29029
46,29053
46,29061
46,29096
46,29199
46,29261
46,29292
46,29321
46,29408
47,1
47,263
47,544
47,612
47,672
47,902
47,1027
47,1101
47,1266
47,1321
47,1354
47,1412
47,1429
47,1499
47,1501
47,1572
47,1739
47,1851
47,1864
47,1952
47,2040
47,2456
47,2479
47,2731
47,2762
47,2935
47,3073
47,3086
47,3103
47,3112
47,3124
47,3194
47,3197
47,3339
47,3452
47,3492
47,3575
47,3603
47,3681
47,3712
47,3744
47,3790
47,3807
47,3814
47,3899
47,3942
47,3974
47,4023
47,4073
47,4152
47,4215
47,4229
47,4431
47,4473
47,4764
47,4840
47,5117
47,5124
47,5231
47,5250
47,5297
47,5357
47,5399
47,5424
47,5684
47,5694
47,5735
47,5762
47,5765
47,5771
47,5816
47,5900
47,5905
47,5912
47,6036
47,6232
47,6270
47,6325
47,6395
47,6399
47,6434
47,6509
47,6541
47,6554
47,6595
47,6597
47,6623
47,6831
47,7097
47,7245
47,7468
47,7588
47,7656
47,7663
47,7789
47,7812
47,7815
47,7828
47,7898
47,7995
47,8108
47,8210
47,8246
47,8351
47,8428
47,8655
47,8902
47,9075
47,9076
47,9133
47,9174
47,9330
47,9437
47,9445
47,9469
47,9518
47,9665
47,9687
47,9777
47,10090
47,10111
47,10205
47,10279
47,10302
47,10384
47,10386
47,10570
47,10656
47,10725
47,10813
47,10883
47,10917
47,10926
47,11125
47,11206
47,11227
47,11306
47,11355
47,11437
47,11564
47,11734
47,11851
47,11857
47,11940
47,11947
47,12074
47,12187
47,12314
47,12443
47,12519
47,12576
47,12584
47,12594
47,12596
47,12695
47,12758
47,12776
