layer,neuron
46,21
46,46
46,129
46,136
46,146
46,177
46,186
46,281
46,424
46,464
46,593
46,632
46,634
46,638
46,686
46,713
46,920
46,1021
46,1051
46,1080
46,1088
46,1095
46,1155
46,1265
46,1288
46,1373
46,1400
46,1403
46,1433
46,1467
46,1480
46,1542
46,1554
46,1686
46,1707
46,1713
46,1737
46,1781
46,1782
46,1918
46,1921
46,1954
46,1991
46,2020
46,2027
46,2065
46,2069
46,2089
46,2104
46,2108
46,2113
46,2147
46,2230
46,2310
46,2333
46,2400
46,2433
46,2481
46,2554
46,2633
46,2666
46,2676
46,2687
46,2727
46,2745
46,2788
46,2789
46,2807
46,2871
46,3026
46,3052
46,3090
46,3121
46,3236
46,3304
46,3323
46,3354
46,3357
46,3387
46,3497
46,3570
46,3576
46,3634
46,3646
46,3647
46,3653
46,3692
46,3764
46,3782
46,3799
46,3824
46,3875
46,3929
46,3930
46,3953
46,3991
46,4024
46,4033
46,4040
46,4082
46,4159
46,4209
46,4307
46,4338
46,4403
46,4407
46,4411
46,4421
46,4423
46,4489
46,4544
46,4691
46,4745
46,4804
46,4849
46,4917
46,4919
46,4929
46,4962
46,4990
46,5167
46,5256
46,5265
46,5417
46,5493
46,5502
46,5602
46,5638
46,5731
46,5778
46,5887
46,5899
46,5939
46,5995
46,6014
46,6045
46,6053
46,6081
46,6135
46,6172
46,6182
46,6204
46,6216
46,6274
46,6419
46,6434
46,6576
46,6620
46,6756
46,6785
46,6797
46,6803
46,6806
46,6846
46,6896
46,6908
46,6915
46,6935
46,6948
46,6964
46,7027
46,7044
46,7047
46,7062
46,7085
46,7111
46,7142
46,7188
46,7199
46,7200
46,7242
46,7300
46,7389
46,7449
46,7479
46,7516
46,7566
46,7582
46,7585
46,7588
46,7601
46,7652
46,7687
46,7702
46,7720
46,7724
46,7777
46,7889
46,7932
46,8055
46,8070
46,8105
46,8111
46,8175
46,8195
46,8218
46,8236
46,8249
46,8270
46,8276
46,8330
46,8360
46,8381
46,8402
46,8415
46,8422
46,8464
46,8590
46,8619
46,8695
46,8719
46,8739
46,8747
46,8764
46,8814
46,8817
46,8835
46,8837
46,8868
46,8871
46,8900
46,8929
46,8978
46,8987
46,8988
46,9029
46,9096
46,9134
46,9136
46,9170
46,9175
46,9236
46,9287
46,9311
46,9317
46,9339
46,9369
46,9437
46,9468
46,9473
46,9501
46,9517
46,9523
46,9565
46,9589
46,9619
46,9623
46,9633
46,9634
46,9687
46,9710
46,9799
46,9872
46,9887
46,9902
46,9977
46,10007
46,10027
46,10117
46,10135
46,10191
46,10264
46,10285
46,10314
46,10398
46,10410
46,10573
46,10585
46,10623
46,10641
46,10650
46,10673
46,10724
46,10760
46,10775
46,10832
46,10864
46,10879
46,10971
46,10986
46,11083
46,11116
46,11178
46,11207
46,11338
46,11428
46,11457
46,11478
46,11492
46,11570
46,11632
46,11649
46,11722
46,11747
46,11824
46,11838
46,11845
46,11857
46,11858
46,11990
46,12026
46,12050
46,12062
46,12134
46,12228
46,12268
46,12323
46,12367
46,12389
46,12442
46,12458
46,12488
46,12489
46,12493
46,12516
46,12553
46,12587
46,12639
46,12665
46,12695
46,12741
46,12780
46,12839
46,12991
46,12998
46,13014
46,13018
46,13033
46,13082
46,13146
46,13188
46,13217
46,13266
46,13282
46,13312
46,13562
46,13612
46,13693
46,13721
46,13841
46,13853
46,13881
46,13935
46,13980
46,14053
46,14091
46,14126
46,14139
46,14198
46,14273
46,14325
46,14357
46,14383
46,14459
46,14522
46,14525
46,14570
46,14584
46,14597
46,14681
46,14717
46,14767
46,14842
46,14961
46,15098
46,15119
46,15190
46,15206
46,15225
46,15291
46,15347
46,15369
46,15485
46,15514
46,15572
46,15590
46,15656
46,15683
46,15686
46,15699
46,15719
46,15764
46,15793
46,15843
46,15889
46,16040
46,16060
46,16077
46,16101
46,16165
46,16170
46,16175
46,16206
46,16279
46,16290
46,16297
46,16344
46,16362
46,16416
46,16477
46,16532
46,16539
46,16601
46,16615
46,16749
46,16757
46,16769
46,16784
46,16809
46,16836
46,16860
46,16893
46,16909
46,16926
46,16946
46,16999
46,17070
46,17108
46,17128
46,17155
46,17237
46,17241
46,17274
46,17319
46,17331
46,17340
46,17405
46,17484
46,17508
46,17590
46,17641
46,17644
46,17658
46,17663
46,17674
46,17687
46,17731
46,17770
46,17776
46,17818
46,17957
46,17962
46,18032
46,18090
46,18096
46,18119
46,18130
46,18167
46,18195
46,18208
46,18234
46,18243
46,18300
46,18408
46,18416
46,18532
46,18598
46,18646
46,18754
46,18775
46,18794
46,18797
46,18799
46,18857
46,18866
46,18920
46,18949
46,19155
46,19190
46,19192
46,19246
46,19253
46,19273
46,19289
46,19297
46,19328
46,19376
46,19408
46,19436
46,19486
46,19517
46,19561
46,19578
46,19592
46,19611
46,19661
46,19689
46,19712
46,19716
46,19761
46,19821
46,19852
46,19853
46,19871
46,19888
46,19902
46,19904
46,19905
46,19973
46,20014
46,20019
46,20065
46,20068
46,20074
46,20124
46,20159
46,20175
46,20181
46,20198
46,20211
46,20244
46,20273
46,20286
46,20337
46,20353
46,20371
46,20394
46,20411
46,20413
46,20445
46,20461
46,20494
46,20502
46,20508
46,20524
46,20526
46,20555
46,20648
46,20668
46,20671
46,20680
46,20718
46,20821
46,20825
46,20870
46,20985
46,21017
46,21098
46,21111
46,21119
46,21130
46,21134
46,21165
46,21172
46,21177
46,21185
46,21207
46,21220
46,21287
46,21290
46,21296
46,21322
46,21348
46,21425
46,21456
46,21673
46,21787
46,21819
46,21824
46,21871
46,21891
46,21904
46,22019
46,22075
46,22080
46,22101
46,22226
46,22237
46,22254
46,22260
46,22268
46,22289
46,22396
46,22448
46,22535
46,22641
