layer,neuron
24,8243
24,10821
24,19144
24,22875
24,25956
24,28890
25,1877
25,3383
25,5658
25,5836
25,9631
25,23662
25,26273
25,26662
26,2894
26,3022
26,7434
26,9428
26,11091
26,11657
26,14947
26,17421
26,17815
26,18298
26,19973
26,20788
26,23617
26,25320
26,25610
26,26210
26,27436
26,28037
26,28469
27,318
27,686
27,1956
27,3107
27,3168
27,3715
27,3736
27,3780
27,4724
27,4903
27,5140
27,6402
27,7572
27,10422
27,10458
27,10552
27,11245
27,12018
27,13419
27,13459
27,13583
27,13814
27,13879
27,14288
27,14857
27,15525
27,16095
27,16390
27,16997
27,17370
27,18216
27,19190
27,19327
27,19497
27,19692
27,19994
27,20234
27,20498
27,20709
27,22194
27,23170
27,23276
27,23477
27,24853
27,26580
27,27174
27,27350
27,27645
27,29457
28,459
28,811
28,1061
28,1132
28,1255
28,1387
28,1571
28,1897
28,1905
28,2536
28,3129
28,4032
28,4721
28,4752
28,4828
28,4972
28,5664
28,5668
28,5740
28,6102
28,6138
28,6315
28,7014
28,7202
28,7305
28,7616
28,7708
28,9798
28,10022
28,10490
28,11418
28,11530
28,12015
28,12239
28,12246
28,12622
28,12723
28,13009
28,13021
28,13030
28,13776
28,13778
28,14576
28,15734
28,15970
28,16495
28,17910
28,18071
28,18548
28,18845
28,19093
28,19144
28,19501
28,20290
28,20781
28,21005
28,21923
28,22723
28,23274
28,23388
28,23499
28,23937
28,25192
28,26720
28,27035
28,27312
28,28585
28,29127
28,29176
29,308
29,408
29,785
29,1271
29,1353
29,1745
29,2019
29,2637
29,2820
29,3039
29,3665
29,4557
29,5054
29,5061
29,5118
29,5139
29,5172
29,5928
29,6125
29,7224
29,8111
29,8454
29,8614
29,8666
29,8962
29,9368
29,9699
29,9829
29,9938
29,10447
29,10996
29,12480
29,12500
29,12753
29,13140
29,13149
29,13614
29,13786
29,13811
29,14070
29,14104
29,14307
29,14818
29,14860
29,14995
29,15042
29,15338
29,15758
29,16050
29,16577
29,16999
29,17196
29,17197
29,17280
29,17563
29,17693
29,18109
29,18470
29,18519
29,18582
29,18670
29,18720
29,18890
29,19227
29,19538
29,19671
29,20271
29,20313
29,21037
29,21078
29,22306
29,22581
29,22601
29,22611
29,22796
29,22839
29,23195
29,23312
29,23619
29,23744
29,23813
29,23891
29,25369
29,26000
29,26526
29,26942
29,27737
29,27902
29,27920
29,27937
29,28038
29,28299
29,28437
29,28636
29,29305
29,29456
30,113
30,270
30,718
30,766
30,918
30,982
30,1029
30,1165
30,1329
30,1391
30,1424
30,1470
30,1523
30,1937
30,1984
30,2121
30,2126
30,2312
30,2319
30,2906
30,4265
30,4283
30,4303
30,4486
30,4581
30,4753
30,4802
30,5171
30,5937
30,6523
30,6600
30,6723
30,6912
30,6923
30,7702
30,7726
30,7740
30,7787
30,7797
30,8158
30,8251
30,8441
30,8457
30,8462
30,8985
30,9045
30,9105
30,9170
30,9172
30,9262
30,9406
30,9562
30,9690
30,9733
30,10171
30,10343
30,10609
30,10620
30,10724
30,10780
30,11159
30,11284
30,11301
30,11516
30,12100
30,12168
30,12218
30,12277
30,12284
30,12924
30,13019
30,13040
30,13162
30,13190
30,13225
30,13694
30,13894
30,13942
30,14178
30,14662
30,15372
30,15704
30,15732
30,15792
30,16225
30,16260
30,16311
30,16490
30,16659
30,16712
30,16970
30,17011
30,17082
30,18041
30,18187
30,18326
30,18367
30,18370
30,18573
30,18661
30,18867
30,19164
30,19454
30,19720
30,19797
30,19843
30,19844
30,19959
30,19986
30,20095
30,20310
30,20335
30,20636
30,20644
30,20652
30,20731
30,20856
30,21022
30,21164
30,21806
30,21850
30,21886
30,21942
30,21955
30,22287
30,22546
30,22645
30,22981
30,23171
30,23312
30,23329
30,23441
30,23649
30,23712
30,23806
30,23906
30,23912
30,24145
30,24268
30,24371
30,24443
30,24445
30,24551
30,24615
30,24906
30,25740
30,25763
30,25819
30,25885
30,25955
30,26032
30,26333
30,26461
30,26919
30,26924
30,26964
30,27328
30,27438
30,27551
30,27674
30,27690
30,28180
30,28192
30,28314
30,28332
30,28337
30,28379
30,28415
30,28445
30,28637
30,28804
30,28969
30,29235
31,108
31,149
31,177
31,183
31,184
31,502
31,626
31,781
31,1037
31,1259
31,1378
31,1461
31,1535
31,1569
31,1647
31,1681
31,1933
31,2017
31,2089
31,2248
31,2296
31,2384
31,2615
31,2626
31,2696
31,2767
31,2780
31,2854
31,2923
31,3081
31,3284
31,3317
31,3395
31,3556
31,3729
31,4083
31,4833
31,4977
31,5009
31,5148
31,5227
31,5275
31,5369
31,5439
31,5497
31,5861
31,6139
31,6216
31,6307
31,6415
31,6439
31,6488
31,6511
31,6630
31,6904
31,6968
31,7020
31,7021
31,7023
31,7179
31,7181
31,7377
31,7642
31,7665
31,8003
31,8096
31,8278
31,8301
31,8338
31,8351
31,8490
31,8894
31,8933
31,8938
31,8946
31,8960
31,8971
31,9011
31,9069
31,9385
31,9600
31,9815
31,9884
31,9912
31,10623
31,10644
31,10675
31,10763
31,10832
31,10834
31,10889
31,11023
31,11100
31,11189
31,11266
31,11397
31,11578
31,11948
31,12159
31,12193
31,12215
31,12869
31,13047
31,13138
31,13462
31,13573
31,13652
31,13886
31,13916
31,13943
31,13949
31,13974
31,14108
31,14130
31,14160
31,14565
31,14823
31,14858
31,14912
31,15204
31,15275
31,15624
31,15717
31,15760
31,15788
31,15839
31,15907
31,15960
31,15987
31,16228
31,16299
31,16543
31,16578
31,16974
31,16989
31,17316
31,17475
31,17547
31,17553
31,17620
31,17716
31,17929
31,18027
31,18139
31,18186
31,18197
31,18409
31,18574
31,18591
31,18762
31,18767
31,18794
31,18989
31,19008
31,19285
31,19456
31,19571
31,19677
31,19715
31,19781
31,19952
31,19958
31,20076
31,20213
31,20567
31,20734
31,20743
31,20822
31,21046
31,21088
31,21090
31,21138
31,21222
31,21326
31,21480
31,21522
31,21593
31,21842
31,21868
31,21941
31,22053
31,22268
31,22342
31,22357
31,22686
31,23117
31,23175
31,23185
31,23261
31,23579
31,23682
31,23754
31,24115
31,24604
31,24702
31,24747
31,24844
31,25149
31,25330
31,25337
31,25440
31,25497
31,25757
31,25839
31,25866
31,25927
31,26021
31,26063
31,26289
31,26350
31,26607
31,26877
31,26902
31,27022
31,27332
31,27357
31,27446
31,27465
31,27528
31,27538
31,27610
31,27644
31,27745
31,27851
31,28040
31,28139
31,28340
31,28493
31,28565
31,28613
31,28779
31,29001
31,29003
31,29009
31,29062
31,29132
31,29191
31,29353
32,250
32,285
32,301
32,386
32,562
32,668
32,958
32,970
32,984
32,1014
32,1203
32,1248
32,1420
32,1469
32,1550
32,1828
32,1860
32,1863
