layer,condition,activation_rate_mean_act,activation_rate_per_q,threshold
46,neutral,12.29,13.039,0.1702
46,money,11.945,12.395,0.1702
46,reward,12.744,13.752,0.1702
47,neutral,12.084,12.801,0.1573
47,money,10.62,11.026,0.1573
47,reward,11.343,12.168,0.1573
48,neutral,12.503,13.274,0.184
48,money,11.966,12.443,0.184
48,reward,11.817,12.492,0.184
49,neutral,12.365,13.066,0.1691
49,money,11.996,12.297,0.1691
49,reward,12.25,12.883,0.1691
50,neutral,12.219,12.894,0.1962
50,money,12.838,13.215,0.1962
50,reward,12.5,13.234,0.1962
51,neutral,12.226,12.864,0.1592
51,money,11.117,11.524,0.1592
51,reward,11.387,12.07,0.1592
52,neutral,11.952,12.588,0.1512
52,money,10.751,11.177,0.1512
52,reward,10.88,11.526,0.1512
53,neutral,11.279,11.944,0.1499
53,money,10.122,10.551,0.1499
53,reward,10.42,11.101,0.1499
