layer,neuron
46,46
46,129
46,593
46,713
46,1954
46,2104
46,2147
46,2400
46,2788
46,3387
46,3764
46,4040
46,4411
46,4691
46,6053
46,6419
46,6434
46,6806
46,8871
46,8978
46,8987
46,9096
46,9634
46,10650
46,10864
46,11722
46,12489
46,12516
46,12780
46,12998
46,13188
46,14053
46,14525
46,15572
46,15686
46,16040
46,16999
46,17128
46,17319
46,17674
46,17957
46,18090
46,18794
46,19190
46,19436
46,19592
46,19871
46,19905
46,20175
46,20353
46,20461
46,20680
46,21017
46,21111
46,21185
46,21207
46,21290
46,22535
46,22951
46,23585
46,23834
46,23985
46,24322
46,24464
46,24647
46,25532
46,25788
46,26473
46,27093
46,27582
46,28054
46,28260
47,124
47,358
47,1210
47,1275
47,1458
47,1814
47,2257
47,2377
47,2506
47,2667
47,2756
47,2913
47,3559
47,3887
47,4185
47,4366
47,4425
47,4836
47,5681
47,5820
47,5893
47,5906
47,6155
47,6216
47,6346
47,6596
47,6631
47,6769
47,6810
47,6968
47,7364
47,7379
47,7723
47,7922
47,7999
47,8497
47,8764
47,9045
47,9187
47,9573
47,9755
47,10163
47,10245
47,10288
47,10457
47,11069
47,11175
47,11666
47,11699
47,12185
47,12253
47,13017
47,13036
47,13494
47,13821
47,14098
47,14240
47,14442
47,14450
47,14457
47,14671
47,15053
47,15441
47,16299
47,16614
47,17911
47,18750
47,18838
47,19086
47,19112
47,19148
47,19301
47,19461
47,20080
47,21049
47,21082
47,21890
47,21955
47,22048
47,22161
47,22363
47,22444
47,22544
47,22901
47,23619
47,23849
47,23871
47,23959
47,24249
47,24395
47,24954
47,24989
47,25282
47,25457
47,25481
47,25616
47,25882
47,26772
47,26773
47,26986
47,27816
47,27901
47,27985
47,27986
47,28025
47,28466
47,28909
47,29192
48,306
48,331
48,397
48,724
48,847
48,1028
48,1406
48,1456
48,1965
48,2381
48,2647
48,2743
48,2950
48,3487
48,3605
48,3961
48,4021
48,4355
48,4356
48,5560
48,5591
48,6018
48,6400
48,6637
48,6744
48,6795
48,6939
48,7280
48,7316
48,7476
48,7533
48,7682
48,7697
48,8205
48,8267
48,9366
48,9743
48,9923
48,10648
48,10988
48,11171
48,11581
48,11618
48,11689
48,11734
48,11986
48,12400
48,12453
48,12722
48,12745
