layer,neuron
46,46
46,129
46,464
46,593
46,713
46,841
46,1088
46,1373
46,1476
46,1954
46,1964
46,2104
46,2147
46,2400
46,2571
46,2661
46,2788
46,3121
46,3371
46,3387
46,3692
46,3764
46,3930
46,4040
46,4411
46,4691
46,5416
46,6053
46,6346
46,6419
46,6434
46,6620
46,6756
46,6806
46,7200
46,7242
46,7300
46,7687
46,8636
46,8814
46,8871
46,8881
46,8978
46,8987
46,9096
46,9431
46,9533
46,9569
46,9589
46,9634
46,9951
46,10585
46,10641
46,10650
46,10673
46,10864
46,10984
46,11220
46,11570
46,11722
46,12238
46,12489
46,12516
46,12695
46,12780
46,12998
46,13014
46,13038
46,13163
46,13188
46,13608
46,13693
46,13968
46,14053
46,14147
46,14149
46,14156
46,14363
46,14525
46,14659
46,14842
46,15049
46,15098
46,15572
46,15686
46,15749
46,15824
46,16040
46,16279
46,16999
46,17128
46,17210
46,17319
46,17379
46,17674
46,17708
46,17731
46,17957
46,18090
46,18794
46,18797
46,19190
46,19436
46,19546
46,19578
46,19592
46,19611
46,19761
46,19871
46,19905
46,20175
46,20353
46,20394
46,20461
46,20680
46,21017
46,21111
46,21185
46,21207
46,21290
46,21858
46,22341
46,22535
46,22772
46,22906
46,22951
46,23110
46,23492
46,23585
46,23834
46,23870
46,23985
46,24248
46,24322
46,24464
46,24647
46,25204
46,25315
46,25532
46,25554
46,25788
46,26473
46,26718
46,26993
46,27093
46,27414
46,27582
46,27742
46,28054
46,28260
46,29139
46,29227
47,124
47,136
47,147
47,358
47,772
47,1210
47,1275
47,1290
47,1339
47,1342
47,1354
47,1458
47,1526
47,1723
47,1739
47,1814
47,1952
47,2257
47,2377
47,2479
47,2506
47,2623
47,2667
47,2756
47,2762
47,2913
47,3086
47,3124
47,3559
47,3887
47,4152
47,4185
47,4366
47,4425
47,4836
47,5397
47,5681
47,5694
47,5809
47,5820
47,5893
47,5900
47,5906
47,5969
47,6155
47,6216
47,6325
47,6346
47,6554
47,6596
47,6631
47,6769
47,6810
47,6893
47,6968
47,7364
47,7379
47,7723
47,7828
47,7922
47,7999
47,8108
47,8246
47,8497
47,8764
47,9039
47,9045
47,9096
47,9108
47,9187
47,9573
47,9665
47,9735
47,9755
47,9817
47,10051
47,10111
47,10163
