layer,neuron
46,21
46,46
46,91
46,111
46,128
46,129
46,136
46,177
46,253
46,281
46,358
46,420
46,464
46,550
46,593
46,632
46,638
46,713
46,820
46,833
46,841
46,949
46,960
46,1005
46,1080
46,1084
46,1088
46,1092
46,1095
46,1155
46,1213
46,1230
46,1263
46,1273
46,1288
46,1367
46,1373
46,1467
46,1476
46,1480
46,1501
46,1554
46,1644
46,1648
46,1707
46,1711
46,1712
46,1782
46,1809
46,1853
46,1918
46,1921
46,1951
46,1954
46,1964
46,1969
46,2020
46,2027
46,2089
46,2093
46,2099
46,2104
46,2147
46,2287
46,2333
46,2368
46,2400
46,2437
46,2441
46,2462
46,2486
46,2493
46,2530
46,2562
46,2571
46,2643
46,2661
46,2666
46,2678
46,2687
46,2734
46,2745
46,2788
46,2789
46,2858
46,2871
46,2912
46,2958
46,2962
46,3010
46,3090
46,3121
46,3163
46,3172
46,3366
46,3371
46,3387
46,3452
46,3489
46,3537
46,3561
46,3563
46,3574
46,3576
46,3646
46,3647
46,3692
46,3764
46,3782
46,3799
46,3875
46,3930
46,3953
46,3978
46,3991
46,4024
46,4033
46,4040
46,4082
46,4090
46,4230
46,4338
46,4404
46,4411
46,4434
46,4463
46,4494
46,4524
46,4530
46,4589
46,4691
46,4732
46,4745
46,4802
46,4849
46,4919
46,4989
46,5064
46,5083
46,5167
46,5195
46,5290
46,5310
46,5367
46,5416
46,5440
46,5458
46,5493
46,5600
46,5602
46,5641
46,5731
46,5739
46,5773
46,5822
46,5841
46,5899
46,5995
46,6003
46,6045
46,6053
46,6076
46,6081
46,6155
46,6167
46,6172
46,6204
46,6237
46,6346
46,6419
46,6434
46,6480
46,6529
46,6565
46,6616
46,6620
46,6700
46,6738
46,6756
46,6803
46,6806
46,6840
46,6846
46,6896
46,6908
46,6909
46,6935
46,6948
46,6964
46,7027
46,7047
46,7085
46,7096
46,7111
46,7139
46,7158
46,7166
46,7197
46,7200
46,7241
46,7242
46,7300
46,7479
46,7516
46,7551
46,7566
46,7585
46,7588
46,7684
46,7687
46,7777
46,7805
46,7823
46,7893
46,7897
46,7932
46,7945
46,7961
46,7977
46,8070
46,8175
46,8195
46,8330
46,8334
46,8381
46,8451
46,8586
46,8619
46,8636
46,8695
46,8739
46,8764
46,8814
46,8817
46,8868
46,8871
46,8881
46,8924
46,8978
46,8987
46,9037
46,9049
46,9096
46,9101
46,9134
46,9136
46,9141
46,9175
46,9178
46,9283
46,9311
46,9425
46,9431
46,9437
46,9468
46,9491
46,9517
46,9533
46,9565
46,9569
46,9589
46,9634
46,9710
46,9763
46,9799
46,9880
46,9902
46,9914
46,9918
46,9951
46,9965
46,10071
46,10132
46,10211
46,10308
46,10344
46,10410
46,10441
46,10452
46,10461
46,10488
46,10499
46,10538
46,10573
46,10585
46,10615
46,10641
46,10650
46,10673
46,10692
46,10724
46,10762
46,10837
46,10864
46,10894
46,10984
46,11041
46,11052
46,11083
46,11116
46,11160
46,11209
46,11220
46,11338
46,11384
46,11478
46,11514
46,11554
46,11570
46,11632
46,11658
46,11722
46,11747
46,11838
46,11841
46,11857
46,11899
46,11990
46,12065
46,12120
46,12134
46,12228
46,12238
46,12323
46,12380
46,12458
46,12488
46,12489
46,12516
46,12556
46,12559
46,12568
46,12599
46,12661
46,12695
46,12732
46,12780
46,12793
46,12839
46,12978
46,12998
46,13014
46,13018
46,13036
46,13038
46,13073
46,13163
46,13184
46,13188
46,13193
46,13217
46,13240
46,13266
46,13282
46,13312
46,13368
46,13419
46,13583
46,13588
46,13598
46,13608
46,13635
46,13656
46,13693
46,13697
46,13744
46,13787
46,13853
46,13881
46,13935
46,13947
46,13968
46,14011
46,14025
46,14053
46,14139
46,14147
46,14149
46,14156
46,14243
46,14282
46,14357
46,14363
46,14525
46,14597
46,14659
46,14681
46,14709
46,14767
46,14770
46,14842
46,14875
46,14881
46,14896
46,14927
46,15049
46,15069
46,15098
46,15119
46,15206
46,15225
46,15291
46,15330
46,15442
46,15519
46,15548
46,15572
46,15590
46,15656
46,15681
46,15686
46,15719
46,15726
46,15737
46,15749
46,15824
46,15837
46,15843
46,15891
46,16040
46,16080
46,16141
46,16147
46,16165
46,16206
46,16213
46,16231
46,16279
46,16290
46,16304
46,16341
46,16344
46,16416
46,16424
46,16465
46,16514
46,16573
46,16615
46,16649
46,16690
46,16757
46,16809
46,16916
46,16970
46,16987
46,16999
46,17001
46,17070
46,17128
46,17168
46,17173
46,17210
46,17241
46,17245
46,17274
46,17319
46,17331
46,17340
46,17379
46,17392
46,17393
46,17405
46,17428
46,17483
46,17517
46,17569
46,17595
46,17610
46,17644
46,17658
46,17663
46,17671
46,17674
46,17685
46,17708
46,17731
46,17749
46,17765
46,17776
46,17818
46,17853
46,17891
46,17935
46,17957
46,17962
46,17977
46,17986
46,18032
46,18038
46,18064
46,18090
46,18096
46,18108
46,18119
46,18140
46,18146
46,18151
46,18225
46,18243
46,18300
46,18401
46,18416
46,18478
46,18532
46,18598
46,18794
46,18797
46,18866
46,18920
46,18949
46,18957
46,19171
46,19190
46,19210
46,19221
46,19246
46,19261
46,19328
46,19376
46,19425
46,19436
46,19517
46,19518
46,19546
46,19561
46,19578
46,19592
46,19611
46,19661
46,19760
46,19761
46,19810
46,19871
46,19902
46,19905
46,19964
46,19973
46,19985
46,20014
46,20019
46,20045
46,20065
46,20074
46,20124
46,20175
46,20181
46,20198
46,20211
46,20244
46,20257
46,20273
46,20281
46,20286
46,20288
46,20338
46,20353
46,20371
46,20394
46,20411
46,20443
46,20446
46,20461
46,20474
46,20520
46,20562
46,20633
46,20680
46,20752
46,20821
46,20963
46,21017
46,21111
46,21137
46,21165
46,21172
46,21185
46,21207
