layer,neuron
24,10821
24,19144
24,28890
25,5658
25,5836
25,9631
25,23662
25,26273
25,26662
26,7434
26,9428
26,11657
26,17815
26,19973
26,28037
26,28469
27,7572
27,10422
27,10458
27,12018
27,14857
27,15525
27,18216
27,19190
27,19327
27,19497
27,20234
27,20709
27,22194
27,23170
27,23276
27,24853
27,26580
27,27174
27,27645
27,29457
28,459
28,1061
28,1132
28,1387
28,1897
28,2536
28,3129
28,4752
28,4828
28,5740
28,6102
28,7202
28,7616
28,9798
28,11418
28,12239
28,13021
28,13030
28,16495
28,18845
28,19093
28,20290
28,20781
28,21005
28,22723
28,23274
28,27312
29,308
29,1271
29,1353
29,3665
29,5061
29,5172
29,6125
29,7224
29,8454
29,8666
29,9368
29,9699
29,9829
29,10447
29,12480
29,13140
29,13786
29,13811
29,14070
29,14104
29,14995
29,15338
29,16050
29,16577
29,17280
29,17563
29,18582
29,18720
29,18890
29,19227
29,19538
29,20313
29,22601
29,22611
29,23619
29,25369
29,26000
29,26942
29,27902
29,27920
29,27937
29,28299
29,28437
29,28636
30,1029
30,1523
30,1937
30,1984
30,2126
30,2319
30,2906
30,4303
30,4581
30,5171
30,5937
30,6723
30,6923
30,7797
30,8158
30,8457
30,8985
30,9172
30,9406
30,9562
30,9690
30,10171
30,10724
30,11284
30,11301
30,12100
30,12218
30,12277
30,13040
30,13225
30,13694
30,13942
30,16311
30,16659
30,16970
30,17011
30,18367
30,18370
30,18573
30,18661
30,19164
30,19454
30,19843
30,19986
30,20310
30,20335
30,20636
30,20731
30,21806
30,22287
30,23329
30,23712
30,23906
30,23912
30,24145
30,24371
30,25955
30,26032
30,26461
30,26919
30,26924
30,27551
30,27674
30,27690
30,28180
30,28637
30,28804
31,177
31,184
31,502
31,1259
31,1378
31,1535
31,1933
31,2384
31,2626
31,2923
31,3317
31,4083
31,4977
31,5009
31,5369
31,5497
31,6139
31,6216
31,6630
31,6904
31,7023
31,7181
31,7642
31,7665
31,8278
31,8351
31,8894
31,8938
31,8946
31,9011
31,9815
31,10644
31,10763
31,11023
31,11100
31,11189
31,11397
31,11578
31,12215
31,13047
31,13573
31,14108
31,14130
31,14565
31,14823
31,14858
31,15788
31,15907
31,15987
31,16228
31,16299
31,16543
31,16578
31,16989
31,17553
31,17620
31,17929
31,18027
31,18139
31,18197
31,18409
31,18574
31,18591
31,18762
31,18989
31,19571
31,19677
31,19781
31,19958
31,20076
31,23754
31,24115
31,24747
31,25149
31,25337
31,25927
31,26063
31,26607
31,26902
31,27022
31,27538
31,27851
31,28139
31,28340
31,28493
31,28565
31,29003
31,29132
31,29353
32,285
32,970
32,984
32,1420
32,1469
32,1860
32,1977
32,2288
32,3458
32,3810
32,4114
32,4152
32,4969
32,5408
32,5769
32,6250
32,7094
32,7278
32,7826
32,8271
32,8327
32,8457
32,8788
32,8969
32,9079
32,10043
32,10138
32,10453
32,10474
32,10897
32,11124
32,11461
32,11508
32,11531
32,11802
32,12262
32,12427
32,12703
32,12804
32,13153
32,13637
32,13662
32,13840
32,13939
32,14351
32,14871
32,14986
32,15046
32,15350
32,15963
32,16191
32,16313
32,16419
32,16446
32,16657
32,17315
32,17481
32,17566
32,17629
32,17709
32,17850
32,18357
32,18808
32,19289
32,19625
32,19637
32,19770
32,20091
32,20425
32,20452
32,20633
32,20821
32,21588
32,21797
32,22040
32,23035
32,23065
32,23693
32,24314
32,24501
32,24541
32,24932
32,24936
32,25553
32,25781
32,26361
32,26905
32,27326
32,27479
32,27611
32,27837
32,27860
32,28201
32,28435
32,28463
32,28880
32,28917
32,29135
32,29196
33,85
33,279
33,344
33,785
33,1189
33,1238
33,1447
33,1538
33,1552
33,2588
33,2646
33,2839
33,2958
33,3135
33,3272
33,3432
33,3673
33,3701
33,4143
33,4232
33,4502
33,4819
33,4883
33,4938
33,5297
33,5335
33,5353
33,5423
33,5479
33,5637
33,5671
33,6106
33,6259
33,6434
33,6632
33,6767
33,7098
33,7192
33,7271
33,7393
33,7716
33,8102
33,8344
33,8492
33,8525
33,8713
33,8746
33,9178
33,9652
33,9914
33,10019
33,10199
33,10285
33,10439
33,10684
33,11150
33,11210
33,11236
33,11443
33,11575
33,11682
33,11739
33,12870
33,13014
33,13566
33,13570
33,13683
33,13763
33,13792
33,13923
33,14039
33,14599
33,15493
33,15529
33,15685
33,15954
33,15959
33,16062
33,16299
33,16316
33,16432
33,17071
33,17414
33,17644
33,18292
33,18469
33,18475
33,18845
33,18993
33,19042
33,19499
33,19935
33,20100
33,20366
33,20588
33,20719
33,21292
