layer,neuron
4,2034
4,3200
4,10408
4,11941
4,12193
4,12829
4,14384
4,15161
4,15592
4,15893
4,17163
4,18771
5,880
5,2671
5,3139
5,4385
5,5909
5,6044
5,6215
5,8670
5,9388
5,9995
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,16546
5,16667
6,0
6,105
6,240
6,412
6,649
6,777
6,816
6,1393
6,1473
6,2095
6,2486
6,2521
6,2834
6,2927
6,3367
6,3470
6,3943
6,3971
6,4612
6,4845
6,4947
6,5492
6,5768
6,5915
6,5956
6,6125
6,6476
6,6495
6,6714
6,6821
6,6883
6,7197
6,7482
6,7601
6,7867
6,7962
6,8066
6,8194
6,8459
6,8489
6,8698
6,8985
6,9322
6,9386
6,9795
6,10091
6,10103
6,10151
6,10179
6,10248
6,10459
6,10551
6,10990
6,11440
6,12198
6,12324
6,12342
6,12420
6,12607
6,12649
6,12908
6,13041
6,13195
6,13327
6,13382
6,14195
6,14526
6,14724
6,14782
6,14850
6,14904
6,15028
6,15293
6,15367
6,16323
6,16378
6,16512
6,17657
6,17659
6,17679
6,17815
6,17859
6,18525
6,18623
6,18631
6,18789
6,18852
7,166
7,341
7,435
7,473
7,651
7,737
7,969
7,974
7,1009
7,1170
7,1422
7,1444
7,1558
7,1847
7,1953
7,2061
7,2128
7,2156
7,2294
7,2727
7,2775
7,3039
7,3087
7,3122
7,3252
7,3329
7,3437
7,3500
7,3509
7,3791
7,3865
7,3936
7,4668
7,4877
7,5166
7,5184
7,5430
7,5459
7,5771
7,5791
7,5847
7,5850
7,5853
7,5896
7,6078
7,6405
7,6730
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7375
7,7460
7,7631
7,7678
7,7854
7,8010
7,8468
7,8861
7,9005
7,9199
7,9227
7,9396
7,9449
7,9489
7,9606
7,9709
7,9773
7,10185
7,10647
7,10822
7,11064
7,11145
7,11298
7,12003
7,12072
7,12240
7,12276
7,12433
7,12453
7,12575
7,12629
7,12686
7,12889
7,13463
7,13483
7,13592
7,13870
7,14011
7,14281
7,14376
7,14604
7,14630
7,14680
7,14707
7,14738
7,14742
7,15043
7,15047
7,15173
7,15392
7,15638
7,15663
7,15671
7,15882
7,16095
7,16174
7,16198
7,16233
7,16343
7,16422
7,16503
7,16686
7,16825
7,16827
7,17037
7,17165
7,17449
7,17680
7,18219
7,18252
7,18295
7,18346
7,18395
7,18794
8,0
8,43
8,60
8,181
8,218
8,480
8,496
8,668
8,687
8,714
8,717
8,727
8,742
8,806
8,909
8,956
8,970
8,1143
8,1153
8,1197
8,1267
8,1388
8,1414
8,1426
8,1467
8,1517
8,1549
8,1564
8,1583
8,1812
8,1838
8,1902
8,1948
8,2040
8,2057
8,2180
8,2223
8,2227
8,2241
8,2270
8,2293
8,2387
8,2418
8,2563
8,2842
8,2998
8,3073
8,3156
8,3235
8,3307
8,3321
8,3346
8,3418
8,3477
8,3484
8,3525
8,3761
8,3782
8,3926
8,3946
8,4001
8,4017
8,4027
8,4124
8,4209
8,4261
8,4300
8,4309
8,4324
8,4329
8,4473
8,4551
8,4614
8,4622
8,4631
8,4670
8,4686
8,4726
8,4735
8,4750
8,4900
8,5039
8,5169
8,5229
8,5248
8,5369
8,5546
8,5552
8,5553
8,5558
8,5584
8,5624
8,5641
8,5870
8,5905
8,5929
8,6035
8,6118
8,6121
8,6156
8,6255
8,6289
8,6378
8,6466
8,6532
8,6557
8,6676
8,6802
8,6864
8,6875
8,6979
8,7315
8,7410
8,7443
8,7473
8,7533
8,7607
8,7636
8,7724
8,7761
8,8048
8,8132
8,8208
8,8255
8,8261
8,8274
8,8352
8,8369
8,8384
8,8626
8,8689
8,8690
8,8692
8,8755
8,8794
8,8796
8,8797
8,8864
8,8876
8,8986
8,9000
8,9150
8,9186
8,9384
8,9518
8,9532
8,9571
8,9637
8,9776
8,9792
8,9912
8,9915
8,10079
8,10196
8,10289
8,10301
8,10664
8,10669
8,10702
8,10857
8,10903
8,11032
8,11111
8,11144
8,11152
8,11273
8,11311
8,11494
8,11572
8,11590
8,11594
8,11679
8,11861
8,11903
8,11910
8,11920
8,11997
8,12133
8,12172
8,12184
8,12188
8,12264
8,12311
8,12355
8,12401
8,12421
8,12522
8,12523
8,12572
8,12682
8,12709
8,12814
8,12894
8,12931
8,13044
8,13053
8,13200
8,13260
8,13579
8,13752
8,13759
8,13761
8,13884
8,13908
8,13915
8,13932
8,13980
8,13995
8,14037
8,14043
8,14237
8,14260
8,14342
8,14347
8,14361
8,14447
8,14544
8,14571
8,14649
8,14654
8,14686
8,14787
8,14988
8,15032
8,15035
8,15104
8,15218
8,15281
8,15365
8,15601
8,15707
8,15805
8,15829
8,15856
8,15931
8,16040
8,16041
8,16103
8,16216
8,16316
8,16345
8,16552
8,16555
8,16586
8,16643
8,16782
8,16784
8,16876
8,16915
8,17130
8,17280
8,17296
8,17446
8,17548
8,17599
8,17624
8,17686
8,17710
8,17819
8,17859
8,17916
8,18070
8,18120
8,18229
8,18279
8,18281
8,18312
8,18525
8,18526
8,18545
8,18581
8,18686
8,18690
8,18758
8,18764
8,18827
8,18850
9,228
9,321
9,576
9,761
9,978
9,1156
9,1179
9,1305
9,1388
9,1460
9,1543
9,1554
9,1642
9,1643
9,1653
9,1657
9,1739
9,1808
9,1913
9,2058
9,2127
9,2137
9,2165
9,2182
9,2294
9,2321
9,2466
9,2535
9,2542
9,2610
9,2669
9,2671
9,2722
9,2761
9,2791
9,2801
9,2813
9,3234
9,3285
9,3311
9,3450
9,3510
9,3655
9,3662
9,3972
9,4003
9,4122
9,4217
9,4264
9,4439
9,4448
9,4463
9,4481
9,4544
9,4583
9,4596
9,4611
9,4706
9,4739
9,4756
9,4886
9,4939
9,4941
9,4989
9,5170
9,5537
9,5760
9,5810
9,5848
9,5856
9,5897
9,5996
9,6189
9,6236
9,6254
9,6267
9,6297
9,6436
9,6539
9,6543
9,6575
9,6700
9,6873
9,6878
9,6958
9,7016
9,7122
9,7233
9,7266
9,7466
9,7556
9,7645
9,7710
9,7735
9,7836
9,7929
9,7951
9,8095
9,8106
9,8123
9,8130
9,8326
9,8404
9,8452
9,8484
9,8553
9,8712
9,8807
9,8829
9,8889
9,8991
9,9017
9,9020
9,9178
9,9227
9,9262
9,9271
9,9309
9,9310
9,9458
9,9509
9,9540
9,9696
9,9751
9,9789
9,9852
9,9886
9,9965
9,10075
9,10096
9,10178
9,10219
9,10413
9,10458
9,10463
9,10697
9,10731
9,10733
9,10773
9,10776
9,10961
9,10991
9,11071
9,11235
9,11280
9,11296
9,11347
9,11416
9,11452
9,11453
9,11473
9,11657
9,11770
9,11904
9,12013
9,12107
9,12129
9,12137
9,12169
9,12378
9,12463
9,12637
9,12699
9,12765
9,12821
9,12894
9,12962
9,13014
9,13028
9,13337
9,13348
9,13521
9,13870
9,13872
9,13880
9,13881
9,13906
9,14082
9,14150
9,14203
9,14320
9,14470
9,14710
9,14825
9,15221
9,15252
9,15360
9,15442
9,15505
9,15615
9,15720
9,15838
