layer,neuron
4,15592
5,2671
5,5909
5,11301
5,12174
5,13774
5,16546
6,1393
6,5915
6,10248
6,17859
7,435
7,2061
7,3329
7,3865
7,7170
7,18571
8,3235
8,5248
8,6118
8,6864
8,8274
8,8384
8,11152
8,11273
8,11311
8,12709
8,12814
8,12931
8,13995
8,14686
9,761
9,2542
9,2669
9,3655
9,4706
9,4739
9,6189
9,6236
9,6575
9,7466
9,7710
9,8130
9,8484
9,8807
9,9271
9,10961
9,13348
9,13601
9,13880
9,16352
9,16550
9,16888
9,17505
9,18619
10,1546
10,3194
10,3284
10,7810
10,9596
10,9606
10,9995
10,10015
10,11248
10,11323
10,17444
11,1338
11,4117
11,6531
11,7427
11,7658
11,7929
11,10697
11,11153
11,12003
11,13805
11,16286
12,1033
12,1721
12,3547
12,3597
12,3937
12,5691
12,7442
12,8177
12,8221
12,10082
12,11796
12,12649
12,13211
12,14429
13,56
13,1100
13,1602
13,1625
13,1856
13,2191
13,2227
13,2344
13,2387
13,2503
13,2927
13,3045
13,3089
13,3394
13,3691
13,5548
13,5561
13,6342
13,7013
13,7516
13,7530
13,8273
13,8480
13,8533
13,8586
13,9722
13,10073
13,10087
13,10128
13,11424
13,12862
13,13553
13,14381
13,14435
13,14562
13,16606
13,16955
13,17380
13,17420
13,18394
13,18488
13,18620
14,770
14,952
14,1237
14,1821
14,2547
14,3930
14,4334
14,4568
14,5323
14,6309
14,6398
14,6529
14,6562
14,7215
14,7229
14,10436
14,10480
14,11394
14,11621
14,14082
14,15659
14,16514
14,16993
14,18200
15,2289
15,11573
15,12095
15,17966
16,4400
16,17949
17,10081
19,15269
20,4746
20,8533
20,11937
21,2961
21,12138
21,12665
21,15636
22,14349
23,16004
25,8610
27,3647
27,7881
