layer,neuron,subject_count
2,2928,7
2,11422,6
2,12508,1
2,15707,1
3,7075,2
3,12426,6
4,119,19
4,293,2
4,881,8
4,1036,35
4,1338,6
4,1412,1
4,1446,38
4,2110,4
4,2164,4
4,2530,12
4,3200,8
4,3473,2
4,3826,1
4,4179,8
4,4576,39
4,5491,1
4,5891,7
4,6498,2
4,7214,34
4,7403,1
4,7554,4
4,7580,53
4,7980,48
4,8184,2
4,9134,2
4,9446,1
4,9687,5
4,9704,31
4,10408,46
4,10941,1
4,10942,1
4,10987,10
4,11409,7
4,11689,1
4,11834,41
4,11941,6
4,12193,51
4,12310,1
4,12804,2
4,12829,46
4,13432,2
4,14185,28
4,14525,21
4,14968,4
4,15048,48
4,15161,22
4,15592,54
4,15818,2
4,15893,8
4,16097,47
4,17163,14
4,17194,7
4,17750,3
4,17805,2
4,18411,8
4,18488,49
4,18559,3
4,18771,46
4,18842,1
5,880,2
5,1210,53
5,1566,2
5,2671,54
5,3139,30
5,3750,1
5,3944,6
5,4385,19
5,5909,54
5,6044,39
5,6215,4
5,6713,2
5,7336,1
5,7736,49
5,8165,1
5,8361,9
5,8670,2
5,8847,2
5,9388,51
5,9571,47
5,10759,48
5,10866,49
5,11175,4
5,11269,3
5,11301,54
5,11548,53
5,12057,4
5,12174,54
5,12198,50
5,12409,44
5,12551,35
5,12714,37
5,13276,14
5,13357,52
5,13552,51
5,13583,1
5,13774,54
5,14133,49
5,14339,49
5,15335,52
5,15927,39
5,16232,4
5,16267,15
5,16479,3
5,16546,54
5,16659,21
5,17317,5
5,17575,36
5,17889,10
6,0,1
6,39,1
6,45,3
6,105,2
6,106,2
6,192,1
6,220,5
6,236,1
6,240,41
6,261,2
6,268,1
6,342,8
6,412,46
6,440,15
6,473,4
6,489,29
6,512,1
6,530,3
6,599,1
6,754,1
6,777,3
6,816,1
6,1131,1
6,1192,2
6,1324,2
6,1330,9
6,1393,54
6,1481,4
6,1491,3
6,1530,1
6,1535,10
6,1565,1
6,1658,19
6,1683,2
6,1730,12
6,1774,1
6,1865,2
6,2018,9
6,2039,41
6,2094,6
6,2095,1
6,2128,3
6,2145,1
6,2155,25
6,2160,24
6,2283,6
6,2309,2
6,2340,2
6,2391,1
6,2400,40
6,2444,1
6,2486,48
6,2512,1
6,2521,46
6,2638,11
6,2653,3
6,2782,1
6,2834,39
6,2877,9
6,2891,1
6,2918,4
6,2927,46
6,2980,4
6,3080,2
6,3175,1
6,3221,4
6,3325,1
6,3367,8
6,3470,4
6,3562,4
6,3729,1
6,3767,1
6,3769,2
6,3793,33
6,3797,2
6,3847,2
6,3926,11
6,3970,43
6,3971,2
6,4037,8
6,4053,23
6,4199,12
6,4244,1
6,4253,39
6,4331,1
6,4342,5
6,4377,2
6,4434,2
6,4466,1
6,4577,1
6,4612,2
6,4647,3
6,4694,2
6,4695,3
6,4845,43
6,4866,2
6,4928,2
6,4947,13
6,4949,33
6,5002,10
6,5028,5
6,5054,39
6,5121,15
6,5235,5
6,5349,12
6,5352,22
6,5365,5
6,5441,1
6,5492,50
6,5511,10
6,5606,21
6,5768,19
6,5774,5
6,5782,1
6,5899,12
6,5915,54
6,5950,8
6,5956,7
6,5987,7
6,6085,12
6,6099,21
6,6125,1
6,6167,20
6,6227,3
6,6292,2
6,6331,11
6,6355,3
6,6400,3
6,6476,51
6,6495,8
6,6602,3
6,6684,2
6,6712,2
6,6714,3
6,6743,1
6,6779,6
6,6815,9
6,6832,6
6,6883,48
6,6903,1
6,6919,2
6,6944,6
6,6961,8
6,7197,49
6,7221,21
6,7237,6
6,7283,3
6,7296,2
6,7337,1
6,7339,5
6,7368,4
6,7378,1
6,7482,19
6,7552,29
6,7590,24
6,7601,42
6,7673,48
6,7676,1
6,7726,5
6,7792,5
6,7867,52
6,7921,3
6,7922,10
6,7962,29
6,7977,1
6,8066,4
6,8118,40
6,8194,37
6,8228,1
6,8282,21
6,8388,20
6,8398,3
6,8433,1
6,8459,4
6,8471,22
6,8489,48
6,8548,1
6,8591,23
6,8618,1
6,8663,12
6,8677,2
6,8698,26
6,8743,2
6,8803,2
6,8929,2
6,8971,49
6,8974,1
6,8985,4
6,9000,1
6,9025,26
6,9031,27
6,9060,1
6,9138,1
6,9149,10
6,9245,1
6,9269,9
6,9322,45
6,9365,49
6,9386,8
6,9391,4
6,9413,14
6,9459,1
6,9584,5
6,9609,47
6,9650,14
6,9656,2
6,9697,25
6,9729,9
6,9732,1
6,9795,7
6,9864,5
6,9923,3
6,9954,4
6,10005,3
6,10035,1
6,10072,3
6,10073,1
6,10089,3
6,10091,5
6,10103,8
6,10104,1
6,10124,1
6,10130,2
6,10151,3
6,10173,24
6,10179,8
6,10248,54
6,10275,1
6,10285,2
6,10360,10
6,10372,13
6,10443,4
6,10459,1
6,10551,10
6,10572,1
6,10575,1
6,10618,29
6,10675,1
6,10859,5
6,10990,48
6,11034,1
6,11143,33
6,11163,2
6,11217,1
6,11278,3
6,11295,5
6,11348,16
6,11440,48
6,11461,1
6,11536,2
6,11543,28
6,11553,15
6,11571,1
6,11602,2
6,11621,12
6,11699,13
6,11771,3
6,11992,1
6,12053,9
6,12084,7
6,12155,1
6,12159,21
6,12198,23
6,12224,2
6,12234,16
6,12270,8
6,12288,1
6,12303,2
6,12316,4
6,12324,49
6,12336,2
6,12338,1
6,12341,2
6,12342,32
6,12346,9
6,12420,46
6,12465,33
6,12536,2
6,12540,1
6,12543,2
6,12607,46
6,12648,1
6,12697,3
6,12725,8
6,12809,1
6,12845,23
6,12858,3
6,12877,1
6,12908,33
6,12941,6
6,12946,4
6,12965,2
6,13041,5
6,13070,6
6,13085,8
6,13111,4
6,13195,49
6,13281,2
6,13286,2
6,13306,1
6,13315,8
6,13327,4
6,13337,1
6,13381,28
6,13382,32
6,13388,1
6,13428,1
6,13537,12
6,13566,1
6,13808,4
6,13909,34
