layer,neuron
2,15133
3,7075
4,119
4,293
4,1097
4,3200
4,5095
4,5891
4,7214
4,7403
4,7580
4,7980
4,8260
4,8605
4,9134
4,9687
4,9704
4,11941
4,12193
4,12829
4,13432
4,13463
4,13801
4,14525
4,15048
4,15152
4,15161
4,15592
4,16097
4,16743
4,17750
4,18559
4,18771
5,1210
5,2671
5,3139
5,3944
5,4385
5,5909
5,6044
5,6215
5,7736
5,9388
5,9571
5,10759
5,10866
5,11269
5,11301
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14624
5,15335
5,16546
5,16659
5,17416
5,17575
5,17889
6,45
6,240
6,261
6,412
6,440
6,1130
6,1192
6,1393
6,1491
6,1658
6,2132
6,2400
6,2444
6,2486
6,2521
6,2593
6,2834
6,2927
6,3221
6,3231
6,3769
6,3970
6,4253
6,4695
6,5492
6,5915
6,6099
6,6125
6,6227
6,6331
6,6451
6,6476
6,6495
6,6712
6,6746
6,6815
6,6883
6,7197
6,7221
6,7289
6,7339
6,7368
6,7552
6,7601
6,7673
6,7792
6,7867
6,8194
6,8282
6,8471
6,8489
6,8548
6,8663
6,8677
6,8698
6,8707
6,8743
6,9365
6,9386
6,9650
6,9729
6,9795
6,9920
6,9923
6,9967
6,10005
6,10091
6,10179
6,10248
6,10360
6,10551
6,10581
6,10713
6,10990
6,11163
6,11348
6,11440
6,12303
6,12324
6,12465
6,12540
6,12607
6,12845
6,12908
6,12965
6,13195
6,13382
6,13537
6,13723
6,13909
6,14195
6,14208
6,14374
6,14612
6,14638
6,14771
6,14850
6,14925
6,15293
6,15349
6,15367
6,15971
6,16201
6,16276
6,16328
6,16378
6,16427
6,16636
6,16904
6,17011
6,17480
6,17499
6,17599
6,17679
6,17772
6,17859
6,17861
6,18007
6,18182
6,18197
6,18266
6,18281
6,18525
6,18599
6,18623
6,18631
6,18667
6,18670
6,18788
6,18852
7,3
7,89
7,166
7,435
7,651
7,737
7,961
7,1116
7,1310
7,1675
7,1776
7,1924
7,2061
7,2079
7,2102
7,2156
7,2320
7,2519
7,2805
7,3122
7,3252
7,3329
7,3458
7,3490
7,3500
7,3509
7,3573
7,3791
7,3865
7,3936
7,4081
7,4668
7,4877
7,4942
7,5052
7,5217
7,5430
7,5458
7,5771
7,5791
7,5818
7,5853
7,6252
7,6330
7,6613
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7415
7,7460
7,7476
7,7631
7,7854
7,8010
7,8171
7,8861
7,8868
7,9005
7,9199
7,9227
7,9480
7,9606
7,9776
7,9851
7,9963
7,9977
7,10185
7,10625
7,10632
7,10822
7,11531
7,11651
7,11806
7,11912
7,12034
7,12240
7,12276
7,12686
7,12695
7,12810
7,12868
7,12889
7,13259
7,13366
7,13592
7,13739
7,14052
7,14061
7,14093
7,14238
7,14376
7,14680
7,14707
7,14742
7,15043
7,15047
7,15213
7,15252
7,15303
7,15382
7,15392
7,15436
7,15443
7,15459
7,15610
7,15663
7,16198
7,16343
7,16952
7,17037
7,17068
7,17212
7,17449
7,17671
7,17680
7,17965
7,18092
7,18106
7,18135
7,18395
7,18571
7,18927
8,56
8,60
8,78
8,219
8,334
8,388
8,430
8,431
8,475
8,602
8,668
8,699
8,859
8,864
8,867
8,875
8,900
8,909
8,941
8,970
8,987
8,1027
8,1111
8,1328
8,1399
8,1426
8,1467
8,1549
8,1564
8,1583
8,1593
8,1799
8,1812
8,1819
8,1921
8,1948
8,2003
8,2037
8,2040
8,2057
8,2063
8,2180
8,2209
8,2227
8,2259
8,2270
8,2360
8,2415
8,2418
8,2666
8,2766
8,2830
8,2842
8,2969
8,3156
8,3235
8,3321
8,3338
8,3344
8,3397
8,3400
8,3418
8,3602
8,3610
8,3703
8,3730
8,3782
8,3900
8,3991
8,4027
8,4124
8,4324
8,4329
8,4473
8,4552
8,4588
8,4622
8,4631
8,4633
8,4660
8,4726
8,4750
8,4847
8,4895
8,5039
8,5169
8,5248
8,5333
8,5369
8,5454
8,5546
8,5552
8,5553
8,5624
8,5637
8,5704
8,5807
8,5870
8,5905
8,5954
8,6118
8,6156
8,6245
8,6255
8,6287
8,6289
8,6438
8,6486
8,6532
8,6706
8,6745
8,6802
8,6864
8,6901
8,6929
8,7162
8,7261
8,7410
8,7443
8,7473
8,7533
8,7547
8,7691
