layer,neuron
2,2928
2,11422
2,12508
2,15707
3,12426
4,881
4,1036
4,1446
4,2110
4,2164
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,11409
4,11941
4,12193
4,12829
4,12837
4,14185
4,15048
4,15161
4,15592
4,16097
4,16398
4,17163
4,17550
4,17805
4,18282
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,8361
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12551
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,17575
5,18590
6,9
6,13
6,240
6,261
6,339
6,412
6,440
6,480
6,489
6,1379
6,1393
6,1535
6,1658
6,1683
6,1730
6,1865
6,2039
6,2094
6,2155
6,2160
6,2391
6,2400
6,2486
6,2519
6,2521
6,2834
6,2877
6,2891
6,2927
6,3562
6,3970
6,4342
6,4949
6,5028
6,5054
6,5345
6,5349
6,5352
6,5492
6,5899
6,5915
6,5956
6,6099
6,6331
6,6355
6,6476
6,6602
6,6684
6,6765
6,6815
6,6816
6,6883
6,6919
6,7197
6,7237
6,7283
6,7296
6,7482
6,7590
6,7673
6,7726
6,7792
6,7867
6,7922
6,8066
6,8118
6,8194
6,8282
6,8388
6,8471
6,8489
6,8663
6,8677
6,8743
6,8885
6,8971
6,9322
6,9365
6,9413
6,9609
6,9650
6,9697
6,9923
6,9940
6,10005
6,10130
6,10248
6,10990
6,11143
6,11348
6,11374
6,11435
6,11440
6,11536
6,11553
6,11571
6,11621
6,11797
6,11880
6,12084
6,12198
6,12324
6,12338
6,12342
6,12420
6,12465
6,12607
6,12610
6,12845
6,12908
6,13041
6,13085
6,13195
6,13306
6,13315
6,13381
6,13382
6,13617
6,13909
6,13963
6,14195
6,14208
6,14486
6,14555
6,14850
6,14878
6,14909
6,15028
6,15149
6,15293
6,15367
6,15482
6,15638
6,15739
6,15971
6,16194
6,16328
6,16378
6,16564
6,16592
6,16636
6,16877
6,16904
6,17011
6,17062
6,17480
6,17575
6,17679
6,17772
6,17859
6,17861
6,17884
6,18028
6,18281
6,18525
6,18599
6,18631
6,18667
6,18788
6,18789
6,18852
6,18927
7,3
7,148
7,166
7,255
7,435
7,651
7,737
7,1116
7,1192
7,1310
7,1327
7,1644
7,1675
7,1776
7,1803
7,1847
7,2061
7,2294
7,2320
7,2366
7,2692
7,2775
7,2971
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3604
7,3773
7,3791
7,3865
7,3936
7,4028
7,4081
7,4526
7,5314
7,5502
7,5771
7,5791
7,5798
7,5850
7,5853
7,6389
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7460
7,7546
7,7631
7,7959
7,8421
7,8861
7,8989
7,9005
7,9199
7,9227
7,9337
7,9367
7,9411
7,9449
7,9606
7,9709
7,9851
7,9963
7,10021
7,10078
7,10185
7,10257
7,10647
7,10754
7,11086
7,11233
7,11383
7,11423
7,11531
7,11651
7,11675
7,11694
7,11806
7,12276
7,12686
7,12723
7,12828
7,13259
7,13366
7,13440
7,13559
7,13870
7,13944
7,14009
7,14093
7,14164
7,14281
7,14376
7,14604
7,14953
7,15047
7,15155
7,15232
7,15300
7,15520
7,15610
7,15663
7,15679
7,15694
7,16198
7,16343
7,16643
7,16686
7,16827
7,16844
7,16952
7,17212
7,17449
7,17561
7,17680
7,17781
7,18425
7,18571
7,18685
7,18820
8,0
8,11
8,78
8,180
8,218
8,226
8,334
8,345
8,388
8,430
8,433
8,480
8,520
8,602
8,668
8,706
8,717
8,727
8,806
8,807
8,864
8,874
8,904
8,941
8,946
8,978
8,1090
8,1153
8,1197
8,1218
8,1315
8,1362
8,1414
8,1418
8,1458
8,1498
8,1500
8,1517
8,1564
8,1579
8,1613
8,1625
8,1673
8,1762
8,1766
8,1799
8,1812
8,1814
8,1902
8,1992
8,2003
8,2035
8,2037
8,2040
8,2057
8,2102
8,2155
8,2209
8,2223
8,2227
8,2241
8,2270
8,2342
8,2418
8,2550
8,2573
8,2580
8,2617
8,2678
8,2830
8,2842
8,2913
8,2949
8,2969
8,3006
8,3235
8,3312
8,3321
8,3383
8,3483
8,3527
8,3530
8,3610
8,3782
8,3803
8,3838
8,3900
8,3968
8,4014
8,4027
8,4087
8,4107
8,4118
8,4121
8,4122
8,4124
8,4126
8,4136
8,4197
8,4222
8,4257
8,4322
8,4324
8,4385
8,4444
8,4473
8,4482
8,4551
8,4562
8,4563
8,4588
8,4631
8,4651
8,4670
8,4690
8,4725
8,4726
8,4750
8,4847
8,4854
8,4923
8,4936
8,5039
8,5052
8,5086
8,5169
8,5229
8,5248
8,5285
8,5377
8,5410
8,5454
8,5466
8,5513
8,5539
8,5546
8,5553
8,5558
8,5584
8,5624
8,5637
8,5647
8,5704
8,5905
8,6011
8,6035
8,6102
8,6118
8,6156
8,6173
8,6245
8,6287
8,6466
8,6557
8,6637
8,6686
8,6745
8,6864
8,6891
8,6901
8,6954
8,6979
8,6984
8,7027
8,7053
8,7058
8,7102
8,7113
8,7252
8,7261
8,7410
8,7453
8,7466
8,7473
8,7533
8,7553
8,7572
8,7691
8,7724
8,7727
8,7740
8,7778
8,7872
8,7899
8,7968
8,8051
8,8179
8,8196
8,8208
8,8211
8,8232
8,8242
8,8261
8,8274
8,8292
8,8384
8,8449
8,8483
8,8484
8,8504
8,8575
8,8605
8,8626
8,8689
8,8690
8,8743
8,8744
8,8755
8,8794
8,8796
8,8797
8,8806
8,8833
8,8850
8,8876
8,8986
8,8993
8,9000
8,9103
8,9181
8,9186
8,9300
8,9446
8,9456
8,9472
8,9581
8,9642
8,9678
8,9684
8,9792
8,9896
8,9912
8,9996
8,10079
8,10161
8,10176
8,10189
8,10196
8,10258
8,10269
8,10272
8,10289
8,10301
8,10418
8,10429
8,10533
8,10553
8,10664
8,10669
8,10722
8,10857
8,10873
8,10925
8,10959
8,10988
8,10995
8,11082
8,11085
8,11111
8,11152
8,11162
8,11236
8,11263
8,11273
8,11311
8,11335
8,11572
8,11665
8,11694
8,11816
8,11910
8,11913
8,12032
8,12184
8,12254
8,12284
8,12341
8,12355
8,12421
8,12456
8,12520
8,12534
8,12567
8,12572
8,12709
8,12712
8,12814
8,12818
8,12865
8,12874
8,12888
8,12902
8,12931
8,12939
8,12945
8,12946
8,12953
8,12992
8,13036
8,13041
8,13053
8,13350
8,13365
8,13467
8,13653
8,13714
8,13752
8,13882
8,13913
8,13915
8,13932
8,13980
8,13995
8,14159
8,14237
8,14347
8,14361
8,14371
8,14376
8,14453
8,14499
8,14527
8,14544
8,14568
8,14604
8,14631
8,14639
8,14649
8,14686
8,14774
8,14888
8,14891
8,14959
8,14996
8,15069
8,15151
8,15168
8,15175
8,15218
8,15238
8,15249
8,15281
8,15330
8,15361
8,15392
8,15447
8,15469
8,15501
8,15585
8,15686
8,15688
8,15856
8,15872
8,15917
8,15942
8,16075
8,16160
8,16192
8,16225
8,16316
8,16345
8,16350
8,16354
8,16360
8,16432
8,16643
8,16751
8,16776
8,16782
8,16787
8,16833
8,16856
8,16876
8,16911
8,16915
8,17002
8,17039
8,17153
8,17192
8,17195
8,17370
8,17416
8,17437
8,17446
8,17452
8,17466
8,17545
8,17548
8,17599
8,17699
8,17710
8,17755
8,17777
8,17796
8,17819
8,17827
8,17859
8,17934
8,17936
8,17959
8,17972
8,18028
8,18070
8,18082
8,18085
8,18107
8,18120
8,18121
8,18166
8,18279
8,18281
8,18324
8,18387
8,18398
8,18415
8,18423
8,18525
8,18526
8,18535
8,18586
8,18686
8,18690
8,18730
8,18764
8,18788
8,18850
8,18903
8,18925
9,56
9,170
9,198
9,228
9,567
9,576
9,597
9,761
9,794
9,903
9,978
9,982
9,1061
9,1108
9,1125
9,1140
9,1179
9,1292
9,1305
9,1354
9,1388
9,1429
9,1442
9,1477
9,1507
9,1543
9,1554
9,1626
9,1634
9,1642
9,1643
9,1808
9,1855
9,1913
9,2034
9,2056
9,2162
9,2471
9,2542
9,2610
9,2669
9,2671
9,2678
9,2758
9,2761
9,2771
9,2813
9,3099
9,3285
9,3359
9,3384
9,3386
9,3510
9,3565
9,3576
9,3611
9,3651
9,3655
9,3662
9,3665
9,3814
9,3920
9,3935
9,4003
9,4075
9,4122
9,4191
9,4217
9,4237
9,4387
9,4395
9,4439
9,4448
9,4503
9,4510
9,4528
9,4611
9,4646
9,4652
9,4706
9,4739
9,4848
9,4886
9,4939
9,4956
9,5012
9,5140
9,5230
9,5333
9,5379
9,5444
9,5560
9,5707
9,5755
9,5848
9,5897
9,5914
9,5996
9,6115
9,6148
9,6189
9,6236
9,6254
9,6297
9,6385
9,6416
9,6436
9,6487
9,6513
9,6575
9,6584
9,6605
9,6873
9,6878
9,6932
9,6938
9,6958
9,7006
9,7016
9,7063
9,7068
9,7148
9,7233
9,7259
9,7266
9,7334
9,7417
9,7466
9,7556
9,7603
9,7710
9,7805
9,7836
9,7907
9,7929
9,7942
9,7951
9,8095
9,8097
9,8106
9,8123
9,8124
9,8130
9,8150
9,8151
9,8247
9,8326
9,8404
9,8484
9,8501
9,8551
9,8553
9,8591
9,8608
9,8621
9,8679
9,8802
9,8807
9,9009
9,9017
9,9020
9,9159
9,9171
9,9178
9,9271
9,9309
9,9310
9,9386
9,9457
9,9458
9,9490
9,9506
9,9530
9,9540
9,9608
9,9696
9,9852
9,9886
9,9943
9,10045
9,10096
9,10097
9,10146
9,10150
9,10159
9,10178
9,10215
9,10219
9,10335
9,10410
9,10458
9,10463
9,10557
9,10567
9,10628
9,10678
9,10694
9,10695
9,10731
9,10759
9,10772
9,10776
9,10932
9,10961
9,10991
9,11061
9,11098
9,11105
9,11172
9,11235
9,11369
9,11370
9,11473
9,11655
9,11657
9,11692
9,11881
9,11904
9,11918
9,11940
9,12169
9,12255
9,12312
9,12378
9,12529
9,12582
9,12586
9,12727
9,12765
9,12821
9,13110
9,13118
9,13337
9,13348
9,13390
9,13394
9,13410
9,13469
9,13601
9,13688
9,13732
9,13783
9,13815
9,13823
9,13870
9,13872
9,13880
9,13901
9,13914
9,13951
9,14083
9,14109
9,14320
9,14386
9,14710
9,14848
9,14901
9,14945
9,15151
9,15201
9,15221
9,15252
9,15402
9,15421
9,15442
9,15505
9,15531
9,15568
9,15617
9,15652
9,15702
9,15719
9,15720
9,15840
9,16018
9,16237
9,16262
9,16345
9,16352
9,16402
9,16484
9,16550
9,16601
9,16616
9,16646
9,16683
9,16716
9,16721
9,16742
9,16888
9,16889
9,16947
9,17030
9,17049
9,17069
9,17177
9,17234
9,17236
9,17327
9,17461
9,17492
9,17505
9,17528
9,17650
9,17750
9,17783
9,17827
9,17840
9,17961
9,17990
9,18059
9,18181
9,18516
9,18619
9,18626
9,18879
9,18894
10,3
10,91
10,139
10,151
10,155
10,226
10,257
10,333
10,352
10,363
10,372
10,384
10,398
10,420
10,459
10,493
10,528
10,557
10,564
10,585
10,660
10,682
10,726
10,746
10,819
10,850
10,887
10,950
10,953
10,1036
10,1039
10,1086
10,1114
10,1168
10,1222
10,1258
10,1325
10,1346
10,1359
10,1453
10,1471
10,1512
10,1540
10,1546
10,1550
10,1620
10,1702
10,1708
10,1739
10,1773
10,1779
10,1837
10,1838
10,1841
10,1921
10,1950
10,2023
10,2123
10,2134
10,2162
10,2185
10,2205
10,2218
10,2238
10,2250
10,2360
10,2416
10,2440
10,2489
10,2491
10,2511
10,2515
10,2586
10,2595
10,2633
10,2634
10,2652
10,2665
10,2670
10,2691
10,2723
10,2724
10,2725
10,2733
10,2755
10,2858
10,2875
10,2896
10,2959
10,2978
10,2986
10,3002
10,3027
10,3061
10,3095
10,3146
10,3194
10,3272
10,3284
10,3328
10,3331
10,3336
10,3345
10,3381
10,3448
10,3450
10,3451
10,3498
10,3524
10,3562
10,3580
10,3655
10,3660
10,3825
10,3868
10,3875
10,4004
10,4024
10,4105
10,4155
10,4188
10,4212
10,4368
10,4370
10,4439
10,4477
10,4513
10,4678
10,4703
10,4725
10,4778
10,4781
10,4783
10,4795
10,4833
10,4843
10,4882
10,4948
10,4960
10,5007
10,5052
10,5058
10,5092
10,5148
10,5166
10,5193
10,5203
10,5223
10,5229
10,5265
10,5268
10,5319
10,5356
10,5400
10,5405
10,5418
10,5480
10,5484
10,5545
10,5619
10,5643
10,5691
10,5800
10,5858
10,5887
10,5893
10,5950
10,5974
10,6039
10,6083
10,6092
10,6096
10,6103
10,6144
10,6188
10,6259
10,6331
10,6385
10,6403
10,6485
10,6500
10,6513
10,6535
10,6578
10,6599
10,6639
10,6654
10,6723
10,6741
10,6756
10,6784
10,6831
10,6843
10,6861
10,6862
10,6883
10,6916
10,6952
10,6970
10,6997
10,7043
10,7063
10,7100
10,7113
10,7180
10,7182
10,7277
10,7297
10,7317
10,7329
10,7503
10,7589
10,7595
10,7762
10,7810
10,7814
10,7898
10,7940
10,7968
10,7980
10,8011
10,8034
10,8041
10,8078
10,8113
10,8120
10,8137
10,8187
10,8191
10,8358
10,8364
10,8370
10,8474
10,8632
10,8633
10,8644
10,8648
10,8687
10,8765
10,8842
10,8850
10,8924
10,8960
10,9004
