layer,neuron
4,2164
4,4576
4,7580
4,7980
4,10408
4,11834
4,12193
4,12829
4,14968
4,15048
4,15592
4,16097
4,17163
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17889
6,240
6,412
6,1393
6,2155
6,2486
6,2521
6,2927
6,3970
6,5492
6,5915
6,5987
6,6099
6,6476
6,6883
6,7197
6,7482
6,7590
6,7601
6,7673
6,7867
6,8118
6,8194
6,8471
6,8489
6,8698
6,8971
6,9322
6,9365
6,9609
6,9650
6,10173
6,10248
6,10551
6,10618
6,10990
6,11440
6,12198
6,12324
6,12420
6,12465
6,12607
6,12725
6,12908
6,13111
6,13195
6,13382
6,13909
6,14195
6,14208
6,14850
6,14904
6,15028
6,15367
6,16378
6,16427
6,16592
6,16636
6,16669
6,17062
6,17679
6,17815
6,17859
6,18623
6,18631
6,18789
6,18852
7,3
7,166
7,365
7,435
7,461
7,651
7,721
7,737
7,1675
7,1771
7,1776
7,2061
7,2294
7,2775
7,3193
7,3252
7,3329
7,3500
7,3546
7,3791
7,3844
7,3865
7,3936
7,4668
7,4877
7,5430
7,5771
7,5791
7,5850
7,5853
7,6399
7,6754
7,6822
7,6826
7,7073
7,7125
7,7160
7,7170
7,7279
7,7372
7,7373
7,7460
7,7631
7,7665
7,7854
7,8421
7,9005
7,9199
7,9606
7,9963
7,9972
7,10023
7,10185
7,10977
7,11094
7,11531
7,11806
7,12003
7,12038
7,12178
7,12453
7,14093
7,14376
7,14680
7,14707
7,15047
7,15300
7,15382
7,15459
7,15610
7,15663
7,15679
7,15694
7,16118
7,16343
7,16503
7,16827
7,17449
7,17561
7,17671
7,17680
7,18092
7,18269
7,18346
7,18571
7,18661
7,18927
8,0
8,73
8,78
8,116
8,218
8,277
8,431
8,480
8,566
8,602
8,668
8,706
8,727
8,806
8,831
8,864
8,867
8,900
8,909
8,956
8,970
8,978
8,1145
8,1153
8,1250
8,1418
8,1426
8,1498
8,1549
8,1564
8,1812
8,1902
8,1948
8,2003
8,2035
8,2037
8,2040
8,2057
8,2102
8,2180
8,2223
8,2227
8,2241
8,2270
8,2360
8,2418
8,2749
8,2773
8,2830
8,2842
8,2913
8,2949
8,2969
8,3156
8,3235
8,3307
8,3321
8,3338
8,3418
8,3610
8,3703
8,3782
8,3900
8,4067
8,4118
8,4124
8,4222
8,4239
8,4322
8,4324
8,4473
8,4551
8,4631
8,4725
8,4726
8,4742
8,4750
8,4847
8,5039
8,5169
8,5229
8,5248
8,5305
8,5454
8,5466
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5870
8,5905
8,5974
8,6035
8,6118
8,6156
8,6255
8,6287
8,6289
8,6466
8,6802
8,6864
8,6901
8,6979
8,6984
8,6988
8,7058
8,7410
8,7473
8,7533
8,7547
8,7691
8,7727
8,7961
8,7968
8,8132
8,8196
8,8208
8,8261
8,8274
8,8292
8,8384
8,8484
8,8504
8,8568
8,8575
8,8626
8,8689
8,8690
8,8692
8,8796
8,8806
8,8876
8,8993
8,9000
8,9248
8,9279
8,9300
8,9472
8,9518
8,9571
8,9581
8,9637
8,9678
8,9684
8,9792
8,9896
8,9912
8,10079
8,10258
8,10269
8,10289
8,10301
8,10429
8,10664
8,10669
8,10702
8,10857
8,10902
8,10925
8,11111
8,11152
8,11162
8,11217
8,11273
8,11311
8,11472
8,11494
8,11525
8,11572
8,11594
8,11816
8,11870
8,12161
8,12184
8,12192
8,12284
8,12355
8,12421
8,12456
8,12479
8,12567
8,12572
8,12709
8,12814
8,12818
8,12843
8,12894
8,12931
8,12945
8,12946
8,12953
8,12973
8,12992
8,13036
8,13111
8,13350
8,13467
8,13749
8,13752
8,13761
8,13854
8,13908
8,13913
8,13915
8,13916
8,13932
8,13980
8,13995
8,14032
8,14237
8,14260
8,14270
8,14342
8,14347
8,14361
8,14534
8,14544
8,14568
8,14604
8,14631
8,14686
8,14774
8,14888
8,14996
8,15142
8,15151
8,15175
8,15218
8,15330
8,15361
8,15469
8,15794
8,15805
8,15856
8,15917
8,15931
8,15942
8,16040
8,16160
8,16225
8,16316
8,16345
8,16432
8,16552
8,16556
8,16643
8,16675
8,16694
8,16776
8,16782
8,16833
8,16876
8,16915
8,17280
8,17425
8,17446
8,17466
8,17548
8,17599
8,17699
8,17710
8,17755
8,17934
8,17936
8,17972
8,18120
8,18121
8,18279
8,18281
8,18362
8,18521
8,18526
8,18686
8,18690
8,18764
8,18850
9,228
9,293
9,321
9,334
9,360
9,435
9,576
9,667
9,761
9,794
9,978
9,1125
9,1156
9,1179
9,1274
9,1305
9,1354
9,1388
9,1429
9,1460
9,1543
9,1554
9,1642
9,1643
9,1657
9,1739
9,1752
9,1808
9,1855
9,1913
9,2056
9,2137
9,2209
9,2296
9,2321
9,2471
9,2542
9,2603
9,2610
9,2669
