layer,neuron
3,7075
4,293
4,2164
4,4576
4,7403
4,7580
4,7980
4,9704
4,10408
4,11834
4,12193
4,12310
4,12829
4,13463
4,14525
4,14968
4,15048
4,15592
4,16097
4,16743
4,17163
4,17750
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17889
6,45
6,240
6,342
6,412
6,1070
6,1393
6,2132
6,2155
6,2486
6,2521
6,2918
6,2927
6,3769
6,3793
6,3970
6,4053
6,4253
6,4434
6,4845
6,5492
6,5606
6,5899
6,5915
6,5987
6,6085
6,6099
6,6125
6,6476
6,6495
6,6883
6,7197
6,7339
6,7378
6,7482
6,7590
6,7601
6,7673
6,7867
6,8118
6,8194
6,8459
6,8471
6,8489
6,8663
6,8698
6,8971
6,9322
6,9365
6,9413
6,9609
6,9648
6,9650
6,10173
6,10248
6,10551
6,10618
6,10713
6,10990
6,11163
6,11440
6,11621
6,11771
6,12053
6,12198
6,12234
6,12324
6,12342
6,12420
6,12465
6,12607
6,12725
6,12908
6,13085
6,13111
6,13195
6,13382
6,13537
6,13909
6,14195
6,14208
6,14459
6,14638
6,14850
6,14904
6,15028
6,15367
6,15549
6,15649
6,16240
6,16323
6,16378
6,16427
6,16592
6,16636
6,16669
6,16904
6,17011
6,17062
6,17657
6,17679
6,17772
6,17815
6,17859
6,18281
6,18376
6,18623
6,18631
6,18789
6,18852
7,3
7,166
7,365
7,435
7,461
7,595
7,651
7,721
7,737
7,1116
7,1170
7,1310
7,1675
7,1771
7,1776
7,1847
7,2061
7,2102
7,2156
7,2294
7,2320
7,2775
7,2971
7,3087
7,3122
7,3193
7,3252
7,3329
7,3458
7,3500
7,3546
7,3753
7,3791
7,3844
7,3865
7,3936
7,4668
7,4877
7,4942
7,5430
7,5483
7,5771
7,5791
7,5850
7,5853
7,6252
7,6399
7,6754
7,6822
7,6826
7,7073
7,7125
7,7160
7,7170
7,7279
7,7372
7,7373
