layer,neuron
3,7075
4,3200
4,7580
4,7980
4,10408
4,11834
4,11941
4,12193
4,12829
4,15048
4,15161
4,15592
4,15893
4,16097
4,17163
4,18771
5,880
5,1210
5,2671
5,3139
5,3944
5,4385
5,5909
5,6044
5,6215
5,7736
5,9388
5,9571
5,10759
5,10866
5,11269
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
6,240
6,412
6,1393
6,2039
6,2400
6,2486
6,2521
6,2638
6,2834
6,2927
6,3221
6,3367
6,3970
6,4253
6,4695
6,4845
6,5054
6,5492
6,5768
6,5915
6,6099
6,6476
6,6495
6,6883
6,7197
6,7482
6,7601
6,7673
6,7867
6,7962
6,8194
6,8459
6,8489
6,8698
6,8971
6,8985
6,9322
6,9365
6,9386
6,9609
6,9795
6,10073
6,10091
6,10103
6,10179
6,10248
6,10360
6,10551
6,10618
6,10990
6,11440
6,11621
6,12198
6,12303
6,12324
6,12342
6,12420
6,12465
6,12607
6,12908
6,13195
6,13382
6,13909
6,14195
6,14208
6,14850
6,14904
6,15028
6,15367
6,15971
6,16194
6,16323
6,16378
6,16592
6,16636
6,17011
6,17657
6,17659
6,17679
6,17772
6,17815
6,17859
6,18281
6,18525
6,18623
6,18631
6,18789
6,18852
7,3
7,166
7,365
7,435
7,651
7,721
7,737
7,969
7,1009
7,1170
7,1462
7,1675
7,1776
7,1924
7,1953
7,2061
7,2128
7,2156
7,2294
7,2775
7,3039
7,3122
7,3193
7,3252
7,3329
7,3500
7,3509
7,3773
7,3791
7,3865
7,3936
7,4668
7,4877
7,4942
7,5184
7,5430
7,5771
7,5791
7,5847
7,5850
7,5853
7,6330
7,6613
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7415
7,7460
7,7631
7,7854
7,8010
7,8861
7,9199
7,9227
7,9606
7,9776
7,9963
7,10185
7,10240
7,10548
7,10647
7,10822
7,11233
7,11531
7,11702
7,11806
7,11912
7,12003
7,12276
7,12453
7,12575
7,12629
7,12686
7,12810
7,13128
7,13259
7,13463
7,13592
7,14052
7,14061
7,14093
7,14376
7,14604
7,14680
7,14707
7,14742
7,15043
7,15047
7,15300
7,15382
7,15459
7,15610
7,15663
7,15671
7,15679
7,15694
7,16008
7,16174
7,16343
7,16503
7,16952
7,17068
7,17449
7,17671
7,17680
7,17781
7,18019
7,18106
7,18171
7,18208
7,18295
7,18346
7,18395
7,18571
7,18794
7,18927
8,78
8,116
8,218
8,219
8,334
8,388
8,431
8,480
8,496
8,668
8,727
8,864
8,867
8,900
8,909
8,956
8,970
8,1145
8,1153
8,1414
8,1426
8,1467
8,1498
8,1549
8,1564
8,1583
8,1812
8,1902
8,1948
8,2003
8,2037
8,2040
8,2057
8,2180
8,2223
8,2227
8,2241
8,2270
8,2360
8,2387
8,2418
8,2766
8,2830
8,2842
8,3156
8,3235
8,3307
8,3321
8,3338
8,3344
8,3418
8,3782
8,3991
8,4027
8,4067
8,4118
8,4124
8,4239
8,4261
8,4322
8,4324
8,4329
8,4473
8,4551
8,4588
8,4622
8,4631
8,4670
8,4726
8,4750
8,5039
8,5125
8,5169
8,5229
8,5248
8,5369
8,5454
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5745
8,5807
8,5870
8,5905
8,6035
8,6118
8,6156
8,6255
8,6287
8,6289
8,6466
8,6532
8,6706
8,6802
8,6864
8,6875
8,7315
8,7410
8,7443
8,7473
8,7533
8,7607
8,7691
8,7761
8,7899
8,8208
8,8261
8,8274
8,8369
8,8384
8,8484
8,8626
8,8689
8,8690
8,8692
8,8796
8,8876
8,9000
8,9248
8,9300
8,9384
8,9472
8,9518
8,9571
8,9637
8,9792
8,9896
8,9912
8,10196
8,10289
8,10301
8,10548
8,10664
8,10689
8,10702
8,10854
8,10857
8,10925
8,11032
8,11111
8,11152
8,11169
8,11217
8,11273
8,11311
8,11472
8,11572
8,11746
8,11870
8,11910
8,11997
8,12133
8,12188
8,12284
8,12311
8,12355
8,12401
8,12421
8,12572
8,12576
8,12709
8,12814
8,12843
8,12894
8,12931
8,12941
8,12953
8,12973
8,13036
8,13053
8,13093
8,13111
8,13350
8,13467
8,13520
8,13752
8,13759
8,13761
8,13854
8,13915
8,13916
8,13932
8,13980
8,13995
8,14342
8,14347
8,14361
8,14604
8,14631
8,14686
8,14774
8,14888
8,14996
8,15175
8,15218
8,15249
8,15330
8,15794
8,15805
8,16040
8,16160
8,16316
8,16345
8,16354
8,16552
8,16586
8,16643
8,16694
8,16776
8,16782
8,16833
8,16876
8,16915
8,17195
8,17446
8,17466
8,17599
8,17699
8,17710
8,17755
8,17819
8,17859
8,17934
8,17972
8,18070
8,18120
8,18281
8,18362
8,18526
8,18545
8,18686
8,18690
9,293
9,321
9,334
9,381
9,576
9,761
9,903
9,978
9,1156
9,1179
9,1305
9,1388
9,1429
9,1460
9,1554
9,1642
9,1643
9,1657
9,1739
9,1752
9,1808
9,1913
9,2137
9,2182
9,2321
9,2542
9,2610
9,2669
9,2671
9,2722
9,2758
9,2761
9,2801
9,2813
9,3133
9,3234
9,3285
9,3311
9,3359
9,3384
9,3386
9,3400
9,3510
9,3655
9,3662
9,3972
9,4217
9,4264
9,4439
9,4448
9,4481
9,4535
9,4544
9,4562
9,4611
9,4706
9,4739
9,4756
9,4848
9,4941
9,4989
9,5379
9,5537
9,5678
9,5707
9,5810
9,5848
9,5856
9,5897
9,5914
9,6069
9,6148
9,6189
9,6236
9,6267
9,6297
9,6352
9,6385
9,6543
9,6575
9,6873
9,6878
9,6958
9,7016
9,7148
9,7233
9,7259
9,7266
9,7466
9,7556
9,7710
9,7735
9,7836
9,7951
9,8106
9,8130
9,8150
9,8326
9,8404
9,8484
9,8553
9,8679
9,8712
9,8802
9,8807
9,8829
9,9017
9,9020
9,9159
9,9178
9,9184
9,9227
9,9271
9,9309
9,9458
9,9586
9,9608
9,9689
9,9696
9,9751
9,9852
9,9886
9,9965
9,10075
9,10178
9,10219
9,10335
9,10413
9,10458
9,10463
9,10557
9,10567
9,10678
9,10694
9,10731
9,10733
9,10773
9,10776
9,10825
9,10961
9,11105
9,11280
9,11296
9,11369
9,11895
9,11904
9,12013
9,12169
9,12312
9,12637
9,12765
9,12799
9,12821
9,12962
9,13028
9,13073
9,13337
9,13348
9,13394
9,13521
9,13601
9,13823
9,13870
9,13872
9,13880
9,13881
9,13901
9,14041
9,14109
9,14203
9,14470
9,14646
9,14710
9,15221
9,15252
9,15360
9,15402
9,15421
9,15442
9,15505
9,15615
9,15702
9,15720
9,15840
9,16018
9,16345
9,16352
9,16402
9,16484
9,16524
9,16550
9,16576
9,16601
9,16616
9,16888
9,16947
9,16948
9,17030
9,17049
9,17110
9,17234
9,17327
9,17379
9,17461
9,17492
9,17505
9,17540
9,17621
9,17650
9,17827
9,17840
9,17961
9,17997
9,18395
9,18619
9,18879
9,18894
10,24
10,144
10,151
10,233
10,257
10,333
10,372
10,386
10,398
10,468
10,581
10,585
10,819
10,850
10,866
10,950
