layer,neuron
4,119
4,1036
4,1446
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,11834
4,12193
4,12829
4,14185
4,15048
4,15592
4,16097
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16546
5,16659
5,17575
6,220
6,240
6,412
6,489
6,1330
6,1393
6,2018
6,2039
6,2400
6,2486
6,2521
6,2834
6,2927
6,3793
6,3970
6,4053
6,4253
6,4845
6,4949
6,5002
6,5054
6,5121
6,5492
6,5511
6,5606
6,5768
6,5915
6,5987
6,6085
6,6099
6,6167
6,6476
6,6815
6,6883
6,6919
6,6944
6,7197
6,7221
6,7482
6,7590
6,7601
6,7673
6,7867
6,7922
6,7962
6,8118
6,8194
6,8282
6,8471
6,8489
6,8698
6,8971
6,9031
6,9322
6,9365
6,9413
6,9609
6,9650
6,9697
6,10035
6,10173
6,10248
6,10551
6,10990
6,11143
6,11440
6,11543
6,11699
6,12053
6,12084
6,12159
6,12198
6,12234
6,12324
6,12342
6,12420
6,12465
6,12607
6,12725
6,12908
6,13195
6,13381
6,13382
6,13537
6,13909
6,14195
6,14208
6,14370
6,14374
6,14555
6,14850
6,14904
6,15028
6,15367
6,15482
6,15649
6,15965
6,16378
6,16636
6,16669
6,16904
6,17011
6,17062
6,17679
6,17772
6,17815
6,17859
6,18525
6,18631
6,18789
6,18852
7,3
7,365
7,435
7,461
7,651
7,721
7,737
7,969
7,1170
7,1357
7,1444
7,1675
7,1776
7,2061
7,2156
7,2294
7,2971
7,3135
7,3193
7,3252
7,3329
7,3458
7,3490
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4028
7,4877
7,5155
7,5791
7,5853
7,6031
7,6389
7,6605
7,6822
7,7073
7,7160
7,7170
7,7279
7,7373
7,7426
7,7460
7,7854
7,8421
7,9005
7,9199
7,9227
7,9337
7,9606
7,9709
7,9963
7,10185
7,10594
7,10977
7,11075
7,11531
7,11617
7,11651
7,11702
7,11806
7,12003
7,12038
7,12178
7,12234
7,12240
7,12276
7,12453
7,13366
7,13738
7,13976
7,14009
7,14052
7,14093
7,14376
7,14680
7,14684
7,14833
7,14848
7,15047
7,15252
7,15382
7,15459
7,15610
7,15663
7,15679
7,15694
7,16118
7,16343
7,16503
7,16516
7,16827
7,16952
7,17561
7,17680
7,17781
7,18269
7,18346
7,18395
7,18571
7,18661
7,18685
7,18927
8,0
8,43
8,78
8,116
8,210
8,218
8,226
8,433
8,480
8,668
8,679
8,706
8,727
8,806
8,831
8,867
8,904
8,970
8,976
8,987
8,1238
8,1414
8,1418
8,1426
8,1500
8,1517
8,1564
8,1579
8,1613
8,1799
8,1812
8,1814
8,1902
8,1948
8,1990
8,1992
8,2040
8,2057
8,2088
8,2102
8,2209
8,2223
8,2227
8,2241
8,2270
8,2360
8,2418
8,2550
8,2617
8,2666
8,2766
8,2830
8,2842
8,2913
8,2937
8,2949
8,2969
8,3006
8,3156
8,3235
8,3307
8,3312
8,3321
8,3338
8,3475
8,3483
8,3782
8,3803
8,3900
8,3968
8,4118
8,4124
8,4136
8,4197
8,4322
8,4324
8,4395
8,4473
8,4482
8,4630
8,4633
8,4670
8,4726
8,4742
8,4750
8,4847
8,4900
8,4936
8,5039
8,5169
8,5181
8,5229
8,5248
8,5454
8,5466
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5704
8,5782
8,5870
8,5905
8,5974
8,5988
8,6035
8,6102
8,6118
8,6151
8,6156
8,6173
8,6245
8,6255
8,6287
8,6289
8,6466
8,6557
8,6686
8,6745
8,6864
8,6901
8,6979
8,6984
8,7252
8,7410
8,7452
8,7453
8,7473
8,7533
8,7691
8,7727
8,7740
8,7843
8,7855
8,7970
8,8051
8,8132
8,8196
8,8208
8,8242
8,8261
8,8274
8,8292
8,8338
8,8347
8,8352
8,8384
