layer,neuron
2,11422
4,119
4,1446
4,2530
4,7214
4,7580
4,7980
4,9704
4,10408
4,12193
4,12829
4,14185
4,15048
4,15161
4,15592
4,15818
4,16097
4,18488
5,1210
5,2671
5,3139
5,3750
5,4385
5,5909
5,6044
5,7736
5,8847
5,9388
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,16267
5,16546
5,17317
5,17575
6,489
6,599
6,1393
6,1530
6,1658
6,2400
6,2486
6,2834
6,2927
6,3793
6,3926
6,3970
6,4053
6,4253
6,4845
6,4949
6,5054
6,5121
6,5349
6,5352
6,5492
6,5511
6,5915
6,5987
6,6331
6,6476
6,6815
6,6883
6,6944
6,6961
6,7197
6,7221
6,7552
6,7601
6,7676
6,7867
6,8118
6,8282
6,8471
6,8489
6,8548
6,8971
6,9025
6,9060
6,9322
6,9365
6,9413
6,9584
6,9609
6,9729
6,9923
6,10089
6,10173
6,10248
6,10990
6,11295
6,11440
6,11602
6,12155
6,12159
6,12270
6,12324
6,12341
6,12342
6,12346
6,12420
6,12543
6,12607
6,12845
6,12908
6,12941
6,12946
6,13195
6,13286
6,13382
6,13388
6,13909
6,14195
6,14208
6,14374
6,14850
6,14904
6,15198
6,15349
6,15367
6,15482
6,16636
6,16669
6,16904
6,17011
6,17062
6,17412
6,17679
6,17772
6,17859
6,17861
6,18281
6,18525
6,18852
6,18927
7,3
7,166
7,435
7,608
7,651
7,737
7,1116
7,1297
7,1675
7,1921
7,2061
7,2493
7,3193
7,3252
7,3329
7,3490
7,3509
7,3546
7,3865
7,4028
7,4877
7,4942
7,5155
7,5184
7,5771
7,5812
7,5931
7,6330
7,6389
7,6785
7,7160
7,7170
7,7283
7,7460
7,7476
7,7854
7,8690
7,9199
7,10240
7,10977
7,11233
7,11254
7,11531
7,11651
7,11702
7,11943
7,12234
7,12453
7,12772
7,14007
7,14052
7,14093
7,14131
7,14516
7,14685
7,15232
7,15252
7,15303
7,15577
7,15610
7,15663
7,15679
7,15694
7,15952
7,16343
7,16446
7,16516
7,16735
7,17024
7,17185
7,18019
7,18269
7,18375
7,18571
8,43
8,78
8,116
8,149
8,433
8,480
8,502
8,696
8,727
8,783
8,792
8,831
8,867
8,900
8,904
8,970
8,976
8,987
8,1311
8,1312
8,1414
8,1426
8,1434
8,1564
8,1581
8,1613
8,1643
8,1673
8,1799
8,1812
8,1902
8,1990
8,2057
8,2209
8,2223
8,2227
8,2270
8,2320
8,2439
8,2469
8,2470
8,2501
8,2666
8,2749
8,2842
8,2937
8,2949
8,2969
8,3156
8,3235
8,3307
8,3337
8,3345
8,3383
8,3475
8,3494
8,3695
8,3782
8,3956
8,4118
8,4124
8,4128
8,4136
8,4197
8,4427
8,4473
8,4726
8,4750
8,4764
8,4847
8,4897
8,5053
8,5169
8,5229
8,5248
8,5454
8,5482
8,5624
8,5637
8,5704
8,5905
8,6060
8,6118
8,6151
8,6156
8,6245
8,6287
8,6486
8,6557
8,6611
8,6676
8,6745
8,6864
8,6979
8,7143
8,7346
8,7377
8,7410
8,7473
8,7533
8,7615
8,7691
8,7727
8,7740
8,7748
8,7899
8,8149
8,8196
8,8274
8,8338
8,8384
8,8483
8,8504
8,8603
8,8689
8,8690
8,8796
8,8876
8,8993
8,9000
8,9072
8,9377
8,9472
8,9518
8,9571
8,9581
8,9792
8,9896
8,9912
8,9923
8,10160
8,10219
8,10269
8,10418
8,10429
8,10538
8,10649
8,10664
8,10689
8,10782
8,10853
8,10854
8,10857
8,10858
8,10925
8,10985
8,10995
8,11135
8,11152
8,11169
8,11217
8,11237
8,11273
8,11311
8,11416
8,11494
8,11525
8,11552
8,11572
8,11594
8,11737
8,11910
8,12032
8,12184
8,12192
8,12254
8,12355
8,12421
8,12474
8,12562
8,12567
8,12638
8,12709
8,12814
8,12865
8,12888
8,12906
8,12931
8,12941
8,12946
8,12982
8,12992
8,13036
8,13350
8,13629
8,13714
8,13748
8,13752
8,13786
8,13854
8,13932
8,13980
8,13993
8,13995
8,14032
8,14347
8,14361
8,14453
8,14527
8,14544
8,14639
8,14686
8,14774
8,14888
8,14959
8,14969
8,14996
8,15006
8,15135
8,15175
8,15218
8,15300
8,15425
8,15688
8,15794
8,15825
8,15872
8,15942
8,16160
8,16316
8,16523
8,16586
8,16643
8,16782
8,16833
8,16876
8,16915
8,16974
8,16999
8,17002
8,17011
8,17039
8,17122
8,17408
8,17545
8,17599
8,17710
8,17755
8,17796
8,17819
8,17844
8,17859
8,17934
8,17972
8,17981
8,18070
8,18166
8,18225
8,18279
8,18281
8,18398
8,18526
8,18726
8,18730
8,18764
8,18850
8,18925
9,104
9,321
9,381
9,435
9,690
9,761
9,978
9,982
9,1093
9,1179
9,1388
9,1414
9,1429
9,1449
9,1477
9,1543
9,1554
9,1634
9,1657
9,1739
9,1913
9,2359
9,2542
9,2603
9,2669
9,2813
9,2933
9,2948
9,2951
9,3161
9,3234
9,3292
9,3294
9,3359
9,3384
9,3386
9,3510
9,3565
9,3655
9,3662
9,3665
9,3920
9,3972
9,4075
9,4122
9,4162
9,4217
9,4395
9,4437
9,4510
9,4516
9,4555
9,4611
9,4706
9,4739
9,4908
9,4917
9,4939
9,4989
9,5311
9,5327
9,5560
9,5707
9,5755
9,5810
9,5897
9,5914
9,6148
9,6189
9,6236
9,6267
9,6352
9,6385
9,6416
9,6487
9,6575
9,6584
9,6661
9,6748
9,6878
9,6958
9,7016
9,7148
9,7233
9,7259
9,7266
9,7417
9,7466
9,7556
9,7563
9,7603
9,7642
9,7670
9,7710
9,7766
9,7836
9,7942
9,7951
9,8106
9,8123
9,8130
9,8150
9,8247
9,8326
9,8404
9,8484
9,8553
9,8580
9,8589
9,8608
9,8802
9,8807
9,8888
9,8915
9,8991
9,9017
9,9020
9,9166
9,9171
9,9178
9,9184
9,9271
9,9386
9,9458
9,9506
9,9567
9,9608
9,9696
9,9852
9,9886
9,9965
9,10045
9,10109
9,10150
9,10215
9,10219
9,10335
9,10351
9,10552
9,10557
9,10678
9,10694
9,10697
9,10776
9,10825
9,10961
9,10991
9,11061
9,11064
9,11105
9,11235
9,11280
9,11369
9,11370
9,11450
9,11635
9,11657
9,11881
9,11886
9,11895
9,11918
9,12107
9,12129
9,12132
9,12255
9,12312
9,12483
9,12566
9,12636
9,12637
9,12765
9,12799
9,12821
9,12917
9,12962
9,13110
9,13118
9,13348
9,13394
9,13469
9,13601
9,13723
9,13783
9,13823
9,13872
9,13880
9,13888
9,13906
9,13914
9,14109
9,14320
9,14470
9,14617
9,14811
9,14821
9,14825
9,14999
9,15054
9,15239
9,15252
9,15402
9,15421
9,15442
9,15472
9,15505
9,15568
9,15616
9,15617
9,15702
9,15720
9,15777
9,16003
9,16018
9,16019
9,16325
9,16345
9,16352
9,16373
9,16484
9,16550
9,16576
9,16616
9,16716
9,16721
9,16742
9,16753
9,16888
9,16947
9,17030
9,17049
9,17075
9,17234
9,17239
9,17291
9,17321
9,17327
9,17379
9,17390
9,17461
9,17492
9,17505
9,17528
9,17728
9,17739
9,17750
9,17827
9,17855
9,17990
9,18120
9,18144
9,18261
9,18301
9,18365
9,18395
9,18516
9,18619
9,18758
9,18771
9,18843
9,18879
9,18894
10,3
10,33
10,226
10,247
10,257
10,333
10,363
10,384
10,386
10,398
10,501
10,528
10,550
10,585
10,593
10,606
10,635
10,819
10,850
10,866
10,950
10,953
10,962
10,1036
10,1039
10,1055
10,1086
10,1139
10,1182
10,1258
10,1297
10,1325
10,1346
10,1359
10,1388
10,1417
10,1509
10,1512
10,1546
10,1587
10,1609
10,1653
10,1702
10,1739
10,1779
10,1814
10,1838
10,1841
10,1873
10,1890
10,1950
10,1987
10,2022
10,2065
10,2142
10,2162
10,2178
10,2185
10,2199
10,2218
10,2246
10,2250
10,2362
10,2510
10,2515
10,2552
10,2595
10,2670
10,2679
10,2691
10,2724
10,2733
10,2796
10,2874
10,2875
10,2896
10,2918
10,2932
10,2978
10,3194
10,3220
10,3226
10,3272
10,3284
10,3336
10,3367
10,3371
10,3427
10,3450
10,3524
10,3562
10,3600
10,3640
10,3655
10,3829
10,3875
10,3988
10,4049
10,4135
10,4188
10,4272
10,4311
10,4370
10,4524
10,4526
10,4559
10,4574
10,4692
10,4703
10,4725
10,4778
10,4781
10,4783
10,4795
10,4807
10,4833
10,4843
10,4891
10,5049
10,5055
10,5111
10,5148
10,5193
10,5223
10,5229
10,5265
10,5268
10,5348
10,5418
10,5432
10,5461
10,5484
10,5527
10,5561
10,5581
10,5648
10,5674
10,5684
10,5691
10,5730
10,5800
10,5854
10,5868
10,5936
10,6032
10,6039
10,6055
10,6096
10,6103
10,6105
10,6188
10,6279
10,6403
10,6529
10,6535
10,6595
10,6723
10,6783
10,6784
10,6863
10,6892
10,6916
10,6947
10,6970
10,6997
10,7014
10,7029
10,7043
10,7063
10,7100
10,7207
10,7265
10,7272
10,7277
10,7317
10,7589
10,7741
10,7765
10,7807
10,7810
10,7816
10,7873
10,7877
10,7940
10,7959
10,7980
10,8034
10,8041
10,8105
10,8113
10,8187
10,8307
10,8401
10,8517
10,8565
10,8632
10,8633
10,8665
10,8750
10,8765
10,8850
10,8924
10,8938
10,8960
10,8975
10,9027
10,9036
10,9044
10,9080
10,9088
10,9106
10,9110
10,9123
10,9146
10,9155
10,9213
10,9233
10,9273
10,9311
10,9350
10,9355
10,9363
10,9468
10,9495
10,9529
10,9585
10,9596
10,9606
10,9628
10,9673
10,9715
10,9844
10,9870
10,9981
10,9995
10,10008
10,10015
10,10148
10,10227
10,10241
10,10247
10,10271
10,10284
10,10333
10,10390
10,10391
10,10402
10,10416
10,10442
10,10457
10,10512
10,10532
10,10547
10,10561
10,10674
10,10734
10,10747
10,10752
10,10776
10,10780
10,10855
10,10884
10,10900
10,10924
10,10936
10,10938
10,10949
10,10976
10,11011
10,11014
10,11023
10,11031
10,11035
10,11043
10,11098
10,11248
10,11278
10,11323
10,11347
10,11404
10,11420
10,11432
10,11484
10,11518
10,11560
10,11570
10,11583
10,11625
10,11656
10,11677
10,11680
10,11691
10,11704
10,11737
10,11739
10,11763
10,11765
10,11792
10,11812
10,11817
10,11851
10,11868
10,11869
10,11877
10,11880
10,11948
10,11992
10,12010
10,12016
10,12023
10,12080
10,12087
10,12174
10,12255
10,12260
10,12285
10,12297
10,12320
10,12324
10,12409
10,12501
10,12507
10,12538
10,12560
10,12651
10,12664
10,12669
10,12696
10,12748
10,12755
10,12779
10,12831
10,12835
10,12867
10,12874
10,12961
10,12965
10,12972
10,12980
10,12995
10,13012
10,13077
10,13134
10,13205
10,13225
10,13292
10,13324
10,13355
10,13383
10,13457
10,13493
10,13515
10,13521
10,13546
10,13549
10,13785
10,13814
10,13919
10,13965
10,13976
10,13999
10,14032
10,14121
10,14171
10,14219
10,14267
10,14294
10,14295
10,14304
10,14332
10,14380
10,14441
10,14443
10,14453
10,14463
10,14496
10,14517
10,14594
10,14605
10,14614
10,14629
10,14630
10,14725
10,14740
10,14747
10,14766
10,14828
10,14903
10,14910
10,14945
10,14948
10,15057
10,15091
10,15155
10,15170
10,15179
10,15185
10,15191
10,15206
10,15237
10,15298
10,15334
10,15431
10,15448
10,15453
10,15477
10,15556
10,15572
10,15612
10,15634
10,15731
10,15744
10,15746
10,15766
10,15799
10,15819
10,15867
10,15883
10,15931
10,15989
10,16038
10,16066
10,16095
10,16122
10,16154
10,16162
10,16175
10,16202
10,16208
10,16227
10,16319
10,16324
10,16354
10,16383
10,16440
10,16520
10,16565
10,16583
10,16646
10,16657
10,16709
10,16719
10,16839
10,16855
10,16894
10,16948
10,16968
10,16972
10,17041
10,17045
10,17129
10,17131
10,17149
10,17212
10,17307
10,17329
10,17334
10,17348
10,17361
10,17383
10,17396
10,17403
10,17408
10,17426
10,17444
10,17476
10,17512
10,17530
10,17546
10,17550
10,17605
10,17642
10,17677
10,17709
10,17808
10,17829
10,17862
10,17888
10,17998
10,18029
10,18192
10,18197
10,18204
10,18221
10,18397
10,18402
10,18417
10,18431
10,18473
10,18481
10,18493
10,18494
10,18581
10,18588
10,18622
10,18724
10,18748
10,18802
10,18809
11,30
11,111
11,201
11,218
11,243
11,253
11,280
11,282
11,295
11,465
11,543
11,577
11,610
11,625
11,654
11,661
11,671
11,708
11,856
11,937
11,1005
11,1033
11,1061
11,1089
11,1199
11,1239
11,1240
11,1250
11,1268
11,1338
11,1399
11,1422
11,1519
11,1562
11,1632
11,1743
11,1903
11,1918
11,1970
11,1990
11,2061
11,2091
11,2114
11,2116
11,2164
11,2202
11,2239
11,2270
11,2273
11,2288
11,2377
11,2403
11,2427
11,2487
11,2515
11,2519
11,2551
11,2555
11,2593
11,2615
11,2626
11,2665
11,2681
11,2684
11,2709
11,2718
11,2857
11,2904
11,2932
11,2934
11,2956
11,2960
11,2967
11,2978
11,3028
11,3046
11,3049
11,3074
11,3112
11,3113
11,3115
11,3247
11,3373
11,3457
11,3495
11,3531
11,3558
11,3561
11,3618
11,3650
11,3735
11,3808
11,3950
11,3978
11,3991
11,4049
11,4062
11,4079
11,4117
11,4123
11,4241
11,4262
11,4370
11,4396
11,4428
