layer,neuron
2,9841
2,11422
2,15133
3,12426
3,17019
4,119
4,162
4,293
4,474
4,881
4,1097
4,1446
4,1531
4,2333
4,2530
4,5105
4,7214
4,7403
4,7580
4,7980
4,9687
4,9704
4,10408
4,10416
4,10942
4,10987
4,11645
4,11689
4,12193
4,12829
4,13463
4,13976
4,14068
4,14185
4,14525
4,15048
4,15152
4,15161
4,15592
4,15818
4,16097
4,16743
4,17750
4,17815
4,18411
4,18488
5,1210
5,2671
5,3139
5,3750
5,4385
5,5909
5,6044
5,7736
5,8847
5,9388
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12222
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,16267
5,16546
5,16659
5,17317
5,17575
5,17889
6,256
6,412
6,489
6,599
6,754
6,780
6,978
6,1329
6,1393
6,1530
6,1658
6,2128
6,2163
6,2178
6,2400
6,2486
6,2834
6,2927
6,3080
6,3367
6,3653
6,3793
6,3926
6,3970
6,4053
6,4253
6,4377
6,4434
6,4609
6,4845
6,4947
6,4949
6,4974
6,5054
6,5121
6,5349
6,5352
6,5492
6,5511
6,5560
6,5606
6,5915
6,5987
6,5990
6,6085
6,6125
6,6331
6,6351
6,6476
6,6815
6,6883
6,6944
6,6961
6,7183
6,7197
6,7221
6,7339
6,7355
6,7552
6,7601
6,7676
6,7856
6,7867
6,8118
6,8194
6,8257
6,8282
6,8471
6,8489
6,8548
6,8608
6,8677
6,8920
6,8971
6,9025
6,9051
6,9060
6,9079
6,9221
6,9322
6,9365
6,9413
6,9584
6,9609
6,9648
6,9729
6,9923
6,10089
6,10091
6,10124
6,10173
6,10248
6,10404
6,10619
6,10859
6,10965
6,10990
6,10993
6,11295
6,11440
6,11543
6,11602
6,11771
6,12155
6,12159
6,12234
6,12270
6,12324
6,12341
6,12342
6,12346
6,12382
6,12420
6,12543
6,12607
6,12845
6,12908
6,12941
6,12946
6,13195
6,13286
6,13382
6,13388
6,13537
6,13867
6,13909
6,14195
6,14208
6,14374
6,14450
6,14459
6,14526
6,14612
6,14850
6,14904
6,15198
6,15261
6,15349
6,15367
6,15432
6,15482
6,15541
6,15649
6,15859
6,15965
6,16007
6,16102
6,16151
6,16453
6,16473
6,16636
6,16669
6,16904
6,17011
6,17062
6,17412
6,17549
6,17657
6,17679
6,17772
6,17859
6,17861
6,18182
6,18197
6,18281
6,18409
6,18525
6,18615
6,18623
6,18852
6,18927
7,3
7,166
7,435
7,608
7,651
7,737
7,1009
7,1116
7,1297
7,1538
7,1675
7,1921
7,2061
7,2079
7,2156
7,2493
7,3122
7,3135
7,3193
7,3252
7,3329
7,3348
7,3490
7,3509
7,3546
7,3865
7,3936
7,4028
7,4273
7,4455
7,4827
7,4877
7,4942
7,5155
7,5184
7,5218
7,5771
7,5812
7,5855
7,5931
7,6252
7,6330
7,6389
7,6785
7,6822
7,7111
7,7160
7,7170
7,7283
7,7403
7,7460
7,7476
7,7631
7,7854
7,8421
7,8690
7,9199
7,9583
7,9776
7,10240
7,10977
7,11233
7,11254
7,11423
7,11531
7,11651
7,11702
7,11943
7,12038
7,12234
7,12453
7,12565
7,12753
7,12772
7,13366
7,14007
7,14052
7,14093
7,14131
7,14280
7,14429
7,14516
7,14630
7,14685
7,14742
7,14774
7,14848
7,15213
7,15232
7,15252
7,15303
7,15443
7,15577
7,15610
7,15663
7,15665
7,15679
7,15694
7,15952
7,16198
7,16343
7,16446
7,16516
7,16630
7,16735
7,16865
7,16924
7,17024
7,17037
7,17133
7,17185
7,17671
7,17834
7,17965
7,18019
7,18092
7,18253
7,18269
7,18375
7,18395
7,18407
7,18571
7,18794
8,43
8,73
8,78
8,116
8,149
8,167
8,362
8,433
8,480
8,502
8,668
8,696
8,727
8,783
8,792
8,831
8,867
8,900
8,904
8,949
8,970
8,976
8,987
8,1051
8,1090
8,1224
8,1260
8,1311
8,1312
8,1414
8,1426
8,1431
8,1434
8,1564
8,1578
8,1581
8,1583
8,1613
8,1643
8,1673
8,1799
8,1812
8,1853
8,1902
8,1990
8,2057
8,2081
8,2209
8,2223
8,2227
8,2270
8,2320
8,2360
8,2439
8,2469
8,2470
8,2501
8,2666
8,2749
8,2766
8,2770
8,2842
8,2870
8,2937
8,2949
8,2969
8,3156
8,3174
8,3235
8,3307
8,3312
8,3321
8,3337
8,3345
8,3383
8,3475
8,3494
8,3695
8,3773
8,3782
8,3956
8,4014
8,4060
8,4062
8,4118
8,4124
8,4128
8,4136
8,4197
8,4324
8,4359
8,4401
8,4427
8,4473
8,4570
8,4588
8,4683
8,4726
8,4742
8,4750
8,4764
8,4847
8,4897
8,4927
8,5053
8,5141
8,5169
8,5229
8,5248
8,5333
8,5454
8,5482
8,5624
8,5637
8,5704
8,5757
8,5905
8,5908
8,6011
8,6025
8,6060
8,6118
8,6151
8,6156
8,6245
8,6287
8,6486
8,6557
8,6611
8,6676
8,6745
8,6864
8,6954
8,6979
8,7074
8,7143
8,7298
8,7346
8,7377
8,7410
8,7473
8,7533
8,7615
8,7682
8,7691
8,7727
8,7740
8,7748
8,7899
8,8149
8,8196
8,8261
8,8274
8,8292
8,8326
8,8338
8,8384
8,8483
8,8484
8,8504
8,8603
8,8626
8,8689
8,8690
8,8747
8,8796
8,8854
8,8876
8,8993
8,9000
8,9038
8,9072
8,9377
8,9384
8,9425
8,9472
8,9518
8,9571
8,9581
8,9642
8,9694
8,9792
8,9896
8,9912
8,9923
8,10055
8,10088
8,10160
8,10176
8,10189
8,10196
8,10208
8,10219
8,10258
8,10269
8,10418
8,10429
8,10538
8,10649
8,10664
8,10689
8,10706
8,10782
8,10853
8,10854
8,10857
8,10858
8,10925
8,10985
8,10995
8,11075
8,11135
8,11152
8,11169
8,11217
8,11237
8,11273
8,11311
8,11330
8,11335
8,11416
8,11494
8,11525
8,11552
8,11572
8,11594
8,11600
8,11737
8,11910
8,12032
8,12161
8,12184
8,12192
8,12218
8,12254
8,12355
8,12421
8,12474
8,12562
8,12567
8,12638
8,12709
8,12814
8,12865
8,12888
8,12906
8,12931
8,12941
8,12946
8,12953
8,12982
8,12992
8,13036
8,13209
8,13350
8,13467
8,13575
8,13629
8,13714
8,13748
8,13752
8,13786
8,13854
8,13882
8,13932
8,13954
8,13980
8,13993
8,13995
8,14032
8,14260
8,14330
8,14347
8,14361
8,14453
8,14527
8,14544
8,14631
8,14639
8,14686
8,14774
8,14787
8,14888
8,14959
8,14969
8,14996
8,15006
8,15135
8,15175
8,15218
8,15229
8,15300
8,15361
8,15402
8,15425
8,15560
8,15618
8,15677
8,15688
8,15794
8,15825
8,15855
8,15872
8,15917
8,15942
8,16040
8,16160
8,16263
8,16316
8,16507
8,16523
8,16586
8,16643
8,16722
8,16782
8,16833
8,16876
8,16915
8,16974
8,16999
8,17002
8,17011
8,17039
8,17063
8,17122
8,17408
8,17416
8,17466
8,17479
8,17545
8,17599
8,17710
8,17755
8,17777
8,17796
8,17819
8,17844
8,17859
8,17934
8,17972
8,17981
8,18070
8,18078
8,18121
8,18166
8,18225
8,18279
8,18281
8,18398
8,18476
8,18525
8,18526
8,18690
8,18726
8,18730
8,18764
8,18850
8,18878
