layer,neuron
2,6148
2,9841
2,15133
3,7075
3,17019
4,119
4,162
4,293
4,474
4,881
4,1036
4,1446
4,1531
4,2333
4,2530
4,3382
4,4576
4,5891
4,7214
4,7403
4,7580
4,7980
4,9687
4,9704
4,10408
4,10416
4,10987
4,11645
4,11689
4,11834
4,12193
4,12804
4,12829
4,13463
4,13976
4,14068
4,14185
4,14525
4,15048
4,15152
4,15161
4,15592
4,15818
4,16097
4,16743
4,17174
4,17194
4,17750
4,17815
4,18411
4,18488
5,1210
5,1566
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16267
5,16546
5,16659
5,17317
5,17575
5,17889
6,45
6,240
6,412
6,489
6,754
6,780
6,978
6,1329
6,1393
6,1658
6,2039
6,2128
6,2132
6,2155
6,2160
6,2389
6,2400
6,2486
6,2512
6,2521
6,2834
6,2927
6,3080
6,3470
6,3653
6,3793
6,3926
6,3970
6,4037
6,4053
6,4253
6,4377
6,4434
6,4609
6,4845
6,4929
6,4947
6,4949
6,4974
6,5054
6,5121
6,5349
6,5352
6,5492
6,5511
6,5560
6,5606
6,5855
6,5915
6,5987
6,5990
6,6085
6,6125
6,6331
6,6351
6,6476
6,6705
6,6815
6,6832
6,6883
6,6909
6,6944
6,6961
6,7183
6,7197
6,7221
6,7339
6,7355
6,7552
6,7590
6,7601
6,7673
6,7792
6,7867
6,8118
6,8194
6,8257
6,8282
6,8471
6,8489
6,8548
6,8591
6,8608
6,8677
6,8971
6,8985
6,9025
6,9031
6,9051
6,9060
6,9149
6,9221
6,9322
6,9365
6,9413
6,9584
6,9609
6,9648
6,9652
6,9729
6,9920
6,9954
6,10089
6,10091
6,10124
6,10173
6,10248
6,10618
6,10859
6,10965
6,10990
6,11143
6,11295
6,11348
6,11355
6,11440
6,11543
6,11602
6,11771
6,12159
6,12234
6,12270
6,12324
6,12341
6,12342
6,12346
6,12382
6,12420
6,12543
6,12607
6,12697
6,12845
6,12908
6,12941
6,12946
6,13070
6,13195
6,13286
6,13381
6,13382
6,13388
6,13537
6,13867
6,13909
6,14195
6,14208
6,14284
6,14374
6,14450
6,14459
6,14526
6,14612
6,14638
6,14771
6,14850
6,14904
6,15198
6,15233
6,15261
6,15349
6,15367
6,15432
6,15482
6,15541
6,15549
6,15649
6,15859
6,15965
6,16102
6,16194
6,16378
6,16473
6,16636
6,16669
6,16904
6,16959
6,17011
6,17062
6,17412
6,17549
6,17679
6,17772
6,17859
6,17861
6,17895
6,18139
6,18182
6,18197
6,18266
6,18279
6,18281
6,18376
6,18409
6,18525
6,18631
6,18761
6,18788
6,18789
6,18852
6,18927
7,3
7,148
7,166
7,435
7,461
7,651
7,721
7,737
7,1009
7,1116
7,1272
7,1297
7,1310
7,1538
7,1675
7,1771
7,1776
7,1803
7,1921
7,2061
7,2079
7,2156
7,2519
7,2926
7,2971
7,3087
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3490
7,3509
7,3546
7,3791
7,3798
7,3865
7,3936
7,4028
7,4726
7,4827
7,4942
7,5155
7,5165
7,5213
7,5343
7,5771
7,5855
7,5931
7,5942
7,6252
7,6330
7,6785
7,6822
7,6974
7,7104
7,7111
7,7160
7,7170
7,7403
7,7460
7,7476
7,7631
7,7854
7,8421
7,8567
7,9005
7,9199
7,9225
7,9337
7,9583
7,9606
7,9776
7,9972
7,10240
7,10632
7,10977
7,11094
7,11101
7,11233
7,11423
7,11531
7,11651
7,11702
7,12038
7,12234
7,12453
7,12565
7,12676
7,12772
7,12810
7,12889
7,13184
7,13366
7,13889
7,14007
7,14052
7,14093
7,14193
7,14280
7,14376
7,14429
7,14630
7,14685
7,14707
7,14742
7,14774
7,14833
7,14848
7,15151
7,15213
7,15232
7,15252
7,15303
7,15382
7,15546
7,15608
7,15610
7,15663
7,15665
7,15679
7,15694
7,15952
7,16118
7,16198
7,16343
7,16349
7,16503
7,16516
7,16630
7,16865
7,16924
7,17024
7,17037
7,17068
7,17111
7,17185
7,17671
7,17834
7,17965
7,18092
7,18253
7,18375
7,18395
7,18571
7,18794
7,18927
8,0
8,34
8,43
8,60
8,73
8,78
8,116
8,149
8,151
8,167
8,184
8,210
8,277
8,362
8,388
8,417
8,420
8,430
8,450
8,480
8,520
8,566
8,587
8,668
8,679
8,727
8,792
8,831
8,867
8,900
8,904
8,970
8,976
8,987
8,1090
8,1153
8,1224
8,1237
8,1238
8,1260
8,1414
8,1426
8,1431
8,1434
8,1508
