layer,neuron
2,4013
2,6148
2,15133
3,7075
4,293
4,1097
4,3200
4,5095
4,5891
4,7214
4,7580
4,7980
4,9687
4,10408
4,11941
4,12193
4,12829
4,13463
4,14384
4,15048
4,15161
4,15592
4,15893
4,16097
4,16743
4,17174
4,17750
4,18559
4,18771
5,880
5,1210
5,2671
5,3139
5,3944
5,4385
5,5909
5,6044
5,6215
5,7736
5,8670
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,13159
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,16408
5,16546
5,16659
5,17889
6,45
6,105
6,106
6,199
6,236
6,240
6,261
6,268
6,410
6,412
6,489
6,510
6,512
6,777
6,816
6,946
6,1066
6,1130
6,1373
6,1393
6,1481
6,1535
6,1540
6,1658
6,1683
6,1890
6,2039
6,2095
6,2128
6,2132
6,2284
6,2309
6,2400
6,2486
6,2521
6,2653
6,2834
6,2927
6,3129
6,3221
6,3470
6,3724
6,3769
6,3797
6,3847
6,3926
6,3970
6,3971
6,4253
6,4434
6,4612
6,4695
6,4845
6,4904
6,4947
6,4974
6,5054
6,5441
6,5492
6,5606
6,5768
6,5865
6,5915
6,5956
6,6085
6,6125
6,6167
6,6227
6,6292
6,6476
6,6495
6,6714
6,6779
6,6815
6,6883
6,6903
6,6944
6,7038
6,7197
6,7289
6,7339
6,7378
6,7468
6,7482
6,7552
6,7601
6,7643
6,7673
6,7821
6,7867
6,7962
6,8066
6,8194
6,8231
6,8459
6,8471
6,8489
6,8548
6,8591
6,8663
6,8698
6,8743
6,8929
6,8971
6,8985
6,9025
6,9031
6,9060
6,9269
6,9322
6,9365
6,9386
6,9609
6,9648
6,9656
6,9697
6,9729
6,9795
6,9920
6,9967
6,10005
6,10072
6,10091
6,10103
6,10248
6,10285
6,10551
6,10618
6,10713
6,10990
6,11034
6,11163
6,11440
6,11536
6,11543
6,11621
6,12053
6,12198
6,12234
6,12303
6,12324
6,12342
6,12420
6,12465
6,12536
6,12607
6,12697
6,12809
6,12908
6,13022
6,13041
6,13070
6,13085
6,13195
6,13315
6,13327
6,13381
6,13382
6,13537
6,13723
6,13909
6,14005
6,14195
6,14208
6,14396
6,14526
6,14612
6,14638
6,14707
6,14771
6,14850
6,14871
6,14904
6,14950
6,15028
6,15293
6,15367
6,15549
6,15696
6,15919
6,15971
6,16194
6,16323
6,16328
6,16378
6,16473
6,16592
6,16636
6,16830
6,16904
6,16948
6,16959
6,17011
6,17086
6,17425
6,17499
6,17657
6,17659
6,17679
6,17772
6,17815
6,17859
6,17861
6,18197
6,18281
6,18376
6,18439
6,18525
6,18599
6,18623
6,18631
6,18667
6,18670
6,18789
6,18848
6,18852
6,18920
7,3
7,89
7,166
7,261
7,435
7,461
7,473
7,564
7,566
7,601
7,651
7,721
7,737
7,837
7,857
7,917
7,961
7,962
7,969
7,974
7,1009
7,1097
7,1116
7,1170
7,1310
7,1344
7,1346
7,1406
7,1422
7,1444
7,1675
7,1771
7,1776
7,1827
7,1847
7,1924
7,1953
7,2023
7,2061
7,2079
7,2128
7,2156
7,2294
7,2297
7,2320
7,2341
7,2639
7,2675
7,2775
7,2790
7,2805
7,2943
7,3039
7,3087
7,3122
7,3133
7,3135
7,3193
7,3252
7,3329
7,3438
7,3458
7,3500
7,3509
7,3773
7,3791
7,3804
7,3844
7,3865
7,3936
7,4081
7,4199
7,4214
7,4231
7,4668
7,4877
7,4904
7,4942
7,5085
7,5166
7,5280
7,5362
7,5373
7,5430
7,5458
7,5483
7,5498
7,5580
7,5771
7,5791
7,5830
7,5847
7,5850
7,5853
7,5896
7,5984
7,6025
7,6031
7,6252
7,6316
7,6330
7,6600
7,6613
7,6754
7,6822
7,6826
7,6998
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7375
7,7415
7,7426
7,7460
7,7631
7,7678
7,7831
7,7854
7,7950
7,8010
7,8171
7,8230
7,8567
7,8720
7,8819
7,8861
7,9005
7,9199
7,9227
7,9337
7,9396
7,9409
7,9449
7,9564
7,9567
7,9578
7,9606
7,9709
7,9774
7,9776
7,9851
7,9930
7,9963
7,9977
7,10078
7,10185
7,10594
7,10632
7,10647
7,10754
7,10822
7,11064
7,11233
7,11298
7,11323
7,11423
7,11531
7,11651
7,11806
7,11810
7,11912
7,12003
7,12034
7,12072
7,12240
7,12260
7,12276
7,12453
7,12575
7,12629
7,12686
7,12810
7,12868
7,12889
7,13225
7,13259
7,13264
7,13366
7,13463
7,13483
7,13596
7,13817
7,13822
7,13870
7,13889
7,14011
7,14093
7,14238
7,14281
7,14376
7,14424
7,14429
7,14604
7,14630
7,14680
7,14707
7,14738
7,14742
7,14745
7,15043
7,15047
7,15213
7,15232
7,15252
7,15382
7,15401
7,15443
7,15459
7,15610
7,15638
7,15663
7,15671
7,15679
7,15882
7,16095
7,16174
7,16198
7,16233
7,16334
7,16343
7,16422
7,16503
7,16630
7,16825
7,16865
7,16924
7,16952
7,17037
7,17150
7,17165
7,17212
7,17294
7,17387
7,17449
7,17513
7,17671
7,17680
7,17781
7,17965
7,18092
7,18135
7,18171
7,18208
7,18219
7,18346
7,18375
7,18395
7,18564
7,18571
7,18794
7,18820
7,18841
7,18886
7,18927
8,0
8,43
8,60
8,78
8,116
8,167
8,181
8,218
8,226
8,388
8,426
8,431
8,480
8,496
8,587
8,668
8,706
8,714
8,727
8,831
8,875
8,900
8,909
8,925
8,941
8,955
8,956
8,970
8,985
8,987
8,1111
8,1153
8,1224
8,1237
8,1267
8,1286
8,1388
8,1394
8,1399
8,1414
8,1426
8,1467
8,1500
8,1517
8,1549
8,1564
8,1579
8,1583
8,1593
8,1623
8,1766
8,1799
8,1812
8,1814
8,1902
8,1921
8,1948
8,2003
8,2040
8,2057
8,2102
8,2180
8,2209
8,2223
8,2227
8,2241
8,2259
8,2270
8,2274
8,2293
8,2360
8,2387
8,2397
8,2418
8,2470
8,2580
8,2646
8,2770
8,2830
8,2842
8,2919
8,2949
8,2963
8,2969
8,3073
8,3074
8,3156
8,3235
8,3307
8,3312
8,3321
8,3338
8,3385
8,3407
8,3418
8,3525
8,3527
8,3557
8,3610
8,3703
8,3730
8,3761
8,3774
8,3782
8,3810
8,3900
8,3911
8,3946
8,3961
8,3964
8,3991
8,4014
8,4027
8,4080
8,4124
8,4188
8,4197
8,4209
8,4239
8,4261
8,4276
8,4322
8,4324
8,4329
8,4337
8,4359
8,4444
8,4473
8,4551
8,4552
8,4588
8,4614
8,4622
8,4631
8,4658
8,4670
8,4686
8,4726
8,4742
8,4750
8,4854
8,4945
8,5011
8,5039
8,5125
8,5169
8,5229
8,5248
8,5274
8,5369
8,5454
8,5546
8,5552
8,5553
8,5558
8,5578
8,5584
8,5624
8,5625
8,5641
8,5782
8,5807
8,5870
8,5873
8,5890
8,5905
8,5908
8,5929
8,5969
8,5982
8,6011
8,6031
8,6035
8,6118
8,6121
8,6156
8,6161
8,6170
8,6244
8,6255
8,6289
8,6299
8,6349
8,6401
8,6438
8,6466
8,6532
8,6557
8,6676
8,6706
8,6738
8,6802
8,6852
8,6864
8,6875
8,6929
8,6988
8,7001
8,7027
8,7096
8,7162
8,7179
8,7261
8,7271
8,7315
8,7410
8,7443
8,7473
8,7533
8,7553
8,7572
8,7607
8,7652
8,7691
8,7697
8,7761
8,7803
8,7843
8,7872
8,7899
8,7961
8,7970
8,7998
8,8048
8,8084
8,8118
8,8200
8,8208
8,8244
8,8261
8,8274
8,8292
8,8369
8,8384
8,8484
8,8626
8,8689
8,8690
8,8692
8,8709
8,8755
8,8796
8,8864
8,8876
8,8975
8,9000
8,9038
8,9150
8,9186
8,9248
8,9294
8,9384
8,9391
8,9446
8,9472
8,9499
8,9518
8,9532
8,9571
8,9607
8,9621
8,9637
8,9770
8,9792
8,9883
8,9896
8,9912
8,9915
8,10065
8,10079
8,10189
8,10194
8,10196
8,10208
8,10213
8,10269
8,10289
8,10301
8,10422
8,10489
8,10548
8,10553
8,10627
8,10641
8,10664
8,10669
8,10692
8,10702
8,10707
8,10722
8,10761
8,10769
8,10833
8,10854
8,10857
8,10873
8,10925
8,11001
8,11032
8,11111
8,11136
8,11144
8,11152
8,11169
8,11217
8,11273
8,11311
8,11416
8,11440
8,11472
8,11494
8,11552
8,11572
8,11590
8,11594
8,11627
8,11671
8,11696
8,11746
8,11843
8,11845
8,11870
8,11903
8,11910
8,11920
8,11962
8,11997
8,12012
8,12133
8,12161
8,12166
8,12172
8,12184
8,12188
8,12192
8,12254
8,12274
8,12311
8,12355
8,12401
8,12421
8,12459
8,12479
8,12567
8,12572
8,12573
8,12577
8,12682
8,12709
8,12814
8,12865
8,12894
8,12903
8,12928
8,12931
8,12941
8,12953
8,12973
8,12992
8,13036
8,13053
8,13093
8,13111
8,13129
8,13200
8,13260
8,13350
8,13352
8,13411
8,13520
8,13575
8,13579
8,13665
8,13712
8,13750
8,13759
8,13761
8,13882
8,13884
8,13891
8,13908
8,13915
8,13932
8,13980
8,13991
8,13995
8,14037
8,14043
8,14065
8,14087
8,14270
8,14310
8,14315
8,14342
8,14347
8,14361
8,14447
8,14468
8,14520
8,14544
8,14568
8,14571
8,14604
8,14631
8,14653
8,14686
8,14774
8,14780
8,14787
8,14818
8,14827
8,14921
8,14962
8,14969
8,14986
8,14988
8,14996
8,15032
8,15035
8,15104
8,15175
8,15179
8,15218
8,15249
8,15281
8,15330
8,15379
8,15402
8,15469
8,15618
8,15707
8,15737
8,15776
8,15794
8,15805
8,15815
8,15829
8,15856
8,15917
8,16040
8,16075
8,16087
8,16097
8,16160
8,16216
8,16241
8,16286
8,16316
8,16345
8,16354
8,16360
8,16432
8,16552
8,16555
8,16556
8,16586
8,16643
8,16710
8,16776
8,16782
8,16784
8,16833
8,16865
8,16876
8,16915
8,16951
8,17009
8,17061
8,17159
8,17195
8,17233
8,17246
8,17296
8,17416
8,17442
8,17446
8,17548
8,17599
8,17653
8,17664
8,17680
8,17686
8,17699
8,17710
8,17755
8,17774
8,17819
8,17859
8,17916
8,17934
8,17972
8,18070
8,18120
8,18121
8,18166
8,18229
8,18239
8,18265
8,18270
8,18279
8,18281
8,18299
8,18312
8,18362
8,18405
8,18525
8,18526
8,18527
8,18545
8,18558
8,18650
8,18681
8,18686
8,18690
8,18726
8,18730
8,18764
8,18782
8,18850
8,18925
9,166
9,228
9,321
9,334
9,576
9,761
9,874
9,876
9,978
9,1061
9,1082
9,1093
9,1156
9,1179
9,1253
9,1264
9,1305
9,1333
9,1378
9,1380
9,1388
9,1429
9,1460
9,1543
9,1554
9,1634
9,1642
9,1643
9,1653
9,1657
9,1739
9,1808
9,1913
9,2041
9,2058
9,2127
9,2137
9,2165
9,2182
9,2209
9,2294
9,2323
9,2471
9,2535
9,2542
9,2610
9,2669
9,2722
9,2758
9,2761
9,2791
9,2801
9,2813
9,3056
9,3076
9,3099
9,3234
9,3285
9,3311
9,3359
9,3386
9,3450
9,3476
9,3510
9,3576
9,3655
9,3662
9,3838
9,3841
9,3972
9,4003
9,4217
9,4237
9,4264
9,4387
9,4439
9,4463
9,4481
9,4544
9,4562
9,4596
9,4611
9,4706
9,4739
9,4756
9,4848
9,4886
9,4908
9,4941
9,4977
9,4989
9,5211
9,5379
9,5537
9,5584
9,5632
9,5745
9,5810
9,5848
9,5856
9,5897
9,5914
9,5977
9,5996
9,6069
9,6131
9,6148
9,6189
9,6236
9,6254
9,6290
9,6297
9,6436
9,6487
9,6539
9,6543
9,6575
9,6873
9,6878
9,6958
9,7016
9,7063
9,7068
9,7122
9,7148
9,7233
9,7259
9,7266
9,7466
9,7556
9,7563
9,7596
9,7710
9,7729
9,7836
9,7918
9,7951
9,7975
9,8095
9,8103
9,8106
9,8130
9,8150
9,8216
9,8326
9,8404
9,8484
9,8553
9,8589
9,8679
9,8712
9,8802
9,8807
9,8829
9,8889
9,8991
9,9017
9,9020
9,9142
9,9159
9,9171
9,9178
9,9196
9,9262
9,9271
9,9309
9,9458
9,9509
9,9540
9,9608
9,9696
9,9751
9,9845
9,9851
9,9886
9,9965
9,9997
9,10045
9,10075
9,10096
9,10150
9,10178
9,10219
9,10240
9,10335
9,10367
9,10413
9,10458
9,10463
9,10557
9,10567
9,10579
9,10678
9,10694
9,10697
9,10731
9,10733
9,10773
9,10776
9,10825
9,10943
9,10961
9,11071
9,11105
9,11130
9,11221
9,11224
9,11280
9,11296
9,11347
9,11416
9,11473
9,11519
9,11573
9,11657
9,11904
9,11940
9,12013
9,12137
9,12152
9,12169
9,12312
9,12463
9,12637
9,12699
9,12727
9,12765
9,12821
9,12917
9,12962
9,13014
9,13028
9,13337
9,13348
9,13394
9,13521
9,13601
9,13823
9,13870
9,13872
9,13880
9,13881
9,13901
9,13906
9,14082
9,14203
9,14249
9,14328
9,14470
9,14617
9,14710
9,14825
9,14889
9,15221
9,15252
9,15402
9,15442
9,15451
9,15505
9,15568
9,15615
9,15616
9,15617
9,15618
9,15646
9,15720
9,15827
9,15840
9,15890
9,16018
9,16345
9,16352
9,16402
9,16462
9,16484
9,16524
9,16550
9,16576
9,16616
9,16707
9,16888
9,16947
9,16980
9,17030
9,17049
9,17063
9,17110
9,17225
9,17234
9,17319
9,17379
9,17442
9,17472
9,17492
9,17505
9,17509
9,17540
9,17607
9,17636
9,17650
9,17794
9,17827
9,17840
9,18059
9,18105
9,18166
9,18302
9,18393
9,18395
9,18415
9,18449
9,18516
9,18619
9,18879
9,18894
9,18917
10,24
10,33
10,92
10,144
10,151
10,232
10,257
10,303
10,333
10,363
10,372
10,398
10,420
10,468
10,534
10,564
10,581
10,682
10,730
10,752
10,770
10,801
10,811
10,819
10,850
10,854
10,866
10,870
10,887
10,901
10,921
10,950
10,953
10,962
10,1028
10,1036
10,1039
10,1086
10,1136
10,1172
10,1182
10,1258
10,1278
10,1346
10,1374
10,1474
10,1546
10,1568
10,1620
10,1651
10,1702
10,1703
10,1711
10,1733
10,1739
10,1905
10,1944
10,2023
10,2047
10,2087
10,2134
10,2162
10,2178
10,2218
10,2238
10,2250
10,2333
10,2360
10,2416
10,2447
10,2450
10,2473
10,2489
10,2510
10,2511
10,2515
10,2542
10,2552
10,2595
10,2634
10,2652
10,2659
10,2684
10,2691
10,2696
10,2724
10,2755
10,2843
10,2875
10,2935
10,2946
10,3002
10,3027
10,3082
10,3146
10,3178
10,3194
10,3272
10,3284
10,3328
10,3345
10,3448
10,3473
10,3524
10,3544
10,3562
10,3573
10,3655
10,3660
10,3727
10,3812
10,3834
10,3875
10,3902
10,4002
10,4004
10,4024
10,4029
10,4036
10,4052
10,4059
10,4069
10,4077
10,4086
10,4096
10,4188
10,4212
10,4277
10,4311
10,4331
10,4368
10,4370
10,4420
10,4441
10,4469
10,4574
10,4606
10,4678
10,4703
10,4717
10,4725
10,4733
10,4781
10,4783
10,4833
10,4843
10,4876
10,4909
10,4929
10,5007
10,5042
10,5052
10,5055
10,5092
10,5111
10,5148
10,5166
10,5174
10,5178
10,5179
10,5193
10,5223
10,5229
10,5265
10,5268
10,5277
10,5282
10,5348
10,5400
10,5432
10,5461
10,5463
10,5484
10,5491
10,5496
10,5544
10,5552
10,5614
10,5643
10,5648
10,5674
10,5691
10,5713
10,5936
10,6039
10,6099
10,6105
10,6111
10,6197
10,6207
10,6218
10,6237
10,6282
10,6431
10,6445
10,6497
10,6535
10,6542
10,6578
10,6618
10,6654
10,6678
10,6715
10,6723
10,6741
10,6783
10,6797
10,6816
10,6843
10,6900
10,6916
10,6919
10,6947
10,6952
10,6970
10,6997
10,7014
10,7062
10,7063
10,7076
10,7100
10,7180
10,7225
10,7265
