layer,neuron
2,2928
2,11422
2,12508
2,15707
3,12426
4,1036
4,1446
4,2110
4,2164
4,2530
4,3200
4,4576
4,5491
4,5891
4,6498
4,7214
4,7580
4,7980
4,8184
4,9134
4,9687
4,10408
4,11148
4,11941
4,12193
4,12829
4,12837
4,13432
4,14185
4,14968
4,15048
4,15161
4,15291
4,15592
4,15818
4,15893
4,16097
4,16294
4,16398
4,17163
4,18488
4,18771
5,1210
5,2671
5,3139
5,3944
5,5909
5,6044
5,7736
5,8361
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,12714
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
6,39
6,106
6,240
6,342
6,473
6,598
6,1018
6,1192
6,1393
6,1491
6,1658
6,1730
6,1814
6,2039
6,2094
6,2160
6,2400
6,2486
6,2512
6,2521
6,2638
6,2663
6,2834
6,2877
6,2927
6,3175
6,3347
6,3468
6,3607
6,3769
6,3797
6,3970
6,4037
6,4253
6,4544
6,4695
6,5028
6,5054
6,5123
6,5352
6,5492
6,5768
6,5782
6,5899
6,5915
6,5956
6,6099
6,6476
6,6495
6,6684
6,6714
6,6815
6,6883
6,7197
6,7237
6,7295
6,7337
6,7482
6,7552
6,7590
6,7601
6,7673
6,7717
6,7867
6,7921
6,7977
6,8118
6,8151
6,8158
6,8194
6,8282
6,8433
6,8458
6,8471
6,8489
6,8591
6,8663
6,8698
6,8803
6,8971
6,8974
6,9020
6,9080
6,9138
6,9322
6,9365
6,9386
6,9413
6,9436
6,9459
6,9614
6,9650
6,9697
6,9795
6,9864
6,9940
6,10005
6,10072
6,10073
6,10151
6,10173
6,10248
6,10268
6,10275
6,10360
6,10990
6,11022
6,11143
6,11348
6,11440
6,11461
6,11543
6,11621
6,11880
6,12053
6,12270
6,12303
6,12306
6,12324
6,12346
6,12420
6,12465
6,12536
6,12607
6,12965
6,13111
6,13195
6,13315
6,13337
6,13382
6,13428
6,13545
6,13566
6,13909
6,14208
6,14419
6,14526
6,14555
6,14630
6,14638
6,14665
6,14693
6,14788
6,14850
6,15028
6,15149
6,15202
6,15367
6,15427
6,15638
6,15649
6,15739
6,15798
6,15971
6,16015
6,16134
6,16194
6,16240
6,16378
6,16564
6,16592
6,16595
6,16636
6,16830
6,16877
6,16904
6,17062
6,17547
6,17589
6,17643
6,17679
6,17772
6,17815
6,17859
6,17861
6,18182
6,18198
6,18241
6,18266
6,18304
6,18525
6,18631
6,18708
6,18761
6,18788
6,18789
6,18806
6,18852
6,18881
6,18920
7,3
7,166
7,217
7,264
7,302
7,435
7,651
7,721
7,961
7,974
7,1009
7,1170
7,1192
7,1327
7,1346
7,1444
7,1505
7,1619
7,1663
7,1675
7,1771
7,1776
7,1803
7,1827
7,1847
7,1924
7,1953
7,2061
7,2128
7,2136
7,2156
7,2294
7,2320
7,2366
7,2470
7,2529
7,2572
7,2573
7,2675
7,2692
7,2775
7,2877
7,3122
7,3193
7,3252
7,3319
7,3329
7,3390
7,3465
7,3500
7,3753
7,3773
7,3865
7,3936
7,4028
7,4076
7,4081
7,4205
7,4580
7,4668
7,4877
7,4904
7,5067
7,5314
7,5713
7,5771
7,5791
7,5847
7,5850
7,5853
7,5896
7,6078
7,6252
7,6255
7,6392
7,6399
7,6822
7,6826
7,7073
7,7100
7,7160
7,7170
7,7231
7,7279
7,7373
7,7460
7,7631
7,7662
7,7665
7,7759
7,7854
7,8010
7,8421
7,8464
7,8861
7,9005
7,9199
7,9227
7,9564
7,9606
7,9736
7,9738
7,9916
7,9930
7,9972
7,9977
7,10078
7,10185
7,10257
7,10366
7,10754
7,11086
7,11233
7,11425
7,11531
7,11588
7,11675
7,11685
7,11779
7,11806
7,11912
7,12038
7,12172
7,12240
7,12276
7,12686
7,12723
7,12828
7,12913
7,13189
7,13259
7,13346
7,13366
7,13483
7,13738
7,13741
7,14009
7,14164
7,14238
7,14281
7,14376
7,14394
7,14493
7,14604
7,14625
7,14680
7,14684
7,14707
7,14742
7,14833
7,14938
7,14953
7,15047
7,15155
7,15180
7,15392
7,15459
7,15577
7,15610
7,15663
7,15679
7,16008
7,16095
7,16343
7,16503
7,16686
7,16827
7,16952
7,17134
7,17206
7,17212
7,17449
7,17513
7,17561
7,17671
7,17680
7,17781
7,18219
7,18346
7,18395
7,18425
7,18570
7,18571
7,18661
7,18820
8,0
8,78
8,167
8,180
8,208
8,218
8,226
8,334
8,341
8,388
8,430
8,431
8,433
8,480
8,489
8,496
8,566
8,706
8,727
8,864
8,882
8,898
8,909
8,941
8,956
8,1027
8,1042
8,1111
8,1145
8,1153
8,1197
8,1237
8,1250
8,1311
8,1320
8,1399
8,1426
8,1498
8,1526
8,1549
8,1564
8,1766
8,1797
8,1812
8,1814
8,1819
8,1957
8,2011
8,2023
8,2035
8,2037
8,2040
8,2093
8,2102
8,2148
8,2169
8,2174
8,2209
8,2227
8,2241
8,2270
8,2415
8,2418
8,2666
8,2670
8,2768
8,2830
8,2842
8,2969
8,3227
8,3235
8,3306
8,3307
8,3338
8,3418
8,3483
8,3509
8,3610
8,3761
8,3774
8,3782
8,3803
8,3946
8,4067
8,4087
8,4165
8,4222
8,4322
8,4324
8,4395
8,4423
8,4482
8,4631
8,4633
8,4726
8,4732
8,4735
8,4742
8,4813
8,4847
8,4895
8,4900
8,5125
8,5169
8,5248
8,5305
8,5341
8,5369
8,5377
8,5466
8,5546
8,5558
8,5582
8,5624
8,5745
8,5754
8,5782
8,5807
8,5842
8,5870
8,5905
8,5974
8,6035
8,6118
8,6151
8,6156
8,6173
8,6287
8,6289
8,6353
8,6466
8,6486
8,6532
8,6745
8,6833
8,6856
8,6864
8,6891
8,7127
8,7206
8,7271
8,7377
8,7410
8,7473
8,7478
8,7533
8,7572
8,7691
8,7727
8,7778
8,7833
8,7899
8,8051
8,8084
8,8132
8,8196
8,8242
8,8244
8,8255
8,8261
8,8274
8,8347
8,8384
8,8395
8,8449
8,8483
8,8484
8,8568
8,8605
8,8668
8,8689
8,8692
8,8738
8,8755
8,8794
8,8796
8,8833
8,8864
8,8867
8,8876
8,8905
8,8993
8,9000
8,9040
8,9179
8,9216
8,9290
8,9300
8,9397
8,9472
8,9518
8,9571
8,9581
8,9612
8,9621
8,9684
8,9738
8,9746
8,9792
8,9883
8,9912
8,10065
8,10099
8,10176
8,10269
8,10283
8,10301
8,10429
8,10553
8,10627
8,10664
8,10721
8,10722
8,10857
8,10902
8,10920
8,10959
8,11005
8,11042
8,11082
8,11152
8,11169
8,11217
8,11221
8,11237
8,11263
8,11273
8,11284
8,11293
8,11311
8,11317
8,11416
8,11440
8,11472
8,11572
8,11665
8,11808
8,11816
8,11870
8,11877
8,11910
8,11922
8,12150
8,12161
8,12172
8,12183
8,12284
8,12311
8,12341
8,12417
8,12421
8,12456
8,12522
8,12572
8,12709
8,12814
8,12817
8,12874
8,12931
8,12946
8,12953
8,12973
8,12992
8,13036
8,13053
8,13093
8,13130
8,13133
8,13219
8,13350
8,13448
8,13492
8,13653
8,13732
8,13853
8,13893
8,13913
8,13915
8,13932
8,13980
8,13995
8,14032
8,14065
8,14192
8,14237
8,14270
8,14303
8,14342
8,14347
8,14361
8,14447
8,14541
8,14631
8,14639
8,14679
8,14686
8,14774
8,14782
8,14837
8,14858
8,14888
8,14891
8,14996
8,15142
8,15168
8,15175
8,15218
8,15330
8,15361
8,15385
8,15386
8,15458
8,15657
8,15707
8,15783
8,15805
8,15815
8,15856
8,16040
8,16075
8,16160
8,16298
8,16316
8,16345
8,16354
8,16360
8,16432
8,16552
8,16643
8,16675
8,16722
8,16751
8,16776
8,16782
8,16911
8,16915
8,17011
8,17039
8,17195
8,17246
8,17296
8,17381
8,17445
8,17446
8,17452
8,17466
8,17599
8,17664
8,17687
8,17699
8,17710
8,17800
8,17859
8,17934
8,17945
8,17972
8,18070
8,18111
8,18120
8,18121
8,18229
8,18279
8,18281
8,18322
8,18334
8,18526
8,18681
8,18726
8,18730
8,18739
8,18764
8,18850
8,18925
9,78
9,293
9,334
9,466
9,576
9,761
9,794
9,874
9,876
9,903
9,909
9,978
9,1082
9,1125
9,1140
9,1156
9,1172
9,1179
9,1253
9,1261
9,1274
9,1305
9,1354
9,1365
9,1380
9,1388
9,1429
9,1442
9,1460
9,1543
9,1552
9,1554
9,1591
9,1634
9,1643
9,1657
9,1808
9,1913
9,2034
9,2137
9,2196
9,2209
9,2321
9,2542
9,2669
9,2671
9,2763
9,2801
9,2813
9,2880
9,2933
9,3019
9,3085
9,3209
9,3269
9,3285
9,3311
9,3314
9,3359
9,3400
9,3450
9,3476
9,3510
9,3576
9,3639
9,3655
9,3662
9,4003
9,4075
9,4183
9,4273
9,4387
9,4439
9,4448
9,4481
9,4503
9,4554
9,4562
9,4611
9,4617
9,4695
9,4706
9,4739
9,4804
9,4848
9,4939
9,4941
9,4996
9,5170
9,5342
9,5379
9,5537
9,5630
9,5678
9,5775
9,5848
9,5856
9,5897
9,5898
9,5914
9,5996
9,6069
9,6148
9,6189
9,6236
9,6254
9,6267
9,6297
9,6301
9,6385
9,6400
9,6539
9,6543
9,6575
9,6605
9,6748
9,6781
9,6873
9,6878
9,6884
9,6958
9,7006
9,7016
9,7094
9,7266
9,7396
9,7466
9,7556
9,7563
9,7603
9,7642
9,7710
9,7836
9,7851
9,7907
9,7951
9,8095
9,8103
9,8123
9,8130
9,8150
9,8247
9,8263
9,8326
9,8404
9,8484
9,8551
9,8553
9,8580
9,8605
9,8679
9,8802
9,8807
9,8829
9,8968
9,8991
9,9009
9,9017
9,9020
9,9159
9,9171
9,9178
9,9196
9,9271
9,9309
9,9310
9,9457
9,9458
9,9490
9,9506
9,9509
9,9608
9,9696
9,9751
9,9845
9,9852
9,9886
9,9955
9,10178
9,10324
9,10410
9,10413
9,10415
9,10427
9,10458
9,10463
9,10552
9,10557
9,10567
9,10678
9,10694
9,10731
9,10759
9,10773
9,10776
9,10961
9,11028
9,11105
9,11201
9,11235
9,11239
9,11280
9,11317
9,11347
9,11369
9,11560
9,11808
9,11904
9,11940
9,12013
9,12090
9,12152
9,12209
9,12463
9,12485
9,12637
9,12727
9,12799
9,12821
9,12962
9,13094
9,13106
9,13179
9,13233
9,13337
9,13348
9,13394
9,13521
9,13601
9,13688
9,13723
9,13776
9,13823
9,13850
9,13870
9,13880
9,13901
9,14105
9,14109
9,14184
9,14203
9,14310
9,14320
9,14369
9,14386
9,14468
9,14470
9,14617
9,14646
9,14710
9,14763
9,14811
9,14901
9,14970
9,15151
9,15201
9,15252
9,15360
9,15402
9,15408
9,15421
9,15442
9,15505
9,15531
9,15617
9,15702
9,15719
9,15720
9,15738
9,15840
9,15996
9,16018
9,16111
9,16228
9,16237
9,16289
9,16345
9,16352
9,16461
9,16484
9,16550
9,16595
9,16601
9,16616
9,16683
9,16742
9,16743
9,16841
9,16888
9,16889
9,16947
9,16956
9,17030
9,17049
9,17088
9,17110
9,17234
9,17321
9,17323
9,17327
9,17379
9,17442
9,17461
9,17492
9,17505
9,17604
9,17621
9,17650
9,17796
9,17840
9,17879
9,17893
9,17961
9,18059
9,18123
9,18302
9,18359
9,18448
9,18496
9,18516
9,18619
9,18626
9,18694
9,18751
9,18873
9,18879
9,18894
9,18915
10,139
10,144
10,223
10,233
10,252
10,257
10,333
10,372
10,398
10,420
10,488
10,528
10,565
10,585
10,819
10,850
10,866
10,950
10,1008
10,1025
10,1036
10,1039
10,1086
10,1100
10,1133
10,1168
10,1182
10,1278
10,1328
10,1367
10,1428
10,1446
10,1493
10,1507
10,1540
10,1546
10,1620
10,1702
10,1718
10,1733
10,1739
10,1773
10,1916
10,2089
10,2162
10,2178
10,2185
10,2218
10,2250
10,2269
10,2285
10,2349
10,2354
10,2360
10,2418
10,2432
10,2447
10,2491
10,2511
10,2532
10,2559
10,2691
10,2724
10,2725
10,2755
10,2810
10,2863
10,2875
10,2977
10,2986
10,3061
10,3178
10,3181
10,3194
10,3221
10,3270
10,3284
10,3331
10,3336
10,3340
10,3399
10,3426
10,3427
10,3448
10,3580
10,3600
10,3660
10,3689
10,3825
10,3877
10,3911
10,3958
10,4024
10,4036
10,4181
10,4188
10,4212
10,4338
10,4366
10,4532
10,4574
10,4678
10,4686
10,4721
10,4778
10,4843
10,4868
10,4903
10,5042
10,5052
10,5058
10,5166
10,5179
10,5193
10,5212
10,5223
10,5265
10,5275
10,5389
10,5418
10,5614
10,5674
10,5691
10,5703
10,5719
10,5950
10,6028
10,6039
10,6134
10,6182
10,6272
10,6280
10,6318
10,6403
10,6445
10,6723
10,6732
10,6784
10,6862
10,6883
10,6916
10,6997
10,7014
10,7063
10,7076
10,7093
10,7100
10,7182
10,7265
10,7421
10,7441
10,7442
10,7595
10,7667
10,7762
10,7793
10,7800
10,7810
10,7814
10,7873
10,7924
10,7930
10,7940
10,7946
10,7975
10,7980
10,8000
10,8079
10,8090
10,8137
10,8151
10,8443
10,8474
10,8633
10,8765
10,8826
10,8850
10,8960
10,8967
10,9027
10,9044
10,9080
10,9152
10,9213
10,9273
10,9456
10,9468
10,9503
10,9534
10,9596
10,9606
10,9750
10,9837
