layer,neuron
2,11422
2,12508
2,15133
2,15707
3,12426
3,17019
4,119
4,293
4,881
4,1036
4,1097
4,1531
4,2164
4,2530
4,3200
4,5491
4,5891
4,6498
4,7214
4,7403
4,7580
4,7980
4,8260
4,8605
4,9134
4,9687
4,11689
4,12193
4,12310
4,12829
4,13432
4,13463
4,14185
4,14525
4,14968
4,15048
4,15152
4,15161
4,15592
4,15893
4,16743
4,17163
4,17750
4,18488
4,18771
5,1054
5,1210
5,2671
5,3139
5,3944
5,5909
5,6044
5,6215
5,7736
5,8361
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17889
6,39
6,45
6,106
6,240
6,261
6,342
6,412
6,473
6,489
6,510
6,763
6,1130
6,1131
6,1192
6,1393
6,1451
6,1491
6,1730
6,1960
6,2094
6,2132
6,2155
6,2280
6,2512
6,2521
6,2638
6,2653
6,2770
6,2787
6,2834
6,2927
6,3175
6,3395
6,3769
6,3797
6,4037
6,4053
6,4199
6,4253
6,4434
6,4695
6,4845
6,4898
6,4974
6,5028
6,5054
6,5098
6,5349
6,5405
6,5492
6,5606
6,5768
6,5782
6,5899
6,5915
6,6099
6,6125
6,6439
6,6451
6,6476
6,6495
6,6684
6,6712
6,6714
6,6815
6,6883
6,7038
6,7096
6,7197
6,7237
6,7337
6,7339
6,7378
6,7482
6,7552
6,7590
6,7601
6,7673
6,7867
6,7969
6,7977
6,8054
6,8194
6,8433
6,8471
6,8489
6,8663
6,8698
6,8929
6,8971
6,8974
6,9138
6,9365
6,9386
6,9413
6,9459
6,9650
6,9697
6,9729
6,9864
6,9920
6,9967
6,9975
6,10005
6,10033
6,10072
6,10091
6,10151
6,10173
6,10179
6,10195
6,10248
6,10275
6,10360
6,10461
6,10990
6,11138
6,11143
6,11217
6,11440
6,11461
6,11539
6,11543
6,11771
6,11976
6,12053
6,12303
6,12342
6,12346
6,12420
6,12465
6,12536
6,12607
6,12908
6,12965
6,13111
6,13195
6,13315
6,13337
6,13381
6,13382
6,13537
6,13566
6,13723
6,13793
6,13838
6,13909
6,14208
6,14374
6,14419
6,14459
6,14486
6,14526
6,14555
6,14595
6,14612
6,14630
6,14638
6,14713
6,14788
6,14850
6,15028
6,15069
6,15149
6,15202
6,15367
6,15541
6,15549
6,15649
6,15794
6,15971
6,16003
6,16015
6,16102
6,16194
6,16240
6,16295
6,16323
6,16378
6,16474
6,16592
6,16595
6,16636
6,16669
6,16904
6,16959
6,17271
6,17350
6,17412
6,17480
6,17547
6,17575
6,17589
6,17643
6,17679
6,17772
6,17797
6,17815
6,17859
6,17861
6,18126
6,18182
6,18197
6,18198
6,18266
6,18281
6,18333
6,18376
6,18405
6,18439
6,18448
6,18525
6,18599
6,18623
6,18631
6,18761
6,18788
6,18789
6,18852
6,18865
6,18881
7,3
7,166
7,285
7,300
7,435
7,651
7,721
7,737
7,837
7,961
7,1009
7,1116
7,1162
7,1170
7,1310
7,1346
7,1538
7,1675
7,1752
7,1771
7,1776
7,1847
7,1894
7,1924
7,1953
7,2061
7,2102
7,2128
7,2136
7,2156
7,2294
7,2320
7,2572
7,2639
7,2675
7,2692
7,2775
7,2877
7,2971
7,3122
7,3252
7,3329
7,3458
7,3500
7,3501
7,3604
7,3629
7,3753
7,3773
7,3865
7,3936
7,4028
7,4081
7,4148
7,4205
7,4360
7,4668
7,4877
7,4904
7,4942
7,5067
7,5181
7,5362
7,5430
7,5507
7,5713
7,5771
7,5791
7,5847
7,6078
7,6252
7,6255
7,6296
7,6330
7,6392
7,6399
7,6822
7,6826
7,7073
7,7100
7,7160
7,7170
7,7231
7,7257
7,7279
7,7373
7,7388
7,7631
7,7854
7,8421
7,9005
7,9013
7,9199
7,9227
7,9480
7,9564
7,9606
7,9736
7,9776
7,9851
7,9963
7,9972
7,9977
7,10023
7,10078
7,10185
7,10285
7,10514
7,10754
7,10822
7,11086
7,11233
7,11298
7,11423
7,11531
7,11588
7,11685
7,11806
7,11912
7,12034
7,12038
7,12178
7,12240
7,12276
7,12453
7,12686
7,12702
7,12984
7,13069
7,13366
7,13592
7,13741
7,14009
7,14093
7,14164
7,14238
7,14376
7,14427
7,14493
7,14604
7,14630
7,14680
7,14707
7,14833
7,14953
7,15047
7,15213
7,15252
7,15303
7,15436
7,15443
7,15459
7,15517
7,15544
7,15577
7,15610
7,15638
7,15663
7,15679
7,16008
7,16095
7,16260
7,16343
7,16552
7,16812
7,16879
7,16924
7,16952
7,17037
7,17111
7,17134
7,17212
7,17316
7,17387
7,17449
7,17513
7,17561
7,17671
7,17680
7,17965
7,18092
