layer,neuron
4,1446
4,4179
4,4576
4,7214
4,7580
4,7980
4,10408
4,11834
4,12193
4,12829
4,15048
4,15161
4,15592
4,15893
4,16097
4,17750
4,18488
4,18842
5,1210
5,2671
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14339
5,15335
5,16546
6,412
6,1131
6,1393
6,2400
6,2486
6,2521
6,2927
6,3470
6,3793
6,3970
6,4199
6,4253
6,4845
6,4949
6,5492
6,5606
6,5899
6,5915
6,6085
6,6099
6,6400
6,6476
6,6883
6,7197
6,7552
6,7601
6,7867
6,7962
6,8118
6,8698
6,8971
6,9025
6,9322
6,9365
6,9609
6,9795
6,10173
6,10248
6,10372
6,10551
6,10618
6,10990
6,11143
6,11348
6,11440
6,11543
6,12198
6,12324
6,12342
6,12420
6,13070
6,13195
6,13381
6,13382
6,14195
6,14208
6,14850
6,14904
6,15181
6,15367
6,15739
6,16378
6,16592
6,16636
6,16803
6,17389
6,17657
6,17659
6,17679
6,17772
6,17815
6,17859
6,18525
6,18631
6,18667
6,18789
6,18852
7,166
7,261
7,435
7,651
7,721
7,737
7,917
7,969
7,1009
7,1170
7,1776
7,1953
7,2061
7,2128
7,2156
7,2294
7,3039
7,3122
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3791
7,3865
7,3936
7,4231
7,4877
7,4942
7,5771
7,5791
7,5850
7,5853
7,6031
7,6389
7,6613
7,6822
7,7073
7,7160
7,7170
7,7279
7,7373
7,7415
7,7460
7,7640
7,7665
7,7854
7,8445
7,8861
7,9199
7,9337
7,9606
7,9709
7,10185
7,10366
7,10647
7,10754
7,10822
7,11651
7,11806
7,12003
7,12038
7,12072
7,12240
7,12276
7,12453
7,12575
7,13372
7,13596
7,14376
7,14680
7,14848
7,15047
7,15382
7,15520
7,15610
7,15638
7,15663
7,15694
7,16174
7,16343
7,16503
7,16827
7,17671
7,17680
7,18019
7,18219
7,18295
7,18375
7,18395
7,18571
8,0
8,60
8,78
8,180
8,218
8,480
8,706
8,727
8,806
8,844
8,900
8,941
8,970
8,978
8,987
8,1153
8,1224
8,1418
8,1564
8,1579
8,1613
8,1689
8,1902
8,1908
8,1948
8,2040
8,2057
8,2209
8,2223
8,2227
8,2241
8,2270
8,2418
8,2580
8,2604
8,2617
8,2913
8,2949
8,2969
8,3006
8,3156
8,3235
8,3307
8,3312
8,3321
8,3337
8,3338
8,3527
8,3782
8,3991
8,4027
8,4118
8,4124
8,4197
8,4261
8,4322
8,4324
8,4473
8,4482
8,4562
8,4588
8,4670
8,4726
8,4750
8,4936
8,5039
8,5169
8,5229
8,5248
8,5274
8,5410
8,5454
