layer,neuron
2,4013
2,15133
3,7075
3,17019
4,119
4,293
4,1446
4,1531
4,3826
4,4179
4,4576
4,7214
4,7403
4,7580
4,7980
4,9446
4,10408
4,10416
4,11689
4,11834
4,12193
4,12829
4,13463
4,14384
4,15048
4,15152
4,15161
4,15592
4,15893
4,16097
4,16743
4,17174
4,17750
4,18488
4,18842
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17889
6,45
6,271
6,412
6,489
6,510
6,1131
6,1393
6,1890
6,2128
6,2155
6,2309
6,2400
6,2486
6,2512
6,2521
6,2653
6,2782
6,2834
6,2918
6,2927
6,3080
6,3470
6,3793
6,3926
6,3970
6,4053
6,4199
6,4253
6,4434
6,4845
6,4949
6,4974
6,5054
6,5235
6,5492
6,5606
6,5768
6,5899
6,5915
6,5950
6,6085
6,6099
6,6125
6,6400
6,6455
6,6476
6,6714
6,6832
6,6883
6,6944
6,6949
6,7197
6,7552
6,7601
6,7867
6,7962
6,8000
6,8118
6,8194
6,8459
6,8471
6,8698
6,8971
6,9025
6,9207
6,9322
6,9365
6,9609
6,9648
6,9697
6,9729
6,9795
6,9864
6,10036
6,10091
6,10103
6,10124
6,10173
6,10248
6,10372
6,10551
6,10618
6,10859
6,10990
6,11143
6,11348
6,11440
6,11543
6,11966
6,12053
6,12198
6,12234
6,12324
6,12342
6,12420
6,12607
6,12697
6,12725
6,12908
6,13070
6,13085
6,13195
6,13381
6,13382
6,13537
6,14005
6,14195
6,14208
6,14459
6,14612
6,14638
6,14850
6,14904
6,15181
6,15367
6,15549
6,15649
6,15739
6,15794
6,15965
6,15971
6,16045
6,16328
6,16378
6,16592
6,16636
6,16803
6,16904
6,17011
6,17389
6,17549
6,17657
6,17659
6,17679
6,17772
6,17815
6,17859
6,17964
6,18281
6,18376
6,18409
6,18439
6,18525
6,18615
6,18631
6,18667
6,18789
6,18852
7,89
7,166
7,255
7,261
7,435
7,595
7,651
7,721
7,737
7,917
7,969
7,1009
7,1116
7,1170
7,1310
7,1776
7,1921
7,1953
7,2061
7,2128
7,2156
7,2294
7,2320
7,2341
7,2790
7,2805
7,2971
7,3039
7,3087
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4081
7,4214
7,4231
7,4877
7,4942
7,5165
7,5213
7,5280
7,5771
7,5791
7,5816
7,5850
7,5853
7,5928
7,6031
7,6252
7,6330
7,6389
7,6613
7,6790
7,6822
7,6826
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7415
7,7460
7,7631
7,7640
7,7665
7,7854
7,7950
7,8445
7,8861
7,8989
7,9199
7,9225
7,9227
7,9332
7,9337
7,9606
7,9709
7,9851
7,10185
7,10366
7,10546
7,10547
7,10647
7,10683
7,10754
7,10822
7,10849
7,11298
7,11423
7,11531
7,11651
7,11806
7,12003
7,12038
7,12072
7,12240
7,12276
7,12453
7,12575
7,12686
7,12772
7,12889
7,13366
7,13372
7,13596
7,13889
7,14093
7,14376
7,14424
7,14630
7,14680
7,14742
7,14848
7,15043
7,15047
7,15213
7,15252
7,15303
7,15382
7,15459
7,15520
7,15544
7,15610
7,15638
7,15663
7,15679
7,15694
7,15845
7,16118
7,16174
7,16343
7,16503
7,16827
7,16865
7,16924
7,17037
7,17671
7,17680
7,17834
7,17965
7,18019
7,18092
7,18135
7,18219
7,18295
7,18346
7,18375
7,18395
7,18571
7,18623
7,18841
7,18886
7,18927
8,0
8,60
8,73
8,78
8,167
8,180
8,218
8,328
8,431
8,475
8,480
8,668
8,692
8,696
8,706
8,727
8,742
8,765
8,806
8,831
8,844
8,900
8,909
8,941
8,970
8,978
8,987
8,1153
8,1224
8,1269
8,1383
8,1399
8,1418
8,1426
8,1500
8,1564
8,1579
8,1581
8,1583
8,1593
8,1613
8,1689
8,1799
8,1812
8,1902
8,1908
8,1948
8,2040
8,2057
8,2180
8,2209
8,2223
8,2227
8,2241
8,2270
8,2360
8,2418
8,2439
8,2580
8,2604
8,2617
8,2770
8,2842
8,2913
8,2919
8,2949
8,2969
8,3006
8,3156
8,3235
8,3307
8,3312
8,3321
8,3337
8,3338
8,3345
8,3527
8,3626
8,3782
8,3961
8,3991
8,4027
8,4118
8,4124
8,4197
8,4220
8,4261
8,4322
8,4324
8,4473
8,4482
8,4562
8,4588
8,4631
8,4658
8,4660
8,4670
8,4694
8,4725
8,4726
8,4742
8,4750
8,4787
8,4847
8,4927
8,4936
8,5039
8,5169
8,5229
8,5248
8,5274
8,5410
8,5454
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5687
8,5765
8,5782
8,5826
8,5870
8,5890
8,5905
8,5908
8,5969
8,6002
8,6011
8,6024
8,6035
8,6118
8,6156
8,6238
8,6245
8,6255
8,6287
8,6289
8,6299
8,6438
8,6466
8,6539
8,6557
8,6606
8,6611
8,6802
8,6826
8,6852
8,6864
8,6902
8,6954
8,6979
8,7074
8,7261
8,7271
8,7346
8,7410
8,7473
8,7533
8,7553
8,7691
8,7724
8,7727
8,7740
8,7761
8,7855
8,7943
8,7970
8,8084
8,8118
8,8132
8,8134
8,8208
8,8261
8,8274
8,8292
8,8326
8,8347
8,8369
8,8384
8,8386
8,8483
8,8484
8,8626
8,8689
8,8690
8,8692
8,8796
8,8797
8,8806
8,8856
8,8876
8,8993
8,9000
8,9038
8,9103
8,9166
8,9186
8,9300
8,9315
8,9384
8,9391
8,9472
8,9518
8,9571
8,9607
8,9637
8,9678
8,9784
8,9792
8,9896
8,9912
8,10079
8,10155
8,10189
8,10196
8,10224
8,10269
8,10289
8,10301
8,10418
8,10422
8,10429
8,10533
8,10548
8,10702
8,10722
8,10800
8,10833
8,10854
8,10857
8,10873
8,10921
8,10925
8,11032
8,11111
8,11152
8,11166
8,11169
8,11217
8,11273
8,11284
8,11311
8,11330
8,11335
8,11472
8,11525
8,11552
8,11572
8,11594
8,11665
8,11671
8,11694
8,11754
8,11816
8,11845
8,11870
8,11878
8,11910
8,11999
8,12113
8,12161
8,12166
8,12184
8,12188
8,12192
8,12242
8,12254
8,12256
8,12284
8,12355
8,12421
8,12456
8,12522
8,12534
8,12567
8,12572
8,12573
8,12577
8,12633
8,12709
8,12729
8,12743
8,12814
8,12865
8,12894
8,12931
8,12939
8,12946
8,12953
8,12992
8,13003
8,13036
8,13041
8,13053
8,13111
8,13213
8,13280
8,13350
8,13411
8,13553
8,13575
8,13579
8,13665
8,13786
8,13854
8,13882
8,13908
8,13913
8,13915
8,13932
8,13980
8,13986
8,13991
8,13993
8,13995
8,14043
8,14087
8,14141
8,14159
8,14270
8,14303
8,14342
8,14347
8,14361
8,14376
8,14437
8,14468
8,14527
8,14544
8,14568
8,14604
8,14631
8,14639
8,14649
8,14686
8,14774
8,14787
8,14827
8,14888
8,14921
8,14996
8,15032
8,15082
8,15135
8,15151
8,15175
8,15218
8,15249
8,15281
8,15330
8,15447
8,15448
8,15469
8,15585
8,15618
8,15688
8,15776
8,15779
8,15825
8,15856
8,15872
8,15917
8,15942
8,16040
8,16048
8,16087
8,16160
8,16164
8,16216
8,16316
8,16345
8,16360
