layer,neuron
2,2928
2,12508
2,15707
3,9106
4,1036
4,1446
4,2034
4,2164
4,2530
4,3200
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,11834
4,11941
4,12193
4,12829
4,14968
4,15048
4,15161
4,15592
4,16097
4,17163
4,18282
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
6,240
6,412
6,1379
6,1393
6,1658
6,1683
6,1730
6,1865
6,2039
6,2160
6,2400
6,2486
6,2521
6,2834
6,2927
6,3470
6,3793
6,3970
6,4253
6,4342
6,4845
6,4949
6,5054
6,5235
6,5352
6,5492
6,5606
6,5915
6,5956
6,6099
6,6476
6,6883
6,6944
6,6961
6,7197
6,7482
6,7552
6,7601
6,7673
6,7867
6,7962
6,8066
6,8118
6,8194
6,8282
6,8388
6,8471
6,8489
6,8591
6,8698
6,8971
6,9031
6,9322
6,9365
6,9386
6,9459
6,9609
6,9795
6,9940
6,10091
6,10173
6,10248
6,10372
6,10551
6,10618
6,10990
6,11143
6,11440
6,11543
6,11621
6,11880
6,12198
6,12270
6,12324
6,12342
6,12346
6,12420
6,12465
6,12536
6,12607
6,12908
6,13041
6,13195
6,13315
6,13327
6,13382
6,13808
6,13909
6,14195
6,14208
6,14850
6,14904
6,14950
6,15028
6,15181
6,15293
6,15367
6,15638
6,15739
6,16194
6,16323
6,16328
6,16378
6,16592
6,16636
6,16669
6,16830
6,16904
6,17062
6,17389
6,17659
6,17679
6,17772
6,17815
6,17859
6,18281
6,18525
6,18631
6,18789
6,18852
6,18920
7,3
7,166
7,255
7,261
7,333
7,341
7,435
7,461
7,651
7,721
7,737
7,1170
7,1327
7,1675
7,1771
7,1776
7,1803
7,1953
7,2061
7,2128
7,2294
7,2366
7,2493
7,2775
7,3193
7,3252
7,3329
7,3465
7,3509
7,3546
7,3773
7,3791
7,3865
7,3936
7,4726
7,4877
7,4942
7,5067
7,5155
7,5184
7,5305
7,5771
7,5791
7,5850
7,5853
7,5896
7,5931
7,6031
7,6078
7,6330
7,6389
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7460
7,7546
7,7854
7,8010
7,8421
7,8861
7,9005
7,9199
7,9227
7,9337
7,9606
7,9709
7,9773
7,9963
7,10178
7,10185
7,10240
7,10257
7,10366
7,10527
7,10647
7,10754
7,10822
7,10977
7,11233
7,11383
7,11622
7,11651
7,11702
7,11779
7,11806
7,12003
7,12178
7,12240
7,12276
7,12453
7,12629
7,12723
7,12810
7,12824
7,13259
7,13483
7,14052
7,14093
7,14281
7,14376
7,14394
7,14604
7,14625
7,14680
7,14707
7,14742
7,14848
7,15047
7,15180
7,15232
7,15252
7,15300
7,15382
7,15459
7,15610
7,15663
7,15679
7,15694
7,16174
7,16233
7,16343
7,16358
7,16503
7,16952
7,17068
7,17680
7,17781
7,18019
7,18219
7,18269
7,18346
7,18375
7,18395
7,18571
7,18685
7,18794
7,18927
8,0
8,43
8,73
8,78
8,116
8,210
8,218
8,226
8,334
8,388
8,433
8,480
8,496
8,566
8,668
8,727
8,806
8,807
8,831
8,867
8,882
8,904
8,970
8,1153
8,1197
8,1414
8,1418
8,1426
8,1458
8,1498
8,1500
8,1517
8,1549
8,1564
8,1579
8,1613
8,1714
8,1766
8,1799
8,1812
8,1902
8,1948
8,1990
8,2040
8,2057
8,2102
8,2169
8,2209
8,2223
8,2227
8,2241
8,2270
8,2360
8,2418
8,2550
8,2556
8,2617
8,2766
8,2830
8,2842
8,2913
8,2949
8,2969
8,3156
8,3165
8,3235
8,3307
8,3321
8,3338
8,3418
8,3483
8,3761
8,3782
8,3900
8,4087
8,4118
8,4124
8,4136
8,4239
8,4322
8,4324
8,4395
8,4473
8,4482
8,4551
8,4631
8,4670
8,4726
8,4750
8,4813
8,4847
8,5039
8,5053
8,5086
8,5125
8,5169
8,5229
8,5248
8,5369
8,5454
8,5466
8,5546
8,5552
8,5553
8,5558
8,5584
8,5624
8,5629
8,5637
8,5704
8,5870
8,5901
8,5905
8,5929
8,5955
8,6035
8,6118
8,6151
8,6156
8,6173
8,6245
8,6255
8,6265
8,6287
8,6289
8,6466
8,6557
8,6686
8,6706
8,6802
8,6864
8,6901
8,6979
8,7165
8,7346
8,7410
8,7443
8,7453
8,7473
8,7533
8,7572
8,7607
8,7691
8,7697
8,7724
8,7727
8,7740
8,7855
8,7899
8,8051
8,8074
8,8132
8,8196
8,8208
8,8242
8,8274
8,8352
8,8384
8,8483
8,8484
8,8568
8,8626
8,8689
8,8690
8,8692
8,8794
8,8796
8,8806
8,8876
8,8986
8,8993
8,9000
8,9216
8,9300
8,9446
8,9472
8,9518
8,9571
8,9581
8,9637
8,9678
8,9684
8,9792
8,9896
8,9912
8,10079
8,10160
8,10189
8,10196
8,10208
8,10269
8,10289
8,10301
8,10418
8,10429
8,10489
8,10533
8,10664
8,10669
8,10689
8,10702
8,10722
8,10782
8,10854
8,10857
8,10873
8,10925
8,10959
8,11032
8,11082
8,11085
8,11111
8,11152
8,11217
8,11273
8,11311
8,11416
8,11472
8,11494
8,11525
8,11552
8,11572
8,11594
8,11700
8,11870
8,11910
8,11997
8,12166
8,12184
8,12188
8,12192
8,12254
8,12284
8,12341
8,12355
8,12401
8,12421
8,12456
8,12474
8,12567
8,12572
8,12709
8,12814
8,12818
8,12888
8,12931
8,12946
8,12953
8,12973
8,12992
8,13000
8,13036
8,13041
8,13053
