layer,neuron
2,2928
2,6148
2,15133
3,7075
3,17019
4,293
4,1097
4,2164
4,4576
4,5095
4,5891
4,7403
4,7580
4,7980
4,9704
4,10408
4,11834
4,12193
4,12310
4,12829
4,13463
4,13947
4,14968
4,15048
4,15592
4,15893
4,16097
4,16743
4,17163
4,17174
4,17750
4,18771
5,880
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16408
5,16546
5,16613
5,16659
5,17889
6,45
6,240
6,342
6,412
6,489
6,946
6,1070
6,1131
6,1192
6,1329
6,1330
6,1393
6,1481
6,1683
6,1730
6,2039
6,2094
6,2128
6,2132
6,2155
6,2340
6,2400
6,2486
6,2521
6,2638
6,2653
6,2834
6,2918
6,2927
6,3080
6,3650
6,3653
6,3769
6,3793
6,3797
6,3847
6,3970
6,4037
6,4053
6,4199
6,4253
6,4434
6,4612
6,4845
6,4974
6,5028
6,5054
6,5492
6,5606
6,5768
6,5865
6,5899
6,5915
6,5987
6,6085
6,6099
6,6125
6,6167
6,6227
6,6476
6,6495
6,6684
6,6712
6,6714
6,6832
6,6883
6,6944
6,7114
6,7197
6,7289
6,7296
6,7339
6,7378
6,7482
6,7552
6,7590
6,7601
6,7673
6,7867
6,7922
6,7962
6,8118
6,8194
6,8231
6,8282
6,8459
6,8471
6,8489
6,8663
6,8698
6,8929
6,8971
6,8985
6,9025
6,9031
6,9038
6,9149
6,9269
6,9322
6,9365
6,9413
6,9609
6,9648
6,9650
6,9697
6,9795
6,9864
6,9920
6,10072
6,10091
6,10103
6,10173
6,10179
6,10248
6,10285
6,10360
6,10551
6,10618
6,10713
6,10990
6,11143
6,11163
6,11348
6,11440
6,11543
6,11621
6,11771
6,11966
6,11976
6,12053
6,12084
6,12198
6,12224
6,12234
6,12316
6,12324
6,12342
6,12420
6,12465
6,12607
6,12697
6,12725
6,12908
6,13022
6,13085
6,13111
6,13195
6,13306
6,13315
6,13381
6,13382
6,13537
6,13739
6,13909
6,13952
6,14195
6,14208
6,14374
6,14526
6,14612
6,14638
6,14667
6,14850
6,14871
6,14904
6,15028
6,15367
6,15398
6,15549
6,15649
6,15965
6,15971
6,16240
6,16323
6,16328
6,16378
6,16473
6,16592
6,16636
6,16669
6,16904
6,17011
6,17062
6,17350
6,17387
6,17589
6,17657
6,17659
6,17679
6,17772
6,17815
6,17859
6,17895
6,17964
6,18126
6,18221
6,18281
6,18376
6,18409
6,18439
6,18508
6,18525
6,18623
6,18631
6,18788
6,18789
6,18852
6,18920
