layer,neuron
4,119
4,1036
4,1446
4,2530
4,4576
4,7214
4,7580
4,7980
4,9687
4,9704
4,10408
4,11834
4,12193
4,12829
4,14185
4,14525
4,15048
4,15592
4,16097
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16546
5,17575
6,240
6,412
6,489
6,1393
6,1658
6,2039
6,2155
6,2160
6,2400
6,2486
6,2521
6,2834
6,2927
6,3793
6,3970
6,4053
6,4253
6,4845
6,4947
6,4949
6,5054
6,5349
6,5352
6,5492
6,5915
6,6085
6,6476
6,6815
6,6883
6,6961
6,7197
6,7221
6,7601
6,7673
6,7867
6,7922
6,8118
6,8194
6,8471
6,8489
6,8698
6,8971
6,9025
6,9031
6,9322
6,9365
6,9413
6,9584
6,9609
6,9729
6,10173
6,10248
6,10360
6,10618
6,10990
6,11143
6,11440
6,11543
6,12159
6,12324
6,12342
6,12346
6,12420
6,12465
6,12607
6,12908
6,12946
6,13195
6,13382
6,13909
6,14195
6,14208
6,14850
6,14904
6,15367
6,15482
6,15739
6,16328
6,16378
6,16592
6,16636
6,16904
6,17011
6,17062
6,17549
6,17679
6,17772
6,17859
6,17861
6,18281
6,18525
6,18631
6,18667
6,18852
7,3
7,166
7,255
7,435
7,651
7,721
7,737
7,880
7,1116
7,1239
7,1297
7,1675
7,1776
7,2061
7,3135
7,3193
7,3252
7,3329
7,3458
7,3546
7,3865
7,3936
7,4028
7,4526
7,4877
7,4942
7,5771
7,5853
7,5928
7,6359
7,6389
7,6822
7,7073
7,7160
7,7170
7,7279
7,7460
7,7476
7,7854
7,8421
7,8861
7,9005
7,9199
7,9337
7,9606
7,9709
7,9851
7,10240
7,10977
7,11531
7,11651
7,11702
7,11806
7,12038
7,12276
7,12453
7,12810
7,13366
7,14007
7,14052
7,14093
7,14164
7,14376
7,14685
7,14707
7,14833
7,14848
7,14953
7,15047
7,15252
7,15303
7,15610
7,15663
7,15679
7,15694
7,16343
7,16503
7,16516
7,17068
7,18395
7,18571
7,18685
7,18794
7,18927
8,78
8,116
8,210
8,218
8,388
8,433
8,480
8,668
8,706
8,727
8,831
8,867
8,900
8,904
8,949
8,970
8,976
8,987
8,1153
8,1414
8,1418
8,1426
8,1500
8,1564
8,1579
8,1581
8,1714
8,1799
8,1812
8,1902
8,1992
8,2037
8,2040
8,2057
8,2209
8,2223
8,2227
8,2270
8,2360
8,2418
8,2470
8,2501
8,2550
8,2604
8,2617
8,2666
8,2830
8,2842
8,2913
8,2937
8,2949
8,2969
8,3156
8,3235
8,3321
8,3383
8,3475
8,3483
8,3527
8,3610
8,3626
8,3782
8,3803
8,3900
8,3968
8,4118
8,4122
8,4124
8,4136
8,4197
8,4324
8,4473
8,4482
8,4726
8,4750
8,4847
8,5039
8,5169
8,5181
8,5229
8,5248
8,5454
8,5553
8,5584
8,5624
8,5637
8,5704
8,5905
8,6035
8,6102
8,6118
8,6156
8,6245
8,6255
8,6287
8,6289
8,6557
8,6611
8,6745
8,6864
8,6979
8,6984
8,7058
8,7410
8,7473
8,7533
8,7691
8,7727
8,7740
8,8132
8,8196
8,8208
8,8261
8,8274
8,8292
8,8352
8,8384
8,8483
8,8504
8,8575
8,8626
8,8689
8,8690
8,8796
8,8876
8,8993
8,9000
8,9186
8,9300
8,9446
8,9456
8,9472
8,9518
8,9571
8,9581
8,9792
8,9896
8,9912
8,10160
8,10176
8,10189
8,10196
8,10269
8,10289
8,10418
8,10429
8,10533
8,10553
8,10664
8,10689
8,10706
8,10782
8,10853
8,10857
8,10925
8,11152
8,11169
8,11217
8,11237
8,11273
8,11311
8,11335
8,11494
8,11552
8,11572
8,11594
8,11910
8,12032
8,12184
8,12192
8,12254
8,12284
8,12341
8,12355
8,12421
8,12456
8,12534
8,12567
8,12709
8,12814
8,12818
8,12865
8,12888
8,12931
8,12946
8,12982
