layer,neuron
2,12508
2,15707
4,2034
4,2164
4,2530
4,3200
4,7214
4,7580
4,7980
4,10408
4,11941
4,12193
4,12829
4,14968
4,15048
4,15161
4,15592
4,15893
4,16097
4,17163
4,17750
4,18559
4,18771
5,2671
5,3944
5,4385
5,5909
5,6044
5,6215
5,8670
5,9388
5,9571
5,10759
5,10866
5,11269
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,16546
6,0
6,105
6,106
6,240
6,412
6,649
6,777
6,816
6,1018
6,1379
6,1393
6,1481
6,1508
6,1658
6,1683
6,1730
6,2039
6,2095
6,2160
6,2400
6,2486
6,2521
6,2638
6,2798
6,2834
6,2927
6,3221
6,3325
6,3367
6,3470
6,3970
6,4253
6,4544
6,4612
6,4845
6,4947
6,5054
6,5441
6,5492
6,5768
6,5915
6,5956
6,6099
6,6476
6,6495
6,6714
6,6821
6,6883
6,7197
6,7482
6,7552
6,7601
6,7673
6,7867
6,7962
6,8066
6,8459
6,8489
6,8591
6,8698
6,8971
6,8985
6,9148
6,9322
6,9365
6,9386
6,9656
6,9669
6,9795
6,10073
6,10091
6,10103
6,10179
6,10248
6,10427
6,10551
6,10990
6,11034
6,11435
6,11440
6,11621
6,12198
6,12324
6,12342
6,12346
6,12420
6,12465
6,12536
6,12607
6,12649
6,12697
6,12745
6,12831
6,13041
6,13070
6,13134
6,13195
6,13327
6,13382
6,14195
6,14208
6,14508
6,14526
6,14724
6,14782
6,14850
6,14904
6,15028
6,15293
6,15367
6,15638
6,15971
6,16194
6,16323
6,16328
6,16378
6,16477
6,16512
6,16636
6,17563
6,17659
6,17679
6,17815
6,17859
6,18115
6,18281
6,18302
6,18508
6,18525
6,18623
6,18631
6,18789
6,18852
6,18920
7,3
7,89
7,166
7,261
7,341
7,435
7,651
7,721
7,737
7,857
7,974
7,1009
7,1085
7,1097
7,1170
7,1406
7,1422
7,1444
7,1558
7,1675
7,1771
7,1776
7,1827
7,1847
7,1924
7,1953
7,2061
7,2128
7,2156
7,2294
7,2484
7,2493
7,2727
7,2775
7,2805
7,2943
7,2988
7,3039
7,3087
7,3122
7,3252
7,3263
7,3329
7,3437
7,3500
7,3509
7,3773
7,3791
7,3865
7,3936
7,4205
7,4668
7,4871
7,4877
7,5067
7,5184
7,5305
7,5314
7,5430
7,5459
7,5643
7,5771
7,5791
7,5847
7,5850
7,5853
7,5873
7,5891
7,5896
7,6031
7,6078
7,6330
7,6387
7,6730
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7375
7,7415
7,7460
7,7546
7,7631
7,7678
7,7759
7,7854
7,8010
7,8468
7,8858
7,8861
7,9199
7,9227
7,9449
7,9489
7,9526
7,9606
7,9709
7,9773
7,9930
7,9963
7,10027
7,10185
7,10257
7,10647
7,10754
7,10822
7,11145
7,11233
7,11425
7,11531
7,11806
7,11881
7,11912
7,12003
7,12072
7,12178
7,12240
7,12453
7,12629
7,12659
7,12686
7,12824
7,13060
7,13128
7,13259
7,13366
7,13463
7,13483
7,13592
7,14011
7,14052
7,14079
7,14281
7,14376
7,14604
7,14625
7,14630
7,14680
7,14707
7,14738
7,14742
7,15032
7,15043
7,15047
7,15173
7,15577
7,15610
7,15663
7,15671
7,16008
7,16095
7,16174
7,16233
7,16343
7,16422
7,16503
7,16539
7,16630
7,16686
7,16825
7,16827
7,16952
7,17294
7,17334
7,17449
7,17529
7,17632
7,17671
7,17680
7,17781
7,17863
7,18106
7,18171
7,18208
7,18219
7,18247
7,18252
7,18295
7,18340
7,18346
7,18395
7,18451
7,18571
7,18794
7,18926
8,60
8,78
8,218
8,230
8,388
8,480
8,496
8,502
8,517
8,668
8,727
8,806
8,864
8,909
8,956
8,970
8,1040
8,1143
8,1153
8,1197
8,1224
8,1267
8,1414
8,1426
8,1449
8,1467
8,1517
8,1549
8,1564
8,1583
8,1593
8,1689
8,1766
8,1797
8,1812
8,1814
8,1838
8,1902
8,1948
8,2003
8,2180
8,2223
8,2227
8,2241
8,2270
8,2293
8,2379
8,2387
8,2418
8,2563
8,2580
8,2773
8,2830
8,2842
8,2998
8,3074
8,3156
8,3235
8,3307
8,3321
8,3418
8,3693
8,3703
8,3728
8,3730
8,3761
8,3782
8,3932
8,3991
8,4001
8,4027
8,4067
8,4087
8,4124
8,4239
8,4261
8,4322
8,4324
8,4329
8,4473
8,4482
8,4551
8,4622
8,4631
8,4670
8,4726
8,4735
8,4742
8,4750
8,4784
8,5125
8,5164
8,5169
8,5229
8,5248
8,5305
8,5344
8,5369
8,5447
8,5486
8,5546
8,5552
8,5553
8,5558
8,5584
8,5624
8,5637
8,5745
8,5754
8,5807
8,5870
8,5901
8,5905
8,5929
8,5955
8,5967
8,6035
8,6118
8,6156
8,6255
8,6289
8,6299
8,6401
8,6432
8,6466
8,6532
8,6557
8,6802
8,6864
8,6875
8,6929
8,6979
8,7101
8,7315
8,7410
8,7443
8,7473
8,7533
8,7572
8,7607
8,7636
8,7697
8,7724
8,7761
8,7843
8,7855
8,7899
8,7998
8,8048
8,8051
8,8074
8,8132
8,8242
8,8244
8,8261
8,8274
8,8352
8,8369
8,8380
8,8384
8,8484
8,8626
8,8689
8,8690
8,8692
8,8794
8,8796
8,8867
8,8876
8,9000
8,9013
8,9038
8,9150
8,9216
8,9384
8,9499
8,9518
8,9532
8,9552
8,9571
8,9630
8,9637
8,9705
8,9776
8,9792
8,9912
8,10196
8,10289
8,10301
8,10664
8,10669
8,10702
8,10721
8,10769
8,10857
8,10873
8,10920
8,10925
8,10959
8,10988
8,11032
8,11085
8,11111
8,11144
8,11152
8,11217
8,11273
8,11311
8,11472
8,11572
8,11590
8,11627
8,11679
8,11746
8,11861
8,11870
8,11910
8,11920
8,11997
8,12133
8,12166
8,12172
8,12184
8,12188
8,12264
8,12284
8,12311
8,12355
8,12401
8,12421
8,12456
8,12498
8,12522
8,12572
8,12657
8,12682
8,12709
8,12814
8,12843
8,12894
8,12931
8,12941
8,12946
8,12973
8,12984
8,13036
8,13044
8,13053
8,13093
8,13260
8,13467
8,13579
8,13699
8,13732
8,13759
8,13761
8,13884
8,13915
8,13980
8,13995
8,14032
8,14043
8,14065
8,14237
8,14342
8,14347
8,14361
8,14437
8,14438
8,14544
8,14562
8,14571
8,14686
8,14818
8,14888
8,14891
8,14996
8,15119
8,15218
8,15249
8,15281
8,15404
8,15663
8,15719
8,15786
8,15794
8,15805
8,15815
8,16040
8,16041
8,16103
8,16136
8,16160
8,16316
8,16345
8,16354
8,16432
8,16552
8,16586
8,16643
8,16694
8,16782
8,16784
8,16876
8,16915
8,17180
8,17195
8,17280
8,17296
8,17381
8,17416
8,17446
8,17548
8,17599
8,17627
8,17687
8,17699
8,17710
8,17755
8,17819
8,17851
8,17859
8,17916
8,18070
8,18120
8,18154
8,18229
8,18265
8,18268
8,18281
8,18312
8,18329
8,18405
8,18526
8,18527
8,18545
8,18581
8,18686
8,18690
8,18699
8,18764
8,18827
8,18850
8,18907
9,185
9,217
9,293
9,319
9,321
9,334
9,400
9,466
9,576
9,761
9,963
9,978
9,1179
9,1305
9,1365
9,1388
9,1429
9,1460
9,1554
9,1642
9,1643
9,1739
9,1752
9,1808
9,1913
9,2056
9,2137
9,2162
9,2165
9,2182
9,2223
9,2321
9,2466
9,2542
9,2610
9,2669
9,2671
9,2761
9,2791
9,2801
9,3209
9,3234
9,3269
9,3285
9,3311
9,3359
9,3450
9,3510
9,3611
9,3655
9,3662
9,3814
9,3972
9,4003
9,4217
9,4439
9,4448
9,4481
9,4544
9,4554
9,4562
9,4611
9,4706
9,4739
9,4756
9,4830
9,4848
9,4886
9,4939
9,4941
9,4989
9,5537
9,5810
9,5848
9,5856
9,5897
9,6069
9,6189
9,6236
9,6254
9,6267
9,6297
9,6513
9,6543
9,6575
9,6873
9,6958
9,7016
9,7122
9,7233
9,7266
9,7334
9,7417
9,7466
9,7556
9,7645
9,7710
9,7735
9,7836
9,7951
9,8095
9,8123
9,8130
9,8326
9,8404
9,8452
9,8484
9,8551
9,8553
9,8679
9,8712
9,8807
9,8829
9,8991
9,9017
9,9020
9,9159
9,9178
9,9227
9,9271
9,9309
9,9310
9,9458
9,9509
9,9625
9,9696
9,9751
9,9789
9,9852
9,9886
9,9932
9,9965
9,10075
9,10096
9,10219
9,10413
9,10427
9,10458
9,10463
9,10567
9,10731
9,10773
9,10961
9,11071
9,11105
9,11235
9,11280
9,11296
9,11369
9,11452
9,11490
9,11657
9,11770
9,11904
9,12051
9,12060
9,12137
9,12209
9,12312
9,12361
9,12378
9,12463
9,12637
9,12699
9,12765
9,12799
9,12821
9,12894
9,12933
9,12962
9,12986
9,13014
9,13028
9,13073
9,13255
9,13337
9,13348
9,13601
9,13823
9,13870
9,13872
9,13880
9,13881
9,13888
9,13906
9,14041
9,14082
9,14203
9,14320
9,14420
9,14646
9,14710
9,14734
9,14901
9,15221
9,15442
9,15505
9,15531
9,15615
9,15617
9,15720
9,15890
9,15960
9,16352
9,16402
9,16461
9,16484
9,16524
9,16550
9,16576
9,16601
9,16616
9,16841
9,16888
9,16948
9,17030
9,17069
9,17110
9,17234
9,17323
9,17379
9,17505
9,17540
9,17607
9,17621
9,17650
9,17840
9,17879
9,17961
9,17997
9,18516
9,18562
9,18619
9,18626
9,18879
9,18894
9,18925
10,24
10,151
10,223
10,333
10,398
10,426
10,458
10,468
10,488
10,534
10,581
10,585
10,693
10,701
10,730
10,752
10,819
10,854
10,866
10,921
10,950
10,1036
10,1039
10,1086
10,1109
10,1136
10,1221
10,1260
10,1346
10,1446
10,1474
10,1507
10,1546
10,1558
10,1609
10,1620
10,1656
10,1702
10,1703
10,1711
10,1768
10,1841
10,1864
10,1944
10,1992
10,2047
10,2086
10,2087
10,2089
10,2162
10,2218
10,2238
10,2250
10,2273
10,2275
10,2281
10,2349
10,2447
10,2473
10,2489
10,2505
10,2511
10,2634
10,2652
10,2679
10,2724
10,2725
10,2810
10,2827
10,2843
10,2875
10,2896
10,2927
10,3002
10,3027
10,3064
10,3146
10,3181
10,3194
10,3272
10,3284
10,3309
10,3328
10,3331
10,3340
10,3345
10,3434
10,3448
10,3468
10,3524
10,3544
10,3655
10,3707
10,3776
10,3783
10,3809
10,3812
10,3829
10,3958
10,4002
10,4024
10,4036
10,4052
10,4059
10,4076
10,4086
10,4214
10,4331
10,4420
10,4574
10,4703
10,4721
10,4781
10,4833
10,4834
10,4847
10,4876
10,4953
10,4956
10,5042
10,5052
10,5137
10,5156
10,5166
10,5174
10,5179
10,5223
10,5265
10,5282
10,5348
10,5491
10,5504
10,5536
10,5648
10,5691
10,5703
10,5713
10,5760
10,5852
10,5887
10,5987
10,6039
10,6105
10,6144
10,6159
10,6218
10,6278
10,6280
10,6282
10,6425
10,6445
10,6450
10,6462
10,6489
10,6497
10,6535
10,6575
10,6623
10,6650
10,6678
