layer,neuron
2,15133
3,7075
4,293
4,1097
4,3200
4,5891
4,7214
4,7580
4,7980
4,9687
4,10408
4,11941
4,12193
4,12829
4,15048
4,15161
4,15592
4,15893
4,16097
4,17750
4,18559
4,18771
5,2671
5,3139
5,4385
5,5909
5,6044
5,6215
5,8670
5,9388
5,10759
5,10866
5,11269
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,13159
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,16546
5,16659
5,17889
6,0
6,45
6,105
6,199
6,236
6,240
6,268
6,410
6,412
6,777
6,1393
6,1481
6,2095
6,2486
6,2521
6,2638
6,2834
6,2927
6,3221
6,3367
6,3470
6,3769
6,3797
6,3970
6,4253
6,4845
6,4947
6,5441
6,5492
6,5768
6,5915
6,6085
6,6099
6,6125
6,6476
6,6495
6,6714
6,6883
6,7038
6,7197
6,7289
6,7468
6,7552
6,7601
6,7673
6,7821
6,7867
6,7962
6,8194
6,8459
6,8471
6,8489
6,8698
6,8971
6,8985
6,9025
6,9322
6,9365
6,9386
6,9648
6,9656
6,9729
6,9795
6,9920
6,9967
6,10091
6,10103
6,10179
6,10248
6,10551
6,10713
6,10990
6,11034
6,11163
6,11440
6,11543
6,11621
6,12198
6,12234
6,12303
6,12324
6,12342
6,12346
6,12420
6,12465
6,12607
6,12697
6,12908
6,13022
6,13041
6,13085
6,13195
6,13327
6,13382
6,13537
6,13723
6,14195
6,14208
6,14396
6,14526
6,14638
6,14707
6,14782
6,14850
6,14904
6,15028
6,15293
6,15367
6,15549
6,15971
6,16194
6,16323
6,16328
6,16378
6,16636
6,16904
6,16948
6,17425
6,17563
6,17657
6,17659
6,17679
6,17772
6,17815
6,17859
6,18197
6,18281
6,18376
6,18525
6,18599
6,18623
6,18631
6,18789
6,18852
7,89
7,166
7,261
7,435
7,473
7,651
7,737
7,961
7,974
7,1009
7,1097
7,1116
7,1170
7,1310
7,1406
7,1422
7,1444
7,1771
7,1847
7,1924
7,1953
7,2061
7,2128
7,2156
7,2294
7,2775
7,2790
7,2805
7,2882
7,2943
7,3039
7,3087
7,3109
7,3122
7,3193
7,3252
7,3329
7,3437
7,3500
7,3509
7,3773
7,3791
7,3865
7,3936
7,4199
7,4205
7,4455
7,4668
7,4698
7,4877
7,4904
7,4942
7,5085
7,5184
7,5280
7,5305
7,5362
7,5430
7,5458
7,5483
7,5771
7,5791
7,5830
7,5847
7,5850
7,5853
7,5984
7,6031
7,6078
7,6252
7,6330
7,6399
7,6613
7,6754
7,6822
7,6826
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7375
7,7415
7,7460
7,7631
7,7678
7,7854
7,8010
7,8567
7,8819
7,8861
7,9005
7,9199
7,9227
7,9332
7,9564
7,9606
7,9776
7,9930
7,9963
7,9977
7,10185
7,10647
7,10822
7,11064
7,11145
7,11233
7,11298
7,11531
7,11651
7,11806
7,11912
7,12003
7,12034
7,12072
7,12240
7,12276
7,12575
7,12584
7,12629
7,12686
7,12810
7,12889
7,13128
7,13259
7,13366
7,13463
7,13483
7,13592
7,13870
7,14011
7,14093
7,14238
7,14281
7,14376
7,14429
7,14604
7,14630
7,14680
7,14707
7,14742
7,15043
7,15047
7,15252
7,15382
7,15459
7,15638
7,15663
7,16008
7,16095
7,16174
7,16343
7,16422
7,16503
7,16630
7,16738
7,16825
7,16924
7,16952
7,17037
7,17165
7,17212
7,17387
7,17449
7,17513
7,17632
7,17671
7,17680
7,17781
7,17965
7,18106
7,18135
7,18171
7,18219
7,18252
7,18295
7,18346
7,18375
7,18395
7,18571
7,18674
7,18794
7,18927
8,60
8,78
8,218
8,388
8,480
8,496
8,668
8,727
8,864
8,867
8,900
8,909
8,956
8,970
8,1143
8,1153
8,1197
8,1267
8,1388
8,1414
8,1426
8,1467
8,1549
8,1564
8,1583
8,1592
8,1593
8,1812
8,1921
8,1948
8,2003
8,2057
8,2180
8,2223
8,2227
8,2241
8,2270
8,2274
8,2293
8,2387
8,2418
8,2580
8,2646
8,2830
8,2842
8,2919
8,2998
8,3074
8,3156
8,3235
8,3307
8,3321
8,3385
8,3418
8,3525
8,3703
8,3730
8,3761
8,3782
8,3961
8,3991
8,4027
8,4124
8,4261
8,4322
8,4324
8,4329
8,4359
8,4473
8,4551
8,4588
8,4614
8,4622
8,4631
8,4658
