layer,neuron
2,9841
2,15133
4,119
4,293
4,474
4,881
4,1446
4,1531
4,4576
4,7403
4,7580
4,7980
4,9704
4,10408
4,11689
4,11834
4,12193
4,12310
4,12829
4,13463
4,13947
4,14185
4,14525
4,15048
4,15152
4,15592
4,16097
4,16743
4,17174
4,17750
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16546
5,16659
5,17575
5,17889
6,45
6,240
6,412
6,489
6,1330
6,1393
6,2039
6,2128
6,2155
6,2400
6,2486
6,2521
6,2834
6,2918
6,2927
6,3080
6,3653
6,3793
6,3926
6,3970
6,4053
6,4253
6,4434
6,4845
6,4949
6,4974
6,5054
6,5349
6,5492
6,5511
6,5606
6,5915
6,6085
6,6125
6,6331
6,6351
6,6476
6,6883
6,6944
6,7197
6,7221
6,7355
6,7552
6,7601
6,7673
6,7867
6,8118
6,8194
6,8471
6,8489
6,8548
6,8971
6,9025
6,9051
6,9060
6,9322
6,9365
6,9609
6,9648
6,9729
6,9920
6,10091
6,10124
6,10173
6,10248
6,10618
6,10859
6,10965
6,10990
6,11143
6,11440
6,11771
6,12159
6,12234
6,12324
6,12342
6,12420
6,12607
6,12908
6,13195
6,13382
6,13537
6,13867
6,13909
6,14195
6,14208
6,14374
6,14459
6,14612
6,14638
6,14850
6,14904
6,15367
6,15482
6,15549
6,15649
6,15965
6,16102
6,16473
6,16636
6,16904
6,17011
6,17062
6,17549
6,17657
6,17679
6,17772
6,17859
6,18281
6,18409
6,18525
6,18631
6,18667
6,18852
7,3
7,166
7,435
7,461
7,651
7,721
7,737
7,1116
7,1239
7,1297
7,1538
7,1776
7,2061
7,2156
7,2971
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3546
7,3865
7,3936
7,4028
7,4877
7,4942
7,5165
7,5483
7,5853
7,5928
7,6252
7,6389
7,6822
7,7073
7,7111
7,7160
7,7170
7,7460
7,7476
7,7631
7,7854
7,8421
7,8567
7,9199
7,9337
7,9578
7,9606
7,9776
7,9851
7,9963
7,10240
7,10822
7,10977
7,11423
7,11531
7,11651
7,11702
7,12034
7,12038
7,12234
7,12276
7,12453
7,12810
7,13366
7,13889
7,14007
7,14052
7,14093
7,14376
7,14429
7,14630
7,14707
7,14774
7,14833
7,14848
7,14953
7,15047
7,15213
7,15232
7,15252
7,15303
7,15610
7,15663
7,15679
7,15694
7,16118
7,16198
7,16343
7,16516
7,16924
7,17024
7,17037
7,17185
7,17212
7,17671
7,17834
7,17965
7,18019
7,18092
7,18253
7,18269
7,18375
7,18395
7,18571
7,18794
7,18927
8,73
8,78
8,116
8,149
8,167
8,210
8,475
8,480
8,566
8,668
8,727
8,792
8,831
8,867
8,900
8,904
8,941
8,976
8,987
8,1090
8,1224
8,1237
8,1414
8,1418
8,1426
8,1500
8,1564
8,1578
8,1581
8,1583
8,1593
8,1714
8,1799
8,1812
8,1902
8,1948
8,1992
8,2037
8,2040
8,2057
8,2180
8,2209
8,2223
8,2227
8,2270
8,2360
8,2418
8,2470
8,2770
8,2842
8,2913
8,2937
8,2949
8,2969
8,3156
8,3165
8,3235
8,3307
8,3312
8,3321
8,3345
8,3475
8,3483
8,3494
8,3527
8,3610
8,3693
8,3782
8,3900
8,4014
8,4090
8,4118
8,4124
8,4136
8,4197
8,4324
8,4427
8,4473
8,4588
8,4631
8,4726
8,4739
8,4742
8,4750
8,4847
8,5169
8,5229
8,5248
8,5454
8,5466
8,5553
8,5624
8,5637
8,5905
8,5908
8,6035
8,6102
8,6118
8,6156
8,6245
8,6255
8,6289
8,6611
8,6676
8,6706
8,6745
8,6864
8,6901
8,6954
8,6979
8,6988
8,7058
8,7143
8,7410
8,7473
8,7533
8,7691
8,7740
8,8132
8,8149
8,8196
8,8208
8,8261
8,8274
8,8292
8,8352
8,8384
8,8483
8,8484
8,8504
8,8575
8,8626
8,8689
8,8690
8,8692
8,8796
8,8854
8,8856
8,8876
8,8993
8,9000
8,9038
8,9186
8,9300
8,9384
8,9472
8,9518
8,9571
8,9581
8,9637
8,9642
8,9792
8,9896
8,9912
8,10160
8,10176
8,10189
8,10196
8,10208
8,10219
8,10269
8,10289
8,10418
8,10429
8,10664
8,10706
8,10761
8,10782
8,10833
8,10853
8,10857
8,10925
8,11111
8,11152
8,11169
8,11217
8,11237
8,11273
8,11311
8,11335
8,11416
8,11494
8,11552
8,11572
8,11594
8,11694
8,11910
8,11962
8,12032
8,12161
8,12192
8,12254
8,12355
8,12421
8,12456
8,12534
8,12567
8,12573
8,12709
8,12814
8,12865
8,12888
8,12931
8,12946
8,12953
8,12982
8,12992
8,13350
8,13467
8,13748
8,13752
8,13786
8,13854
8,13882
8,13932
8,13962
8,13980
8,13993
8,13995
8,14260
8,14270
8,14330
8,14342
8,14347
8,14361
8,14376
8,14544
8,14568
8,14631
8,14639
8,14686
8,14774
8,14888
8,14969
8,14996
8,15175
8,15218
8,15281
8,15361
8,15402
8,15469
8,15560
8,15618
8,15688
8,15856
8,15872
8,15942
8,16040
8,16160
8,16345
8,16552
8,16555
8,16643
8,16776
8,16782
8,16787
8,16804
8,16833
8,16915
8,16974
8,16995
8,17002
8,17408
8,17416
8,17437
8,17446
8,17466
8,17545
8,17548
8,17599
8,17710
8,17755
8,17819
8,17934
8,17972
8,17981
8,18070
8,18166
8,18279
8,18281
8,18299
8,18525
8,18526
8,18686
8,18690
8,18713
8,18726
8,18730
8,18764
8,18925
9,170
9,381
9,435
9,464
9,576
9,761
9,794
9,903
9,978
9,1082
9,1093
9,1125
9,1179
9,1274
9,1305
9,1354
9,1388
9,1429
9,1477
9,1507
9,1543
