layer,neuron
2,12508
2,15707
3,7075
4,2164
4,3200
4,7214
4,7580
4,7980
4,9704
4,10408
4,11834
4,11941
4,12193
4,12829
4,14968
4,15048
4,15161
4,15592
4,15893
4,16097
4,17163
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
6,240
6,412
6,649
6,1393
6,1658
6,1683
6,2039
6,2160
6,2400
6,2486
6,2521
6,2834
6,2927
6,3367
6,3793
6,3851
6,3970
6,4253
6,4845
6,5492
6,5768
6,5915
6,5956
6,6099
6,6476
6,6821
6,6883
6,6961
6,7197
6,7482
6,7601
6,7673
6,7867
6,7962
6,8066
6,8118
6,8194
6,8471
6,8489
6,8591
6,8698
6,8971
6,9322
6,9365
6,9386
6,9609
6,9795
6,10091
6,10103
6,10173
6,10248
6,10551
6,10990
6,11440
6,11621
6,12198
6,12324
6,12342
6,12346
6,12420
6,12465
6,12536
6,12607
6,12908
6,13041
6,13085
6,13195
6,13315
6,13327
6,13382
6,13909
6,14195
6,14208
6,14850
6,14904
6,15028
6,15293
6,15367
6,15638
6,15739
6,16323
6,16378
6,16512
6,16636
6,16830
6,17659
6,17679
6,17772
6,17859
6,18525
6,18623
6,18631
6,18789
6,18852
6,18920
7,3
7,166
7,217
7,261
7,341
7,435
7,461
7,651
7,721
7,737
7,1009
7,1085
7,1170
7,1444
7,1558
7,1675
7,1776
7,1847
7,1953
7,2061
7,2128
7,2144
7,2294
7,2493
7,2775
7,3193
7,3252
7,3329
7,3465
7,3500
7,3509
7,3791
7,3865
7,3936
7,4877
7,5067
7,5155
7,5184
7,5305
7,5771
7,5791
7,5847
7,5850
7,5853
7,5896
7,6078
7,6330
7,6405
7,6730
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7460
7,7631
7,7854
7,8010
7,8412
7,9005
7,9199
7,9227
7,9236
7,9337
7,9396
7,9489
7,9606
7,9709
7,9773
7,9916
7,9963
7,10078
7,10185
7,10257
7,10754
7,10822
7,11138
7,11233
7,11806
7,11881
7,12003
7,12034
7,12178
7,12240
7,12276
7,12453
7,12824
7,13060
7,13128
7,13259
7,13463
7,13483
7,14061
7,14093
7,14281
7,14376
7,14394
7,14507
7,14604
7,14625
7,14680
7,14707
7,14738
7,14848
7,15043
7,15047
7,15300
7,15382
7,15392
7,15459
7,15610
7,15663
7,15671
7,15679
7,15694
7,16174
7,16233
7,16343
7,16503
7,16686
7,16827
7,16952
7,17680
7,18019
7,18219
7,18295
7,18346
7,18395
7,18571
7,18603
7,18927
8,0
8,43
8,73
8,78
8,116
8,210
8,218
8,433
8,480
8,496
8,668
8,727
8,806
8,807
8,831
8,849
8,864
8,900
8,909
8,941
8,970
8,1145
8,1153
8,1197
8,1414
8,1418
8,1426
8,1458
8,1498
8,1500
8,1517
8,1549
8,1564
8,1613
8,1689
8,1766
8,1812
8,1902
8,1948
8,2057
8,2160
8,2169
8,2180
8,2223
8,2227
8,2241
8,2270
8,2290
8,2360
8,2387
8,2418
8,2550
8,2617
8,2700
8,2766
8,2842
8,2949
8,2969
8,3156
8,3235
8,3307
8,3321
8,3338
8,3344
8,3407
8,3418
8,3761
8,3782
8,4001
8,4087
8,4118
8,4124
8,4239
8,4261
8,4322
8,4324
8,4329
8,4395
8,4473
8,4482
8,4551
8,4588
8,4631
8,4670
8,4726
8,4742
8,4750
8,4847
8,5039
8,5053
8,5086
8,5169
8,5229
8,5248
8,5369
8,5454
8,5546
8,5552
8,5553
8,5558
8,5584
8,5624
8,5637
8,5641
8,5870
8,5905
8,5929
8,5955
8,5967
8,6035
8,6118
8,6124
8,6151
8,6156
8,6255
8,6265
8,6289
8,6466
8,6532
8,6557
8,6686
8,6706
8,6802
8,6864
8,6875
8,6891
8,6901
8,6979
8,7101
8,7410
8,7443
8,7473
8,7533
8,7572
8,7594
8,7607
8,7691
8,7697
8,7724
8,7740
8,7761
8,7899
8,8048
8,8051
8,8074
8,8132
8,8208
8,8242
8,8244
8,8261
8,8274
8,8352
8,8384
8,8484
8,8626
8,8689
8,8690
8,8692
8,8794
8,8796
8,8797
8,8856
8,8876
8,8986
8,8993
8,8997
8,9000
8,9013
8,9216
8,9248
8,9300
8,9446
8,9472
8,9518
8,9571
8,9637
8,9684
8,9792
8,9912
8,10079
8,10160
8,10208
8,10269
8,10289
8,10301
8,10548
8,10664
8,10669
8,10702
8,10722
8,10854
8,10857
8,10873
8,10925
8,10959
8,11032
8,11082
8,11111
8,11152
8,11217
8,11273
8,11311
8,11472
8,11494
8,11525
8,11572
8,11594
8,11607
8,11679
8,11870
8,11877
8,11910
8,11997
8,12172
8,12184
8,12188
8,12284
8,12355
8,12401
8,12421
8,12456
8,12479
8,12522
8,12567
8,12572
8,12709
8,12814
8,12843
8,12876
8,12931
8,12946
8,12953
8,12973
8,12992
8,13000
8,13041
8,13053
8,13093
8,13260
8,13350
8,13579
8,13714
8,13752
8,13761
8,13786
8,13854
8,13908
8,13915
8,13932
8,13980
8,13995
8,14043
8,14237
8,14260
8,14324
8,14342
8,14347
8,14361
8,14544
8,14568
8,14571
8,14604
8,14631
8,14686
8,14888
8,14891
8,14988
8,14996
8,15035
8,15175
8,15218
8,15330
8,15454
8,15458
8,15707
8,15794
8,15805
8,15815
8,15856
8,15917
8,16040
8,16160
8,16316
8,16345
8,16354
8,16586
8,16643
8,16694
8,16776
8,16782
8,16833
8,16876
8,16915
8,17039
8,17137
8,17195
8,17280
8,17296
8,17370
8,17416
8,17446
8,17548
8,17599
8,17699
8,17710
8,17755
8,17819
8,17859
8,17860
8,17934
8,17936
8,17972
8,18028
8,18070
8,18120
8,18166
8,18279
8,18281
8,18362
8,18387
8,18488
8,18526
8,18545
8,18581
8,18686
8,18730
8,18764
8,18850
8,18940
9,104
9,321
9,334
9,435
9,576
9,761
9,794
9,903
9,915
9,978
9,1061
9,1108
9,1125
9,1156
9,1179
9,1305
9,1380
9,1388
9,1429
9,1442
9,1477
9,1538
9,1543
9,1552
9,1554
9,1601
9,1642
9,1643
9,1739
9,1808
9,1913
9,2056
9,2127
9,2137
9,2182
9,2296
9,2359
9,2466
9,2473
9,2542
9,2587
9,2603
9,2610
9,2669
9,2671
9,2722
9,2758
9,2761
9,2801
9,2813
9,2951
9,3099
9,3133
9,3285
9,3311
9,3359
9,3383
9,3386
9,3510
9,3655
9,3662
9,3814
9,3972
9,4003
9,4075
9,4122
9,4217
9,4395
9,4439
9,4448
9,4463
9,4481
9,4503
9,4510
9,4535
9,4544
9,4611
9,4706
9,4739
9,4756
9,4804
9,4848
9,4886
9,4939
9,4941
9,4989
9,5230
9,5333
9,5379
9,5537
9,5707
9,5760
9,5810
9,5848
9,5856
9,5883
9,5897
9,5914
9,5996
9,6069
9,6148
9,6189
9,6236
9,6254
9,6267
9,6297
9,6301
9,6352
9,6385
9,6416
9,6487
9,6513
9,6543
9,6575
9,6661
9,6873
9,6878
9,6958
9,7002
9,7006
9,7016
9,7063
9,7148
9,7233
9,7266
9,7334
9,7417
9,7466
9,7476
9,7556
9,7603
9,7642
9,7710
9,7836
9,7929
9,7942
9,7951
9,8095
9,8097
9,8106
9,8123
9,8130
9,8150
9,8216
9,8247
9,8326
9,8404
9,8484
9,8501
9,8551
9,8553
9,8591
9,8679
9,8712
9,8802
9,8807
9,8829
9,9009
9,9017
9,9020
9,9142
9,9159
9,9171
9,9178
9,9184
9,9227
9,9245
9,9271
9,9309
9,9310
9,9386
9,9458
9,9509
9,9540
9,9567
9,9608
9,9696
9,9751
9,9783
9,9789
9,9852
9,9886
9,9965
9,10075
9,10096
9,10150
9,10178
9,10219
9,10335
9,10413
9,10458
9,10463
9,10557
9,10567
9,10661
9,10678
9,10694
9,10697
9,10731
9,10733
9,10773
9,10776
9,10825
9,10961
9,10991
9,11071
9,11105
9,11235
9,11280
9,11347
9,11369
9,11416
9,11473
9,11657
9,11844
9,11904
9,11940
9,12129
9,12132
9,12137
9,12169
9,12312
9,12483
9,12637
9,12644
9,12669
9,12727
9,12765
9,12799
9,12821
9,12894
9,12933
9,12962
9,13028
9,13110
9,13118
9,13337
9,13348
9,13394
9,13521
9,13601
9,13776
9,13783
9,13823
9,13850
9,13870
9,13872
9,13880
9,13881
9,13888
9,13901
9,13914
9,14082
9,14320
9,14386
9,14470
9,14486
9,14710
9,14901
9,15221
9,15252
9,15360
9,15402
9,15421
9,15442
9,15451
9,15505
9,15531
9,15615
9,15617
9,15702
9,15720
9,15840
9,15890
9,15960
9,16018
9,16262
9,16345
9,16352
9,16402
9,16461
9,16484
9,16523
9,16550
9,16576
9,16601
9,16616
9,16683
9,16716
9,16727
9,16888
9,16947
9,16948
9,16980
9,17030
9,17049
9,17063
9,17069
9,17088
9,17113
9,17225
9,17234
9,17327
9,17379
9,17390
9,17442
9,17461
9,17492
9,17505
9,17540
9,17607
9,17650
9,17827
9,17840
9,17893
9,17961
9,18209
9,18302
9,18504
9,18516
9,18619
9,18626
9,18843
9,18879
10,144
10,151
10,252
10,257
10,294
10,303
10,333
10,372
10,398
10,468
10,488
10,534
10,550
10,585
10,595
10,682
10,708
10,710
10,752
10,773
10,819
10,850
10,866
10,890
10,921
10,950
10,953
10,1036
10,1039
10,1086
10,1109
10,1172
10,1182
10,1188
10,1229
10,1328
10,1346
10,1388
10,1464
10,1474
10,1512
10,1540
10,1546
10,1609
10,1695
10,1702
10,1711
10,1733
10,1739
10,1779
10,1814
10,1836
10,1855
10,1864
10,1884
10,2023
10,2162
10,2178
10,2218
10,2238
10,2250
10,2273
10,2349
10,2354
10,2360
10,2402
10,2416
10,2432
10,2447
10,2473
10,2489
10,2510
10,2511
10,2515
10,2586
10,2596
10,2634
10,2652
10,2670
10,2679
10,2691
10,2724
10,2725
10,2830
10,2843
10,2875
10,2968
10,2978
10,3002
10,3027
10,3104
10,3128
10,3146
10,3181
10,3194
10,3226
10,3272
10,3284
10,3314
10,3331
10,3345
10,3427
10,3448
10,3468
10,3544
10,3562
10,3660
10,3689
10,3825
10,3826
10,3829
10,3868
10,3875
10,3916
10,3958
10,4002
10,4004
10,4024
10,4036
10,4086
10,4188
10,4212
10,4225
10,4331
10,4334
10,4338
10,4368
10,4370
10,4420
10,4441
10,4526
10,4572
10,4574
10,4656
10,4678
10,4703
10,4725
10,4733
10,4761
10,4777
10,4781
10,4783
10,4797
10,4833
10,4882
10,4953
10,4960
10,4999
10,5007
10,5042
10,5052
10,5070
10,5092
10,5137
10,5140
10,5148
10,5156
10,5166
10,5178
10,5179
10,5203
10,5223
10,5229
10,5265
10,5268
10,5348
10,5418
10,5491
10,5527
10,5544
10,5600
10,5619
10,5648
10,5674
10,5691
10,5713
10,5760
10,5852
10,5936
10,5938
10,5972
10,5987
10,6028
10,6039
