layer,neuron
2,12508
2,15707
4,2164
4,3200
4,4576
4,7580
4,7980
4,10408
4,11834
4,11941
4,12193
4,12829
4,15048
4,15161
4,15592
4,16097
4,17163
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17889
6,240
6,412
6,1393
6,1481
6,1658
6,1683
6,1730
6,2039
6,2160
6,2287
6,2400
6,2486
6,2521
6,2927
6,3367
6,3793
6,3970
6,4845
6,5028
6,5492
6,5606
6,5768
6,5915
6,5956
6,6099
6,6476
6,6495
6,6821
6,6883
6,7197
6,7482
6,7576
6,7590
6,7601
6,7673
6,7867
6,7921
6,7962
6,8066
6,8118
6,8194
6,8471
6,8489
6,8591
6,8698
6,8971
6,9269
6,9322
6,9365
6,9386
6,9609
6,10103
6,10151
6,10173
6,10248
6,10285
6,10551
6,10618
6,10990
6,11440
6,11621
6,11880
6,12198
6,12324
6,12342
6,12346
6,12420
6,12465
6,12536
6,12607
6,12908
6,13041
6,13085
6,13195
6,13315
6,13382
6,13909
6,14195
6,14208
6,14850
6,14904
6,15028
6,15181
6,15293
6,15367
6,15638
6,16084
6,16323
6,16378
6,16592
6,16636
6,16669
6,16830
6,17062
6,17589
6,17659
6,17679
6,17772
6,17815
6,17859
6,18525
6,18623
6,18631
6,18789
6,18852
6,18920
7,3
7,166
7,217
7,261
7,341
7,435
7,461
7,595
7,651
7,721
7,737
7,969
7,974
7,1009
7,1097
7,1170
7,1192
7,1422
7,1444
7,1558
7,1675
7,1776
7,1803
7,1847
7,1953
7,2061
7,2128
7,2294
7,2493
7,2727
7,2775
7,3014
7,3039
7,3122
7,3193
7,3252
7,3319
7,3329
7,3465
7,3500
7,3509
7,3546
7,3773
7,3791
7,3865
7,3936
7,4668
7,4822
7,4877
7,4916
7,5067
7,5184
7,5305
7,5314
7,5430
7,5771
7,5791
7,5847
7,5850
7,5853
7,5896
7,6031
7,6078
7,6399
7,6405
7,6613
7,6730
7,6754
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7426
7,7460
7,7546
7,7631
7,7759
7,7854
7,8010
7,8412
7,8858
7,8861
7,9005
7,9199
7,9227
7,9337
7,9396
7,9489
7,9606
7,9709
7,9773
7,9776
7,9851
7,9916
7,9930
7,9963
7,10078
7,10113
7,10185
7,10257
7,10548
7,10647
7,10754
7,10822
7,11233
7,11494
7,11531
7,11588
7,11779
7,11806
7,11881
7,11912
7,12003
7,12038
7,12072
7,12178
7,12240
7,12276
7,12453
7,12575
7,12659
7,12686
7,12723
7,12810
7,12824
7,13060
7,13128
7,13259
7,13269
7,13366
7,13463
7,13738
7,13984
7,14009
7,14011
7,14093
7,14281
7,14376
7,14394
7,14604
7,14625
7,14680
7,14707
7,14833
7,15043
7,15047
7,15180
7,15232
7,15300
7,15382
7,15459
7,15610
7,15663
7,15671
7,15679
7,15694
7,16008
7,16018
7,16174
7,16233
7,16343
7,16503
7,16686
7,16738
7,16825
7,16827
7,16952
7,17449
7,17506
7,17513
7,17561
7,17671
7,17680
7,17703
7,17781
7,18092
7,18208
7,18219
7,18252
7,18269
7,18346
7,18395
7,18451
7,18571
7,18603
7,18661
7,18794
7,18927
8,0
8,73
8,78
8,116
8,218
8,431
8,433
8,480
8,496
8,602
8,668
8,692
8,706
8,714
8,727
8,806
8,807
8,829
8,831
8,849
8,864
8,867
8,900
8,909
8,941
8,970
8,978
8,1145
8,1153
8,1197
8,1414
8,1418
8,1426
8,1449
8,1458
8,1467
8,1498
8,1500
8,1517
8,1549
8,1564
8,1613
8,1625
8,1689
8,1766
8,1812
8,1814
8,1902
8,1948
8,2035
8,2037
8,2040
8,2057
8,2102
8,2169
8,2180
8,2223
8,2227
8,2241
8,2270
8,2360
8,2387
8,2418
8,2550
8,2563
8,2700
8,2773
8,2830
8,2842
8,2913
8,2949
8,2969
8,3156
8,3235
8,3307
8,3321
8,3338
8,3344
8,3385
8,3407
8,3418
8,3527
8,3610
8,3761
8,3782
8,3803
8,3900
8,4027
8,4087
8,4118
8,4124
8,4239
8,4261
8,4322
8,4324
8,4329
8,4395
8,4444
8,4473
8,4482
8,4551
8,4588
8,4614
8,4631
8,4670
8,4726
8,4742
8,4750
8,4784
8,4813
8,4847
8,4854
8,5039
8,5086
8,5125
8,5169
8,5229
8,5248
8,5305
8,5341
8,5369
8,5454
8,5546
8,5552
8,5553
8,5558
8,5584
8,5624
8,5637
8,5745
8,5870
8,5905
8,5955
8,5967
8,5974
8,6035
8,6118
8,6156
8,6255
8,6289
8,6299
8,6401
8,6466
8,6532
8,6557
8,6802
8,6864
8,6875
8,6891
8,6901
8,6929
8,6979
8,6988
8,7101
8,7315
8,7410
8,7443
8,7473
8,7533
8,7553
8,7572
8,7607
8,7691
8,7697
8,7724
8,7740
8,7761
8,7785
8,7855
8,7899
8,7968
8,7998
8,8048
8,8051
8,8074
8,8132
8,8208
8,8242
8,8244
8,8261
8,8274
8,8352
8,8369
8,8384
8,8405
8,8483
8,8484
8,8568
8,8575
8,8626
8,8689
8,8690
8,8692
8,8794
8,8796
8,8797
8,8806
8,8856
8,8858
8,8876
8,8986
8,8993
8,8997
8,9000
8,9013
8,9216
8,9248
8,9300
8,9363
8,9391
8,9446
8,9472
8,9518
8,9571
8,9621
8,9637
8,9684
8,9792
8,9912
8,10160
8,10189
8,10269
8,10289
8,10301
8,10418
8,10489
8,10548
8,10664
8,10669
8,10702
8,10722
8,10854
8,10857
8,10873
8,10925
8,10959
8,10988
8,11032
8,11111
8,11144
8,11152
8,11217
8,11263
8,11273
8,11311
8,11472
8,11494
8,11572
8,11594
8,11607
8,11679
8,11700
8,11746
8,11861
8,11870
8,11910
8,11920
8,12133
8,12172
8,12184
8,12188
8,12192
8,12274
8,12284
8,12341
8,12355
8,12401
8,12421
8,12456
8,12479
8,12522
8,12567
8,12572
8,12614
8,12687
8,12709
8,12814
8,12843
8,12894
8,12931
8,12945
8,12946
8,12973
8,12992
8,13036
8,13041
8,13053
8,13093
8,13111
8,13350
8,13365
8,13520
8,13579
8,13653
8,13714
8,13732
8,13752
8,13759
8,13854
8,13908
8,13915
8,13932
8,13980
8,13986
8,13995
8,14037
8,14043
8,14192
8,14237
8,14260
8,14270
8,14342
8,14347
8,14361
8,14376
8,14437
8,14499
8,14544
8,14568
8,14571
8,14604
8,14631
8,14649
8,14686
8,14891
8,14996
8,15035
8,15151
8,15168
8,15175
8,15218
8,15249
8,15330
8,15392
8,15454
8,15458
8,15469
8,15501
8,15585
8,15618
8,15707
8,15786
8,15805
8,15815
8,15856
8,15917
8,15931
8,15942
8,16040
8,16160
8,16316
8,16345
8,16354
8,16552
8,16556
8,16643
8,16675
8,16694
8,16776
8,16782
8,16833
8,16856
8,16876
8,16915
8,17130
8,17195
8,17280
8,17296
8,17370
8,17416
8,17446
8,17452
8,17466
8,17548
8,17599
8,17687
8,17699
8,17710
8,17755
8,17819
8,17859
8,17860
8,17934
8,17936
8,17945
8,18028
8,18070
8,18120
8,18229
8,18279
8,18281
8,18362
8,18387
8,18398
8,18526
8,18545
8,18581
8,18686
8,18690
8,18730
8,18749
8,18764
9,170
9,293
9,321
9,334
9,360
9,400
9,435
9,466
9,576
9,761
9,794
9,903
9,978
9,1061
9,1125
9,1156
9,1179
9,1274
9,1305
9,1388
9,1429
9,1477
9,1538
9,1543
9,1552
9,1554
9,1626
9,1642
9,1643
9,1657
9,1739
9,1808
9,1913
9,2056
9,2127
9,2137
9,2182
9,2296
9,2321
9,2323
9,2466
9,2471
9,2542
9,2610
9,2669
9,2671
9,2722
9,2761
9,2801
9,2813
9,2951
9,3099
9,3133
9,3209
9,3285
9,3311
9,3359
9,3386
9,3400
9,3510
9,3552
9,3611
9,3655
9,3662
9,3814
9,3935
9,4003
9,4075
9,4122
9,4162
9,4217
9,4395
9,4439
9,4448
9,4481
9,4503
9,4510
9,4535
9,4544
9,4562
9,4611
9,4646
9,4706
9,4739
9,4756
9,4804
9,4848
9,4886
9,4939
9,4941
9,4989
9,4996
9,5170
9,5230
9,5333
9,5379
9,5537
9,5707
9,5760
9,5810
9,5848
9,5856
9,5883
9,5892
9,5897
9,5914
9,5950
9,5996
9,6069
9,6148
9,6189
9,6236
9,6254
9,6267
9,6297
9,6301
9,6385
9,6416
9,6436
9,6487
9,6543
9,6575
9,6661
9,6748
9,6873
9,6878
9,6958
9,7002
9,7006
9,7016
9,7063
9,7148
9,7233
9,7266
9,7417
9,7466
9,7476
9,7556
9,7642
9,7710
9,7836
9,7942
9,7951
9,8095
9,8106
9,8123
9,8130
9,8150
9,8216
9,8247
9,8326
9,8404
9,8484
9,8501
9,8551
9,8580
9,8591
9,8679
9,8712
9,8802
9,8807
9,8829
9,9017
9,9020
9,9142
9,9159
9,9171
9,9178
9,9184
9,9227
9,9271
9,9309
9,9310
9,9386
9,9458
9,9509
9,9540
9,9608
9,9689
9,9696
9,9751
9,9783
9,9789
9,9851
9,9852
9,9886
9,9932
9,10075
9,10096
9,10150
9,10178
9,10219
9,10413
9,10427
9,10458
9,10463
9,10553
9,10557
9,10567
9,10678
9,10694
9,10697
9,10731
9,10733
9,10773
9,10776
9,10961
9,10991
9,11105
9,11172
9,11235
9,11280
9,11369
9,11416
9,11423
9,11473
9,11657
9,11844
9,11904
9,11940
9,12129
9,12152
9,12169
9,12378
9,12463
9,12483
9,12637
9,12699
9,12727
9,12765
9,12799
9,12821
9,12894
9,12917
9,12933
9,12962
9,13028
9,13337
9,13348
9,13394
9,13521
9,13601
9,13723
9,13776
9,13783
9,13823
9,13850
9,13870
9,13872
9,13880
9,13881
9,13901
9,14105
9,14109
9,14251
9,14320
9,14386
9,14470
9,14646
9,14710
9,14901
9,15151
9,15201
9,15221
9,15252
9,15360
9,15402
9,15421
9,15442
9,15505
9,15531
9,15702
9,15720
9,15840
9,15890
9,16018
9,16262
9,16345
9,16352
9,16402
9,16461
9,16484
9,16523
9,16550
9,16601
9,16616
9,16646
9,16683
9,16707
9,16727
9,16841
9,16888
9,16947
9,16948
9,17030
9,17049
9,17063
9,17088
9,17234
9,17327
9,17379
9,17390
9,17442
9,17461
9,17492
9,17505
9,17607
9,17621
9,17650
9,17768
9,17827
9,17840
9,17879
9,17893
9,17961
9,18209
9,18302
9,18504
9,18516
9,18619
9,18626
9,18751
9,18879
9,18925
10,144
10,151
10,223
10,233
10,247
10,252
10,257
10,303
10,333
10,358
10,372
10,398
10,468
10,488
10,494
10,528
10,585
10,660
10,682
10,710
10,752
10,773
10,819
10,850
10,854
10,866
10,921
10,950
10,953
10,973
10,1036
10,1039
10,1086
10,1172
10,1182
10,1258
10,1346
10,1388
10,1464
10,1474
10,1540
10,1546
10,1550
10,1609
10,1620
10,1668
10,1695
10,1702
