layer,neuron
4,1036
4,1446
4,2164
4,7580
4,11941
4,12193
4,14968
4,15592
4,17163
4,18488
4,18771
5,1210
5,2671
5,3139
5,3944
5,5909
5,8361
5,9571
5,11175
5,11301
5,11548
5,12174
5,12551
5,12714
5,13357
5,13774
5,14133
5,15335
5,16232
5,16546
5,16659
5,17889
6,342
6,473
6,1393
6,2094
6,2521
6,2927
6,3851
6,5028
6,5899
6,5915
6,6425
6,7237
6,7368
6,7482
6,7673
6,7867
6,7921
6,7922
6,8398
6,8803
6,9391
6,9609
6,9650
6,10179
6,10248
6,11217
6,11278
6,12053
6,12316
6,12607
6,12725
6,12858
6,12908
6,13195
6,13909
6,14284
6,14850
6,15028
6,16084
6,16226
6,16378
6,16427
6,16473
6,16636
6,17062
6,17589
6,17679
6,17859
6,18391
6,18494
6,18623
6,18881
7,341
7,435
7,2061
7,2294
7,2658
7,2692
7,2775
7,3329
7,3865
7,3936
7,4580
7,4586
7,4692
7,4904
7,5163
7,5164
7,5379
7,5608
7,5850
7,6078
7,6386
7,6389
7,6392
7,6399
7,6613
7,6822
7,7073
7,7125
7,7170
7,7373
7,7460
7,7631
7,7678
7,7685
7,7854
7,8007
7,8246
7,8705
7,9005
7,10023
7,11622
7,11658
7,12072
7,12240
7,12453
7,12702
7,13232
7,13617
7,14376
7,14604
7,14953
7,15047
7,15180
7,15233
7,15382
7,15392
7,15459
7,16018
7,16325
7,16610
7,16827
7,16878
7,17295
7,17513
7,17625
7,18019
7,18357
7,18570
7,18571
8,218
8,226
8,433
8,480
8,496
8,687
8,698
8,706
8,727
8,900
8,1211
8,1250
8,1399
8,1498
8,1623
8,1713
8,1804
8,2023
8,2146
8,2241
8,2271
8,2360
8,2387
8,2749
8,2969
8,3194
8,3235
8,3307
8,3483
8,3527
8,3555
8,3761
8,3782
8,3889
8,3900
8,3991
8,4017
8,4124
8,4227
8,4322
8,4473
8,4614
8,4631
8,4690
8,4694
8,4726
8,4750
8,4854
8,4936
8,5039
8,5169
8,5229
8,5248
8,5305
8,5320
8,5410
8,5494
8,5553
8,5785
8,5870
8,5967
8,6035
8,6064
8,6097
8,6118
8,6152
8,6173
8,6279
8,6864
8,6878
8,6979
8,7058
8,7410
8,7427
8,7691
8,7761
8,7855
8,7940
8,8261
8,8274
8,8384
8,8605
8,8620
8,8689
8,8755
8,8864
8,8986
8,8993
8,8997
8,9000
8,9119
8,9300
8,9358
8,9384
8,9391
8,9518
8,9581
8,9612
8,9637
8,9684
8,9759
8,9883
8,9956
8,9958
8,10045
8,10079
8,10259
8,10702
8,10873
8,11152
8,11273
8,11311
8,11354
8,11494
8,11588
8,11594
8,11700
8,11870
8,12032
8,12113
8,12183
8,12355
8,12421
8,12456
8,12522
8,12700
8,12709
8,12770
8,12814
8,12931
8,12946
8,12992
8,13041
8,13133
8,13219
8,13403
8,13520
8,13579
8,13714
8,13932
8,13995
8,14361
8,14544
8,14568
8,14686
8,14969
8,14988
8,15032
8,15142
8,15175
8,15218
8,15501
8,15707
8,15776
8,15805
8,15931
8,16040
8,16316
8,16345
8,16432
8,16477
8,16556
8,16643
8,16675
8,16705
8,16876
8,16886
8,16933
8,17039
8,17117
8,17195
8,17370
8,17452
8,17599
8,17699
8,18073
8,18120
8,18237
8,18242
8,18299
8,18322
8,18362
8,18436
8,18488
8,18525
8,18545
8,18739
