layer,neuron
4,119
4,293
4,881
4,1036
4,1446
4,7403
4,7580
4,8184
4,9704
4,10408
4,11689
4,15048
4,15592
4,16743
4,17750
4,18488
4,18771
5,1210
5,2671
5,3139
5,3944
5,5909
5,8361
5,9388
5,9571
5,11175
5,11301
5,11548
5,12174
5,12551
5,12714
5,13357
5,13774
5,14133
5,15927
5,16232
5,16546
5,16659
5,17889
6,342
6,473
6,780
6,1339
6,1393
6,2094
6,2280
6,2521
6,2918
6,3178
6,5054
6,5899
6,5915
6,6650
6,7237
6,7368
6,7482
6,7673
6,7867
6,8398
6,8663
6,8971
6,9391
6,9636
6,9650
6,10179
6,10248
6,11163
6,11278
6,11461
6,12053
6,12316
6,12336
6,12607
6,12725
6,12858
6,12908
6,13195
6,13381
6,13909
6,13952
6,14259
6,14284
6,14612
6,14850
6,15028
6,15377
6,16084
6,16226
6,16473
6,16636
6,17062
6,17589
6,17859
6,18126
6,18623
6,18881
7,435
7,969
7,1310
7,1954
7,2061
7,2102
7,2294
7,2658
7,2775
7,3100
7,3329
7,3844
7,3865
7,3936
7,4506
7,4586
7,4692
7,5163
7,5164
7,5379
7,5430
7,5608
7,5816
7,5847
7,5853
7,6386
7,6389
7,6399
7,6495
7,6605
7,6613
7,6790
7,6822
7,6826
7,7073
7,7125
7,7170
7,7373
7,7456
7,7460
7,7631
7,7678
7,7854
7,8007
7,8246
7,8705
7,9005
7,10023
7,11298
7,11531
7,11622
7,11658
7,12072
7,12260
7,12433
7,12575
7,12702
7,13617
7,13976
7,14376
7,14604
7,14953
7,15047
7,15180
7,15203
7,15324
7,15382
7,15392
7,15432
7,15459
7,15694
7,16325
7,16766
7,16827
7,16878
7,17316
7,17513
7,17625
7,17901
7,18357
7,18482
7,18570
7,18571
8,116
8,167
8,218
8,226
8,433
8,475
8,480
8,496
8,687
8,706
8,727
8,900
8,1092
8,1250
8,1399
8,1498
8,1500
8,1513
8,1713
8,1804
8,2084
8,2241
8,2271
8,2360
8,2749
8,2969
8,2990
8,3235
8,3307
8,3483
8,3527
8,3555
8,3782
8,3889
8,3900
8,3991
8,4017
8,4062
8,4124
8,4322
8,4329
8,4473
8,4503
8,4614
8,4631
8,4694
8,4726
8,4847
8,5039
8,5169
8,5229
8,5248
8,5320
8,5410
8,5466
8,5494
8,5553
8,5785
8,5870
8,5905
8,5967
8,5987
8,6002
8,6035
8,6064
8,6118
8,6152
8,6349
8,6447
8,6557
8,6802
8,6803
8,6833
