layer,neuron
2,2928
2,4013
2,15133
3,17019
4,119
4,293
4,881
4,1036
4,1446
4,1531
4,2530
4,4576
4,7214
4,7403
4,7580
4,7980
4,9704
4,10408
4,10416
4,10987
4,11689
4,11834
4,12193
4,12829
4,13463
4,13947
4,14185
4,14525
4,15048
4,15152
4,15161
4,15592
4,16097
4,16743
4,17174
4,17750
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16267
5,16546
5,16659
5,17575
5,17889
6,45
6,106
6,192
6,240
6,261
6,412
6,489
6,510
6,754
6,1131
6,1324
6,1329
6,1330
6,1393
6,1960
6,2039
6,2128
6,2132
6,2155
6,2160
6,2309
6,2400
6,2486
6,2521
6,2653
6,2834
6,2918
6,2927
6,3080
6,3367
6,3653
6,3793
6,3830
6,3926
6,3970
6,4053
6,4253
6,4434
6,4845
6,4947
6,4949
6,4974
6,5002
6,5054
6,5108
6,5121
6,5349
6,5352
6,5429
6,5492
6,5560
6,5606
6,5768
6,5899
6,5915
6,5987
6,6085
6,6125
6,6167
6,6331
6,6476
6,6815
6,6883
6,6944
6,6961
6,7197
6,7221
6,7339
6,7378
6,7552
6,7590
6,7601
6,7673
6,7867
6,7962
6,8118
6,8194
6,8282
6,8388
6,8459
6,8471
6,8489
6,8548
6,8591
6,8608
6,8663
6,8971
6,8985
6,9000
6,9025
6,9031
6,9051
6,9322
6,9365
6,9413
6,9609
6,9648
6,9697
6,9729
6,9864
6,9920
6,9954
6,10091
6,10124
6,10248
6,10372
6,10618
6,10859
6,10990
6,11143
6,11348
6,11440
6,11543
6,11699
6,11771
6,12053
6,12159
6,12234
6,12324
6,12342
6,12420
6,12465
6,12607
6,12725
6,12845
6,12908
6,13085
6,13195
6,13381
6,13382
6,13537
6,13867
6,13909
6,14195
6,14208
6,14370
6,14374
6,14459
6,14526
6,14555
6,14612
6,14638
6,14850
6,14904
6,15181
6,15202
6,15367
6,15398
6,15482
6,15549
6,15649
6,15739
6,15859
6,15965
6,15971
6,16045
6,16102
6,16194
6,16328
6,16378
6,16473
6,16636
6,16803
6,16904
6,17011
6,17062
6,17549
6,17657
6,17679
6,17772
6,17859
6,18197
6,18221
6,18281
6,18409
6,18439
6,18525
6,18623
6,18631
6,18667
6,18789
6,18852
6,18927
7,3
7,166
7,255
7,435
7,461
7,651
7,721
7,737
7,969
7,1009
7,1116
7,1272
7,1310
7,1357
7,1444
7,1538
7,1675
7,1776
7,1921
7,2061
7,2156
7,2294
7,2297
7,2320
7,2971
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4028
7,4771
7,4877
7,4942
7,5155
7,5165
7,5790
7,5791
7,5853
7,6031
7,6252
7,6389
7,6790
7,6822
7,6826
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7426
7,7460
7,7476
7,7631
7,7854
7,8421
7,9199
7,9227
7,9337
7,9367
7,9396
7,9564
7,9606
7,9709
7,9776
7,9963
7,10185
7,10388
7,10683
7,10822
7,10977
7,11101
7,11298
7,11423
7,11531
7,11617
7,11651
7,11702
7,11806
7,11912
7,12003
7,12038
7,12234
7,12276
7,12453
7,12686
7,12889
7,13264
7,13366
7,13596
7,13738
7,13889
7,14007
7,14009
7,14052
7,14093
7,14280
7,14361
7,14376
7,14429
7,14630
7,14684
7,14742
7,14774
7,14833
7,14848
7,14953
7,15047
7,15213
7,15232
7,15252
7,15303
7,15382
7,15443
7,15459
7,15520
7,15610
7,15638
7,15663
7,15679
7,15694
7,16118
7,16198
7,16343
7,16349
7,16516
7,16630
7,16635
7,16827
7,16924
7,16952
7,17024
7,17037
7,17111
7,17212
7,17387
7,17671
7,17680
7,17781
7,17965
7,18092
7,18135
7,18346
7,18395
7,18571
7,18661
7,18794
7,18927
8,0
8,43
8,60
8,73
8,78
8,116
8,167
8,210
8,218
8,226
8,235
8,253
8,256
8,431
8,433
8,475
8,480
8,489
8,559
8,668
8,679
8,706
8,727
8,742
8,765
8,806
8,831
8,867
8,875
8,904
8,941
8,949
8,970
8,976
8,978
8,987
8,1090
8,1153
8,1224
8,1237
8,1414
8,1418
8,1426
8,1500
8,1517
8,1564
8,1579
8,1581
8,1583
8,1593
8,1613
8,1643
8,1714
8,1799
8,1812
8,1814
8,1902
8,1988
8,1992
8,2003
8,2040
8,2057
8,2180
8,2209
8,2223
8,2227
8,2241
8,2270
8,2360
8,2397
8,2418
8,2470
8,2550
8,2580
8,2617
8,2666
8,2770
8,2789
8,2830
8,2842
8,2913
8,2919
8,2937
8,2949
8,2969
8,3006
8,3034
8,3156
8,3165
8,3235
8,3295
8,3307
8,3312
8,3321
8,3338
8,3393
8,3475
8,3483
8,3494
8,3527
8,3538
8,3610
8,3693
8,3730
8,3782
8,3803
8,3900
8,3968
8,4014
8,4027
8,4062
8,4090
8,4107
8,4118
8,4124
8,4126
8,4136
8,4197
8,4322
8,4324
8,4379
8,4395
8,4401
8,4427
8,4444
8,4473
8,4482
8,4562
8,4588
8,4631
8,4633
8,4658
8,4670
8,4694
8,4726
8,4742
8,4750
8,4847
8,4854
8,4927
8,4936
8,5039
8,5052
8,5053
8,5169
8,5229
8,5248
8,5410
8,5454
8,5466
8,5513
8,5527
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5647
8,5704
8,5782
8,5834
8,5905
8,5908
8,5974
8,5988
8,6011
8,6024
8,6035
8,6040
8,6102
8,6118
8,6156
8,6170
8,6173
8,6245
8,6255
8,6287
8,6289
8,6349
8,6466
8,6485
8,6557
8,6611
8,6676
8,6686
8,6706
8,6745
8,6826
8,6864
8,6901
8,6914
8,6954
8,6979
8,6984
8,6988
8,7102
8,7252
8,7261
8,7410
8,7452
8,7453
8,7473
8,7533
8,7553
8,7691
8,7694
8,7727
8,7740
8,7855
8,7872
8,7970
8,8093
8,8132
8,8149
8,8196
8,8208
8,8232
8,8260
8,8261
8,8274
8,8292
8,8326
8,8338
8,8347
8,8352
8,8384
8,8449
8,8483
8,8484
8,8504
8,8575
8,8626
8,8689
8,8690
8,8692
8,8796
8,8856
8,8876
8,8986
8,8993
8,9000
8,9038
8,9186
8,9300
8,9384
8,9391
8,9446
8,9472
8,9518
8,9571
8,9581
8,9637
8,9642
8,9678
8,9694
8,9792
8,9896
8,9912
8,9924
8,9949
8,9996
8,10055
8,10079
8,10160
8,10176
8,10189
8,10196
8,10208
8,10224
8,10258
8,10269
8,10289
8,10335
8,10418
8,10429
8,10533
8,10548
8,10628
8,10664
8,10702
8,10722
8,10761
8,10782
8,10833
8,10853
8,10854
8,10857
8,10925
8,11075
8,11111
8,11152
8,11162
8,11166
8,11169
8,11217
8,11237
8,11273
8,11311
8,11335
8,11416
8,11472
8,11494
8,11525
8,11552
8,11572
8,11594
8,11665
8,11671
8,11694
8,11754
8,11845
8,11870
8,11878
8,11910
8,11962
8,11968
8,11999
8,12032
8,12161
8,12184
8,12188
8,12192
8,12254
8,12284
8,12341
8,12355
8,12421
8,12456
8,12479
8,12534
8,12567
8,12572
8,12573
8,12633
8,12709
8,12814
8,12818
8,12864
8,12865
8,12888
8,12894
8,12931
8,12939
8,12946
8,12953
8,12992
8,13000
8,13041
8,13121
8,13280
8,13350
8,13411
8,13467
8,13575
8,13693
8,13787
8,13854
8,13882
8,13913
8,13932
8,13980
8,13986
8,13991
8,13993
8,13995
8,14087
8,14159
8,14270
8,14303
8,14342
8,14347
8,14361
8,14376
8,14437
8,14447
8,14453
8,14527
8,14544
8,14568
8,14604
8,14631
8,14639
8,14649
8,14686
8,14774
8,14787
8,14827
8,14888
8,14959
8,14969
8,14996
8,15069
8,15082
8,15135
8,15175
8,15218
8,15238
8,15249
8,15281
8,15330
8,15361
8,15430
8,15447
8,15448
8,15469
8,15501
8,15570
8,15618
8,15668
8,15688
8,15794
8,15825
8,15856
8,15872
8,15917
8,15942
8,16040
8,16095
8,16160
8,16345
8,16360
8,16535
8,16552
8,16555
8,16643
8,16722
8,16751
8,16776
8,16782
8,16804
8,16833
8,16856
8,16876
8,16915
8,16974
8,16995
8,17002
8,17039
8,17061
8,17063
8,17122
8,17153
8,17246
8,17256
8,17359
8,17416
8,17437
8,17442
8,17446
8,17466
8,17514
8,17545
8,17548
8,17599
8,17710
8,17755
8,17774
8,17800
8,17819
8,17934
8,17972
8,17981
8,18070
8,18082
8,18085
8,18121
8,18166
8,18279
8,18281
8,18299
8,18324
8,18525
8,18526
8,18535
8,18686
8,18713
8,18726
8,18730
8,18764
8,18850
8,18878
8,18925
9,56
9,228
9,247
9,321
9,381
9,435
9,464
9,483
9,576
9,667
9,761
9,794
9,903
9,978
9,982
9,1061
9,1082
9,1093
9,1179
9,1274
9,1305
9,1333
9,1354
9,1380
9,1388
9,1429
9,1460
9,1477
9,1507
9,1543
9,1554
9,1570
9,1591
9,1601
9,1634
9,1642
9,1643
9,1657
9,1730
9,1739
9,1808
9,1913
9,2162
9,2209
9,2294
9,2323
9,2542
9,2556
9,2603
9,2669
9,2671
9,2678
9,2758
9,2761
9,2813
9,2880
9,2948
9,2951
9,2991
9,3015
9,3019
9,3099
9,3161
9,3234
9,3311
9,3384
9,3386
9,3510
9,3565
9,3576
9,3655
9,3662
9,3665
9,3841
9,3920
9,3972
9,4075
9,4122
9,4217
9,4237
9,4264
9,4324
9,4387
9,4395
9,4448
9,4503
9,4510
9,4611
9,4646
9,4652
9,4706
9,4715
9,4739
9,4831
9,4886
9,4908
9,4917
9,4939
9,4989
9,5126
9,5230
9,5333
9,5342
9,5379
9,5444
9,5707
9,5810
9,5848
9,5883
9,5897
9,5914
9,5996
9,5998
9,6069
9,6109
9,6148
9,6189
9,6236
9,6254
9,6290
9,6297
9,6352
9,6354
9,6385
9,6400
9,6416
9,6436
9,6487
9,6517
9,6543
9,6575
9,6584
9,6661
9,6673
9,6748
9,6878
9,6958
9,7006
9,7016
9,7063
9,7068
9,7148
9,7233
9,7259
9,7266
9,7466
9,7556
9,7563
9,7603
9,7670
9,7677
9,7710
9,7766
9,7836
9,7869
9,7907
9,7942
9,7951
9,8106
9,8124
9,8130
9,8150
9,8247
9,8326
9,8404
9,8484
9,8501
9,8553
9,8589
9,8608
9,8656
9,8679
9,8802
9,8807
9,8991
9,9017
9,9020
9,9159
9,9171
9,9178
9,9184
9,9196
9,9227
9,9271
9,9302
9,9309
9,9310
9,9386
9,9458
9,9506
9,9540
9,9567
9,9608
9,9658
9,9696
9,9845
9,9886
9,10045
9,10096
9,10150
9,10178
9,10215
9,10219
9,10240
9,10251
9,10335
9,10351
9,10413
9,10463
9,10557
9,10628
9,10678
9,10694
9,10697
9,10756
9,10759
9,10772
9,10776
9,10825
9,10932
9,10961
9,10991
9,11061
9,11105
9,11235
9,11280
9,11314
9,11347
9,11369
9,11370
9,11416
9,11423
9,11450
9,11504
9,11635
9,11655
9,11657
9,11692
9,11858
9,11881
9,11895
9,11904
9,11918
9,11940
9,12013
9,12129
9,12132
9,12169
9,12255
9,12312
9,12403
9,12727
9,12765
9,12799
9,12821
9,12917
9,12962
9,13025
9,13059
9,13082
9,13110
9,13118
9,13258
9,13302
9,13337
9,13348
9,13383
9,13390
9,13394
9,13469
9,13601
9,13707
9,13723
9,13778
9,13783
9,13823
9,13872
9,13880
9,13901
9,13906
9,14082
9,14109
9,14203
9,14320
9,14451
9,14470
9,14486
9,14646
9,14710
9,14821
9,14825
9,14846
9,14999
9,15072
9,15075
9,15151
9,15201
9,15239
9,15252
9,15360
9,15377
9,15402
9,15421
9,15442
9,15451
9,15491
9,15505
9,15568
9,15615
9,15616
9,15617
9,15646
9,15676
9,15720
9,15766
9,15827
9,15840
9,15922
9,16018
9,16237
9,16262
9,16325
9,16345
9,16352
9,16373
9,16402
9,16484
9,16499
9,16524
9,16550
9,16576
9,16601
9,16616
9,16707
9,16716
9,16722
9,16888
9,16889
9,16947
9,17030
9,17049
9,17063
9,17088
9,17136
9,17177
9,17222
9,17225
9,17234
9,17327
9,17379
9,17461
9,17492
9,17505
9,17528
9,17530
9,17650
9,17704
9,17739
9,17794
9,17827
9,17840
9,17855
9,17918
9,17961
9,17990
9,18059
9,18120
9,18181
9,18301
9,18302
9,18365
9,18516
9,18527
9,18569
9,18619
9,18758
9,18843
9,18894
9,18917
10,3
10,92
10,155
10,182
10,217
10,226
10,257
10,298
10,333
10,363
10,372
10,384
10,386
10,398
10,420
10,459
10,501
10,528
10,550
10,557
10,585
10,593
10,635
10,660
10,682
10,803
10,819
10,824
10,850
10,866
10,905
10,950
10,953
10,975
10,1036
10,1039
10,1086
10,1114
10,1172
10,1258
10,1325
10,1346
10,1359
10,1391
10,1417
10,1432
10,1442
10,1493
10,1509
10,1512
10,1539
10,1546
10,1550
10,1568
10,1609
10,1620
10,1653
10,1702
10,1708
10,1733
10,1739
10,1765
10,1773
10,1779
10,1814
10,1884
10,1890
10,1903
10,1905
10,1921
10,1950
10,1987
10,2036
10,2105
10,2124
10,2134
10,2162
10,2178
10,2185
10,2198
10,2199
10,2218
10,2246
10,2250
10,2349
10,2360
10,2416
10,2473
10,2489
10,2510
10,2515
10,2552
10,2595
10,2670
10,2688
10,2691
10,2724
10,2725
10,2733
10,2771
10,2810
10,2860
10,2863
10,2874
10,2875
10,2884
10,2896
10,2918
10,2946
10,2978
10,3002
10,3027
10,3082
10,3109
10,3194
10,3220
10,3259
10,3272
10,3284
10,3328
10,3336
10,3433
10,3448
10,3450
10,3453
10,3473
10,3524
10,3562
10,3660
10,3689
10,3792
10,3834
10,3855
10,3863
10,3875
10,3958
10,4004
10,4024
10,4036
10,4052
10,4069
10,4086
10,4096
10,4099
10,4108
10,4135
10,4188
10,4212
10,4338
10,4368
10,4370
10,4477
10,4507
10,4517
10,4572
10,4574
10,4606
10,4678
10,4692
10,4703
10,4725
10,4733
10,4777
10,4778
10,4781
10,4782
10,4783
10,4795
10,4833
10,4843
10,4882
10,4919
10,4948
10,4960
10,5007
10,5052
10,5055
10,5058
10,5092
10,5148
10,5166
10,5193
10,5223
10,5229
10,5251
10,5265
10,5268
10,5286
10,5348
10,5356
10,5393
10,5400
10,5413
10,5432
10,5437
10,5463
10,5484
10,5491
10,5519
10,5527
10,5534
10,5552
10,5614
10,5643
10,5648
10,5674
10,5691
10,5692
10,5779
10,5800
10,5868
10,5936
10,5950
10,5960
10,6028
10,6039
10,6055
10,6092
10,6103
10,6105
10,6188
10,6197
10,6207
10,6266
10,6307
10,6318
10,6385
10,6403
10,6535
10,6542
10,6567
10,6578
10,6599
10,6723
10,6741
10,6783
10,6784
10,6800
10,6843
10,6861
10,6883
10,6892
10,6916
10,6947
10,6952
10,6970
10,6997
10,7002
10,7014
10,7043
10,7062
10,7063
10,7070
10,7182
10,7258
10,7265
10,7267
10,7317
10,7329
10,7412
10,7441
10,7503
10,7515
10,7589
10,7595
10,7639
10,7663
10,7687
10,7688
10,7793
10,7794
10,7810
10,7814
10,7929
10,7940
10,7959
10,7968
10,7980
10,8000
10,8034
10,8041
10,8105
10,8113
10,8120
10,8137
10,8157
10,8191
10,8240
10,8313
10,8326
10,8358
10,8364
10,8370
10,8401
10,8443
10,8446
10,8448
10,8517
10,8529
10,8530
10,8632
10,8665
10,8687
10,8696
10,8727
10,8741
10,8760
10,8765
10,8784
10,8839
10,8850
10,8894
10,8910
10,8924
10,8960
10,8967
10,8975
10,9044
10,9080
10,9088
10,9110
10,9144
10,9146
10,9153
10,9213
10,9233
10,9259
10,9273
10,9311
10,9355
10,9363
10,9415
10,9423
10,9468
10,9469
10,9471
10,9479
10,9495
10,9514
10,9529
10,9531
10,9545
10,9585
10,9594
10,9596
10,9606
10,9628
10,9642
10,9673
10,9715
10,9760
10,9831
10,9981
10,9995
10,10015
10,10055
10,10100
10,10138
10,10148
10,10157
10,10182
10,10227
10,10247
10,10253
10,10284
10,10311
10,10376
10,10390
10,10391
10,10395
10,10398
10,10402
10,10405
10,10416
10,10442
10,10457
10,10475
10,10512
10,10532
10,10554
10,10659
10,10674
10,10718
10,10734
10,10752
10,10763
10,10776
10,10780
10,10815
10,10874
10,10884
10,10900
10,10909
10,10924
10,10925
10,10938
10,10949
