layer,neuron
2,2928
2,15133
3,7075
3,17019
4,119
4,293
4,881
4,1036
4,1338
4,1446
4,1531
4,3473
4,3826
4,4179
4,4576
4,7214
4,7403
4,7554
4,7580
4,7980
4,9446
4,9704
4,10408
4,10416
4,10942
4,11409
4,11689
4,11834
4,12193
4,12270
4,13463
4,14185
4,14384
4,14525
4,15048
4,15152
4,15592
4,16097
4,16743
4,17174
4,17194
4,17750
4,17805
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,8361
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16546
5,16659
5,17575
6,45
6,192
6,240
6,261
6,268
6,411
6,412
6,416
6,440
6,463
6,489
6,512
6,1023
6,1066
6,1131
6,1324
6,1330
6,1393
6,1535
6,1730
6,1865
6,2018
6,2039
6,2128
6,2155
6,2160
6,2283
6,2309
6,2400
6,2486
6,2512
6,2521
6,2638
6,2653
6,2834
6,2891
6,2918
6,2927
6,2980
6,3055
6,3080
6,3562
6,3688
6,3769
6,3797
6,3926
6,4053
6,4199
6,4253
6,4434
6,4444
6,4609
6,4845
6,4866
6,4928
6,4947
6,4949
6,4962
6,4974
6,5054
6,5121
6,5365
6,5429
6,5492
6,5606
6,5768
6,5899
6,5915
6,5950
6,5956
6,6085
6,6125
6,6167
6,6256
6,6331
6,6476
6,6815
6,6832
6,6883
6,6949
6,7096
6,7197
6,7339
6,7482
6,7552
6,7601
6,7673
6,7867
6,7962
6,8109
6,8118
6,8194
6,8231
6,8388
6,8459
6,8489
6,8591
6,8663
6,8971
6,9025
6,9031
6,9149
6,9269
6,9292
6,9322
6,9365
6,9386
6,9609
6,9636
6,9648
6,9697
6,9864
6,9920
6,10248
6,10372
6,10443
6,10618
6,10859
6,10990
6,11143
6,11163
6,11348
6,11440
6,11536
6,11543
6,11553
6,11966
6,11992
6,12053
6,12234
6,12270
6,12324
6,12338
6,12342
6,12414
6,12420
6,12465
6,12625
6,12845
6,12877
6,12965
6,13022
6,13195
6,13381
6,13492
6,13537
6,13867
6,14058
6,14195
6,14208
6,14459
6,14555
6,14612
6,14638
6,14651
6,14850
6,14904
6,15149
6,15181
6,15316
6,15367
6,15549
6,15739
6,15794
6,15965
6,15971
6,16045
6,16094
6,16276
6,16287
6,16328
6,16378
6,16592
6,16636
6,16803
6,16904
6,17011
6,17062
6,17108
6,17389
6,17549
6,17657
6,17659
6,17679
6,17772
6,17859
6,17884
6,17952
6,18197
6,18221
6,18281
6,18409
6,18439
6,18508
6,18525
6,18599
6,18615
6,18631
6,18667
6,18852
6,18920
7,3
7,68
7,72
7,166
7,222
7,255
7,365
7,435
7,651
7,721
7,737
7,880
7,917
7,969
7,1009
7,1097
7,1168
7,1170
7,1310
7,1484
7,1586
7,1675
7,1771
7,1776
7,1921
7,1953
7,2027
7,2061
7,2156
7,2297
7,2359
7,2366
7,2852
7,2971
7,2988
7,3014
7,3087
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3604
7,3773
7,3791
7,3865
7,3936
7,4199
7,4214
7,4231
7,4360
7,4407
7,4652
7,4705
7,4771
7,4877
7,4942
7,4988
7,5129
7,5163
7,5166
7,5213
7,5630
7,5636
7,5771
7,5791
7,5850
7,5853
7,5928
7,6031
7,6134
7,6252
7,6330
7,6389
7,6536
7,6613
7,6772
7,6790
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7372
7,7373
7,7415
7,7460
7,7631
7,7854
7,8260
7,8855
7,8989
7,9013
7,9017
7,9025
7,9227
7,9337
7,9411
7,9564
7,9578
7,9606
7,9709
7,9749
7,9851
7,10078
7,10185
7,10388
7,10548
7,10623
7,10647
7,10683
7,10822
7,10849
7,10922
7,11075
7,11233
7,11423
7,11494
7,11531
7,11622
7,11651
7,11659
7,11806
7,11827
7,12001
7,12003
7,12034
7,12038
7,12072
7,12276
7,12453
7,12764
7,12810
7,12889
7,13264
7,13336
7,13366
7,13372
7,13425
7,13440
7,13483
7,13596
7,13739
7,13870
7,13889
7,14009
7,14093
7,14164
7,14193
7,14376
7,14424
7,14429
7,14630
7,14680
7,14707
7,14742
7,14848
7,14909
7,15047
7,15213
7,15252
7,15300
7,15382
7,15509
7,15520
7,15544
7,15610
7,15663
7,15679
7,15694
7,16118
7,16233
7,16343
7,16422
7,16591
7,16630
7,16635
7,16738
7,16812
7,16825
7,16827
7,16865
7,17037
7,17150
7,17212
7,17434
7,17671
7,17781
7,17785
7,17834
7,17965
7,18019
7,18092
7,18135
7,18173
7,18253
7,18281
7,18346
7,18375
7,18395
7,18571
7,18623
7,18780
7,18794
7,18801
7,18927
8,43
8,73
8,78
8,87
8,98
8,116
8,167
8,174
8,181
8,218
8,235
8,305
8,328
8,334
8,417
8,430
8,431
8,433
8,475
8,480
8,559
8,587
8,602
8,668
8,692
8,696
8,702
8,706
8,727
8,754
8,806
8,831
8,859
8,904
8,941
