layer,neuron
2,12508
2,15707
4,1036
4,1446
4,2164
4,2530
4,4576
4,5891
4,7214
4,7580
4,7980
4,9704
4,10408
4,11409
4,11834
4,11941
4,12193
4,12829
4,14968
4,15048
4,15161
4,15592
4,16097
4,16294
4,16398
4,17163
4,17194
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16546
5,17575
6,106
6,240
6,412
6,440
6,489
6,598
6,1379
6,1393
6,1491
6,1565
6,1658
6,1683
6,1730
6,2039
6,2155
6,2160
6,2400
6,2444
6,2486
6,2521
6,2927
6,3607
6,3793
6,3968
6,3970
6,4949
6,5028
6,5054
6,5352
6,5492
6,5915
6,5956
6,6099
6,6167
6,6227
6,6331
6,6355
6,6476
6,6495
6,6712
6,6779
6,6883
6,6961
6,7197
6,7221
6,7237
6,7296
6,7339
6,7482
6,7590
6,7601
6,7673
6,7726
6,7792
6,7867
6,8066
6,8118
6,8158
6,8180
6,8194
6,8282
6,8388
6,8471
6,8489
6,8591
6,8663
6,8677
6,8698
6,9020
6,9322
6,9365
6,9413
6,9459
6,9609
6,9650
6,9697
6,9923
6,10173
6,10179
6,10248
6,10360
6,10618
6,10990
6,11348
6,11374
6,11440
6,11621
6,11880
6,12053
6,12084
6,12324
6,12342
6,12346
6,12420
6,12465
6,12536
6,12540
6,12607
6,12845
6,12908
6,12965
6,13041
6,13111
6,13195
6,13315
6,13382
6,13909
6,14195
6,14208
6,14374
6,14850
6,14878
6,14903
6,15293
6,15349
6,15367
6,15638
6,15649
6,16084
6,16328
6,16378
6,16427
6,16592
6,16636
6,16669
6,16830
6,16904
6,17011
6,17062
6,17350
6,17575
6,17589
6,17679
6,17772
6,17815
6,17859
6,18266
6,18281
6,18285
6,18525
6,18599
6,18631
6,18667
6,18708
6,18789
6,18852
6,18920
7,3
7,166
7,255
7,341
7,365
7,435
7,651
7,721
7,961
7,1192
7,1310
7,1675
7,1776
7,1803
7,1847
7,1924
7,2061
7,2294
7,3014
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3791
7,3865
7,3936
7,4081
7,4668
7,4877
7,5771
7,5791
7,5850
7,5853
7,5877
7,5931
7,6078
7,6754
7,6822
7,7073
7,7100
7,7160
7,7170
7,7279
7,7373
7,7415
7,7460
7,7476
7,7631
7,7665
7,7854
7,8010
7,8861
7,9005
7,9199
7,9227
7,9337
7,9606
7,9916
7,10078
7,10185
7,10366
7,10548
7,10647
7,10754
7,11233
7,11588
7,11651
7,11675
7,11806
7,11912
7,12240
7,12453
7,12686
7,13032
7,13128
7,13259
7,13366
7,13596
7,13739
7,14052
7,14093
7,14164
7,14281
7,14372
7,14376
7,14604
7,14680
7,15047
7,15252
7,15382
7,15392
7,15459
7,15610
7,15640
7,15663
7,15671
7,15679
7,16343
7,16503
7,16825
7,16827
7,17068
7,17680
7,17781
7,18219
7,18395
7,18571
7,18820
7,18927
8,0
8,78
8,218
8,334
8,388
8,417
8,430
8,480
8,496
8,602
8,668
8,727
8,806
8,807
8,864
8,867
8,900
8,978
8,987
8,1111
8,1153
8,1197
8,1458
8,1498
8,1549
8,1564
8,1579
8,1613
8,1625
8,1673
8,1766
8,1812
8,1814
8,1992
8,2003
8,2037
8,2040
8,2057
8,2102
8,2169
8,2209
8,2227
8,2241
8,2270
8,2342
8,2418
8,2550
8,2830
8,2842
8,2913
8,2969
8,3156
8,3235
8,3307
8,3321
8,3418
8,3483
8,3761
8,3782
8,3803
8,3900
8,4027
8,4087
8,4118
8,4122
8,4124
8,4222
8,4322
8,4324
8,4473
8,4482
8,4552
8,4633
8,4670
8,4726
8,4744
8,4750
8,4847
8,4854
8,5039
8,5052
8,5169
8,5248
8,5454
8,5546
8,5552
8,5553
8,5558
8,5584
8,5624
8,5637
8,5870
8,6035
8,6118
8,6156
8,6173
8,6245
8,6255
8,6280
8,6287
8,6289
8,6466
8,6686
8,6802
8,6856
8,6864
8,6891
8,6979
8,7027
8,7271
8,7310
8,7410
8,7443
8,7473
8,7533
8,7572
8,7691
8,7727
8,7740
8,7899
8,7968
8,8051
8,8132
8,8208
8,8242
8,8261
8,8274
8,8292
8,8384
8,8483
8,8484
8,8575
8,8626
8,8689
8,8690
8,8794
8,8796
8,8806
8,8876
8,8993
8,9000
8,9013
8,9248
8,9290
8,9300
8,9363
8,9446
8,9456
8,9472
8,9571
8,9581
8,9678
8,9684
8,9792
8,10079
8,10196
8,10208
8,10269
8,10289
8,10301
8,10418
8,10429
8,10533
8,10664
8,10669
8,10689
8,10702
8,10722
8,10857
8,10873
8,11075
8,11082
8,11111
8,11152
8,11217
8,11263
8,11273
8,11284
8,11311
8,11480
8,11494
8,11572
8,11594
8,11700
8,11816
8,11870
8,11910
8,12184
8,12284
8,12341
8,12421
8,12456
8,12572
8,12709
8,12814
8,12817
8,12818
8,12931
8,12946
8,12973
8,12992
8,13036
8,13041
8,13053
8,13350
8,13492
8,13653
8,13759
8,13854
8,13913
8,13915
8,13980
8,13995
8,14037
8,14159
8,14207
8,14270
8,14347
8,14361
8,14381
8,14604
8,14631
8,14686
8,14891
8,14996
8,15142
8,15151
8,15168
8,15175
8,15218
8,15249
8,15330
8,15458
8,15786
8,15804
8,15815
8,15856
8,15917
8,16040
8,16075
8,16160
8,16316
8,16345
8,16354
8,16360
8,16497
8,16552
8,16586
8,16643
8,16776
8,16782
8,16804
8,16833
8,16856
8,16876
8,16915
8,17002
8,17137
8,17153
8,17296
8,17446
8,17466
8,17599
8,17699
8,17710
8,17755
8,17936
8,18028
8,18120
8,18121
8,18166
8,18279
8,18281
8,18334
8,18385
8,18387
8,18423
8,18444
8,18526
8,18686
8,18690
8,18730
8,18850
9,78
9,198
9,293
9,321
9,334
9,352
9,360
9,576
9,667
9,761
9,794
9,903
9,909
9,978
9,1061
9,1108
9,1125
9,1156
9,1172
9,1179
9,1274
9,1305
9,1354
9,1388
9,1429
9,1507
9,1543
9,1554
9,1626
9,1643
9,1657
9,1739
9,1808
9,1855
9,2034
9,2041
9,2056
9,2137
9,2162
9,2196
9,2209
9,2296
9,2321
9,2542
9,2603
9,2669
9,2671
9,2813
9,2948
9,2951
9,2979
9,3099
9,3209
9,3285
9,3314
9,3359
9,3384
9,3386
9,3400
9,3468
9,3510
9,3576
9,3655
9,3662
9,3814
9,3841
9,3972
9,4003
9,4075
9,4122
9,4217
9,4357
9,4387
9,4395
9,4448
9,4503
9,4510
9,4528
9,4535
9,4596
9,4611
9,4646
9,4706
9,4739
9,4804
9,4848
9,4886
9,4908
9,4989
9,5140
9,5333
9,5379
9,5560
9,5630
9,5678
9,5848
9,5856
9,5878
9,5897
9,5914
9,5950
9,6069
9,6148
9,6189
9,6225
9,6236
9,6254
9,6267
9,6297
9,6352
9,6385
9,6416
9,6487
9,6513
9,6517
9,6563
9,6575
9,6661
9,6748
9,6873
9,6878
9,6938
9,6958
9,7002
9,7016
9,7063
9,7094
9,7233
9,7259
9,7266
9,7466
9,7556
9,7603
9,7710
9,7836
9,7907
9,7929
9,7942
9,7951
9,8103
9,8123
9,8130
9,8150
9,8247
9,8326
9,8404
9,8484
9,8551
9,8553
9,8589
9,8608
9,8679
9,8802
9,8807
9,8829
9,9017
9,9020
9,9159
9,9178
9,9227
9,9271
9,9386
9,9458
9,9509
9,9608
9,9689
9,9696
9,9852
9,9886
9,9943
9,10045
9,10096
9,10150
9,10178
9,10335
9,10410
9,10413
9,10440
9,10458
9,10463
9,10557
9,10567
9,10678
9,10694
9,10731
9,10773
9,10776
9,10961
9,11098
9,11105
9,11172
9,11235
9,11369
9,11657
9,11881
9,11898
9,11904
9,11918
9,11940
9,12013
9,12132
9,12169
9,12209
9,12255
9,12312
9,12337
9,12483
9,12582
9,12637
9,12765
9,12821
9,12933
9,12962
9,13094
9,13179
9,13337
9,13348
9,13379
9,13390
9,13394
9,13526
9,13601
9,13723
9,13776
9,13783
9,13823
9,13850
9,13870
9,13872
9,13880
9,13881
9,13901
9,14109
9,14203
9,14320
9,14470
9,14710
9,15151
9,15201
9,15252
9,15360
9,15402
9,15421
9,15442
9,15451
9,15505
9,15616
9,15702
9,15719
9,15720
9,15840
9,16018
9,16237
9,16262
9,16345
9,16352
9,16373
9,16402
9,16461
9,16484
9,16550
9,16601
9,16616
9,16646
9,16721
9,16742
9,16888
9,16947
9,17030
9,17049
9,17063
9,17088
9,17234
9,17239
9,17289
9,17321
9,17327
9,17379
9,17461
9,17492
9,17505
9,17650
9,17750
9,17768
9,17827
9,17840
9,17961
9,17999
9,18120
9,18302
9,18504
9,18619
9,18626
9,18873
9,18894
9,18917
10,144
10,151
10,155
10,233
10,247
10,252
10,257
10,274
10,333
10,372
10,384
10,398
10,420
10,488
10,528
10,585
10,682
10,752
10,773
10,819
10,850
10,866
10,950
10,953
10,1036
10,1039
10,1086
10,1148
10,1188
10,1258
10,1346
10,1359
10,1509
10,1539
10,1546
10,1609
10,1702
10,1733
10,1739
10,1773
10,1779
10,1841
10,1916
10,2130
10,2134
10,2162
10,2178
10,2218
10,2238
10,2250
10,2349
10,2360
10,2416
10,2432
10,2473
10,2510
10,2511
10,2566
10,2586
10,2634
10,2638
10,2670
10,2679
10,2724
10,2725
10,2754
10,2875
10,2912
10,2918
10,2986
10,3002
10,3022
10,3109
10,3181
10,3194
10,3272
10,3284
10,3331
10,3345
10,3448
10,3544
10,3609
10,3655
10,3660
10,3689
10,3875
10,3958
10,4004
10,4024
10,4036
10,4188
10,4212
10,4331
10,4368
10,4370
10,4420
10,4572
10,4574
10,4678
10,4692
10,4703
10,4733
10,4777
10,4778
10,4781
10,4783
10,4833
10,4843
10,4882
10,4953
10,4960
10,5052
10,5148
10,5166
10,5179
10,5193
10,5223
10,5229
10,5265
10,5268
10,5348
10,5426
10,5484
10,5614
10,5643
10,5648
10,5691
10,5703
10,6028
10,6039
10,6092
10,6096
10,6134
10,6149
10,6266
10,6318
10,6403
10,6450
10,6462
10,6497
10,6513
10,6535
10,6542
10,6567
10,6578
10,6654
10,6715
10,6723
10,6732
10,6783
10,6843
10,6861
10,6916
10,6952
10,6970
10,6997
10,7014
10,7063
10,7100
10,7182
10,7258
10,7265
10,7296
10,7317
10,7329
10,7441
10,7589
10,7595
10,7709
10,7775
10,7793
10,7810
10,7814
10,7930
10,7968
10,7980
10,8041
10,8079
10,8113
10,8120
10,8137
10,8187
10,8191
10,8358
10,8401
10,8443
10,8446
10,8474
10,8632
10,8644
10,8648
10,8665
10,8687
10,8710
10,8765
10,8826
10,8839
10,8842
10,8850
10,8926
10,9044
10,9080
10,9213
10,9233
10,9273
10,9338
10,9363
10,9365
10,9479
10,9495
10,9497
10,9585
10,9596
10,9606
10,9628
10,9932
10,9981
10,9995
10,10015
10,10022
