layer,neuron
2,15133
3,7075
4,119
4,293
4,1036
4,1446
4,1531
4,4576
4,5891
4,7214
4,7403
4,7580
4,7980
4,9704
4,10408
4,11409
4,11689
4,11834
4,12193
4,12310
4,12829
4,13463
4,14185
4,14525
4,15048
4,15152
4,15161
4,15592
4,16097
4,16743
4,17750
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16546
5,16659
5,17416
5,17575
5,17889
6,45
6,106
6,240
6,261
6,412
6,440
6,489
6,1192
6,1330
6,1393
6,1491
6,1565
6,1658
6,2018
6,2039
6,2128
6,2132
6,2155
6,2400
6,2486
6,2521
6,2638
6,2834
6,2918
6,2927
6,3650
6,3769
6,3793
6,3970
6,4053
6,4199
6,4253
6,4434
6,4695
6,4845
6,5054
6,5492
6,5606
6,5649
6,5865
6,5915
6,6085
6,6099
6,6125
6,6167
6,6227
6,6331
6,6355
6,6476
6,6495
6,6712
6,6779
6,6815
6,6883
6,6919
6,6944
6,7197
6,7221
6,7289
6,7296
6,7339
6,7378
6,7552
6,7590
6,7601
6,7673
6,7726
6,7792
6,7867
6,8118
6,8194
6,8282
6,8471
6,8489
6,8663
6,8677
6,8698
6,8707
6,8971
6,8974
6,9025
6,9149
6,9322
6,9365
6,9413
6,9609
6,9648
6,9650
6,9697
6,9920
6,10005
6,10173
6,10179
6,10248
6,10360
6,10618
6,10713
6,10965
6,10990
6,11143
6,11348
6,11440
6,11621
6,11771
6,12053
6,12084
6,12234
6,12324
6,12342
6,12420
6,12465
6,12540
6,12607
6,12725
6,12845
6,12908
6,12965
6,13085
6,13111
6,13195
6,13381
6,13382
6,13537
6,13909
6,14195
6,14208
6,14374
6,14612
6,14638
6,14771
6,14850
6,15198
6,15293
6,15349
6,15367
6,15549
6,15638
6,15649
6,15965
6,15971
6,16084
6,16096
6,16102
6,16240
6,16276
6,16323
6,16328
6,16378
6,16427
6,16592
6,16636
6,16904
6,17011
6,17062
6,17350
6,17480
6,17599
6,17679
6,17772
6,17815
6,17859
6,17861
6,18126
6,18182
6,18197
6,18266
6,18281
6,18290
6,18409
6,18525
6,18623
6,18631
6,18667
6,18761
6,18788
6,18789
6,18852
6,18927
7,3
7,166
7,255
7,365
7,435
7,651
7,721
7,737
7,1009
7,1097
7,1116
7,1310
7,1538
7,1586
7,1675
7,1776
7,1847
7,1924
7,2061
7,2102
7,2156
7,2243
7,2320
7,2790
7,2805
7,2971
7,3014
7,3039
7,3087
7,3122
7,3193
7,3252
7,3329
7,3458
7,3490
7,3500
7,3546
7,3753
7,3791
7,3865
7,3936
7,4081
7,4652
7,4668
7,4877
7,4942
7,5129
7,5430
7,5771
7,5791
7,5818
7,5853
7,5877
7,6252
7,6569
7,6613
7,6754
7,6790
7,6822
7,6826
7,7073
7,7111
7,7160
7,7170
7,7279
7,7415
7,7460
7,7476
7,7631
7,7665
7,7854
7,8010
7,8861
7,9005
7,9199
7,9227
7,9337
7,9367
7,9480
7,9526
7,9606
7,9776
7,9851
7,9916
7,10185
7,10548
7,10733
7,10754
7,10822
7,10977
7,11531
7,11588
7,11651
7,11806
7,11912
7,12240
7,12276
7,12453
7,12686
7,12889
7,13128
7,13366
7,13596
7,13739
7,14052
7,14093
7,14164
7,14238
7,14372
7,14376
7,14578
7,14680
7,14742
7,14745
7,14774
7,15047
7,15203
7,15213
7,15252
7,15303
7,15382
7,15392
7,15459
7,15544
7,15610
7,15663
7,15671
7,15679
7,15694
7,15952
7,16118
7,16198
7,16343
7,16503
7,16630
7,16827
7,17037
7,17068
7,17111
7,17212
7,17387
7,17561
7,17671
7,17680
7,17834
7,17965
7,18092
7,18106
7,18135
7,18346
7,18375
7,18395
7,18571
7,18794
7,18886
7,18927
8,0
8,60
8,78
8,116
8,167
8,218
8,219
8,388
8,430
8,431
8,475
8,480
8,587
8,602
8,668
8,727
8,831
8,859
8,864
8,867
8,875
8,900
8,909
8,941
8,970
8,987
8,1027
8,1153
8,1250
8,1418
8,1426
8,1549
8,1564
8,1579
8,1581
8,1583
8,1593
8,1799
8,1812
8,1902
8,1948
8,1992
8,2003
8,2035
8,2037
8,2040
8,2057
