layer,neuron
2,2928
2,10606
2,11422
2,12508
3,432
3,9106
4,881
4,1036
4,2110
4,2164
4,3473
4,4179
4,4576
4,7214
4,7580
4,7980
4,9687
4,9704
4,10408
4,11834
4,11941
4,12193
4,12829
4,14525
4,15048
4,15161
4,15592
4,15893
4,16097
4,17163
4,17194
4,18488
4,18771
5,1210
5,2671
5,5909
5,6044
5,7736
5,8361
5,8847
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14339
5,15335
5,16546
5,16659
5,17575
5,17889
6,240
6,412
6,440
6,480
6,530
6,1379
6,1393
6,1535
6,1658
6,1683
6,1730
6,1865
6,2018
6,2039
6,2155
6,2160
6,2283
6,2400
6,2486
6,2504
6,2521
6,2638
6,2834
6,2891
6,2927
6,3376
6,3562
6,3926
6,3970
6,4199
6,4253
6,4342
6,4466
6,4766
6,4845
6,4866
6,4875
6,4904
6,4949
6,5028
6,5054
6,5365
6,5492
6,5606
6,5768
6,5915
6,5950
6,5956
6,6099
6,6476
6,6832
6,6883
6,7197
6,7482
6,7552
6,7576
6,7673
6,7867
6,7962
6,8118
6,8388
6,8489
6,8591
6,8971
6,9025
6,9031
6,9080
6,9149
6,9269
6,9322
6,9365
6,9386
6,9609
6,9697
6,9940
6,10073
6,10151
6,10248
6,10357
6,10372
6,10443
6,10618
6,10859
6,10990
6,11079
6,11143
6,11348
6,11440
6,11543
6,11553
6,11699
6,11797
6,11880
6,12198
6,12270
6,12306
6,12324
6,12420
6,12465
6,12536
6,12809
6,12845
6,12877
6,13041
6,13281
6,13315
6,13381
6,13428
6,13537
6,13617
6,13808
6,14058
6,14195
6,14208
6,14459
6,14814
6,14850
6,14904
6,14909
6,15149
6,15181
6,15293
6,15367
6,15739
6,15965
6,16378
6,16564
6,16592
6,16636
6,16803
6,17062
6,17389
6,17659
6,17679
6,17772
6,17815
6,17859
6,17884
6,18281
6,18439
6,18525
6,18599
6,18631
6,18789
6,18852
6,18857
6,18920
7,3
7,166
7,255
7,261
7,333
7,341
7,365
7,435
7,651
7,721
7,737
7,760
7,857
7,859
7,917
7,1170
7,1192
7,1322
7,1644
7,1675
7,1776
7,1953
7,2061
7,2121
7,2128
7,2156
7,2245
7,2294
7,2366
7,2852
7,2971
7,3087
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
