layer,neuron
2,4013
2,15133
4,119
4,293
4,881
4,1036
4,1446
4,1531
4,4576
4,7214
4,7403
4,7580
4,7980
4,9704
4,10408
4,10416
4,10987
4,11689
4,11834
4,12193
4,12829
4,13463
4,13947
4,14185
4,14525
4,15048
4,15152
4,15161
4,15592
4,16097
4,16743
4,17174
4,17750
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16267
5,16546
5,16659
5,17575
6,45
6,192
6,240
6,412
6,440
6,489
6,1023
6,1070
6,1330
6,1393
6,1960
6,2039
6,2128
6,2155
6,2160
6,2309
6,2400
6,2486
6,2521
6,2834
6,2918
6,2927
6,3080
6,3367
6,3793
6,3830
6,3926
6,3970
6,4053
6,4253
6,4342
6,4434
6,4647
6,4845
6,4929
6,4947
6,4949
6,4962
6,4974
6,5002
6,5054
6,5121
6,5349
6,5352
6,5492
6,5606
6,5768
6,5915
6,5987
6,5990
6,6085
6,6099
6,6125
6,6167
6,6331
6,6476
6,6559
6,6779
6,6815
6,6832
6,6883
6,6944
6,7197
6,7221
6,7339
6,7552
6,7590
6,7601
6,7673
6,7867
6,7962
6,8118
6,8194
6,8231
6,8282
6,8388
6,8459
6,8471
6,8489
6,8548
6,8591
6,8608
6,8663
6,8971
6,9025
6,9031
6,9038
6,9051
6,9322
6,9365
6,9413
6,9609
6,9648
6,9650
6,9697
6,9729
6,9920
6,9954
6,10124
6,10248
6,10372
6,10551
6,10618
6,10965
6,10990
6,11143
6,11348
6,11440
6,11543
6,11553
6,11699
6,11771
6,12053
6,12084
6,12159
6,12234
6,12324
6,12342
6,12420
6,12465
6,12607
6,12725
6,12845
6,12908
6,12941
6,13195
6,13315
6,13381
6,13382
6,13537
6,13867
6,13909
6,14195
6,14208
6,14284
6,14370
6,14374
6,14450
6,14459
6,14526
6,14555
6,14612
6,14638
6,14850
6,14904
6,15202
6,15367
6,15398
6,15482
6,15549
6,15649
6,15739
6,15859
6,15965
6,15971
6,16045
6,16194
6,16328
6,16378
6,16473
6,16636
6,16904
6,17011
6,17062
6,17389
6,17412
6,17657
6,17679
6,17772
6,17815
6,17859
6,17861
6,17884
6,18197
6,18281
6,18409
6,18510
6,18525
6,18631
6,18789
6,18852
6,18927
7,3
7,255
7,365
7,435
7,461
7,651
7,721
7,737
7,969
7,1009
7,1116
7,1272
7,1310
7,1357
7,1517
7,1538
7,1675
7,1776
7,1921
7,2061
7,2156
7,2294
7,2790
7,2971
7,3014
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3490
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4028
7,4231
7,4877
7,4942
7,5155
7,5165
7,5771
7,5790
7,5791
7,5853
7,5984
7,6031
7,6252
7,6389
7,6790
7,6822
7,7053
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7426
7,7460
7,7476
7,7631
7,7841
7,7854
7,8421
7,8861
7,9199
7,9227
7,9313
7,9337
7,9367
7,9564
7,9606
7,9776
7,10185
7,10388
7,10683
7,10822
7,10977
7,11101
7,11298
7,11423
7,11465
7,11531
7,11617
7,11651
7,11702
7,12003
7,12038
7,12234
7,12276
7,12453
7,13264
7,13366
7,13768
7,14009
7,14052
7,14093
7,14280
7,14376
7,14429
7,14630
7,14684
7,14742
7,14774
7,14833
7,14848
7,15047
7,15213
7,15232
7,15252
7,15382
7,15520
7,15610
7,15663
7,15679
7,15694
7,16118
7,16198
7,16343
7,16349
7,16503
7,16516
7,16630
7,16635
7,16827
7,16924
7,16952
7,17024
7,17037
7,17111
7,17212
7,17387
7,17561
7,17671
7,17680
7,17965
7,18092
7,18135
7,18239
7,18346
7,18395
7,18571
7,18794
7,18927
8,0
8,43
8,60
8,73
8,78
8,116
8,167
8,210
8,218
8,226
8,235
8,420
8,430
8,433
8,475
8,480
8,587
8,668
8,706
8,727
8,831
8,859
8,867
8,875
8,904
8,941
8,970
8,976
8,987
8,1090
8,1224
8,1238
8,1414
8,1418
8,1426
8,1564
8,1579
8,1581
8,1583
8,1593
8,1613
8,1643
8,1799
8,1812
8,1814
8,1902
8,1908
8,1988
8,1990
8,1992
8,2003
8,2040
8,2057
8,2102
8,2180
8,2209
8,2223
8,2227
8,2270
8,2360
8,2397
8,2418
8,2470
8,2550
8,2580
8,2617
8,2666
8,2770
8,2789
8,2827
8,2830
8,2842
8,2870
8,2913
8,2919
8,2937
8,2949
8,2969
8,3006
8,3156
8,3235
8,3295
8,3307
8,3312
8,3321
8,3338
8,3475
8,3483
8,3527
8,3538
8,3610
8,3620
8,3626
8,3693
8,3730
8,3782
8,3803
8,3900
8,3968
8,4014
8,4027
8,4062
8,4090
8,4107
8,4118
8,4122
8,4124
8,4126
8,4136
8,4148
8,4197
8,4216
8,4239
8,4276
8,4322
8,4324
8,4329
8,4379
8,4395
8,4401
8,4473
8,4482
8,4517
8,4588
8,4630
8,4631
8,4633
8,4658
8,4694
8,4703
8,4726
8,4742
8,4750
8,4847
8,4927
8,4936
8,5039
8,5052
8,5053
8,5169
8,5229
8,5248
8,5454
8,5466
8,5513
8,5527
8,5546
8,5553
8,5584
8,5624
8,5637
8,5647
8,5704
8,5768
8,5782
8,5834
8,5905
8,5908
8,5984
8,6011
8,6024
8,6035
8,6102
8,6118
8,6156
8,6170
8,6173
8,6245
8,6255
8,6287
8,6289
8,6438
8,6466
8,6485
8,6486
8,6557
8,6611
8,6662
8,6676
8,6686
8,6706
8,6745
8,6864
8,6901
8,6954
8,6979
8,6988
8,7074
8,7102
8,7143
8,7252
8,7410
8,7452
8,7453
8,7473
8,7533
8,7553
8,7691
8,7694
8,7727
8,7740
8,7835
8,7855
8,7970
8,8051
8,8093
8,8132
8,8149
8,8196
8,8208
8,8232
8,8260
8,8261
8,8274
8,8292
8,8326
8,8347
8,8352
8,8384
8,8449
8,8483
8,8484
8,8504
8,8568
8,8575
8,8626
8,8689
8,8690
8,8692
8,8755
8,8796
8,8833
8,8856
8,8876
8,8986
8,8993
8,9000
8,9038
8,9103
8,9186
8,9279
8,9300
8,9384
8,9391
8,9446
8,9456
8,9472
8,9518
8,9529
8,9571
8,9581
8,9637
8,9642
8,9678
8,9694
8,9792
8,9896
8,9912
8,9949
8,9988
8,9996
8,10055
8,10079
8,10160
8,10161
8,10176
8,10189
8,10196
8,10208
8,10224
8,10258
8,10269
8,10289
8,10301
8,10335
8,10418
8,10429
8,10533
8,10548
8,10553
8,10628
8,10664
8,10689
8,10692
8,10695
8,10722
8,10782
8,10833
8,10853
8,10854
8,10857
8,10873
8,10925
8,11075
8,11111
8,11152
8,11166
8,11169
8,11217
8,11237
8,11273
8,11311
8,11330
8,11416
8,11494
8,11552
8,11572
8,11583
8,11594
8,11665
8,11671
8,11694
8,11696
8,11754
8,11816
8,11845
8,11870
8,11878
8,11910
8,11962
8,11993
8,12032
8,12154
8,12161
8,12166
8,12184
8,12192
8,12254
8,12284
8,12341
8,12355
8,12421
8,12456
8,12479
8,12534
8,12567
8,12572
8,12573
8,12576
8,12633
8,12709
8,12814
8,12818
8,12865
8,12888
8,12894
8,12928
8,12931
8,12946
8,12953
8,12992
8,13000
