layer,neuron
2,2928
2,4013
2,15133
3,7075
3,17019
4,119
4,293
4,881
4,1446
4,2530
4,3826
4,4576
4,7403
4,7554
4,7580
4,7980
4,9446
4,10408
4,10416
4,10987
4,11689
4,11834
4,12193
4,12829
4,13463
4,14185
4,14384
4,14525
4,15048
4,15152
4,15161
4,15592
4,15893
4,16097
4,16743
4,17163
4,17174
4,17750
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,6215
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16546
5,16659
5,17575
6,45
6,240
6,268
6,411
6,412
6,416
6,440
6,473
6,489
6,510
6,530
6,1023
6,1131
6,1324
6,1330
6,1393
6,1535
6,1658
6,1730
6,1960
6,2039
6,2128
6,2132
6,2155
6,2160
6,2309
6,2400
6,2486
6,2512
6,2521
6,2653
6,2782
6,2834
6,2918
6,2927
6,3055
6,3080
6,3653
6,3769
6,3793
6,3797
6,3830
6,3926
6,3970
6,4053
6,4199
6,4253
6,4434
6,4845
6,4947
6,4949
6,4974
6,5054
6,5108
6,5365
6,5429
6,5492
6,5606
6,5768
6,5899
6,5915
6,5950
6,5956
6,6125
6,6167
6,6292
6,6331
6,6400
6,6476
6,6815
6,6832
6,6883
6,6944
6,6949
6,7096
6,7197
6,7339
6,7482
6,7552
6,7601
6,7673
6,7867
6,7962
6,8066
6,8118
6,8194
6,8231
6,8388
6,8459
6,8471
6,8489
6,8591
6,8663
6,8971
6,8985
6,9000
6,9025
6,9031
6,9149
6,9269
6,9322
6,9365
6,9609
6,9648
6,9697
6,9729
6,9864
6,9920
6,10036
6,10124
6,10248
6,10285
6,10443
6,10618
6,10859
6,10990
6,11143
6,11163
6,11348
6,11440
6,11543
6,11553
6,11699
6,11927
6,11966
6,11976
6,12053
6,12198
6,12234
6,12324
6,12342
6,12414
6,12420
6,12465
6,12625
6,12845
6,12908
6,12941
6,12965
6,13022
6,13070
6,13085
6,13195
6,13315
6,13327
6,13381
6,13428
6,13537
6,13808
6,13867
6,14005
6,14058
6,14195
6,14208
6,14450
6,14459
6,14612
6,14638
6,14850
6,14904
6,15149
6,15181
6,15367
6,15398
6,15549
6,15649
6,15739
6,15794
6,15965
6,15971
6,16015
6,16045
6,16094
6,16378
6,16453
6,16592
6,16636
6,16803
6,16904
6,17011
6,17062
6,17108
6,17350
6,17389
6,17549
6,17657
6,17679
6,17772
6,17815
6,17859
6,17884
6,17952
6,18197
6,18221
6,18281
6,18409
6,18439
6,18508
6,18525
6,18599
6,18631
6,18789
6,18852
6,18857
6,18920
7,3
7,72
7,89
7,166
7,261
7,302
7,365
7,435
7,651
7,721
7,737
7,880
7,917
7,969
7,1009
7,1097
7,1116
7,1170
7,1310
7,1357
7,1444
7,1484
7,1644
7,1675
7,1776
7,1847
7,1921
7,1953
7,2061
7,2156
7,2297
7,2320
7,2359
7,2366
7,2790
7,2971
7,3039
7,3087
7,3122
7,3135
7,3193
7,3252
7,3329
7,3438
7,3458
7,3465
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4214
7,4231
7,4652
7,4771
7,4877
7,4942
7,5163
7,5165
7,5166
7,5213
7,5273
7,5280
7,5458
7,5498
7,5636
7,5771
7,5791
7,5816
7,5830
7,5850
7,5853
7,5855
7,6031
7,6252
7,6389
7,6405
7,6536
7,6613
7,6790
7,6822
7,6826
7,7009
7,7073
7,7111
7,7160
7,7170
7,7279
7,7372
7,7373
7,7415
7,7426
7,7460
7,7546
7,7631
7,7697
7,7831
7,7854
7,8010
7,8855
7,8861
7,8989
7,9017
7,9225
7,9227
7,9313
7,9332
7,9337
7,9564
7,9578
7,9606
7,9709
7,9749
7,9776
7,9851
7,9972
7,10078
7,10185
7,10366
7,10388
7,10547
7,10548
7,10623
7,10647
7,10683
7,10754
7,10822
7,10849
7,10922
7,11075
7,11094
7,11233
7,11323
7,11423
7,11531
7,11622
7,11651
7,11659
7,11806
7,11827
7,12003
7,12034
7,12038
7,12072
7,12276
7,12453
7,12686
7,12810
7,12889
7,13030
7,13095
7,13264
7,13366
7,13372
7,13440
7,13483
7,13596
7,13738
7,13822
7,13889
7,14052
7,14093
7,14193
7,14376
7,14424
7,14427
7,14429
7,14630
7,14680
7,14684
7,14685
7,14707
7,14742
7,14833
7,14848
7,14909
7,15047
7,15213
7,15252
7,15300
7,15382
7,15443
7,15520
7,15608
7,15610
7,15638
7,15663
7,15679
7,15694
7,16118
7,16174
7,16198
7,16233
7,16343
7,16422
7,16503
7,16630
7,16635
7,16825
7,16827
7,16865
7,16924
7,16952
7,17037
7,17133
7,17150
7,17212
7,17434
7,17671
7,17680
7,17781
7,17834
7,17965
7,18019
7,18092
7,18106
7,18135
7,18173
7,18253
7,18307
7,18346
7,18375
7,18395
7,18571
7,18623
7,18780
7,18927
8,0
8,43
8,60
8,78
8,98
8,116
8,167
8,181
8,218
8,226
8,235
8,328
8,334
8,431
8,433
8,475
8,480
8,566
8,587
8,668
8,692
8,696
8,706
8,714
8,727
8,742
8,754
8,806
8,831
8,909
8,941
8,970
8,976
8,987
8,1053
8,1090
8,1153
8,1224
8,1237
8,1260
8,1311
8,1399
8,1414
8,1418
8,1426
8,1500
8,1526
8,1564
8,1579
8,1581
8,1583
8,1593
8,1613
8,1714
8,1799
8,1902
8,1908
8,1948
8,1988
8,1992
8,2040
8,2057
8,2088
8,2180
8,2209
8,2223
8,2227
8,2241
8,2270
8,2290
8,2316
8,2342
8,2360
8,2397
8,2418
8,2439
8,2556
8,2564
8,2580
8,2617
8,2770
8,2830
8,2842
8,2870
8,2913
8,2925
8,2937
8,2949
8,2969
8,3002
8,3006
8,3073
8,3156
8,3235
8,3307
8,3312
8,3314
8,3321
8,3337
8,3338
8,3393
8,3418
8,3454
8,3527
8,3564
8,3606
8,3610
8,3693
8,3730
8,3782
8,3803
8,3838
8,3887
8,3900
8,3911
8,3968
8,3991
8,4014
8,4027
8,4080
8,4090
8,4107
8,4118
8,4124
8,4126
8,4148
8,4197
8,4209
8,4216
8,4261
8,4276
8,4297
8,4322
8,4324
8,4329
8,4353
8,4389
8,4406
8,4444
8,4459
8,4473
8,4551
8,4552
8,4588
8,4609
8,4631
8,4658
8,4660
8,4670
8,4683
8,4694
8,4725
8,4726
8,4735
8,4742
8,4750
8,4844
8,4847
8,4854
8,4936
8,4945
8,5025
8,5039
8,5052
8,5169
8,5229
8,5248
8,5410
8,5436
8,5454
8,5466
8,5546
8,5552
8,5553
8,5569
8,5584
8,5624
8,5637
8,5687
8,5724
8,5765
8,5782
8,5785
8,5826
8,5870
8,5905
8,5908
8,5969
8,6002
8,6011
8,6024
8,6035
8,6045
8,6118
8,6156
8,6170
8,6173
8,6244
8,6245
8,6255
8,6287
8,6289
8,6320
8,6438
8,6466
8,6485
8,6486
8,6532
8,6539
8,6557
8,6606
8,6662
8,6676
8,6706
8,6738
8,6826
8,6833
8,6852
8,6864
8,6914
8,6954
8,6979
8,6988
8,7074
8,7096
8,7102
8,7163
8,7165
8,7261
8,7271
8,7346
8,7410
8,7453
8,7469
8,7473
8,7533
8,7553
8,7594
8,7691
8,7694
8,7697
8,7724
8,7727
8,7733
8,7740
8,7761
8,7970
8,8048
8,8051
8,8084
8,8118
8,8132
8,8208
8,8232
8,8260
8,8261
8,8274
8,8292
8,8326
8,8347
8,8384
8,8386
8,8430
8,8449
8,8484
8,8568
8,8626
8,8689
8,8690
8,8692
8,8796
8,8797
8,8806
8,8807
8,8829
8,8856
8,8876
8,8993
8,9000
8,9038
8,9119
8,9186
8,9191
8,9300
8,9315
8,9377
8,9384
8,9391
8,9472
8,9518
8,9571
8,9607
8,9621
8,9637
8,9642
8,9664
8,9678
8,9718
8,9738
8,9770
8,9792
8,9896
8,9904
8,9912
8,9996
8,10079
8,10160
8,10176
8,10185
8,10189
8,10194
8,10196
8,10208
8,10218
8,10258
8,10269
8,10272
8,10289
8,10301
8,10321
8,10335
8,10418
8,10422
8,10429
8,10438
8,10533
8,10548
8,10664
8,10669
8,10702
8,10722
8,10761
8,10769
8,10782
8,10800
8,10833
8,10853
8,10854
8,10857
8,10873
8,10925
8,11032
8,11075
8,11111
8,11152
8,11162
8,11166
8,11169
8,11217
8,11273
8,11311
8,11318
8,11335
8,11345
8,11375
8,11472
8,11525
8,11552
8,11572
8,11594
8,11665
8,11671
8,11694
8,11754
8,11789
8,11845
8,11870
8,11878
8,11910
8,11926
8,11997
8,11999
8,12032
8,12161
8,12166
8,12184
8,12188
8,12192
8,12254
8,12264
8,12284
8,12341
8,12355
8,12397
8,12421
8,12496
8,12534
8,12567
8,12572
8,12573
8,12633
8,12686
8,12687
8,12709
8,12814
8,12818
8,12864
8,12865
8,12879
8,12888
8,12894
8,12903
8,12931
8,12939
8,12946
8,12953
8,12992
8,13000
8,13036
8,13111
8,13121
8,13213
8,13260
8,13280
8,13350
8,13411
8,13520
8,13575
8,13579
8,13643
8,13665
8,13693
8,13723
8,13759
8,13786
8,13787
8,13882
8,13893
8,13913
8,13915
8,13932
8,13980
8,13991
8,13995
8,14043
8,14065
8,14087
8,14141
8,14159
8,14217
8,14270
8,14303
8,14330
8,14342
8,14347
8,14361
8,14425
8,14437
8,14447
8,14453
8,14527
8,14544
8,14568
8,14604
8,14631
8,14636
8,14639
8,14649
8,14686
8,14740
8,14774
8,14787
8,14827
8,14888
8,14959
8,14996
8,15069
8,15082
8,15135
8,15175
8,15218
8,15249
8,15281
8,15313
8,15330
8,15361
8,15447
8,15448
8,15451
8,15469
8,15585
8,15618
8,15668
8,15688
8,15825
8,15856
8,15872
8,15909
8,15917
8,15942
8,16040
8,16048
8,16075
8,16087
8,16160
8,16316
8,16345
8,16360
8,16432
8,16535
8,16552
8,16555
8,16556
8,16562
8,16643
8,16650
8,16776
8,16782
8,16833
8,16856
8,16876
8,16886
8,16915
8,16974
8,16995
8,17002
8,17008
8,17039
8,17061
8,17108
8,17153
8,17195
8,17200
8,17246
8,17256
8,17416
8,17437
8,17442
8,17446
8,17466
8,17548
8,17599
8,17710
8,17714
8,17755
8,17800
8,17819
8,17934
8,17972
8,18021
8,18028
8,18070
8,18082
8,18085
8,18107
8,18121
8,18166
8,18239
8,18265
8,18279
8,18281
8,18299
8,18302
8,18324
8,18334
8,18369
8,18525
8,18526
8,18527
8,18535
8,18649
8,18681
8,18686
8,18713
8,18726
8,18730
8,18764
8,18841
8,18850
8,18878
8,18925
9,56
9,78
9,228
9,256
9,293
9,321
9,360
9,435
9,576
9,612
9,667
9,761
9,794
9,836
9,844
9,876
9,879
9,903
9,978
9,1021
9,1061
9,1093
9,1108
9,1136
9,1179
9,1271
9,1305
9,1333
9,1354
9,1380
9,1388
9,1429
9,1430
9,1460
9,1477
9,1507
9,1543
9,1554
9,1601
9,1634
9,1642
9,1643
9,1657
9,1730
9,1736
9,1739
9,1808
9,1913
9,2034
9,2127
9,2137
9,2152
9,2162
9,2285
9,2294
9,2323
9,2542
9,2669
9,2671
9,2678
9,2679
9,2722
9,2734
9,2758
9,2761
9,2813
9,2901
9,2935
9,2951
9,2991
9,3015
9,3019
9,3032
9,3076
9,3099
9,3200
9,3234
9,3311
9,3314
9,3383
9,3384
9,3386
9,3400
9,3450
9,3510
9,3576
9,3655
9,3662
9,3665
9,3742
9,3841
9,3920
9,3972
9,4075
9,4217
9,4224
9,4237
9,4264
9,4324
9,4387
9,4395
9,4439
9,4448
9,4481
9,4503
9,4510
9,4554
9,4611
9,4646
9,4706
9,4739
9,4756
9,4804
9,4886
9,4898
9,4908
9,4917
9,4989
9,5230
9,5342
9,5379
9,5444
9,5584
9,5707
9,5810
9,5848
9,5883
9,5897
9,5914
9,5996
9,6020
9,6069
9,6148
9,6189
9,6236
9,6254
9,6290
9,6297
9,6354
9,6385
9,6400
9,6416
9,6487
9,6517
9,6543
9,6575
9,6748
9,6878
9,6958
9,7002
9,7006
9,7016
9,7063
9,7148
9,7233
9,7259
9,7266
9,7466
9,7556
9,7603
9,7677
9,7710
9,7836
9,7869
9,7918
9,7929
9,7942
9,7951
9,8037
9,8106
9,8123
9,8124
9,8130
9,8150
9,8205
9,8247
9,8326
9,8404
9,8484
9,8501
9,8551
9,8553
9,8589
9,8616
9,8621
9,8656
9,8679
9,8712
9,8802
9,8807
9,8991
9,9017
9,9020
9,9093
9,9159
9,9178
9,9184
9,9196
9,9227
9,9245
9,9271
9,9302
9,9309
9,9310
9,9365
9,9386
9,9458
9,9506
9,9540
9,9567
9,9608
9,9658
9,9751
9,9845
9,9851
9,9852
9,9886
9,10045
9,10054
9,10096
9,10150
9,10178
9,10219
9,10240
9,10251
9,10290
9,10335
9,10351
9,10367
9,10410
9,10413
9,10487
9,10557
9,10567
9,10579
9,10628
9,10678
9,10694
9,10697
9,10756
9,10759
9,10772
9,10773
9,10776
9,10825
9,10961
9,10991
9,11104
9,11105
9,11224
9,11235
9,11280
9,11314
9,11347
9,11416
9,11432
9,11453
9,11473
9,11504
9,11519
9,11635
9,11657
9,11705
9,11904
9,11918
9,11940
9,12152
9,12169
9,12255
9,12312
9,12403
9,12699
9,12727
9,12765
9,12773
9,12799
9,12821
9,12917
9,12962
9,13059
9,13110
9,13118
9,13233
9,13258
9,13259
9,13302
9,13337
9,13348
9,13383
9,13394
9,13601
9,13707
9,13783
9,13823
9,13850
9,13870
9,13872
9,13880
9,13901
9,13906
9,14082
9,14203
9,14470
9,14486
9,14646
9,14710
9,14821
9,14825
9,14846
9,15072
9,15075
9,15151
9,15201
9,15221
9,15239
9,15252
9,15360
9,15377
9,15394
9,15402
9,15421
9,15442
9,15451
9,15491
9,15505
9,15568
9,15616
9,15646
9,15652
9,15676
9,15720
9,15766
9,15827
9,15840
9,15922
9,16018
9,16136
9,16155
9,16237
9,16262
9,16321
9,16345
9,16352
9,16402
9,16455
9,16484
9,16499
9,16524
9,16539
9,16550
9,16576
9,16601
9,16616
9,16646
9,16650
9,16707
9,16716
9,16721
9,16722
9,16782
9,16888
9,16889
9,16947
9,17030
9,17049
9,17063
9,17088
9,17136
9,17222
9,17225
9,17234
9,17321
9,17327
9,17379
9,17492
9,17505
9,17528
9,17530
9,17636
9,17650
9,17753
9,17764
9,17768
9,17794
9,17827
9,17840
9,17855
9,17918
9,17961
9,17990
9,18059
9,18120
9,18123
9,18163
9,18302
9,18365
9,18395
9,18496
9,18504
9,18516
9,18527
9,18569
9,18619
9,18694
9,18771
9,18790
9,18843
9,18894
9,18917
10,3
10,20
10,33
10,92
10,144
10,155
10,182
10,217
10,226
10,257
10,283
10,298
10,303
10,331
10,333
10,363
10,372
10,384
10,386
10,396
10,398
10,420
10,432
10,459
10,468
10,481
10,493
10,527
10,528
10,550
10,581
10,585
10,591
10,593
10,635
10,656
10,660
10,664
10,682
10,710
10,746
10,819
10,850
10,866
10,910
10,944
10,950
10,953
10,961
10,962
10,1031
10,1036
10,1039
10,1080
10,1086
10,1109
10,1114
10,1172
10,1178
10,1182
10,1258
10,1260
10,1277
10,1278
10,1315
10,1346
10,1371
10,1417
10,1442
10,1456
10,1474
10,1509
10,1512
10,1528
10,1539
10,1546
10,1550
10,1609
10,1620
10,1653
10,1702
10,1703
10,1739
10,1765
10,1773
10,1779
10,1814
10,1841
10,1843
10,1866
10,1890
10,1905
10,1945
10,1950
10,2023
10,2105
10,2107
10,2123
10,2124
10,2134
10,2162
10,2178
10,2185
10,2199
10,2218
10,2238
10,2246
10,2250
10,2278
10,2333
10,2349
10,2360
10,2416
10,2447
10,2450
10,2473
10,2489
10,2510
10,2511
10,2515
10,2545
10,2552
10,2595
10,2596
10,2604
10,2606
10,2634
10,2652
10,2659
10,2670
10,2688
10,2691
10,2700
10,2724
10,2725
10,2733
10,2755
10,2768
10,2771
10,2810
10,2816
10,2860
10,2863
10,2874
10,2875
10,2896
10,2918
10,2946
10,2959
10,2978
10,3002
10,3027
10,3034
10,3048
10,3082
10,3194
10,3220
10,3259
10,3272
10,3284
10,3328
10,3331
10,3336
10,3371
10,3410
10,3433
10,3434
10,3448
10,3450
10,3451
10,3453
10,3473
10,3524
10,3562
10,3604
10,3660
10,3670
10,3689
10,3710
10,3730
10,3796
10,3833
10,3834
10,3855
10,3863
10,3868
10,3875
10,3952
10,3994
10,4002
10,4004
10,4005
