layer,neuron
2,11422
3,9106
4,119
4,328
4,1036
4,1338
4,1412
4,1446
4,2110
4,2164
4,2530
4,4179
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,11834
4,11941
4,12193
4,12829
4,14185
4,15048
4,15161
4,15592
4,15800
4,16097
4,16398
4,17163
4,17550
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,6713
5,7736
5,8847
5,9388
5,9571
5,10759
5,10866
5,11175
5,11301
5,11548
5,12174
5,12198
5,12714
5,13357
5,13552
5,13583
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16546
5,16659
5,17317
5,17575
6,240
6,489
6,1379
6,1393
6,1658
6,1730
6,2039
6,2160
6,2400
6,2486
6,2834
6,2877
6,2891
6,3470
6,3793
6,3968
6,3970
6,4037
6,4053
6,4253
6,4342
6,4377
6,4466
6,4845
6,4949
6,5054
6,5121
6,5235
6,5349
6,5352
6,5492
6,5511
6,5915
6,5956
6,6099
6,6331
6,6476
6,6748
6,6883
6,7197
6,7221
6,7482
6,7552
6,7673
6,7726
6,7792
6,7867
6,7922
6,8066
6,8118
6,8194
6,8282
6,8489
6,8591
6,8698
6,8971
6,9025
6,9031
6,9322
6,9365
6,9459
6,9584
6,9609
6,9940
6,10089
6,10173
6,10248
6,10360
6,10372
6,10990
6,11295
6,11374
6,11440
6,11571
6,11578
6,11797
6,11880
6,12159
6,12270
6,12324
6,12346
6,12420
6,12607
6,12648
6,12845
6,13070
6,13381
6,13382
6,13909
6,14195
6,14208
6,14370
6,14904
6,15181
6,15198
6,15293
6,15349
6,15367
6,15482
6,15638
6,15649
6,16378
6,16636
6,16669
6,16803
6,16904
6,17062
6,17389
6,17412
6,17679
6,17772
6,17859
6,17884
6,17895
6,18126
6,18525
6,18599
6,18631
6,18667
6,18789
6,18852
7,3
7,255
7,435
7,651
7,737
7,1327
7,1357
7,1675
7,1776
7,1803
7,2061
7,2366
7,2493
7,2852
7,3193
7,3252
7,3329
7,3465
7,3490
7,3546
7,3865
7,3936
7,4877
7,5184
7,5791
7,5850
7,5853
7,5931
7,6253
7,6359
7,6389
7,6613
7,6822
7,7073
7,7157
7,7160
7,7170
7,7279
7,7373
7,7460
7,7476
7,7665
7,7854
7,8690
7,9005
7,9199
7,9337
7,9367
7,9606
7,9776
7,9963
7,9972
7,10185
7,10240
7,10977
7,11138
7,11233
7,11254
7,11369
7,11400
7,11531
7,11588
7,11651
7,11675
7,11702
7,12038
7,12240
7,12255
7,12453
7,12575
7,12659
7,12686
7,12824
7,13184
7,13259
7,14007
7,14052
7,14093
7,14376
7,14604
7,14953
7,15232
7,15252
7,15303
7,15546
7,15610
7,15663
7,15679
7,15694
7,16343
7,16446
7,16503
7,16516
7,16827
7,17024
7,17068
7,17680
7,17781
7,18253
7,18269
7,18571
7,18927
8,78
8,116
8,204
8,210
8,218
8,226
8,388
8,433
8,480
8,502
8,504
8,727
8,806
8,807
8,831
8,867
8,904
8,976
8,987
8,1153
8,1197
8,1418
8,1458
8,1498
8,1500
8,1564
8,1581
8,1613
8,1625
8,1643
8,1673
8,1714
8,1766
8,1799
8,1812
8,1902
8,2040
8,2057
8,2169
8,2209
8,2223
8,2227
8,2270
8,2320
8,2418
8,2617
8,2666
8,2749
8,2789
8,2842
8,2913
8,2937
8,2949
8,2969
8,3156
8,3235
8,3307
8,3345
8,3475
8,3483
8,3555
8,3695
8,3782
8,3838
8,3900
8,3968
8,4087
8,4118
8,4124
8,4136
8,4197
8,4239
8,4395
8,4473
8,4482
8,4562
8,4631
8,4690
8,4726
8,4750
8,4764
8,4847
8,4854
8,4897
8,5039
8,5169
8,5181
8,5229
8,5248
8,5410
8,5454
8,5553
8,5558
8,5584
8,5624
8,5637
8,5704
8,5870
8,5905
8,5974
8,5988
8,6035
8,6102
8,6118
8,6151
8,6156
8,6173
8,6213
8,6245
8,6287
8,6294
8,6400
8,6466
8,6611
8,6686
8,6745
8,6802
8,6864
8,6891
8,6979
8,6984
8,7058
8,7346
8,7377
8,7410
8,7473
8,7533
8,7615
8,7691
8,7724
8,7727
8,7740
8,7761
8,7816
8,8051
8,8106
8,8132
8,8196
8,8242
8,8261
8,8274
8,8292
8,8384
8,8504
8,8603
8,8626
8,8689
8,8690
8,8794
8,8796
8,8876
8,8986
8,8993
8,9000
8,9072
8,9119
8,9300
8,9401
8,9446
8,9472
8,9518
8,9571
8,9581
8,9678
8,9684
8,9792
8,9896
8,9912
8,9949
8,10079
8,10160
8,10176
8,10269
8,10289
8,10335
8,10418
8,10429
8,10533
8,10649
8,10664
8,10689
8,10702
8,10722
8,10782
8,10853
8,10857
8,10858
8,10873
8,10925
8,10995
8,11082
8,11085
8,11111
8,11152
8,11217
8,11237
8,11273
8,11311
8,11335
8,11494
8,11525
8,11552
8,11572
8,11594
8,11700
8,11737
8,11765
8,11910
8,12032
8,12192
8,12254
8,12284
8,12341
8,12355
8,12421
8,12456
8,12534
8,12567
8,12573
8,12709
8,12814
8,12818
8,12865
8,12888
8,12931
8,12946
8,12973
8,12982
8,12992
8,13041
8,13350
8,13600
8,13653
8,13714
8,13748
8,13752
8,13786
8,13854
8,13882
8,13915
8,13932
8,13980
8,13993
8,13995
8,14032
8,14188
8,14237
8,14347
8,14361
8,14376
8,14453
8,14527
8,14544
8,14639
8,14649
8,14686
8,14774
8,14888
8,14959
8,14969
8,14996
8,15142
8,15175
8,15218
8,15249
8,15361
8,15618
8,15688
8,15786
8,15856
8,15872
8,15942
8,16002
8,16040
8,16075
8,16160
8,16316
8,16360
8,16643
8,16751
8,16776
8,16782
8,16833
8,16876
8,16911
8,16915
8,16917
8,17002
8,17039
8,17236
8,17408
8,17416
8,17437
8,17445
8,17446
8,17452
8,17466
8,17545
8,17548
8,17599
8,17663
8,17699
8,17710
8,17777
8,17796
8,17819
8,17844
8,17859
8,17934
8,17972
8,17981
8,18070
8,18082
8,18085
8,18166
8,18178
8,18281
8,18302
8,18324
8,18398
8,18419
8,18488
8,18521
8,18526
8,18686
8,18726
8,18730
8,18764
8,18850
8,18878
8,18925
9,104
9,435
9,539
9,567
9,576
9,607
9,734
9,761
9,794
9,829
9,903
9,908
9,909
9,978
9,1061
9,1093
9,1125
9,1140
9,1179
9,1305
9,1354
9,1388
9,1429
9,1449
9,1477
9,1507
9,1543
9,1554
9,1634
9,1657
9,1739
9,1913
9,2359
9,2473
9,2509
9,2542
9,2603
9,2669
9,2761
9,2813
9,2948
9,3015
