layer,neuron
4,7214
4,7580
4,10941
4,12193
4,12829
4,15592
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,7336
5,7736
5,9388
5,9571
5,10759
5,10866
5,11175
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17575
6,412
6,530
6,777
6,1192
6,1393
6,2039
6,2094
6,2486
6,2521
6,3729
6,3971
6,4244
6,5492
6,5899
6,5915
6,6085
6,6099
6,6167
6,6476
6,6495
6,6743
6,7197
6,7237
6,7283
6,7590
6,7601
6,7673
6,7867
6,7962
6,8066
6,8489
6,8929
6,8971
6,9365
6,9609
6,9650
6,10151
6,10248
6,10459
6,10572
6,11543
6,11621
6,12053
6,12324
6,12607
6,13195
6,13909
6,14195
6,14208
6,14788
6,14850
6,15367
6,15373
6,15427
6,16015
6,16378
6,16592
6,16636
6,17589
6,17679
6,17859
6,18439
6,18631
6,18852
7,166
7,435
7,651
7,737
7,1444
7,2061
7,2079
7,2128
7,2294
7,3252
7,3329
7,3458
7,3500
7,3865
7,4081
7,4877
7,5144
7,5853
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7460
7,7631
7,7854
7,8989
7,9005
7,9227
7,9367
7,9606
7,9776
7,9963
7,10185
7,10546
7,10754
7,11075
7,11138
7,11233
7,11298
7,11806
7,12433
7,12453
7,12575
7,12686
7,12868
7,13372
7,13908
7,14011
7,14093
7,14376
7,14604
7,14680
7,14707
7,15043
7,15047
7,15198
7,15281
7,15303
7,15459
7,15520
7,15663
7,15671
7,16343
7,16686
7,16827
7,16952
7,17148
7,17449
7,17561
7,17671
7,17680
7,18395
7,18570
7,18571
7,18661
8,180
8,208
8,256
8,431
8,440
8,598
8,668
8,706
8,727
8,742
8,745
8,806
8,864
8,867
8,941
8,970
8,1171
8,1197
8,1250
8,1418
8,1526
8,1819
8,1902
8,2037
8,2040
8,2057
8,2162
8,2209
8,2223
8,2227
8,2241
8,2270
8,2360
8,2418
8,3156
8,3235
8,3338
8,3344
8,3377
8,3418
8,3564
8,3803
8,3889
8,3991
8,4080
8,4107
8,4136
8,4261
8,4322
8,4324
8,4444
8,4473
8,4562
8,4609
8,4631
8,4750
8,4813
8,4871
8,5169
8,5229
8,5248
8,5410
8,5454
8,5466
8,5546
8,5553
8,5624
8,5740
8,5745
8,5870
8,5905
8,6035
8,6118
8,6156
8,6173
8,6255
8,6289
8,6611
8,6802
8,6864
8,6979
8,7094
8,7101
8,7252
8,7261
8,7271
8,7377
8,7410
8,7473
8,7533
8,7547
8,7691
8,7872
8,7961
8,8011
8,8051
8,8084
8,8132
8,8208
8,8261
8,8274
8,8292
8,8347
8,8384
8,8484
8,8678
8,8689
8,8794
8,8796
8,8806
8,8876
8,8993
8,9040
8,9269
8,9290
8,9300
8,9391
8,9472
8,9571
8,9912
8,10102
8,10155
8,10176
8,10196
8,10269
8,10272
8,10301
8,10557
8,10664
8,10702
8,10724
8,10761
8,10857
8,11032
8,11152
8,11236
8,11273
8,11311
8,11317
8,11340
8,11572
8,11588
8,11594
8,11679
8,11861
8,11870
8,11877
8,11910
8,12098
8,12184
8,12284
8,12355
8,12456
8,12567
8,12572
8,12709
8,12814
8,12833
8,12931
8,12946
8,12953
8,12973
8,12992
8,13036
8,13041
8,13111
8,13302
8,13579
8,13752
8,13908
8,13913
8,13915
8,13980
8,13995
8,14032
8,14159
8,14237
8,14270
8,14342
8,14347
8,14361
8,14499
8,14544
8,14568
8,14631
8,14639
8,14686
8,14891
8,14921
8,14996
8,15142
8,15151
8,15218
8,15361
8,15447
8,15469
8,15501
8,15686
8,15805
8,15856
8,15909
8,15917
8,16040
8,16160
8,16316
8,16432
8,16552
8,16675
8,16782
8,16784
8,16915
8,17108
8,17416
8,17452
8,17466
8,17479
8,17699
8,17710
8,17934
8,18028
8,18120
8,18121
8,18279
8,18281
8,18329
8,18387
8,18407
8,18525
8,18526
8,18608
8,18764
9,198
9,321
9,334
9,360
9,400
9,464
9,483
9,567
9,576
9,667
9,761
9,915
9,916
9,922
9,978
9,1005
9,1061
9,1179
9,1305
9,1380
9,1388
9,1460
9,1477
9,1507
9,1543
9,1552
9,1570
9,1642
9,1657
9,2127
9,2153
9,2196
9,2209
9,2344
9,2542
9,2603
9,2669
9,2671
9,2697
9,2722
9,2763
9,2813
9,2979
9,3032
9,3311
9,3383
9,3386
9,3639
9,3651
9,3655
9,4075
9,4116
9,4217
9,4264
9,4448
9,4503
9,4510
9,4512
9,4583
9,4596
9,4611
9,4620
9,4626
9,4706
9,4715
9,4739
9,4804
9,4848
9,4886
9,4989
9,5041
9,5140
9,5247
9,5379
9,5707
9,5742
9,5810
9,5848
9,5856
9,5874
9,5883
9,5893
9,5897
9,5914
9,5996
9,6024
9,6069
9,6148
9,6169
9,6189
9,6222
9,6225
9,6236
9,6247
9,6254
9,6297
9,6301
9,6400
9,6543
9,6575
9,6661
9,6673
9,6704
9,6748
9,6862
9,6873
9,6878
9,6884
9,6938
9,6958
9,7006
9,7016
9,7040
9,7160
9,7266
9,7405
9,7417
9,7454
9,7464
9,7466
9,7556
9,7710
9,7836
9,7929
9,7951
9,7975
9,8037
9,8123
9,8124
9,8130
9,8169
9,8222
9,8326
9,8404
9,8484
9,8553
9,8580
9,8591
9,8608
9,8679
9,8802
9,8807
9,8902
9,8952
9,9017
9,9088
9,9142
9,9196
9,9227
9,9245
9,9271
9,9310
9,9386
9,9458
9,9490
9,9509
9,9540
9,9608
9,9783
9,9845
9,9861
9,9930
9,9943
9,10054
9,10096
9,10150
9,10415
9,10463
9,10557
9,10579
9,10678
9,10702
9,10759
9,10776
9,10961
9,10991
9,11048
9,11061
9,11105
9,11172
9,11416
9,11519
9,11573
9,11904
9,11940
9,12013
9,12051
9,12107
9,12152
9,12765
9,12799
9,12821
9,12962
9,13082
9,13233
9,13259
9,13337
9,13345
9,13348
9,13601
9,13624
9,13732
9,13783
9,13823
9,13850
9,13872
9,13880
9,13906
9,13914
9,14055
9,14083
9,14101
9,14203
9,14320
9,14369
9,14386
9,14394
9,14470
9,14486
9,14494
9,14537
9,14617
9,14744
9,15126
9,15151
9,15239
9,15360
9,15377
9,15378
9,15402
9,15451
9,15505
9,15531
9,15608
9,15615
9,15616
9,15719
9,15720
9,15766
9,15838
9,15840
9,16111
9,16155
9,16345
9,16352
9,16402
9,16461
9,16484
9,16523
9,16550
9,16601
9,16616
9,16646
9,16683
9,16727
9,16757
9,16787
9,16841
9,16888
9,16889
9,16947
9,17030
9,17049
9,17379
9,17461
9,17502
9,17505
9,17601
9,17621
9,17704
9,17827
9,17840
9,17918
9,18120
9,18171
9,18301
9,18302
9,18359
9,18516
9,18536
9,18569
9,18592
9,18619
9,18844
9,18894
9,18917
10,24
10,34
10,94
10,95
10,144
10,247
10,257
10,333
10,355
10,384
10,398
10,488
10,528
10,540
10,550
10,565
10,585
10,635
10,682
10,691
10,752
10,819
10,850
10,1025
10,1060
10,1148
10,1182
10,1315
10,1325
10,1346
10,1359
10,1374
10,1391
10,1432
10,1528
10,1546
10,1702
10,1735
10,1739
10,1763
10,1884
10,1937
10,1945
10,1952
10,2124
10,2178
10,2416
10,2510
10,2596
10,2626
10,2634
10,2666
10,2691
10,2724
10,2725
10,2768
10,2810
10,2863
10,2874
10,2885
10,2896
10,3002
10,3048
10,3082
10,3194
10,3272
10,3284
10,3331
10,3340
10,3448
10,3453
10,3537
10,3562
10,3578
10,3604
10,3649
10,3660
10,3723
10,3916
10,3994
10,4004
10,4036
10,4086
10,4145
10,4171
10,4408
10,4434
10,4540
10,4574
10,4678
10,4736
10,4781
10,4843
10,4844
10,5092
10,5097
10,5156
10,5166
10,5178
10,5179
10,5223
10,5229
10,5527
10,5531
10,5571
10,5614
10,5691
10,5703
10,5719
10,5798
10,5868
10,6028
10,6092
10,6103
10,6156
10,6197
10,6369
10,6385
10,6403
10,6407
10,6542
10,6567
10,6613
10,6861
10,6863
10,6883
10,6914
10,7002
10,7014
10,7042
10,7063
10,7070
10,7076
10,7182
10,7207
10,7258
10,7265
10,7267
10,7329
10,7460
10,7500
10,7595
10,7629
10,7639
10,7793
10,7810
10,7873
10,7940
10,7980
10,8000
10,8041
10,8091
10,8092
10,8105
10,8120
10,8137
10,8191
10,8194
10,8313
10,8349
10,8428
10,8446
10,8474
10,8497
10,8665
10,8721
10,8820
10,8845
10,8850
10,8851
10,8960
10,8967
10,9153
10,9227
10,9233
10,9363
10,9495
10,9529
10,9534
10,9594
10,9596
10,9606
10,9628
10,9702
10,9932
10,9934
10,9981
10,9995
10,10015
10,10031
10,10048
10,10247
10,10284
10,10299
10,10319
10,10381
10,10395
10,10442
10,10584
10,10689
10,10718
10,10815
10,10900
10,10909
10,10924
10,10949
10,11065
10,11248
10,11267
10,11314
10,11323
10,11435
10,11458
10,11472
10,11512
10,11525
10,11543
10,11583
10,11702
10,11739
10,11765
10,11773
10,11868
10,11952
10,12010
10,12016
10,12080
10,12297
10,12409
