layer,neuron
2,15133
4,119
4,293
4,881
4,1097
4,1446
4,1531
4,1588
4,2530
4,4576
4,7214
4,7403
4,7580
4,7980
4,9704
4,10408
4,10416
4,10942
4,11689
4,12193
4,12829
4,13463
4,13947
4,13976
4,14185
4,15048
4,15152
4,15161
4,15592
4,16097
4,16743
4,17750
4,18411
4,18488
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,10759
5,10866
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,12643
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16479
5,16546
5,16659
5,17575
5,17889
6,45
6,220
6,261
6,489
6,510
6,754
6,1330
6,1393
6,2128
6,2155
6,2486
6,2521
6,2834
6,2918
6,2927
6,3793
6,3970
6,4037
6,4053
6,4253
6,4694
6,4845
6,4949
6,4974
6,5002
6,5054
6,5108
6,5121
6,5235
6,5349
6,5352
6,5492
6,5511
6,5560
6,5606
6,5899
6,5915
6,5987
6,6085
6,6167
6,6331
6,6476
6,6559
6,6883
6,6944
6,7096
6,7197
6,7221
6,7355
6,7378
6,7590
6,7601
6,7867
6,8118
6,8194
6,8282
6,8471
6,8489
6,8548
6,8663
6,8707
6,8971
6,9051
6,9060
6,9322
6,9365
6,9413
6,9609
6,9648
6,9729
6,9920
6,9954
6,10124
6,10248
6,10990
6,11143
6,11295
6,11440
6,11771
6,12053
6,12159
6,12234
6,12324
6,12420
6,12607
6,12845
6,13195
6,13381
6,13537
6,13867
6,14195
6,14208
6,14370
6,14374
6,14459
6,14612
6,14850
6,14904
6,15367
6,15482
6,15649
6,15859
6,15965
6,16102
6,16636
6,16904
6,16956
6,17011
6,17062
6,17679
6,17772
6,17859
6,18197
6,18281
6,18405
6,18409
6,18525
6,18631
6,18667
6,18852
6,18927
7,3
7,435
7,461
7,721
7,737
7,1116
7,1272
7,1310
7,1357
7,1538
7,1675
7,1776
7,1803
7,1921
7,2061
7,2079
7,2297
7,2971
7,3135
7,3193
7,3252
7,3329
7,3500
7,3546
7,3865
7,3936
7,4028
7,4877
7,5165
7,5791
7,5855
7,6252
7,6253
7,6389
7,7073
7,7111
7,7160
7,7170
7,7476
7,7631
7,7854
7,9564
7,9578
7,9776
7,9851
7,10240
7,10683
7,10977
7,11369
7,11400
7,11423
7,11531
7,11617
7,11651
7,11702
7,12453
7,13366
7,14007
7,14009
7,14093
7,14630
7,14684
7,14953
7,15303
7,15546
7,15610
7,15638
7,15663
7,15665
7,15679
7,15694
7,16118
7,16198
7,16343
7,16349
7,16516
7,16635
7,16827
7,16924
7,17024
7,17037
7,17185
7,17212
7,17671
7,17781
7,18092
7,18135
7,18159
7,18346
7,18395
7,18571
7,18794
8,116
8,149
8,167
8,210
8,300
8,520
8,706
8,727
8,792
8,831
8,867
8,875
8,904
8,976
8,1090
8,1224
8,1426
8,1564
8,1581
8,1613
8,1643
8,1799
8,1812
8,1902
8,2040
8,2209
8,2259
8,2270
8,2320
8,2418
8,2470
8,2550
8,2666
8,2749
8,2770
8,2789
8,2830
8,2842
8,2913
8,2937
8,2949
8,2969
8,3156
8,3235
8,3307
8,3312
8,3321
8,3475
8,3483
8,3494
8,3538
8,3610
8,3782
8,3900
8,4014
8,4062
8,4090
8,4107
8,4118
8,4124
8,4197
8,4401
8,4427
8,4473
8,4562
8,4694
8,4726
8,4742
8,4750
8,4847
8,4927
8,5039
8,5169
8,5229
8,5248
8,5454
8,5546
8,5553
8,5637
8,5704
8,5905
8,5988
8,6011
8,6035
8,6102
8,6118
8,6156
8,6245
8,6289
8,6485
8,6611
8,6706
8,6745
8,6864
8,6954
8,6978
8,6979
8,7058
8,7410
8,7473
8,7533
8,7691
8,7740
8,8149
8,8196
8,8261
8,8274
8,8292
8,8352
8,8384
8,8484
8,8504
8,8626
8,8796
8,8876
8,9000
8,9038
8,9119
8,9186
8,9300
8,9384
8,9446
8,9472
8,9518
8,9571
8,9581
8,9642
8,9678
8,9694
8,9792
8,9896
8,9912
8,9996
8,10160
8,10176
8,10258
8,10269
8,10335
8,10429
8,10538
8,10664
8,10722
8,10761
8,10857
8,10925
8,10995
8,11075
8,11152
8,11169
8,11217
8,11237
8,11273
8,11311
8,11494
8,11552
8,11665
8,11671
8,11798
8,11910
8,11962
8,11999
8,12032
8,12161
8,12184
8,12192
8,12254
8,12341
8,12355
8,12421
8,12567
8,12573
8,12576
8,12633
8,12709
8,12814
8,12865
8,12888
8,12931
8,12946
8,12953
8,12982
8,12992
8,13041
8,13350
8,13411
8,13467
8,13575
8,13854
8,13882
8,13932
8,13980
8,13993
8,13995
8,14270
8,14342
8,14347
8,14361
8,14437
8,14447
8,14544
8,14568
8,14604
8,14639
8,14649
8,14686
8,14774
8,14787
8,14838
8,14888
8,14969
8,14996
8,15082
8,15175
8,15218
8,15618
8,15668
8,15688
8,15794
8,15825
8,15856
8,15872
8,15917
8,15942
8,16040
8,16360
8,16643
8,16722
8,16776
8,16782
8,16876
8,16915
8,16995
8,17002
8,17039
8,17063
8,17359
8,17416
8,17442
8,17466
8,17548
8,17599
8,17710
8,17755
8,17800
8,17829
8,17934
8,17972
8,17981
8,18070
8,18150
8,18166
8,18279
8,18281
8,18299
8,18302
8,18324
8,18525
8,18526
8,18535
8,18690
8,18726
8,18730
8,18764
8,18925
9,247
9,435
9,667
9,761
9,794
9,903
9,1082
9,1093
9,1140
9,1179
9,1274
9,1354
9,1380
9,1388
9,1429
9,1507
9,1543
9,1554
9,1570
9,1634
9,1657
9,1730
9,1808
9,1913
9,2013
9,2209
9,2542
9,2556
9,2603
9,2669
9,2758
9,2761
9,2880
9,3099
9,3161
9,3384
9,3386
9,3565
9,3576
9,3655
9,3662
9,3665
9,3920
9,4075
9,4217
9,4237
9,4387
9,4395
9,4448
9,4503
9,4510
9,4516
9,4535
9,4652
9,4706
9,4739
9,4886
9,4917
9,4939
9,4989
9,5342
9,5379
9,5444
9,5535
9,5546
9,5630
9,5707
9,5883
9,5897
9,5914
9,5996
9,6019
9,6109
9,6148
9,6189
9,6236
9,6290
9,6297
9,6352
9,6354
9,6385
9,6416
9,6459
9,6517
9,6575
9,6584
9,6661
9,6748
9,6878
9,7016
9,7068
9,7148
9,7233
9,7259
9,7266
9,7466
9,7556
9,7563
9,7603
9,7670
9,7710
9,7907
9,7942
9,7951
9,8124
9,8130
9,8150
9,8247
9,8326
9,8404
9,8484
9,8501
9,8553
9,8574
9,8608
9,8679
9,8802
9,8807
9,9017
9,9020
9,9159
9,9171
9,9178
9,9184
9,9271
9,9309
9,9458
9,9490
9,9506
9,9608
9,9658
9,9696
9,9845
9,9886
9,10045
9,10109
9,10150
9,10178
9,10215
9,10251
9,10335
9,10557
9,10678
9,10694
9,10756
9,10776
9,10825
9,10932
9,10961
9,10991
9,11061
9,11071
9,11105
9,11280
9,11314
9,11369
9,11450
9,11657
9,11692
9,11881
9,11895
9,11904
9,11918
9,11940
9,12107
9,12765
9,12821
9,12917
9,13059
9,13110
9,13258
9,13325
9,13337
9,13348
9,13383
9,13390
9,13394
9,13469
