layer,neuron
2,15133
4,119
4,293
4,881
4,1036
4,1446
4,1531
4,4179
4,4576
4,7214
4,7403
4,7554
4,7580
4,7980
4,9704
4,10408
4,10416
4,10942
4,11689
4,11834
4,12193
4,12804
4,12829
4,13463
4,14185
4,14384
4,14525
4,15048
4,15152
4,15161
4,15592
4,16097
4,16743
4,17174
4,17750
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,4385
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16546
5,16659
5,17575
6,45
6,192
6,220
6,240
6,412
6,440
6,489
6,510
6,754
6,780
6,1131
6,1330
6,1393
6,1535
6,2018
6,2039
6,2128
6,2155
6,2160
6,2309
6,2400
6,2486
6,2512
6,2521
6,2653
6,2834
6,2877
6,2918
6,2927
6,3080
6,3367
6,3793
6,3830
6,3926
6,3970
6,4053
6,4253
6,4434
6,4845
6,4947
6,4949
6,4962
6,4974
6,5002
6,5054
6,5108
6,5121
6,5235
6,5349
6,5352
6,5365
6,5429
6,5492
6,5606
6,5768
6,5774
6,5899
6,5915
6,5950
6,6125
6,6167
6,6292
6,6331
6,6476
6,6815
6,6832
6,6883
6,6944
6,7096
6,7197
6,7221
6,7283
6,7339
6,7552
6,7590
6,7601
6,7673
6,7867
6,7962
6,8118
6,8194
6,8231
6,8282
6,8388
6,8471
6,8489
6,8548
6,8591
6,8608
6,8663
6,8707
6,8971
6,8985
6,9025
6,9031
6,9051
6,9149
6,9171
6,9322
6,9365
6,9413
6,9609
6,9648
6,9697
6,9729
6,9864
6,9920
6,10036
6,10091
6,10124
6,10195
6,10248
6,10372
6,10675
6,10859
6,10990
6,11143
6,11440
6,11543
6,11553
6,11699
6,11771
6,12053
6,12159
6,12198
6,12234
6,12324
6,12342
6,12420
6,12543
6,12607
6,12725
6,12845
6,12908
6,13085
6,13195
6,13381
6,13537
6,13867
6,14195
6,14208
6,14284
6,14370
6,14374
6,14450
6,14459
6,14526
6,14612
6,14638
6,14850
6,14904
6,15181
6,15202
6,15367
6,15398
6,15482
6,15549
6,15649
6,15739
6,15965
6,15971
6,16045
6,16102
6,16240
6,16378
6,16453
6,16592
6,16636
6,16803
6,16904
6,17011
6,17062
6,17389
6,17549
6,17657
6,17679
6,17772
6,17859
6,17861
6,18197
6,18221
6,18281
6,18409
6,18525
6,18599
6,18615
6,18631
6,18667
6,18852
6,18927
7,3
7,72
7,166
7,365
7,435
7,461
7,651
7,721
7,737
7,1009
7,1116
7,1272
7,1310
7,1357
7,1444
7,1517
7,1538
7,1675
7,1776
7,1921
7,1953
7,2061
7,2156
7,2297
7,2320
7,2971
7,3087
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3604
7,3798
7,3865
7,3936
7,4028
7,4081
7,4231
7,4586
7,4771
7,4877
7,4942
7,5165
7,5771
7,5791
7,5853
7,5855
7,6031
7,6252
7,6389
7,6790
7,6822
7,6826
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7460
7,7476
7,7631
7,7697
7,7831
7,7854
7,8421
7,9199
7,9225
7,9227
7,9332
7,9337
7,9367
7,9564
7,9578
7,9606
7,9709
7,10185
7,10240
7,10388
7,10512
7,10683
7,10822
7,10922
7,10977
7,11075
7,11101
7,11423
7,11531
7,11617
7,11651
7,11702
7,11806
7,12003
7,12038
7,12234
7,12276
7,12453
7,12686
7,12772
7,12889
7,13030
7,13264
7,13366
7,13889
7,14009
7,14052
7,14093
7,14280
7,14376
7,14424
7,14429
7,14630
7,14680
7,14684
7,14742
7,14774
7,14833
7,14848
7,14909
7,14953
7,15047
7,15213
7,15252
7,15303
7,15382
7,15443
7,15459
7,15520
7,15546
7,15608
7,15610
7,15638
7,15663
7,15665
7,15679
7,15694
7,16118
7,16198
7,16343
7,16349
7,16516
7,16610
7,16635
7,16827
7,16924
7,16952
7,17024
7,17037
7,17212
7,17384
7,17387
7,17671
7,17680
7,17781
7,17965
7,18019
7,18092
7,18106
7,18135
7,18346
7,18375
7,18395
7,18571
7,18661
7,18794
7,18927
8,11
8,43
8,60
8,78
8,116
8,167
8,210
8,218
8,334
8,433
8,475
8,480
8,559
8,668
8,696
8,706
8,727
8,742
8,831
8,867
8,875
8,904
8,941
8,970
8,976
8,987
8,1090
8,1153
8,1224
8,1237
8,1414
8,1418
8,1426
8,1458
8,1517
8,1564
8,1579
8,1581
8,1583
8,1593
8,1613
8,1643
8,1766
8,1799
8,1812
8,1814
8,1902
8,1908
8,1988
8,1992
8,2003
8,2040
8,2057
8,2088
8,2180
8,2209
8,2223
8,2227
8,2270
8,2360
8,2418
8,2470
8,2550
8,2580
8,2617
8,2666
8,2749
8,2770
8,2789
8,2830
8,2842
8,2870
8,2913
8,2949
8,2969
8,3002
8,3006
8,3073
8,3156
8,3165
8,3235
8,3295
8,3307
8,3312
8,3321
8,3338
8,3393
8,3454
8,3475
8,3483
8,3527
8,3538
8,3564
8,3610
8,3626
8,3693
8,3782
8,3803
8,3838
8,3900
8,3924
8,3968
8,4027
8,4062
8,4090
8,4107
8,4118
8,4124
8,4126
8,4148
8,4197
8,4239
8,4322
8,4324
8,4353
8,4379
8,4401
8,4406
8,4473
8,4482
8,4551
8,4562
8,4588
8,4633
8,4658
8,4670
8,4683
8,4694
8,4726
8,4742
8,4750
8,4847
8,4927
8,4936
8,5039
8,5052
8,5053
8,5169
8,5229
8,5248
8,5410
8,5454
8,5466
8,5546
8,5553
8,5584
8,5624
8,5637
8,5647
8,5765
8,5782
8,5826
8,5834
8,5870
8,5905
8,5908
8,5974
8,5988
8,6011
8,6024
8,6035
8,6102
8,6118
8,6151
8,6156
8,6173
8,6245
8,6255
8,6287
8,6289
8,6438
8,6466
8,6485
8,6486
8,6539
8,6557
8,6606
8,6611
8,6662
8,6676
8,6706
8,6745
8,6826
8,6864
8,6901
8,6902
8,6954
8,6979
8,6984
8,6988
8,7058
8,7102
8,7252
8,7261
8,7410
8,7453
8,7473
8,7533
8,7553
8,7594
8,7691
8,7694
8,7727
8,7740
8,7855
8,7970
8,8051
8,8093
8,8132
8,8149
8,8196
8,8208
8,8232
8,8261
8,8274
8,8292
8,8326
8,8347
8,8352
8,8384
8,8449
8,8483
8,8484
8,8504
8,8506
8,8575
8,8626
8,8689
8,8690
8,8743
8,8744
8,8796
8,8856
8,8876
8,8905
8,8993
8,9000
8,9038
8,9072
8,9103
8,9119
8,9186
8,9300
8,9315
8,9384
8,9391
8,9446
8,9456
8,9472
8,9518
8,9571
8,9581
8,9637
8,9642
8,9678
8,9694
8,9792
8,9896
8,9912
8,9924
8,9949
8,9996
8,10055
8,10160
8,10176
8,10189
8,10208
8,10224
8,10258
8,10269
8,10272
8,10289
8,10335
8,10418
8,10422
8,10429
8,10533
8,10538
8,10548
8,10664
8,10702
8,10722
8,10761
8,10782
8,10800
8,10833
8,10853
8,10854
8,10857
8,10873
8,10925
8,11032
