layer,neuron
4,7580
4,7980
4,10408
4,11834
4,12193
4,12829
4,15048
4,15592
4,16097
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,16659
5,17889
6,240
6,342
6,412
6,1393
6,2039
6,2486
6,2521
6,2877
6,2927
6,3562
6,3970
6,4845
6,5492
6,5606
6,5768
6,5899
6,5915
6,6085
6,6099
6,6476
6,6883
6,7197
6,7482
6,7590
6,7601
6,7673
6,7867
6,7921
6,7922
6,7962
6,8118
6,8194
6,8471
6,8489
6,8618
6,8698
6,8971
6,9245
6,9322
6,9365
6,9386
6,9609
6,9650
6,9795
6,10103
6,10173
6,10248
6,10360
6,10618
6,10990
6,11143
6,11440
6,11621
6,12198
6,12234
6,12324
6,12342
6,12420
6,12465
6,12607
6,12725
6,12908
6,13041
6,13085
6,13195
6,13382
6,13909
6,14195
6,14208
6,14638
6,14850
6,15028
6,15293
6,15367
6,15427
6,16084
6,16323
6,16378
6,16592
6,16636
6,16803
6,17659
6,17679
6,17772
6,17815
6,17859
6,18439
6,18525
6,18623
6,18631
6,18789
6,18852
7,166
7,255
7,435
7,651
7,737
7,1675
7,1771
7,1776
7,1847
7,1953
7,2061
7,2128
7,2294
7,2775
7,3039
7,3193
7,3252
7,3329
7,3458
7,3500
7,3546
7,3791
7,3844
7,3865
7,3936
7,4231
7,4526
7,4877
7,4942
7,5184
7,5305
7,5771
7,5791
7,5850
7,5853
7,5928
7,6031
7,6078
7,6330
7,6389
7,6399
7,6405
7,6613
7,6822
7,6826
7,7073
7,7160
7,7170
7,7279
7,7373
7,7460
7,7631
7,7854
7,8421
7,9005
7,9199
7,9227
7,9337
7,9367
7,9396
7,9606
7,9851
7,9963
7,10185
7,10754
7,10822
7,11298
7,11531
7,11651
7,11806
7,12003
7,12038
7,12178
7,12240
7,12453
7,12686
7,14009
7,14093
7,14164
7,14376
7,14604
7,14680
7,14707
7,14848
7,15043
7,15047
7,15382
7,15459
7,15610
7,15663
7,15671
7,15679
7,15694
7,16343
7,16503
7,16738
7,16827
7,16952
7,17449
7,17561
7,17671
7,17680
7,18219
7,18269
7,18346
7,18395
7,18571
7,18685
7,18794
7,18927
8,0
8,73
8,78
8,116
8,218
8,226
8,277
8,388
8,431
8,480
8,668
8,679
8,692
8,706
8,727
8,806
8,831
8,864
8,900
8,904
8,909
8,978
8,1153
8,1197
8,1250
8,1418
8,1426
8,1500
8,1549
8,1564
8,1579
8,1625
8,1812
8,1902
8,1948
8,1992
8,2035
8,2040
8,2057
8,2180
8,2223
8,2227
8,2241
8,2270
8,2360
8,2387
8,2418
8,2550
8,2604
8,2842
8,2913
8,2969
8,3073
8,3156
8,3235
8,3307
8,3321
8,3344
8,3383
8,3402
8,3418
8,3483
8,3527
8,3610
8,3761
8,3782
8,3803
8,3900
8,4027
8,4118
8,4124
8,4136
8,4197
8,4239
8,4261
8,4322
8,4324
8,4473
8,4551
8,4631
8,4670
8,4726
8,4742
8,4750
8,4813
8,4847
8,5039
8,5086
8,5169
8,5229
8,5248
8,5285
8,5369
8,5454
8,5466
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5870
8,5905
8,5929
8,6035
8,6118
8,6156
8,6255
8,6263
8,6287
8,6289
8,6401
8,6466
8,6557
8,6706
8,6753
8,6802
8,6864
8,6901
8,6979
8,6984
8,6988
8,7102
8,7221
8,7410
8,7473
8,7533
8,7553
8,7691
8,7727
8,7740
8,7761
8,8132
8,8196
8,8208
8,8242
8,8261
8,8274
8,8292
8,8352
8,8384
8,8483
8,8575
8,8626
8,8689
8,8690
8,8692
8,8755
8,8796
8,8797
8,8806
8,8876
8,8993
8,9000
8,9166
8,9300
8,9446
8,9472
8,9518
8,9637
8,9678
8,9792
8,9896
8,9912
8,10079
8,10137
8,10269
8,10289
8,10301
8,10533
8,10669
8,10689
8,10702
8,10722
8,10857
8,10925
8,11032
8,11111
8,11144
8,11152
8,11217
8,11236
8,11273
8,11311
8,11335
8,11416
8,11494
8,11572
8,11594
8,11746
8,11818
8,11870
8,11910
8,11962
8,11994
8,12184
8,12188
8,12192
8,12284
8,12355
8,12421
8,12456
8,12567
8,12572
8,12709
8,12814
8,12818
8,12902
8,12931
8,12945
8,12946
8,12992
8,13036
8,13041
8,13111
8,13280
8,13350
8,13714
8,13752
8,13786
8,13854
8,13882
8,13915
8,13932
8,13980
8,13986
8,13995
8,14159
8,14237
8,14260
8,14342
8,14347
8,14361
8,14376
8,14544
8,14568
8,14604
8,14631
8,14686
8,14888
8,14996
8,15168
8,15175
8,15218
8,15281
8,15330
8,15469
8,15501
8,15560
8,15688
8,15707
8,15805
8,15856
8,15931
8,15942
8,16040
8,16160
8,16237
8,16316
8,16345
8,16360
8,16552
8,16555
8,16556
8,16643
8,16675
8,16694
8,16782
8,16787
8,16833
8,16876
8,16915
8,17039
8,17416
8,17437
8,17446
8,17466
8,17548
8,17599
8,17627
8,17645
8,17710
8,17819
8,17859
8,17934
8,17972
8,18070
8,18120
8,18279
8,18281
8,18362
8,18525
8,18526
8,18545
8,18686
8,18690
8,18730
8,18737
8,18764
8,18850
8,18925
8,18928
9,170
9,228
9,321
9,334
9,360
9,435
9,576
9,761
9,794
9,903
9,1061
9,1179
9,1231
9,1305
9,1388
9,1429
9,1442
9,1460
9,1477
9,1507
9,1538
9,1543
9,1554
9,1634
9,1642
9,1643
9,1657
9,1739
9,1808
9,1913
9,2013
9,2137
9,2182
9,2359
9,2471
9,2542
9,2603
9,2610
9,2669
9,2671
9,2722
9,2758
9,2761
9,2813
9,2948
9,3076
9,3099
9,3311
9,3359
9,3386
9,3400
9,3510
9,3655
9,3662
9,3838
9,3972
9,4075
9,4217
9,4387
9,4395
9,4448
9,4463
9,4481
9,4503
9,4510
9,4544
9,4611
9,4706
9,4739
9,4804
9,4848
9,4886
9,4908
9,4939
9,4941
9,4989
9,5140
9,5230
9,5333
9,5379
9,5537
9,5707
9,5848
9,5856
9,5897
9,5914
9,5996
9,6069
9,6148
9,6189
9,6236
9,6254
9,6267
9,6297
9,6301
9,6385
9,6416
9,6436
9,6575
9,6661
9,6878
9,6958
9,7002
9,7006
9,7016
9,7063
