layer,neuron
3,12426
4,6498
4,7580
4,12193
4,12829
4,15592
4,18488
4,18771
5,1210
5,1566
5,2671
5,3139
5,5909
5,7736
5,9388
5,9571
5,11301
5,11548
5,12174
5,12551
5,12714
5,13357
5,13552
5,13774
5,14133
5,15335
5,15927
5,16232
5,16546
5,16659
5,17889
6,45
6,240
6,342
6,1393
6,2039
6,2521
6,2927
6,5492
6,5899
6,5915
6,6099
6,6476
6,6602
6,7368
6,7590
6,7673
6,7867
6,7921
6,7922
6,8066
6,8228
6,8471
6,8489
6,8698
6,8971
6,10151
6,10173
6,10248
6,11163
6,11536
6,12198
6,12324
6,12465
6,12607
6,12725
6,12908
6,13195
6,13909
6,14113
6,14195
6,14486
6,14555
6,14850
6,15028
6,15293
6,15367
6,15427
6,15482
6,16240
6,16323
6,16636
6,16661
6,16669
6,17544
6,17589
6,17679
6,17859
6,18126
6,18494
6,18623
6,18789
6,18852
7,435
7,651
7,737
7,969
7,2061
7,2079
7,2175
7,2243
7,2268
7,2675
7,3122
7,3329
7,3546
7,3844
7,3865
7,3936
7,4668
7,4756
7,4994
7,5163
7,5164
7,5184
7,5379
7,5430
7,5630
7,5847
7,5853
7,6389
7,6495
7,6613
7,6822
7,6826
7,7073
7,7125
7,7170
7,7279
7,7373
7,7460
7,7631
7,7854
7,8007
7,8412
7,9005
7,9227
7,9337
7,9606
7,9776
7,9916
7,10023
7,10546
7,11298
7,11531
7,12178
7,12240
7,12260
7,12453
7,12575
7,12659
7,12686
7,12868
7,14009
7,14376
7,14680
7,14707
7,14953
7,15047
7,15198
7,15303
7,15382
7,15392
7,15416
7,15459
7,15544
7,15663
7,15671
7,15694
7,15866
7,16343
7,16503
7,16686
7,16735
7,16827
7,17148
7,17561
7,17671
7,17680
7,18059
7,18092
7,18219
7,18253
7,18357
7,18395
7,18570
7,18571
8,0
8,73
8,78
8,218
8,226
8,475
8,480
8,602
8,668
8,679
8,692
8,706
8,727
8,806
8,829
8,867
8,900
8,909
8,949
8,955
8,956
8,970
8,1250
8,1498
8,1500
8,1549
8,1564
8,1583
8,1804
8,2057
8,2084
8,2180
8,2223
8,2227
8,2241
8,2270
8,2360
8,2387
8,2418
8,2550
8,2604
8,2773
8,2842
8,2969
8,3156
8,3235
8,3307
8,3308
8,3338
8,3344
8,3385
8,3483
8,3782
8,4118
8,4124
8,4136
8,4183
8,4227
8,4322
8,4324
8,4473
8,4614
8,4631
8,4694
8,4726
8,4742
8,4813
8,4847
8,4936
8,5039
8,5169
8,5229
8,5248
8,5251
8,5410
8,5454
8,5466
8,5552
8,5553
8,5584
8,5740
8,5785
8,5870
8,5905
8,5974
8,6035
8,6118
8,6152
8,6156
8,6289
8,6294
8,6299
8,6557
8,6586
8,6802
8,6864
8,6979
8,6984
8,7410
8,7473
8,7533
8,7572
8,7691
8,7761
8,7855
8,7961
8,8011
8,8132
8,8196
8,8242
8,8261
