layer,neuron
2,15707
3,12426
4,293
4,7403
4,7980
4,10987
4,11941
4,12193
4,12310
4,14968
4,15592
4,16097
4,17163
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,8165
5,9388
5,9571
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12551
5,13357
5,13552
5,13774
5,14133
5,15335
5,15927
5,16546
5,16659
5,17889
6,45
6,342
6,412
6,507
6,782
6,1393
6,1683
6,1732
6,2039
6,2160
6,2521
6,3399
6,3793
6,4331
6,4647
6,5915
6,6085
6,6099
6,6476
6,6602
6,7482
6,7590
6,7601
6,7673
6,7867
6,7921
6,7922
6,8166
6,8489
6,8698
6,8971
6,9391
6,9732
6,10103
6,10104
6,10245
6,10248
6,10551
6,10575
6,10675
6,11163
6,11217
6,11571
6,11621
6,11900
6,12198
6,12288
6,12324
6,12465
6,12607
6,12725
6,12908
6,13195
6,13315
6,13909
6,14195
6,14208
6,14284
6,14555
6,14630
6,14850
6,15028
6,15293
6,15367
6,15427
6,15735
6,16240
6,16323
6,16378
6,16636
6,16661
6,16669
6,17473
6,17544
6,17548
6,17589
6,17679
6,17859
6,18311
6,18494
6,18623
6,18789
6,18852
6,18920
7,3
7,217
7,341
7,435
7,564
7,595
7,651
7,737
7,969
7,1222
7,1571
7,2061
7,2079
7,2128
7,2144
7,2268
7,2294
7,2775
7,3252
7,3329
7,3492
7,3844
7,3865
7,3936
7,4076
7,4580
7,4756
7,4877
7,5155
7,5164
7,5184
7,5231
7,5327
7,5379
7,5430
7,5790
7,5850
7,5853
7,6078
7,6211
7,6495
7,6822
7,6826
7,7053
7,7073
7,7125
7,7170
7,7279
7,7373
7,7460
7,7854
7,8421
7,9005
7,9327
7,9337
7,9396
7,9565
7,9606
7,9773
7,9916
7,10023
7,10185
7,10384
7,11075
7,11298
7,11531
7,11588
7,11806
7,12003
7,12047
7,12178
7,12188
7,12240
7,12260
7,12453
7,12460
7,12465
7,12498
7,12575
7,12810
7,12868
7,13259
7,13937
7,13984
7,14009
7,14011
7,14164
7,14330
7,14376
7,14394
7,14680
7,14953
7,15043
7,15047
7,15140
7,15180
7,15198
7,15382
7,15392
7,15416
7,15435
7,15459
7,15663
7,15671
7,15679
7,16284
7,16343
7,16503
7,16735
7,16827
7,16952
7,17148
7,17319
7,17561
7,17680
7,17867
7,18219
7,18239
7,18357
7,18395
7,18447
7,18570
7,18571
7,18603
7,18608
7,18927
8,0
8,73
8,113
8,180
8,218
8,226
8,426
8,475
8,480
8,496
8,668
8,692
8,727
8,742
8,806
8,807
8,864
8,867
8,900
8,909
8,941
8,970
8,978
8,1197
8,1250
8,1418
8,1467
8,1498
8,1500
8,1549
8,1804
8,1814
8,2084
8,2162
8,2169
8,2227
8,2241
8,2270
8,2271
8,2360
8,2379
8,2387
8,2414
8,2418
8,2550
8,2563
8,2604
8,2670
8,2842
8,2969
8,3156
8,3235
8,3237
8,3307
8,3321
8,3344
8,3418
8,3527
8,3761
8,3782
8,3889
8,3900
8,4017
8,4118
8,4124
8,4136
8,4183
8,4227
8,4324
8,4329
8,4359
8,4444
8,4473
8,4482
8,4523
8,4614
8,4670
8,4726
8,4742
8,4847
8,4854
8,4900
8,4936
8,4983
8,5039
8,5086
8,5169
8,5229
8,5248
8,5341
8,5369
8,5454
8,5466
8,5527
8,5552
8,5584
8,5745
8,5785
8,5841
8,5870
8,5929
8,5955
8,5974
8,5988
8,6035
8,6118
8,6151
8,6289
8,6299
8,6375
8,6686
8,6802
8,6864
8,6979
8,7377
8,7473
8,7533
8,7572
8,7607
8,7691
8,7761
8,7855
8,7961
8,7970
8,8131
8,8132
8,8242
8,8274
8,8384
8,8405
8,8626
8,8689
8,8692
8,8755
8,8806
8,8986
8,8993
8,8997
8,9000
8,9007
8,9248
8,9300
8,9391
8,9446
8,9472
8,9518
8,9637
8,9759
8,9792
8,9912
8,10065
8,10079
8,10137
8,10269
8,10289
8,10301
8,10684
8,10702
8,10761
8,10854
8,10873
8,10959
8,10988
8,11100
8,11151
8,11152
8,11217
8,11273
8,11311
8,11494
8,11503
8,11572
8,11594
8,11607
8,11679
8,11818
8,11870
8,11877
8,12032
8,12035
8,12184
8,12284
8,12355
8,12421
8,12426
8,12456
8,12474
8,12567
8,12572
8,12709
8,12814
8,12876
8,12931
8,12946
8,12973
8,12992
8,13000
8,13031
8,13041
8,13053
8,13403
8,13555
8,13579
8,13759
8,13908
8,13915
8,13995
8,14000
8,14270
8,14324
8,14347
8,14361
8,14376
8,14544
8,14568
8,14604
8,14614
8,14631
8,14686
8,14852
8,14891
8,14906
8,14988
8,15035
8,15069
8,15142
8,15151
8,15175
8,15218
8,15298
8,15330
8,15501
8,15560
8,15707
8,15776
8,15805
8,15829
8,15931
8,16160
8,16316
8,16345
8,16354
8,16360
8,16643
8,16915
8,16925
8,16951
8,17039
8,17117
8,17195
8,17216
8,17370
8,17446
8,17452
8,17514
8,17589
8,17599
8,17699
8,17710
8,17819
8,17859
8,17860
8,17945
8,18007
8,18028
8,18089
8,18120
8,18121
8,18279
8,18295
8,18362
8,18444
8,18545
8,18696
8,18739
8,18749
9,70
9,321
9,334
9,435
9,464
9,576
9,667
9,761
9,794
9,903
9,908
9,960
9,976
9,978
9,1061
9,1135
9,1179
9,1305
9,1388
9,1429
9,1477
9,1507
9,1543
9,1552
9,1554
9,1601
9,1642
9,1643
9,1657
9,1739
9,1808
9,1894
9,1963
9,2137
9,2160
9,2182
9,2353
9,2359
9,2369
9,2471
9,2473
9,2542
9,2603
9,2610
9,2669
9,2671
9,2678
9,2722
9,2758
9,2761
9,2813
9,2880
9,2948
9,2951
9,3032
9,3124
9,3133
9,3161
9,3209
9,3285
9,3311
9,3359
9,3384
9,3386
9,3552
9,3576
9,3655
9,3662
9,3814
9,4162
9,4217
9,4264
9,4388
9,4448
9,4503
9,4510
9,4562
9,4611
9,4646
9,4706
9,4715
9,4739
9,4804
9,4830
9,4831
9,4848
9,4886
9,4939
9,5230
9,5247
9,5333
9,5379
9,5519
9,5535
9,5560
9,5646
9,5707
9,5807
9,5810
9,5848
9,5892
9,5897
9,5898
9,5914
9,6018
9,6109
9,6113
9,6189
9,6236
9,6254
9,6267
9,6297
9,6301
9,6352
9,6385
9,6400
9,6416
9,6436
9,6575
9,6661
9,6748
9,6797
9,6815
9,6873
9,6878
9,6879
9,6938
9,6958
9,7002
9,7006
9,7063
9,7094
9,7233
9,7266
9,7417
9,7466
9,7556
9,7642
9,7710
9,7769
9,7805
9,7836
9,7869
9,7942
9,8071
9,8072
9,8097
9,8106
9,8123
9,8127
9,8130
9,8150
9,8247
9,8326
9,8484
9,8551
9,8589
9,8591
9,8608
9,8621
9,8712
9,8802
9,8807
9,9009
9,9020
9,9142
9,9159
9,9171
9,9178
9,9184
9,9191
9,9245
9,9271
9,9310
9,9386
9,9458
9,9509
9,9540
9,9588
9,9658
9,9696
9,9751
9,9783
9,9789
9,9845
9,9852
9,9886
9,9932
9,9943
9,9965
9,9999
9,10075
9,10096
9,10150
9,10178
9,10335
9,10351
9,10413
9,10415
9,10458
9,10463
9,10553
9,10557
9,10628
9,10661
9,10678
9,10697
9,10731
9,10759
9,10772
9,10776
9,10825
9,10932
9,10961
9,10991
9,11071
9,11090
9,11105
9,11235
9,11280
9,11369
9,11416
9,11473
9,11482
9,11504
9,11635
9,11657
9,11844
9,11858
9,11904
9,11940
9,12107
9,12132
9,12137
9,12169
9,12227
9,12255
9,12312
9,12326
9,12483
9,12485
9,12582
9,12603
9,12699
9,12712
9,12734
9,12765
9,12799
9,12962
9,13025
9,13110
9,13259
9,13348
9,13394
9,13521
9,13601
9,13723
9,13783
9,13820
9,13823
9,13850
9,13880
9,13881
9,13901
9,14056
9,14082
9,14184
9,14320
9,14470
9,14486
9,14592
9,14710
9,14821
9,14825
9,14920
9,15072
9,15221
9,15252
9,15305
9,15402
9,15421
9,15442
9,15451
9,15505
9,15531
9,15610
9,15616
9,15628
9,15692
9,15720
9,15840
9,15922
9,16018
9,16284
9,16313
9,16345
9,16352
9,16402
9,16461
9,16484
9,16492
9,16523
9,16550
9,16576
9,16601
9,16616
9,16649
9,16683
9,16716
9,16722
9,16874
9,16888
9,16889
9,16947
9,16959
9,16989
9,17030
9,17031
9,17049
9,17063
9,17069
9,17088
9,17110
9,17234
9,17236
9,17327
9,17379
9,17390
9,17442
9,17492
9,17505
9,17619
9,17621
9,17650
9,17827
9,17840
9,17961
9,18120
9,18209
9,18302
9,18457
9,18496
9,18619
9,18626
9,18676
9,18694
9,18751
9,18758
9,18771
9,18879
9,18894
9,18915
9,18925
10,13
10,151
10,216
10,252
10,338
10,363
10,398
10,420
10,432
10,459
10,463
10,473
10,488
10,496
10,635
10,660
10,682
10,730
10,752
10,773
10,819
10,850
10,866
10,890
10,921
10,942
10,1028
10,1036
10,1039
10,1086
10,1221
10,1315
10,1325
10,1350
10,1388
10,1419
10,1509
10,1512
10,1540
10,1546
10,1609
10,1664
10,1684
10,1689
10,1692
10,1733
10,1739
10,1768
10,1814
10,1856
10,1865
10,1870
10,1884
10,1944
10,1950
10,1963
10,1987
10,1992
10,2023
10,2119
10,2124
10,2130
10,2162
10,2174
10,2178
10,2191
10,2218
10,2229
10,2238
10,2250
10,2349
10,2354
10,2402
10,2416
10,2423
10,2432
10,2435
