layer,neuron
2,2928
2,11422
3,9106
4,881
4,1036
4,1446
4,2110
4,2164
4,4179
4,4576
4,7214
4,7580
4,7980
4,9446
4,9704
4,10408
4,10942
4,11834
4,11941
4,12193
4,14525
4,15048
4,15161
4,15592
4,16097
4,17163
4,17194
4,18488
4,18771
5,1210
5,2671
5,5909
5,6044
5,7736
5,8361
5,8847
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12057
5,12174
5,12198
5,12409
5,12551
5,13276
5,13357
5,13552
5,13774
5,14339
5,15335
5,16546
5,16659
5,17575
5,17889
6,13
6,192
6,240
6,412
6,440
6,530
6,1393
6,1650
6,1658
6,1683
6,1730
6,1865
6,2039
6,2155
6,2160
6,2188
6,2283
6,2400
6,2486
6,2521
6,2638
6,2834
6,2891
6,2927
6,2980
6,3562
6,3970
6,4199
6,4253
6,4342
6,4466
6,4845
6,4866
6,4904
6,4928
6,4949
6,5028
6,5352
6,5365
6,5492
6,5606
6,5768
6,5915
6,5950
6,5956
6,6099
6,6476
6,6883
6,7197
6,7283
6,7482
6,7576
6,7673
6,7962
6,8118
6,8388
6,8663
6,8971
6,9020
6,9025
6,9031
6,9080
6,9149
6,9269
6,9322
6,9365
6,9386
6,9609
6,9697
6,9940
6,10073
6,10151
6,10248
6,10357
6,10372
6,10618
6,10859
6,10990
6,11143
6,11348
6,11440
6,11543
6,11553
6,11571
6,11797
6,11880
6,12198
6,12270
6,12306
6,12324
6,12420
6,12536
6,12845
6,13041
6,13195
6,13281
6,13381
6,13617
6,14058
6,14195
6,14208
6,14297
6,14459
6,14555
6,14850
6,14883
6,14904
6,14909
6,15181
6,15367
6,15739
6,15965
6,16015
6,16378
6,16396
6,16564
6,16592
6,16803
6,16886
6,17062
6,17389
6,17659
6,17679
6,17772
6,17815
6,17859
6,17884
6,18439
6,18525
6,18631
6,18789
6,18852
6,18920
7,3
7,255
7,333
7,341
7,365
7,435
7,651
7,721
7,737
7,859
7,917
7,1170
7,1357
7,1444
7,1644
7,1675
7,1776
7,1953
7,2061
7,2128
7,2294
7,2366
7,2852
7,2971
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4214
7,4942
7,4988
7,5166
7,5314
7,5636
7,5771
7,5791
7,5850
7,5853
7,5896
7,6031
7,6389
7,6536
7,6605
7,6613
7,7073
7,7160
7,7170
7,7279
7,7373
7,7415
7,7460
7,7546
7,7662
7,7854
7,8861
7,9017
7,9199
7,9227
7,9236
7,9337
7,9367
7,9396
7,9411
7,9606
7,9709
7,10047
7,10078
7,10185
7,10548
7,10623
7,10647
7,10754
7,11075
7,11233
7,11383
7,11536
7,11622
7,11651
7,11694
7,11779
7,11806
7,12003
7,12038
7,12072
7,12276
7,12453
7,12824
7,13030
7,13190
7,13440
7,13483
7,13559
7,13596
7,13768
7,14093
7,14281
7,14376
7,14424
7,14604
7,14680
7,14848
7,15047
7,15180
7,15300
7,15382
7,15520
7,15610
7,15663
7,15679
7,15694
7,16199
7,16233
7,16343
7,16825
7,16827
7,16849
7,16940
7,17133
7,17212
7,17680
7,17781
7,18019
7,18171
7,18173
7,18219
7,18346
7,18395
7,18571
7,18685
7,18927
8,0
8,11
8,78
8,116
8,167
8,174
8,210
8,218
8,305
8,334
8,417
8,433
8,480
8,559
8,566
8,717
8,727
8,806
8,807
8,831
8,850
8,941
8,946
8,970
8,978
8,987
8,1042
8,1153
8,1197
8,1418
8,1458
8,1498
8,1500
8,1517
8,1564
8,1579
8,1593
8,1613
8,1625
8,1762
8,1766
8,1799
8,1902
8,1992
8,2040
8,2057
8,2102
8,2209
8,2223
8,2227
8,2241
8,2270
8,2290
8,2385
8,2418
8,2556
8,2568
8,2580
8,2617
8,2830
8,2904
8,2913
8,2949
8,2969
8,3006
8,3156
8,3235
8,3307
8,3312
8,3321
8,3454
8,3483
8,3527
8,3564
8,3610
8,3620
8,3761
8,3782
8,3803
8,3838
8,3968
8,4027
8,4118
8,4124
8,4148
8,4197
8,4239
8,4257
8,4322
8,4324
8,4389
8,4473
8,4482
8,4551
8,4588
8,4602
8,4631
8,4670
8,4690
8,4725
8,4726
8,4735
8,4750
8,4847
8,4854
8,4871
8,4936
8,5039
8,5052
8,5086
8,5169
8,5211
8,5229
8,5248
8,5410
8,5454
8,5466
8,5546
8,5553
8,5558
8,5584
8,5624
8,5637
8,5647
8,5704
8,5751
8,5782
8,5870
8,5905
8,6024
8,6035
8,6102
8,6118
8,6156
8,6173
8,6220
8,6244
8,6255
8,6287
8,6294
8,6400
8,6466
8,6480
8,6557
8,6802
8,6826
8,6864
8,6891
8,6902
8,6979
8,7058
8,7066
8,7102
8,7163
8,7252
8,7271
8,7410
8,7453
8,7473
8,7533
8,7553
8,7594
8,7607
8,7691
8,7697
8,7724
8,7727
8,7740
8,7778
8,7855
8,7899
8,7968
8,8051
8,8132
8,8208
8,8232
8,8242
8,8261
8,8274
8,8347
8,8352
8,8361
8,8384
8,8484
8,8605
8,8626
8,8666
8,8689
8,8690
8,8692
8,8794
8,8796
8,8797
8,8806
8,8856
8,8876
8,8986
8,8993
8,9000
8,9103
8,9181
8,9186
8,9191
8,9290
8,9300
8,9363
8,9401
8,9456
8,9472
8,9581
8,9678
8,9718
8,9792
8,9896
8,9912
8,9996
8,10161
8,10176
8,10189
8,10196
8,10218
8,10269
8,10289
8,10301
8,10302
8,10418
8,10429
8,10533
8,10702
8,10722
8,10782
8,10833
8,10857
8,10873
8,10902
8,10925
8,10988
8,11075
8,11082
8,11085
8,11111
8,11152
8,11162
8,11166
8,11236
8,11263
8,11273
8,11311
8,11317
8,11335
8,11472
8,11572
8,11594
8,11671
8,11694
8,11746
8,11765
8,11816
8,11870
8,11910
8,12161
8,12184
8,12254
8,12256
8,12284
8,12341
8,12456
8,12534
8,12567
8,12572
8,12679
8,12687
8,12709
8,12814
8,12865
8,12888
8,12894
8,12902
8,12914
8,12931
8,12945
8,12946
8,12953
8,12992
8,13041
8,13111
8,13350
8,13653
8,13770
8,13893
8,13913
8,13915
8,13932
8,13980
8,13995
8,14087
8,14141
8,14159
8,14192
8,14207
8,14217
8,14270
8,14303
8,14342
8,14347
8,14371
8,14376
8,14425
8,14449
8,14499
8,14527
8,14544
8,14568
8,14604
8,14686
8,14780
8,14827
8,14838
8,14888
8,14891
8,14959
8,14996
8,15168
8,15218
8,15249
8,15281
8,15361
8,15392
8,15458
8,15469
8,15585
8,15618
8,15686
8,15688
8,15780
8,15856
8,15872
8,15942
8,16002
8,16040
8,16048
8,16160
8,16216
8,16316
8,16345
8,16360
8,16552
8,16556
8,16643
8,16751
8,16776
8,16782
8,16787
8,16789
8,16804
8,16833
8,16856
8,16915
8,17002
8,17039
8,17042
8,17108
8,17153
8,17192
8,17195
8,17236
8,17246
8,17370
8,17416
8,17437
8,17446
8,17452
8,17466
8,17548
8,17599
8,17627
8,17699
8,17710
8,17819
8,17827
8,17934
8,17972
8,18028
8,18082
8,18107
8,18120
8,18166
8,18276
8,18281
8,18334
8,18369
8,18387
8,18488
8,18526
8,18532
8,18681
8,18686
8,18726
8,18730
8,18764
8,18850
9,56
9,166
9,170
9,198
9,360
9,464
9,539
9,576
9,761
9,794
9,903
9,909
9,915
9,978
9,1008
9,1061
9,1108
9,1136
9,1305
9,1354
9,1380
9,1429
9,1442
9,1477
9,1507
9,1543
9,1552
9,1554
9,1626
9,1634
9,1642
9,1643
9,1739
9,1808
9,1913
9,2034
9,2056
9,2137
9,2162
9,2542
9,2603
9,2669
9,2671
9,2734
9,2761
9,2763
9,2813
9,3015
9,3025
9,3032
9,3099
9,3125
9,3133
9,3305
9,3311
9,3383
9,3386
9,3400
9,3510
9,3552
9,3611
9,3655
9,3662
9,3814
9,3841
9,4003
9,4075
9,4122
9,4217
9,4264
9,4324
9,4345
9,4387
9,4448
9,4481
9,4503
9,4510
9,4611
9,4646
9,4706
9,4715
9,4739
9,4804
9,4886
9,4956
9,5140
9,5170
9,5230
9,5333
9,5379
9,5444
9,5707
9,5848
9,5878
9,5883
9,5897
9,5898
9,5914
9,5996
9,6115
9,6148
9,6189
9,6207
9,6210
9,6236
9,6247
9,6254
9,6297
9,6385
9,6400
9,6416
9,6487
9,6513
9,6575
9,6661
9,6699
9,6748
9,6797
9,6873
9,6878
9,6884
9,6892
9,6932
9,6938
9,7002
9,7006
9,7016
9,7063
9,7148
9,7233
9,7259
9,7266
9,7417
9,7466
9,7556
9,7603
9,7710
9,7836
9,7898
9,7907
9,7951
9,8037
9,8106
9,8108
9,8123
9,8124
9,8130
9,8150
9,8151
9,8247
9,8326
9,8404
9,8484
9,8551
9,8553
9,8580
9,8656
9,8679
9,8712
9,8802
9,8807
9,8853
9,9017
9,9020
9,9159
9,9178
9,9184
9,9271
9,9310
9,9458
9,9506
9,9509
9,9530
9,9567
9,9608
9,9696
9,9852
9,9886
9,9967
9,10045
9,10054
9,10096
9,10150
9,10178
9,10184
9,10410
9,10413
9,10427
9,10458
9,10463
9,10544
9,10557
9,10678
9,10694
9,10695
9,10697
9,10759
9,10776
9,10825
9,10961
9,10991
9,11048
9,11105
9,11172
9,11235
9,11347
9,11416
9,11432
9,11453
9,11473
9,11519
9,11657
9,11844
9,11904
9,11940
9,12040
9,12169
9,12209
9,12255
9,12582
9,12586
9,12637
9,12681
9,12727
9,12765
9,12821
9,12894
9,12933
9,12962
9,12980
9,13110
9,13118
9,13233
9,13337
9,13348
9,13383
9,13394
9,13443
9,13521
9,13601
9,13688
9,13732
9,13783
9,13789
9,13823
9,13850
9,13870
9,13872
9,13880
9,13901
9,13906
9,13914
9,13951
9,14082
9,14105
9,14203
9,14320
9,14386
9,14470
9,14486
9,14507
9,14646
9,14710
9,14763
9,14821
9,14825
9,14846
9,14874
9,14889
9,14901
9,14946
9,15072
9,15151
9,15201
9,15221
9,15252
9,15360
9,15402
9,15421
9,15442
9,15505
9,15531
9,15615
9,15617
9,15719
9,15720
9,15766
9,15840
9,16018
9,16111
9,16136
9,16237
9,16321
9,16345
9,16352
9,16402
9,16461
9,16484
9,16523
9,16524
9,16550
9,16576
9,16601
9,16616
9,16683
9,16707
9,16716
9,16721
9,16742
9,16888
9,16889
9,16890
9,16947
9,16959
9,17030
9,17049
9,17063
9,17069
9,17088
9,17234
9,17321
9,17327
9,17461
9,17492
9,17505
9,17528
9,17650
9,17768
9,17827
9,17840
9,17961
9,17990
9,18059
9,18123
9,18209
9,18301
9,18496
9,18516
9,18619
9,18626
9,18751
9,18894
9,18917
10,151
10,155
10,182
10,252
10,257
10,274
10,303
10,329
10,333
10,372
10,384
10,386
10,398
10,420
10,468
10,493
10,528
10,550
10,564
10,585
10,635
10,682
10,710
10,730
10,773
10,819
10,850
10,866
10,910
10,950
10,953
10,1036
10,1039
10,1086
10,1114
10,1172
10,1178
10,1182
10,1222
10,1229
10,1258
10,1260
10,1277
10,1315
10,1325
10,1326
10,1346
10,1371
10,1453
10,1464
10,1509
10,1528
10,1539
10,1546
10,1609
10,1702
10,1711
10,1739
10,1773
10,1779
10,1814
10,1841
10,1855
10,1866
10,1884
10,1921
10,1945
10,2023
10,2123
10,2134
10,2162
10,2178
10,2198
10,2201
10,2218
10,2238
10,2246
10,2250
10,2275
10,2333
10,2349
10,2360
10,2416
10,2447
10,2450
10,2473
10,2489
10,2510
10,2511
10,2544
10,2559
10,2566
10,2586
10,2596
10,2626
10,2633
10,2634
10,2651
10,2652
10,2659
10,2670
10,2688
10,2724
10,2725
10,2762
10,2771
10,2810
10,2816
10,2840
10,2843
10,2875
10,2884
10,2896
10,2918
10,2946
10,2978
10,3002
10,3022
10,3027
10,3048
10,3095
10,3104
10,3146
10,3181
10,3194
10,3233
10,3236
10,3272
10,3284
10,3331
10,3468
10,3524
10,3547
10,3562
10,3634
10,3660
10,3689
10,3710
10,3825
10,3834
10,3863
10,3868
10,3875
10,4002
10,4004
10,4024
10,4036
10,4052
10,4069
10,4086
10,4092
10,4096
10,4120
10,4175
10,4188
10,4212
10,4241
10,4331
10,4368
10,4370
10,4382
10,4420
10,4477
10,4574
10,4591
10,4678
10,4686
10,4725
10,4733
10,4781
10,4783
10,4833
10,4843
10,4882
10,4919
10,4948
10,4960
10,4999
10,5042
10,5052
10,5058
10,5070
10,5092
10,5148
10,5156
10,5166
10,5203
10,5229
10,5265
10,5294
10,5348
10,5356
10,5393
10,5418
10,5484
10,5491
10,5521
10,5619
10,5630
10,5691
10,5709
10,5749
10,5800
10,5852
10,5858
10,5868
10,5950
10,5972
10,6028
10,6039
10,6092
10,6103
10,6159
10,6197
10,6279
10,6280
10,6307
10,6316
10,6318
10,6331
10,6385
10,6403
10,6428
10,6462
10,6503
10,6506
10,6535
10,6542
10,6567
10,6578
10,6640
10,6664
10,6680
10,6684
10,6709
10,6715
10,6720
10,6732
10,6751
10,6783
10,6861
10,6883
10,6916
10,6952
10,6970
10,6997
10,7011
10,7014
10,7042
10,7063
10,7076
10,7093
10,7100
10,7137
10,7171
10,7182
10,7212
10,7251
10,7258
10,7265
10,7267
10,7296
10,7297
10,7310
10,7329
10,7340
10,7411
10,7412
10,7441
10,7479
