layer,neuron
4,119
4,1036
4,1446
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,11834
4,12193
4,12829
4,14185
4,15048
4,15592
4,16097
4,18488
5,1210
5,2671
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,11301
5,11548
5,12174
5,12198
5,12409
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16479
5,16546
5,16659
6,220
6,412
6,489
6,1393
6,2039
6,2155
6,2486
6,2521
6,3793
6,3970
6,4053
6,4253
6,4466
6,4694
6,4845
6,4949
6,5002
6,5054
6,5121
6,5235
6,5352
6,5492
6,5511
6,5774
6,5915
6,5987
6,6167
6,6476
6,6883
6,6961
6,7197
6,7221
6,7552
6,7590
6,7601
6,7867
6,8118
6,8194
6,8282
6,8663
6,9322
6,9365
6,9609
6,9954
6,10248
6,10372
6,10990
6,11440
6,11699
6,11771
6,12159
6,12234
6,12324
6,12607
6,12845
6,13195
6,13381
6,14195
6,14208
6,14370
6,14374
6,14394
6,14459
6,14667
6,15649
6,15965
6,16636
6,16904
6,17011
6,17062
6,17599
6,17679
6,17772
6,17859
6,17895
6,18126
6,18525
6,18631
6,18667
6,18852
7,435
7,651
7,721
7,737
7,1297
7,1357
7,1776
7,2061
7,3135
7,3193
7,3252
7,3329
7,3490
7,3546
7,3798
7,3865
7,3936
7,4028
7,4081
7,4877
7,5791
7,6389
7,7073
7,7160
7,7170
7,7476
7,7854
7,8421
7,9199
7,9367
7,9709
7,9738
7,10185
7,10977
7,11400
7,11423
7,11531
7,11617
7,11651
7,11702
7,12038
7,12453
7,13366
7,14007
7,14052
7,14093
7,14684
7,14833
7,15047
7,15546
7,15610
7,15663
7,15679
7,15694
7,16118
7,16198
7,16343
7,16516
7,16635
7,17024
7,18571
8,78
8,116
8,167
8,210
8,433
8,504
8,559
8,706
8,727
8,867
8,874
8,904
8,976
8,987
8,1418
8,1426
8,1564
8,1581
8,1613
8,1643
8,1799
8,1812
8,1902
8,2040
8,2088
8,2270
8,2544
8,2617
8,2666
8,2842
8,2913
8,2937
8,2949
8,2969
8,3156
8,3174
8,3235
8,3307
8,3321
8,3475
8,3483
8,3610
8,3782
8,3900
8,4090
8,4118
8,4124
8,4197
8,4239
8,4473
8,4482
8,4726
8,4737
8,4750
8,4847
8,5039
8,5169
8,5229
8,5248
8,5410
8,5454
8,5466
8,5553
8,5637
8,5905
8,5974
8,5988
8,6035
8,6060
8,6102
8,6118
8,6156
8,6245
8,6287
8,6289
8,6745
8,6864
8,6902
8,6954
8,6979
8,7168
8,7473
8,7533
8,7740
8,8051
8,8196
8,8261
8,8274
8,8292
8,8352
8,8384
8,8504
8,8575
8,8626
8,8744
8,8796
8,8876
8,8932
8,8986
8,9000
8,9038
8,9072
8,9103
8,9119
8,9186
8,9300
8,9391
8,9446
8,9456
8,9472
8,9518
8,9571
8,9581
8,9642
8,9678
8,9694
8,9792
8,9912
8,9924
8,9949
8,9996
8,10160
8,10176
8,10289
8,10429
8,10533
8,10664
8,10722
8,10782
8,10857
8,10925
8,10995
8,11152
8,11237
8,11273
8,11311
8,11335
8,11494
8,11552
8,11665
8,11671
8,11816
8,11910
8,11962
8,12032
8,12184
8,12192
8,12254
8,12256
8,12341
8,12355
8,12421
8,12456
8,12534
8,12567
8,12709
8,12814
8,12865
8,12888
8,12931
8,12946
8,12982
8,12992
8,13041
8,13280
8,13350
8,13714
8,13854
8,13882
8,13932
8,13993
8,13995
8,14347
8,14361
8,14376
8,14437
8,14527
8,14544
8,14568
8,14604
8,14639
8,14649
8,14686
8,14774
8,14827
8,14888
8,14969
8,14996
8,15175
8,15218
8,15361
8,15560
8,15618
8,15688
8,15794
8,15825
8,15856
8,15872
8,15917
8,15942
8,16160
8,16360
8,16643
8,16776
8,16804
8,16833
8,16876
8,16915
8,17002
8,17039
8,17437
8,17446
8,17466
8,17548
8,17599
8,17710
8,17934
8,17972
8,17981
8,18082
8,18166
8,18279
8,18281
8,18324
8,18525
8,18526
8,18535
