layer,neuron
4,119
4,328
4,1036
4,1446
4,2034
4,2110
4,2164
4,2530
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,11834
4,11941
4,12193
4,12804
4,12829
4,14185
4,15048
4,15161
4,15592
4,16097
4,16398
4,17163
4,17194
4,17550
4,18488
4,18771
5,1210
5,2671
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,11301
5,11548
5,12174
5,12198
5,12409
5,12714
5,13357
5,13552
5,13583
5,13774
5,14133
5,14339
5,15335
5,15927
5,16267
5,16479
5,16546
5,16659
6,220
6,339
6,412
6,489
6,1256
6,1379
6,1393
6,1491
6,1730
6,2018
6,2039
6,2155
6,2160
6,2400
6,2486
6,2519
6,2521
6,2845
6,2877
6,2891
6,3419
6,3470
6,3793
6,3970
6,4053
6,4253
6,4342
6,4466
6,4694
6,4845
6,4949
6,5002
6,5028
6,5054
6,5121
6,5235
6,5352
6,5492
6,5511
6,5774
6,5915
6,5956
6,5987
6,6099
6,6167
6,6476
6,6883
6,6919
6,6961
6,7197
6,7221
6,7482
6,7552
6,7576
6,7590
6,7601
6,7673
6,7726
6,7867
6,7922
6,8066
6,8118
6,8194
6,8282
6,8388
6,8485
6,8489
6,8591
6,8663
6,9020
6,9322
6,9365
6,9609
6,9650
6,9897
6,9940
6,9954
6,10073
6,10089
6,10248
6,10372
6,10990
6,11374
6,11440
6,11571
6,11621
6,11699
6,11771
6,11797
6,11880
6,12084
6,12159
6,12234
6,12270
6,12324
6,12501
6,12607
6,12648
6,12845
6,13070
6,13195
6,13381
6,13808
6,14195
6,14208
6,14370
6,14374
6,14394
6,14459
6,14555
6,14667
6,14814
6,15073
6,15181
6,15638
6,15649
6,15965
6,16378
6,16636
6,16669
6,16904
6,17011
6,17062
6,17389
6,17599
6,17679
6,17772
6,17859
6,17861
6,17884
6,17895
6,18126
6,18525
6,18599
6,18631
6,18667
6,18789
6,18852
7,3
7,255
7,435
7,651
7,721
7,737
7,768
7,1192
7,1297
7,1357
7,1675
7,1776
7,1803
7,2033
7,2061
7,2366
7,2519
7,3135
7,3193
7,3252
7,3329
7,3465
7,3490
7,3546
7,3773
7,3798
7,3865
7,3936
7,4028
7,4081
7,4375
7,4877
7,5791
7,5850
7,5853
7,5931
7,6253
7,6389
7,6605
7,6822
7,7073
7,7100
7,7160
7,7170
7,7279
7,7373
7,7460
7,7476
7,7546
7,7854
7,7959
7,8421
7,9005
7,9199
7,9367
7,9606
7,9709
7,9738
7,9963
7,9972
7,10078
7,10185
7,10977
7,11138
7,11233
7,11369
7,11400
7,11423
7,11531
7,11588
7,11617
7,11651
7,11702
7,12038
7,12240
7,12255
7,12276
7,12453
7,12659
7,13030
7,13095
7,13184
7,13259
7,13366
7,14007
7,14052
7,14093
7,14376
7,14680
7,14684
7,14833
7,14953
7,15047
7,15081
7,15180
7,15546
7,15610
7,15663
7,15679
7,15694
7,16012
7,16118
7,16198
7,16343
7,16358
7,16516
7,16635
7,16827
7,17024
7,17680
7,17781
7,18269
7,18425
7,18571
7,18820
8,78
8,116
8,167
8,210
8,218
8,226
8,378
8,433
8,480
8,502
8,504
8,559
8,706
8,727
8,806
8,807
8,850
8,867
8,874
8,904
8,976
8,987
8,1197
8,1418
8,1426
8,1458
8,1498
8,1564
8,1581
8,1613
8,1643
8,1766
8,1799
8,1812
8,1902
8,2040
8,2057
8,2088
8,2102
8,2169
8,2241
8,2270
8,2418
8,2501
8,2544
8,2617
8,2666
8,2842
8,2913
8,2937
8,2949
8,2969
8,3156
8,3174
8,3235
8,3307
8,3321
8,3475
8,3483
8,3610
8,3620
8,3782
8,3838
8,3900
8,4090
8,4118
8,4122
8,4124
8,4197
8,4239
8,4473
8,4482
8,4670
8,4690
8,4726
8,4737
8,4750
8,4847
8,4854
8,5039
8,5159
8,5169
8,5229
8,5248
8,5410
8,5454
8,5466
8,5553
8,5624
8,5637
8,5647
8,5704
8,5731
8,5741
8,5768
8,5842
8,5870
8,5905
8,5974
8,5988
8,6035
8,6060
8,6102
8,6118
8,6156
8,6173
8,6245
8,6287
8,6289
8,6400
8,6466
8,6686
8,6745
8,6864
8,6884
8,6902
8,6954
8,6979
8,7058
8,7066
8,7113
8,7168
8,7410
8,7452
8,7453
8,7473
8,7511
8,7533
8,7594
8,7727
8,7740
8,7816
8,8051
8,8106
8,8132
8,8196
8,8242
8,8261
8,8274
8,8292
8,8352
8,8384
8,8504
8,8575
8,8626
8,8689
8,8744
8,8755
8,8794
8,8796
8,8876
8,8932
8,8986
8,9000
8,9038
8,9072
8,9103
8,9119
8,9179
8,9186
8,9300
8,9391
8,9401
8,9446
8,9456
8,9472
8,9518
8,9529
8,9571
8,9581
8,9642
8,9678
8,9684
8,9694
8,9792
8,9912
8,9924
8,9949
8,9996
8,10079
8,10160
8,10176
8,10289
8,10301
8,10418
8,10429
8,10438
8,10533
8,10664
8,10689
8,10722
8,10782
8,10857
8,10873
8,10925
8,10995
8,11082
8,11152
8,11162
8,11237
8,11273
8,11311
8,11335
8,11494
8,11503
8,11525
8,11552
8,11665
8,11671
8,11808
8,11816
8,11910
8,11962
8,12032
8,12184
8,12192
8,12254
8,12256
8,12274
8,12284
8,12341
8,12355
8,12421
8,12456
8,12534
8,12567
8,12709
8,12770
8,12814
8,12818
8,12865
8,12874
8,12888
8,12931
8,12946
8,12982
8,12992
8,13041
8,13178
8,13280
8,13350
8,13714
8,13854
8,13882
8,13915
8,13932
8,13993
8,13995
8,14156
8,14323
8,14347
8,14361
8,14376
8,14437
8,14499
8,14527
8,14544
8,14568
8,14604
8,14639
8,14649
8,14686
8,14774
8,14827
8,14838
8,14888
8,14959
8,14969
8,14996
8,15069
8,15175
8,15218
8,15238
8,15249
8,15292
8,15361
8,15501
8,15560
8,15618
8,15688
8,15780
8,15786
8,15794
8,15825
8,15856
8,15872
8,15917
8,15942
8,16048
8,16075
8,16160
8,16192
8,16360
8,16643
8,16776
8,16804
8,16833
8,16876
8,16915
8,17002
8,17039
8,17137
8,17437
8,17445
8,17446
8,17452
8,17466
8,17514
8,17545
8,17548
8,17599
8,17663
8,17699
8,17710
8,17809
8,17934
8,17959
8,17972
8,17981
8,18082
8,18085
8,18166
8,18279
8,18281
8,18324
8,18385
8,18488
8,18525
8,18526
8,18535
8,18686
8,18726
8,18730
8,18764
8,18925
9,56
9,247
9,435
9,464
9,576
9,667
9,734
9,761
9,794
9,829
9,903
9,909
9,978
9,982
9,1061
9,1093
9,1125
9,1179
9,1305
9,1388
9,1429
9,1477
9,1499
9,1507
9,1543
9,1554
9,1634
9,1642
9,1657
9,1667
9,1739
9,2162
9,2473
9,2542
9,2603
9,2669
9,2761
9,2813
9,2948
9,3015
9,3019
9,3386
9,3510
9,3565
9,3576
9,3611
9,3655
9,3662
9,3665
9,3920
9,4075
9,4122
9,4217
9,4237
9,4324
9,4387
9,4395
9,4448
9,4510
9,4516
9,4611
9,4652
9,4706
9,4739
9,4886
9,4917
9,4939
9,4989
9,5333
9,5342
9,5379
9,5535
9,5546
9,5651
9,5707
9,5878
9,5883
9,5897
9,5914
9,6019
9,6115
9,6148
9,6189
9,6236
9,6297
9,6352
9,6385
9,6416
9,6487
9,6575
9,6661
9,6748
9,6878
9,6938
9,7016
9,7068
9,7148
9,7233
9,7259
9,7266
9,7417
9,7452
9,7454
9,7466
9,7556
9,7603
9,7670
9,7710
9,7766
9,7929
9,7942
9,7951
9,8037
9,8124
9,8130
9,8150
9,8247
9,8326
9,8484
9,8551
9,8553
9,8574
9,8608
9,8621
9,8679
9,8802
9,8807
9,8829
9,9009
9,9017
9,9020
9,9159
9,9171
9,9178
9,9184
9,9271
9,9310
9,9386
9,9458
9,9490
9,9506
9,9509
9,9567
9,9608
9,9696
9,9886
9,10045
9,10150
9,10178
9,10215
9,10219
9,10335
9,10458
9,10557
