layer,neuron
4,1036
4,1446
4,4576
4,7214
4,7580
4,7980
4,9704
4,10408
4,10987
4,11409
4,11834
4,12193
4,12829
4,14185
4,14525
4,15048
4,15592
4,16097
4,18411
4,18488
4,18771
5,1210
5,2671
5,5909
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,12174
5,12198
5,12409
5,12714
5,13357
5,13552
5,13774
5,14133
5,14339
5,15335
5,15927
5,16546
5,17575
6,240
6,412
6,440
6,489
6,1330
6,1393
6,2018
6,2039
6,2155
6,2160
6,2283
6,2400
6,2486
6,2521
6,2834
6,2927
6,2980
6,3793
6,3926
6,3970
6,4053
6,4253
6,4342
6,4845
6,4947
6,4949
6,5002
6,5054
6,5121
6,5492
6,5606
6,5915
6,6476
6,6779
6,6883
6,7197
6,7552
6,7601
6,7673
6,7867
6,7962
6,8118
6,8194
6,8388
6,8489
6,8591
6,8971
6,9025
6,9031
6,9322
6,9365
6,9609
6,9697
6,10248
6,10372
6,10618
6,10990
6,11143
6,11348
6,11440
6,11543
6,11553
6,11699
6,12159
6,12324
6,12342
6,12420
6,12465
6,12845
6,13195
6,13381
6,13537
6,14195
6,14208
6,14459
6,14555
6,14850
6,14904
6,15181
6,15367
6,15739
6,15965
6,16328
6,16378
6,16636
6,16904
6,17062
6,17389
6,17679
6,17772
6,17815
6,17859
6,17884
6,18281
6,18525
6,18631
6,18852
6,18927
7,3
7,255
7,365
7,435
7,651
7,721
7,737
7,969
7,1116
7,1170
7,1357
7,1675
7,1776
7,2061
7,2971
7,3135
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4877
7,4942
7,5771
7,5791
7,5853
7,6031
7,6389
7,6822
7,7073
7,7160
7,7170
7,7279
7,7373
7,7460
7,7854
7,8421
7,8861
7,9199
7,9227
7,9337
7,9606
7,9709
7,9972
7,10185
7,10388
7,10548
7,10647
7,11075
7,11622
7,11651
7,11702
7,11806
7,12003
7,12038
7,12276
7,12453
7,13596
7,13739
7,13768
7,14052
7,14093
7,14376
7,14680
7,14833
7,14848
7,15047
7,15252
7,15382
7,15610
7,15663
7,15679
7,15694
7,16118
7,16343
7,16635
7,16827
7,16952
7,17561
7,17781
7,18395
7,18571
7,18927
8,0
8,78
8,116
8,167
8,210
8,218
8,226
8,334
8,433
8,480
8,559
8,727
8,806
8,831
8,850
8,904
8,941
8,970
8,987
8,1153
8,1414
8,1418
8,1426
8,1500
8,1564
8,1579
8,1581
8,1613
8,1766
8,1799
8,1812
8,1902
8,1908
8,1992
8,2040
8,2057
8,2209
8,2241
8,2270
8,2360
8,2418
8,2550
8,2580
8,2617
8,2827
8,2830
8,2842
8,2913
8,2937
8,2949
8,2969
8,3006
8,3156
8,3235
8,3307
8,3312
8,3321
8,3338
8,3483
8,3527
8,3564
8,3620
8,3782
8,3803
8,3838
8,3900
8,3968
8,4118
8,4124
8,4136
8,4197
8,4322
8,4324
8,4473
8,4482
8,4552
8,4588
8,4670
8,4726
8,4750
8,4847
8,4854
8,4936
8,5039
8,5052
8,5169
8,5229
8,5248
8,5410
8,5454
8,5466
8,5527
8,5546
8,5552
8,5553
8,5584
8,5624
8,5637
8,5647
8,5704
8,5768
8,5782
8,5870
8,5905
8,5974
8,6024
8,6035
8,6102
8,6118
8,6156
8,6173
8,6245
