layer,neuron
2,15133
3,7075
3,17019
4,119
4,293
4,881
4,1036
4,1446
4,1531
4,3826
4,4179
4,4576
4,7214
4,7403
4,7580
4,7980
4,9446
4,9704
4,10408
4,10416
4,10987
4,11409
4,11689
4,11834
4,12193
4,12829
4,13463
4,14185
4,14384
4,14525
4,15048
4,15152
4,15592
4,16097
4,16743
4,17174
4,17750
4,18411
4,18488
4,18771
5,1210
5,2671
5,3139
5,5909
5,6044
5,7736
5,9388
5,9571
5,10759
5,10866
5,11301
5,11548
5,11867
5,12057
5,12174
5,12198
5,12409
5,12551
5,12714
5,13276
5,13357
5,13552
5,13774
5,14133
5,14339
5,14520
5,15335
5,15927
5,16546
5,16659
5,17575
6,45
6,192
6,240
6,412
6,416
6,440
6,489
6,1023
6,1131
6,1329
6,1330
6,1393
6,2018
6,2039
6,2128
6,2132
6,2155
6,2160
6,2283
6,2309
6,2400
6,2486
6,2521
6,2653
6,2834
6,2918
6,2927
6,2980
6,3080
6,3653
6,3793
6,3830
6,3926
6,3970
6,4053
6,4199
6,4253
6,4342
6,4434
6,4845
6,4947
6,4949
6,4974
6,5002
6,5054
6,5121
6,5429
6,5492
6,5606
6,5768
6,5774
6,5899
6,5915
6,5950
6,6085
6,6125
6,6167
6,6331
6,6476
6,6779
6,6815
6,6832
6,6883
6,6944
6,7197
6,7221
6,7339
6,7552
6,7590
6,7601
6,7673
6,7867
6,7962
6,8118
6,8194
6,8231
6,8388
6,8459
6,8471
6,8489
6,8591
6,8608
6,8663
6,8971
6,9025
6,9031
6,9038
6,9051
6,9322
6,9365
6,9413
6,9609
6,9648
6,9697
6,9729
6,9864
6,9920
6,10124
6,10248
6,10372
6,10618
6,10859
6,10965
6,10990
6,11143
6,11163
6,11348
6,11440
6,11543
6,11553
6,11699
6,11771
6,11966
6,12053
6,12159
6,12234
6,12324
6,12342
6,12420
6,12465
6,12625
6,12725
6,12845
6,12908
6,13195
6,13381
6,13537
6,13867
6,14195
6,14208
6,14284
6,14374
6,14450
6,14459
6,14555
6,14612
6,14638
6,14850
6,14904
6,15181
6,15367
6,15398
6,15549
6,15649
6,15739
6,15965
6,15971
6,16045
6,16328
6,16378
6,16592
6,16636
6,16904
6,17011
6,17062
6,17389
6,17657
6,17679
6,17772
6,17815
6,17859
6,17884
6,18197
6,18281
6,18409
6,18439
6,18525
6,18631
6,18852
6,18927
7,3
7,72
7,166
7,255
7,365
7,435
7,651
7,721
7,737
7,917
7,969
7,1009
7,1116
7,1170
7,1310
7,1357
7,1517
7,1675
7,1776
7,1921
7,2061
7,2156
7,2297
7,2971
7,3122
7,3135
7,3193
7,3252
7,3329
7,3458
7,3465
7,3500
7,3546
7,3773
7,3791
7,3865
7,3936
7,4231
7,4238
7,4771
7,4877
7,4942
7,5165
7,5636
7,5771
7,5790
7,5791
7,5853
7,6031
7,6252
7,6389
7,6790
7,6822
7,7073
7,7111
7,7160
7,7170
7,7279
7,7373
7,7460
7,7476
7,7631
7,7697
7,7831
7,7841
7,7854
7,8421
7,8861
7,9199
7,9227
7,9313
7,9337
7,9564
7,9578
7,9606
7,9709
7,9972
7,10185
7,10388
7,10548
7,10647
7,10683
7,10822
7,10922
7,10977
7,11075
7,11101
7,11298
7,11423
7,11531
7,11622
7,11651
7,11702
7,11806
7,12003
7,12038
7,12234
7,12276
7,12453
7,12889
7,13366
7,13596
7,13739
7,13768
7,13889
7,14009
7,14052
7,14093
7,14376
7,14429
7,14630
7,14680
7,14684
7,14742
7,14833
7,14848
7,14909
7,15047
7,15213
7,15252
7,15382
7,15443
7,15459
7,15520
7,15610
7,15663
7,15679
7,15694
7,16118
7,16198
7,16343
7,16516
7,16630
7,16635
7,16827
7,16865
7,16924
7,16952
7,17024
7,17037
7,17212
7,17561
7,17671
7,17781
7,17965
7,18019
7,18092
7,18135
7,18239
7,18346
7,18395
7,18571
7,18794
7,18927
8,0
8,43
8,78
8,116
8,167
8,210
8,218
8,226
8,235
8,334
8,431
8,433
8,475
8,480
8,559
8,587
8,668
8,706
8,727
8,765
8,806
8,831
8,850
8,859
8,875
8,904
8,941
8,955
8,970
8,976
8,987
8,1090
8,1153
8,1224
8,1269
8,1414
8,1418
8,1426
8,1500
8,1564
8,1579
8,1581
8,1583
8,1593
8,1613
8,1643
8,1766
8,1799
8,1812
8,1902
8,1908
8,1988
