layer,neuron
20,458
21,2107
21,3206
22,2107
22,3206
23,1841
23,2107
23,2208
23,2236
23,2358
23,2792
23,3206
24,2208
24,2236
24,2258
24,2343
24,2358
24,2792
24,3134
24,3206
25,297
25,737
25,809
25,1359
25,1841
25,1895
25,2208
25,2236
25,2322
25,2358
25,2366
25,2733
25,2792
25,2861
25,2900
25,3110
25,3134
25,3206
25,3516
26,20
26,180
26,196
26,297
26,339
26,565
26,602
26,737
26,768
26,809
26,862
26,1359
26,1435
26,1451
26,1498
26,1518
26,1627
26,1656
26,1767
26,1841
26,1895
26,1915
26,1929
26,2016
26,2105
26,2208
26,2236
26,2253
26,2255
26,2343
26,2358
26,2413
26,2631
26,2733
26,2792
26,2818
26,2900
26,3110
26,3134
26,3206
26,3217
26,3250
26,3270
26,3283
26,3438
26,3447
27,20
27,39
27,61
27,164
27,180
27,198
27,210
27,217
27,274
27,277
27,297
27,325
27,339
27,444
27,458
27,565
27,602
27,737
27,809
27,862
27,900
27,910
27,1142
27,1245
27,1261
27,1264
27,1359
27,1403
27,1413
27,1427
27,1435
27,1437
27,1518
27,1553
27,1627
27,1633
27,1656
27,1732
27,1804
27,1827
27,1841
27,1895
27,1915
27,1927
27,1932
27,1942
27,1978
27,2016
27,2037
27,2104
27,2105
27,2107
27,2144
27,2189
27,2198
27,2205
27,2208
27,2230
27,2236
27,2253
27,2258
27,2316
27,2343
27,2351
27,2358
27,2366
27,2413
27,2418
27,2431
27,2570
27,2579
27,2587
27,2612
27,2619
27,2631
27,2695
27,2724
27,2733
27,2737
27,2750
27,2792
27,2818
27,2837
27,2861
27,2863
27,2876
27,2894
27,2900
27,3099
27,3110
27,3134
27,3156
27,3172
27,3206
27,3229
27,3250
27,3283
27,3372
27,3447
27,3449
27,3577
28,37
28,85
28,113
28,201
28,217
28,310
28,314
28,362
28,404
28,523
28,547
28,565
28,602
28,616
28,692
28,698
28,877
28,879
28,1205
28,1261
28,1352
28,1359
28,1562
28,1628
28,1781
28,1915
28,1940
28,2037
28,2051
28,2127
28,2208
28,2258
28,2358
28,2413
28,2451
28,2477
28,2604
28,2631
28,2660
28,2695
28,2740
28,2750
28,2900
28,2906
28,3157
28,3312
28,3447
28,3577
