layer,neuron
14,458
18,3206
19,458
19,2570
19,3206
20,206
20,277
20,458
20,2107
20,2294
20,2401
20,2988
20,3206
21,1841
21,2107
21,2236
21,2294
21,2358
21,2570
21,2792
21,2988
21,3206
21,3311
22,31
22,143
22,196
22,382
22,824
22,996
22,1111
22,1277
22,1359
22,1531
22,1841
22,2107
22,2198
22,2202
22,2208
22,2236
22,2258
22,2343
22,2358
22,2366
22,2570
22,2612
22,2792
22,2796
22,2819
22,2988
22,3110
22,3206
22,3311
22,3473
23,31
23,209
23,339
23,613
23,654
23,711
23,737
23,793
23,795
23,809
23,824
23,908
23,992
23,1111
23,1359
23,1498
23,1531
23,1560
23,1610
23,1627
23,1767
23,1841
23,1895
23,2107
23,2133
23,2182
23,2190
23,2202
23,2208
23,2236
23,2258
23,2294
23,2330
23,2343
23,2358
23,2401
23,2406
23,2612
23,2619
23,2745
23,2776
23,2792
23,2796
23,2819
23,2861
23,2923
23,2988
23,3110
23,3134
23,3206
23,3270
23,3283
23,3302
23,3311
23,3430
23,3473
24,154
24,164
24,180
24,209
24,268
24,297
24,339
24,613
24,654
24,692
24,707
24,737
24,795
24,799
24,809
24,824
24,862
24,877
24,959
24,992
24,1019
24,1110
24,1111
24,1295
24,1319
24,1359
24,1435
24,1451
24,1491
24,1498
24,1531
24,1560
24,1627
24,1669
24,1767
24,1771
24,1786
24,1804
24,1841
24,1854
24,1895
24,2019
24,2037
24,2073
24,2103
24,2107
24,2133
24,2179
24,2202
24,2205
24,2208
24,2236
24,2258
24,2322
24,2323
24,2343
24,2350
24,2358
24,2366
24,2401
24,2406
24,2413
24,2501
24,2520
24,2549
24,2570
24,2574
24,2603
24,2612
24,2619
24,2620
24,2644
24,2733
24,2745
24,2792
24,2796
24,2843
24,2861
24,2890
24,2900
24,2913
24,2923
24,2988
24,3064
24,3110
24,3132
24,3134
24,3143
24,3171
24,3172
24,3189
24,3206
24,3283
24,3311
24,3403
24,3430
24,3438
24,3516
25,20
25,39
25,62
25,119
25,134
25,157
25,164
25,180
25,196
25,198
25,209
25,215
25,216
25,217
25,241
25,277
25,297
25,317
25,339
25,344
25,369
25,410
25,444
25,474
25,518
25,565
25,575
25,585
25,602
25,607
25,654
25,685
25,692
25,698
25,707
25,737
25,765
25,768
25,799
25,809
25,824
25,862
25,877
25,893
25,908
25,986
25,992
25,1002
25,1019
25,1033
25,1041
25,1082
25,1106
25,1110
25,1111
25,1174
25,1237
25,1245
25,1261
25,1268
25,1319
25,1359
25,1368
25,1413
25,1417
25,1427
25,1435
25,1451
25,1487
25,1491
25,1498
25,1504
25,1510
25,1518
25,1531
25,1534
25,1560
25,1627
25,1634
25,1644
25,1656
25,1669
25,1686
25,1767
25,1786
25,1788
25,1804
25,1827
25,1835
25,1841
25,1844
25,1857
25,1858
25,1895
25,1915
25,1919
25,1929
25,1942
25,1951
25,1965
25,2016
25,2019
25,2037
25,2069
25,2073
25,2103
25,2105
25,2107
25,2133
25,2144
25,2168
25,2180
