layer,neuron
14,458
19,458
19,2570
20,206
20,277
20,2107
20,2294
20,2988
20,3206
21,2107
21,2236
21,2358
21,2792
21,2988
21,3206
22,31
22,143
22,382
22,1277
22,1841
22,2107
22,2208
22,2236
22,2343
22,2358
22,2366
22,2792
22,2796
22,2988
22,3206
23,31
23,737
23,795
23,809
23,992
23,1359
23,1498
23,1627
23,1895
23,2182
23,2208
23,2236
23,2258
23,2330
23,2343
23,2358
23,2406
23,2792
23,2796
23,2861
23,2988
23,3134
23,3206
23,3302
24,268
24,297
24,692
24,737
24,795
24,799
24,809
24,862
24,992
24,1359
24,1498
24,1627
24,1669
24,1786
24,1804
24,1841
24,1854
24,1895
24,2037
24,2073
24,2208
24,2236
24,2322
24,2343
24,2350
24,2358
24,2366
24,2406
24,2413
24,2520
24,2549
24,2570
24,2603
24,2644
24,2733
24,2792
24,2796
24,2843
24,2861
24,2890
24,2900
24,2988
24,3110
24,3134
24,3206
24,3516
25,20
25,180
25,196
25,217
25,277
25,297
25,339
25,410
25,444
25,565
25,585
25,602
25,685
25,692
25,698
25,737
25,765
25,768
25,799
25,809
25,862
25,992
25,1002
25,1041
25,1110
25,1111
25,1174
25,1261
25,1359
25,1368
25,1413
25,1417
25,1435
25,1451
25,1498
25,1504
25,1510
25,1518
25,1627
25,1644
25,1656
25,1669
25,1767
25,1786
25,1788
25,1804
25,1841
25,1857
25,1895
25,1915
25,1929
25,2016
25,2037
25,2069
25,2073
25,2105
25,2144
25,2180
25,2182
25,2189
25,2207
25,2208
25,2230
25,2235
25,2236
25,2253
25,2255
25,2330
25,2343
25,2351
25,2358
25,2413
25,2430
25,2537
25,2549
25,2603
25,2604
25,2631
25,2636
25,2644
25,2724
25,2733
25,2750
25,2792
25,2796
25,2818
25,2887
25,2890
25,2900
25,2988
25,3110
25,3134
25,3206
25,3217
25,3250
25,3270
25,3283
25,3337
25,3407
25,3424
25,3438
25,3447
25,3451
25,3504
26,20
26,25
26,30
26,39
26,61
26,78
26,90
26,104
26,131
26,136
26,159
26,164
26,180
26,182
26,198
26,210
26,212
26,217
26,225
26,274
26,277
26,297
26,325
26,339
26,372
26,403
26,410
26,430
26,442
26,444
26,458
26,463
26,565
26,602
26,625
26,659
26,660
26,681
26,685
26,692
26,696
26,737
26,799
26,809
26,856
26,862
26,899
26,900
26,910
26,934
26,936
26,1002
26,1022
26,1031
26,1037
26,1041
26,1055
26,1103
26,1110
26,1111
26,1117
26,1137
26,1142
26,1144
26,1146
26,1179
26,1234
26,1245
26,1261
26,1264
26,1311
26,1359
26,1368
26,1379
26,1403
26,1413
26,1427
26,1431
26,1432
26,1435
26,1437
26,1457
26,1498
26,1518
26,1553
26,1559
26,1616
26,1619
26,1627
26,1633
26,1644
26,1656
26,1657
26,1658
26,1669
26,1719
26,1721
26,1732
26,1748
26,1753
26,1786
26,1804
26,1827
26,1830
26,1831
26,1840
26,1841
26,1895
26,1915
26,1927
26,1932
26,1942
26,1964
26,1971
26,1978
26,2016
26,2037
26,2041
26,2069
26,2073
26,2104
26,2105
26,2107
26,2108
26,2132
26,2144
26,2180
26,2182
26,2189
26,2198
26,2205
26,2208
26,2230
26,2233
26,2236
26,2253
26,2258
26,2316
26,2330
26,2343
26,2350
26,2351
26,2358
26,2366
26,2405
26,2413
26,2418
26,2430
26,2431
26,2487
26,2525
26,2533
26,2537
26,2570
26,2579
26,2587
26,2612
26,2619
26,2631
26,2636
26,2638
26,2644
26,2695
26,2724
26,2733
26,2737
26,2750
26,2751
26,2792
26,2796
26,2805
26,2812
26,2818
26,2837
26,2843
26,2861
26,2863
26,2876
26,2883
26,2885
26,2894
26,2900
26,2907
26,2920
26,2967
26,3019
26,3067
26,3099
26,3110
26,3131
26,3134
26,3156
26,3163
26,3172
26,3173
26,3201
26,3206
26,3217
26,3227
26,3229
26,3232
26,3250
26,3283
26,3292
26,3302
26,3337
26,3368
26,3372
26,3382
26,3384
26,3407
26,3424
26,3447
26,3449
26,3451
26,3490
26,3491
26,3577
27,37
27,46
27,85
27,113
27,128
27,162
27,201
27,217
27,238
27,310
27,314
27,322
27,362
27,404
27,444
27,523
27,547
27,565
27,602
27,616
27,692
27,698
27,737
27,877
27,879
27,899
27,934
27,943
27,1182
27,1205
27,1261
27,1352
27,1359
27,1554
27,1562
27,1628
27,1644
27,1781
27,1786
27,1805
27,1829
27,1895
27,1903
27,1915
27,1940
27,1985
27,2037
27,2041
27,2051
27,2072
27,2127
27,2175
27,2208
27,2251
27,2254
27,2258
27,2264
27,2303
27,2334
27,2343
27,2358
27,2413
27,2451
27,2477
27,2529
27,2604
27,2631
27,2660
27,2695
27,2724
27,2740
27,2750
27,2900
27,2906
27,2940
27,3046
27,3157
27,3312
27,3447
27,3577
