tier,run,id,expression,correct_answer,response,parsed_answer,correct,parse_failed
baseline,1,1,12 * 3,36,36,36,True,False
baseline,1,2,19 * 2,38,38,38,True,False
baseline,1,3,18 * 6,108,108,108,True,False
baseline,1,4,13 * 5,65,65,65,True,False
baseline,1,5,16 * 6,96,96,96,True,False
baseline,1,6,19 * 6,114,114,114,True,False
baseline,1,7,12 * 5,60,60,60,True,False
baseline,1,8,16 * 7,112,112,112,True,False
baseline,1,9,19 * 5,95,95,95,True,False
baseline,1,10,11 * 5,55,55,55,True,False
baseline,1,11,16 * 5,80,80,80,True,False
baseline,1,12,13 * 5,65,65,65,True,False
baseline,1,13,16 * 5,80,80,80,True,False
baseline,1,14,13 * 4,52,52,52,True,False
baseline,1,15,19 * 2,38,38,38,True,False
baseline,1,16,15 * 8,120,120,120,True,False
baseline,1,17,15 * 5,75,75,75,True,False
baseline,1,18,18 * 2,36,36,36,True,False
baseline,1,19,12 * 3,36,36,36,True,False
baseline,1,20,19 * 4,76,19 * 4 = 76,76,True,False
baseline,1,21,15 * 8,120,120,120,True,False
baseline,1,22,14 * 3,42,42,42,True,False
baseline,1,23,11 * 3,33,33,33,True,False
baseline,1,24,19 * 5,95,95,95,True,False
baseline,1,25,14 * 9,126,126,126,True,False
baseline,1,26,17 * 8,136,136,136,True,False
baseline,1,27,17 * 7,119,17 * 7 = 119,119,True,False
baseline,1,28,17 * 4,68,17 * 4 = 68,68,True,False
baseline,1,29,11 * 2,22,22,22,True,False
baseline,1,30,14 * 8,112,112,112,True,False
baseline,1,31,18 * 6,108,108,108,True,False
baseline,1,32,15 * 5,75,75,75,True,False
baseline,1,33,18 * 4,72,18 * 4 = 72,72,True,False
baseline,1,34,14 * 8,112,112,112,True,False
baseline,1,35,17 * 7,119,17 * 7 = 119,119,True,False
baseline,1,36,17 * 4,68,17 * 4 = 68,68,True,False
baseline,1,37,12 * 3,36,36,36,True,False
baseline,1,38,12 * 5,60,60,60,True,False
baseline,1,39,19 * 6,114,114,114,True,False
baseline,1,40,15 * 6,90,90,90,True,False
baseline,1,41,15 * 2,30,30,30,True,False
baseline,1,42,13 * 6,78,78,78,True,False
baseline,1,43,12 * 4,48,48,48,True,False
