layer,neuron
2,17632
2,18477
4,119
4,1036
4,2164
4,9687
4,10722
4,11941
4,15152
4,15818
4,18163
4,18488
4,18771
5,12174
6,1393
6,10284
6,11571
7,6923
7,10404
7,11782
7,16940
7,17148
8,705
8,4694
8,4725
8,6491
8,6954
8,6958
8,7843
8,8881
8,8968
8,9306
8,9867
8,10176
8,10459
8,11137
8,12865
8,15345
8,15448
8,15829
9,250
9,864
9,1108
9,1570
9,1653
9,1729
9,1737
9,1929
9,2310
9,2568
9,2813
9,3178
9,3314
9,3651
9,4264
9,4554
9,4886
9,4977
9,5170
9,6148
9,6254
9,6543
9,6605
9,7025
9,7094
9,7556
9,7596
9,8026
9,8103
9,8130
9,8205
9,8663
9,8902
9,8988
9,9020
9,9227
9,9284
9,9696
9,10486
9,10772
9,10844
9,11048
9,11231
9,11455
9,11808
9,12093
9,12152
9,12337
9,12521
9,12529
9,13510
9,13516
9,13789
9,14117
9,15608
9,15652
9,15784
9,15838
9,16018
9,16111
9,16402
9,16721
9,16888
9,17505
9,18028
9,18626
10,95
10,231
10,309
10,329
10,459
10,468
10,478
10,602
10,651
10,854
10,870
10,1096
10,1258
10,1277
10,1437
10,1474
10,1594
10,1798
10,2403
10,2447
10,2510
10,2590
10,2733
10,2817
10,3220
10,3265
10,3424
10,3435
10,3473
10,3497
10,3730
10,3833
10,3889
10,4057
10,4795
10,4797
10,4978
10,5098
10,5153
10,5175
10,5199
10,5203
10,5276
10,5348
10,5480
10,5496
10,5799
10,5905
10,6039
10,6445
10,6481
10,6564
10,6677
10,6831
10,6840
10,6861
10,6888
10,6919
10,6963
10,7002
10,7040
10,7063
10,7186
10,7559
10,7695
10,7856
10,7940
10,8061
10,8074
10,8212
10,8280
10,8312
10,8313
10,8375
10,8511
10,8644
10,8647
10,8663
10,8687
10,8756
10,8894
10,9165
10,9255
10,9386
10,9491
10,9503
10,9596
10,9702
10,9812
10,9847
10,10739
10,10855
10,10860
10,10900
10,10925
10,11010
10,11097
10,11155
10,11232
10,11355
10,11369
10,11420
10,11876
10,12077
10,12121
10,12863
10,13012
10,13159
10,13349
10,13398
10,13427
10,13633
10,13647
10,13665
10,13939
10,13999
10,14068
10,14489
10,14692
10,15174
10,15330
10,15419
10,15425
10,15532
10,15787
10,15814
10,15841
10,16081
10,16093
10,16403
10,16492
10,16507
10,16917
10,17079
10,17426
10,17642
10,17690
10,17719
10,17734
10,17998
10,18398
10,18402
10,18577
10,18649
10,18683
10,18765
10,18807
11,86
11,117
11,769
11,873
11,989
11,1083
11,1275
11,1411
11,1422
11,1708
11,1830
11,1906
11,2194
11,2343
11,2487
11,2515
11,2694
11,2713
11,2912
11,2992
11,3141
11,3377
11,3466
11,3507
11,3616
11,3797
11,3925
11,4099
11,4117
11,4209
11,4503
11,4525
11,4583
11,4634
11,4684
11,4755
11,4994
11,5172
11,5328
11,5505
11,5520
11,5555
11,6013
11,6100
11,6184
11,6492
11,6524
11,6539
11,6559
11,6661
11,6746
11,6826
11,7049
11,7154
11,7235
11,7363
11,7511
11,7514
11,7646
11,7712
11,7766
11,7965
11,8255
11,8338
11,8594
11,8674
11,8857
11,8975
11,9105
11,9165
11,9276
11,9881
11,10225
11,10323
11,10478
11,10514
11,10640
11,10697
11,11090
11,11112
11,11440
11,11484
11,11726
11,11903
11,11924
11,11933
11,11979
11,12097
11,12173
11,12394
11,12795
11,13016
11,13126
11,13388
11,13441
11,13724
11,13742
11,13780
11,13904
11,14056
11,14284
11,14326
11,14752
11,14761
11,15006
11,15030
11,15185
11,15281
11,15515
11,15567
11,15583
11,15861
11,15887
11,16103
11,16123
11,16295
11,16645
11,16724
11,16827
11,17073
11,17327
11,17546
11,17596
11,17941
11,18007
11,18032
11,18367
11,18474
11,18475
11,18481
11,18497
11,18693
11,18808
11,18832
12,157
12,217
12,382
12,874
12,1046
12,1152
12,1543
12,1748
12,1776
12,1865
12,1985
12,2101
12,2139
12,2142
12,2557
12,2569
12,2657
12,2773
12,2906
12,3048
12,3220
12,3663
12,3691
12,3817
12,3890
12,3907
12,4069
12,4260
12,4888
12,5400
12,5515
12,5697
12,5757
12,5795
12,5892
12,5963
12,5978
12,6084
12,6107
12,6909
12,7022
12,7232
12,7252
12,7369
12,7583
12,7669
12,7870
12,7943
12,8095
12,8103
12,8197
12,8244
12,8344
12,8443
12,8755
12,8762
12,8858
12,9052
12,9547
12,9678
12,9722
12,9778
12,10054
12,10055
12,10117
12,10142
12,10270
12,10502
12,10850
12,10903
12,11166
12,11357
12,12130
12,12169
12,12301
12,12852
12,12857
12,13054
12,13299
12,13341
12,13532
12,13534
12,13887
12,14063
12,14114
12,14356
12,14446
12,14490
12,14726
12,14893
12,14952
12,14991
12,15058
12,15182
12,15404
12,15743
12,15982
12,16151
12,16205
12,16565
12,16880
12,17013
12,17082
12,17382
12,17447
12,17538
12,17547
12,17579
12,18256
12,18436
12,18464
12,18479
12,18695
12,18804
13,75
13,245
13,316
13,412
13,731
13,832
13,1014
13,1037
13,1411
13,1523
13,1535
13,1539
13,1696
13,1854
13,2088
13,2232
13,2264
13,2307
13,2369
13,2534
13,3214
13,3267
13,3311
13,3496
13,3613
13,3698
13,3704
13,3733
13,3737
13,3753
13,3872
13,4008
13,4054
13,4161
13,4200
13,4372
13,4471
13,4472
13,4525
13,4548
13,4551
13,4624
13,4741
13,4829
13,5117
13,5154
13,5169
13,5216
13,5217
13,5314
13,5315
13,5331
13,5389
13,5611
13,5622
13,5643
13,5666
13,5692
13,5707
13,5907
13,6040
13,6111
13,6189
13,6284
13,6325
13,6364
13,6402
13,6479
13,6605
13,6678
13,6851
13,6852
13,6935
13,7146
13,7228
13,7244
13,7276
13,7293
13,7493
13,7523
13,7585
13,7661
13,7815
13,7910
13,8048
13,8279
13,8359
13,8480
13,8490
13,8613
13,8833
13,8845
13,9185
13,9518
13,9572
13,9614
13,9704
13,9958
13,9961
13,10592
13,10750
13,10888
13,10959
13,11043
13,11086
13,11165
13,11297
13,11404
13,11529
13,11807
13,11837
13,12014
13,12197
13,12386
13,12728
13,12762
13,12875
13,12895
