layer,neuron
2,3086
4,15592
5,2671
5,10759
5,16546
7,5163
7,17095
8,11273
8,17664
9,341
9,540
9,612
9,761
9,1082
9,1365
9,2041
9,3386
9,3601
9,4122
9,4387
9,4946
9,5883
9,6236
9,6517
9,6613
9,7006
9,7016
9,8150
9,8235
9,8252
9,8712
9,9035
9,9110
9,9178
9,9586
9,10702
9,10955
9,11235
9,13601
9,15252
9,15569
9,16262
9,16499
9,17321
9,17621
9,18302
9,18694
9,18844
9,18873
9,18894
10,298
10,1172
10,1507
10,1546
10,1905
10,2023
10,2119
10,2238
10,2275
10,2552
10,2652
10,2665
10,2998
10,3022
10,3875
10,3916
10,4135
10,4498
10,4606
10,4849
10,5058
10,5148
10,5223
10,5545
10,5684
10,5804
10,6103
10,6603
10,6723
10,6970
10,7009
10,7207
10,7629
10,7741
10,8560
10,8784
10,9173
10,9530
10,9606
10,9654
10,9703
10,9771
10,10015
10,10038
10,10366
10,10442
10,10663
10,10725
10,10747
10,10908
10,10976
10,11138
10,11406
10,11484
10,12023
10,12032
10,12380
10,12414
10,12723
10,12874
10,13457
10,13702
10,14889
10,14975
10,15431
10,15710
10,16471
10,16494
10,16714
10,17329
10,17346
10,17450
10,17552
10,17829
10,17968
10,18042
10,18411
11,145
11,641
11,1199
11,1866
11,2518
11,2684
11,2877
11,5175
11,6299
11,7100
11,7427
11,8731
11,9167
11,9544
11,9618
11,10196
11,10228
11,11960
11,12338
11,12583
11,12957
11,14318
11,14521
11,15877
11,16337
11,16578
11,17187
11,18598
12,148
12,220
12,399
12,1592
12,1885
12,2483
12,2635
12,2857
12,3449
12,6045
12,6845
12,6944
12,7893
12,7906
12,8137
12,8221
12,8961
12,9244
12,11326
12,11354
12,11522
12,11986
12,14013
12,16198
12,17128
12,17748
12,17793
12,18566
13,0
13,158
13,177
13,438
13,495
13,728
13,834
13,1090
13,1118
13,1151
13,1273
13,1283
13,1366
13,1414
13,1440
13,1526
13,1569
13,1880
13,2018
13,2182
13,2237
13,2293
13,2339
13,2345
13,2439
13,2670
13,2774
13,2899
13,3129
13,3339
13,3572
13,3621
13,3799
